timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.10830000,0.11270000,0.09570000,0.09710000,0.10830000,0.11270000,0.09570000,0.09710000,46437640.00000000,46437640.00000000
2023-04-30,0.10590000,0.14630000,0.09760000,0.10840000,0.10590000,0.14630000,0.09760000,0.10840000,918931937.00000000,918931937.00000000
2023-03-31,0.11310000,0.11950000,0.08730000,0.10600000,0.11310000,0.11950000,0.08730000,0.10600000,360012292.00000000,360012292.00000000
2023-02-28,0.09760000,0.14270000,0.09370000,0.11340000,0.09760000,0.14270000,0.09370000,0.11340000,383130781.00000000,383130781.00000000
2023-01-31,0.07480000,0.11890000,0.07450000,0.09760000,0.07480000,0.11890000,0.07450000,0.09760000,220366511.00000000,220366511.00000000
2022-12-31,0.09720000,0.11490000,0.07300000,0.07480000,0.09720000,0.11490000,0.07300000,0.07480000,174654648.00000000,174654648.00000000
2022-11-30,0.13480000,0.15860000,0.08300000,0.09740000,0.13480000,0.15860000,0.08300000,0.09740000,168631951.00000000,168631951.00000000
2022-10-31,0.10530000,0.15950000,0.10250000,0.13490000,0.10530000,0.15950000,0.10250000,0.13490000,522770677.00000000,522770677.00000000
2022-09-30,0.11550000,0.12400000,0.09990000,0.10550000,0.11550000,0.12400000,0.09990000,0.10550000,81009393.00000000,81009393.00000000
2022-08-31,0.13540000,0.17800000,0.11100000,0.11550000,0.13540000,0.17800000,0.11100000,0.11550000,209912976.00000000,209912976.00000000
2022-07-31,0.11300000,0.14630000,0.10860000,0.13510000,0.11300000,0.14630000,0.10860000,0.13510000,286594878.00000000,286594878.00000000
2022-06-30,0.18480000,0.21980000,0.09880000,0.11320000,0.18480000,0.21980000,0.09880000,0.11320000,279386544.00000000,279386544.00000000
2022-05-31,0.19940000,0.25000000,0.09000000,0.18460000,0.19940000,0.25000000,0.09000000,0.18460000,321172894.97000003,321172894.97000003
2022-04-30,0.26390000,0.38700000,0.19390000,0.19940000,0.26390000,0.38700000,0.19390000,0.19940000,454137498.00000000,454137498.00000000
2022-03-31,0.21190000,0.29490000,0.20950000,0.26370000,0.21190000,0.29490000,0.20950000,0.26370000,260788492.00000000,260788492.00000000
2022-02-28,0.23150000,0.31970000,0.17030000,0.21200000,0.23150000,0.31970000,0.17030000,0.21200000,305815927.38999999,305815927.38999999
2022-01-31,0.31730000,0.46400000,0.19510000,0.23140000,0.31730000,0.46400000,0.19510000,0.23140000,569565741.73000002,569565741.73000002
2021-12-31,0.37650000,0.55390000,0.25620000,0.31690000,0.37650000,0.55390000,0.25620000,0.31690000,510515684.42000002,510515684.42000002
2021-11-30,0.38950000,0.53840000,0.33140000,0.37760000,0.38950000,0.53840000,0.33140000,0.37760000,396024718.00000000,396024718.00000000
2021-10-31,0.34110000,0.47050000,0.33780000,0.39020000,0.34110000,0.47050000,0.33780000,0.39020000,439708423.00000000,439708423.00000000
2021-09-30,0.42830000,0.54490000,0.30210000,0.34090000,0.42830000,0.54490000,0.30210000,0.34090000,744468081.99000013,744468081.99000013
2021-08-31,0.23790000,0.71770000,0.22110000,0.42850000,0.23790000,0.71770000,0.22110000,0.42850000,1306970391.00999951,1306970391.00999951
2021-07-31,0.23130000,0.24990000,0.15290000,0.23750000,0.23130000,0.24990000,0.15290000,0.23750000,345106355.94999993,345106355.94999993
2021-06-30,0.33120000,0.42000000,0.17240000,0.23110000,0.33120000,0.42000000,0.17240000,0.23110000,672041866.39999998,672041866.39999998
2021-05-31,0.54780000,1.06500000,0.17700000,0.33130000,0.54780000,1.06500000,0.17700000,0.33130000,1517317772.89999986,1517317772.89999986
2021-04-30,0.60020000,0.74750000,0.33560000,0.54770000,0.60020000,0.74750000,0.33560000,0.54770000,418196443.80999994,418196443.80999994
2021-03-31,0.31700000,0.74000000,0.31280000,0.60030000,0.31700000,0.74000000,0.31280000,0.60030000,421853185.30000013,421853185.30000013
2021-02-28,0.24750000,0.57000000,0.23670000,0.31570000,0.24750000,0.57000000,0.23670000,0.31570000,385282295.83999991,385282295.83999991
2021-01-31,0.12020000,0.28080000,0.11420000,0.24790000,0.12020000,0.28080000,0.11420000,0.24790000,286234168.64999992,286234168.64999992
2020-12-31,0.12800000,0.16000000,0.09780000,0.12020000,0.12800000,0.16000000,0.09780000,0.12020000,220029860.78000003,220029860.78000003
2020-11-30,0.09700000,0.17450000,0.08100000,0.12800000,0.09700000,0.17450000,0.08100000,0.12800000,231244993.27000007,231244993.27000007
