timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.25210000,0.25410000,0.22570000,0.22890000,0.25210000,0.25410000,0.22570000,0.22890000,3471521.00000000,3471521.00000000
2023-04-30,0.27810000,0.33250000,0.24450000,0.25270000,0.27810000,0.33250000,0.24450000,0.25270000,63170246.00000000,63170246.00000000
2023-03-31,0.29280000,0.35000000,0.20570000,0.27770000,0.29280000,0.35000000,0.20570000,0.27770000,136134052.00000000,136134052.00000000
2023-02-28,0.21250000,0.35250000,0.18700000,0.29370000,0.21250000,0.35250000,0.18700000,0.29370000,212766462.00000000,212766462.00000000
2023-01-31,0.17990000,0.23720000,0.15940000,0.21290000,0.17990000,0.23720000,0.15940000,0.21290000,151351651.00000000,151351651.00000000
2022-12-31,0.20580000,0.21800000,0.14400000,0.18000000,0.20580000,0.21800000,0.14400000,0.18000000,168301025.00000000,168301025.00000000
2022-11-30,0.17960000,0.37000000,0.13020000,0.20570000,0.17960000,0.37000000,0.13020000,0.20570000,332271839.00000000,332271839.00000000
2022-10-31,0.19150000,0.20740000,0.15840000,0.17970000,0.19150000,0.20740000,0.15840000,0.17970000,65409496.00000000,65409496.00000000
2022-09-30,0.19940000,0.21650000,0.17750000,0.19150000,0.19940000,0.21650000,0.17750000,0.19150000,77951306.00000000,77951306.00000000
2022-08-31,0.24150000,0.26000000,0.18490000,0.19950000,0.24150000,0.26000000,0.18490000,0.19950000,93975891.00000000,93975891.00000000
2022-07-31,0.18950000,0.30000000,0.17410000,0.24150000,0.18950000,0.30000000,0.17410000,0.24150000,293498323.00000000,293498323.00000000
2022-06-30,0.22820000,0.23780000,0.15100000,0.18970000,0.22820000,0.23780000,0.15100000,0.18970000,76705762.00000000,76705762.00000000
2022-05-31,0.38480000,0.46000000,0.16850000,0.22830000,0.38480000,0.46000000,0.16850000,0.22830000,111948907.00000000,111948907.00000000
2022-04-30,0.53190000,0.68000000,0.38000000,0.38500000,0.53190000,0.68000000,0.38000000,0.38500000,102901555.00000000,102901555.00000000
2022-03-31,0.37590000,0.79720000,0.35620000,0.53200000,0.37590000,0.79720000,0.35620000,0.53200000,458499306.00000000,458499306.00000000
2022-02-28,0.41060000,0.59810000,0.29790000,0.37610000,0.41060000,0.59810000,0.29790000,0.37610000,69798660.43000001,69798660.43000001
2022-01-31,0.69730000,0.76000000,0.37060000,0.41090000,0.69730000,0.76000000,0.37060000,0.41090000,55469112.41000000,55469112.41000000
2021-12-31,0.85970000,1.19860000,0.60730000,0.69860000,0.85970000,1.19860000,0.60730000,0.69860000,116367393.20999999,116367393.20999999
2021-11-30,0.94060000,1.23360000,0.77090000,0.85910000,0.94060000,1.23360000,0.77090000,0.85910000,97030343.00000000,97030343.00000000
2021-10-31,0.75750000,1.03610000,0.75120000,0.93940000,0.75750000,1.03610000,0.75120000,0.93940000,89346515.00000000,89346515.00000000
2021-09-30,0.98000000,1.33000000,0.69700000,0.75740000,0.98000000,1.33000000,0.69700000,0.75740000,159125318.47000000,159125318.47000000
2021-08-31,0.61100000,1.07920000,0.60110000,0.97930000,0.61100000,1.07920000,0.60110000,0.97930000,141507129.77000001,141507129.77000001
2021-07-31,0.61130000,0.64760000,0.43000000,0.61120000,0.61130000,0.64760000,0.43000000,0.61120000,57505462.32000000,57505462.32000000
2021-06-30,0.92560000,0.98570000,0.44520000,0.61330000,0.92560000,0.98570000,0.44520000,0.61330000,51418096.55000000,51418096.55000000
2021-05-31,1.86930000,2.57830000,0.60100000,0.92720000,1.86930000,2.57830000,0.60100000,0.92720000,170599218.84999996,170599218.84999996
2021-04-30,1.91310000,2.63500000,1.11200000,1.86360000,1.91310000,2.63500000,1.11200000,1.86360000,180250864.96000001,180250864.96000001
2021-03-31,0.74280000,2.30000000,0.72500000,1.91230000,0.74280000,2.30000000,0.72500000,1.91230000,241554276.07999995,241554276.07999995
2021-02-28,0.41330000,1.25000000,0.39720000,0.74280000,0.41330000,1.25000000,0.39720000,0.74280000,165950538.18999997,165950538.18999997
2021-01-31,0.31130000,0.48200000,0.29080000,0.41560000,0.31130000,0.48200000,0.29080000,0.41560000,142826708.16000003,142826708.16000003
2020-12-31,0.35270000,0.46510000,0.28870000,0.31130000,0.35270000,0.46510000,0.28870000,0.31130000,71649703.40000001,71649703.40000001
2020-11-30,0.24480000,0.48700000,0.21400000,0.35290000,0.24480000,0.48700000,0.21400000,0.35290000,53566381.67999998,53566381.67999998
2020-10-31,0.29870000,0.30380000,0.23010000,0.24530000,0.29870000,0.30380000,0.23010000,0.24530000,22184789.66000000,22184789.66000000
2020-09-30,0.38320000,0.58990000,0.22850000,0.29850000,0.38320000,0.58990000,0.22850000,0.29850000,61152509.67000000,61152509.67000000
