timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.88600000,1.91600000,1.77500000,1.81100000,1.88600000,1.91600000,1.77500000,1.81100000,12576187.47000000,12576187.47000000
2023-04-30,2.11200000,2.39000000,1.81000000,1.88500000,2.11200000,2.39000000,1.81000000,1.88500000,72744489.39000000,72744489.39000000
2023-03-31,2.46900000,2.68500000,1.80200000,2.11300000,2.46900000,2.68500000,1.80200000,2.11300000,92972377.59999999,92972377.59999999
2023-02-28,2.47900000,3.38500000,2.19600000,2.46800000,2.47900000,3.38500000,2.19600000,2.46800000,163011963.53999996,163011963.53999996
2023-01-31,1.30800000,2.97600000,1.27000000,2.48000000,1.30800000,2.97600000,1.27000000,2.48000000,243713307.97999999,243713307.97999999
2022-12-31,2.37700000,2.56500000,1.25000000,1.31000000,2.37700000,2.56500000,1.25000000,1.31000000,147729705.63000000,147729705.63000000
2022-11-30,3.42700000,3.76900000,2.03600000,2.37900000,3.42700000,3.76900000,2.03600000,2.37900000,146647573.78999999,146647573.78999999
2022-10-31,3.82000000,3.96400000,3.02000000,3.42600000,3.82000000,3.96400000,3.02000000,3.42600000,79278596.24599998,79278596.24599998
2022-09-30,4.49800000,5.26600000,3.65900000,3.82200000,4.49800000,5.26600000,3.65900000,3.82200000,92769941.91999999,92769941.91999999
2022-08-31,5.66900000,6.66600000,4.30000000,4.49900000,5.66900000,6.66600000,4.30000000,4.49900000,173051542.18000001,173051542.18000001
2022-07-31,5.08000000,6.62300000,4.34000000,5.67000000,5.08000000,6.62300000,4.34000000,5.67000000,184245848.29000002,184245848.29000002
2022-06-30,9.00000000,11.60000000,4.13000000,5.07000000,9.00000000,11.60000000,4.13000000,5.07000000,302511078.07000005,302511078.07000005
2022-05-31,12.68000000,16.98000000,4.13000000,8.99000000,12.68000000,16.98000000,4.13000000,8.99000000,247669236.64999998,247669236.64999998
2022-04-30,54.43000000,58.00000000,12.30000000,12.68000000,54.43000000,58.00000000,12.30000000,12.68000000,132259204.79999998,132259204.79999998
2022-03-31,16.27000000,63.88000000,16.08000000,54.45000000,16.27000000,63.88000000,16.08000000,54.45000000,147775905.28099999,147775905.28099999
2022-02-28,9.14000000,16.54000000,8.20000000,16.29000000,9.14000000,16.54000000,8.20000000,16.29000000,60409993.71000000,60409993.71000000
2022-01-31,14.51000000,16.32000000,7.56000000,9.14000000,14.51000000,16.32000000,7.56000000,9.14000000,32753466.52799999,32753466.52799999
2021-12-31,21.37000000,23.38000000,13.55000000,14.53000000,21.37000000,23.38000000,13.55000000,14.53000000,28627504.12400001,28627504.12400001
2021-11-30,26.44000000,27.50000000,18.06000000,21.37000000,26.44000000,27.50000000,18.06000000,21.37000000,15978490.67800000,15978490.67800000
2021-10-31,24.26000000,34.68000000,23.83000000,26.44000000,24.26000000,34.68000000,23.83000000,26.44000000,21544826.95000000,21544826.95000000
2021-09-30,28.16000000,34.90000000,20.84000000,24.24000000,28.16000000,34.90000000,20.84000000,24.24000000,33614211.18000001,33614211.18000001
2021-08-31,16.58700000,29.32000000,15.48000000,28.13000000,16.58700000,29.32000000,15.48000000,28.13000000,34898007.39900000,34898007.39900000
2021-07-31,16.32200000,17.88000000,11.65100000,16.58700000,16.32200000,17.88000000,11.65100000,16.58700000,35217263.71200000,35217263.71200000
2021-06-30,13.84400000,18.97800000,11.41800000,16.32900000,13.84400000,18.97800000,11.41800000,16.32900000,75621838.57800001,75621838.57800001
2021-05-31,23.26100000,41.86200000,11.68800000,13.84200000,23.26100000,41.86200000,11.68800000,13.84200000,104226319.75799999,104226319.75799999
2021-04-30,11.96770000,24.61500000,11.05000000,23.26100000,11.96770000,24.61500000,11.05000000,23.26100000,101402310.18400002,101402310.18400002
2021-03-31,8.90470000,13.60000000,8.84040000,11.96400000,8.90470000,13.60000000,8.84040000,11.96400000,44739251.05999999,44739251.05999999
2021-02-28,6.54380000,14.20000000,6.39000000,8.90260000,6.54380000,14.20000000,6.39000000,8.90260000,77744343.14000000,77744343.14000000
2021-01-31,6.19390000,8.30390000,4.86000000,6.54380000,6.19390000,8.30390000,4.86000000,6.54380000,86274827.75000000,86274827.75000000
2020-12-31,7.08340000,9.32000000,5.41500000,6.19390000,7.08340000,9.32000000,5.41500000,6.19390000,54431243.51000001,54431243.51000001
2020-11-30,3.23290000,8.73000000,3.04170000,7.08410000,3.23290000,8.73000000,3.04170000,7.08410000,79458148.60000001,79458148.60000001
2020-10-31,2.57340000,3.59980000,2.06490000,3.23290000,2.57340000,3.59980000,2.06490000,3.23290000,69124969.63000000,69124969.63000000
2020-09-30,3.59540000,3.87860000,2.00000000,2.57340000,3.59540000,3.87860000,2.00000000,2.57340000,75263375.36000000,75263375.36000000
