timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.03630000,0.03720000,0.03460000,0.03530000,0.03630000,0.03720000,0.03460000,0.03530000,148746752.00000000,148746752.00000000
2023-04-30,0.03980000,0.04470000,0.03490000,0.03630000,0.03980000,0.04470000,0.03490000,0.03630000,1002376007.00000000,1002376007.00000000
2023-03-31,0.05340000,0.05590000,0.03160000,0.03990000,0.05340000,0.05590000,0.03160000,0.03990000,2043131089.00000000,2043131089.00000000
2023-02-28,0.03700000,0.07720000,0.03530000,0.05340000,0.03700000,0.07720000,0.03530000,0.05340000,2109055881.00000000,2109055881.00000000
2023-01-31,0.02860000,0.04100000,0.02820000,0.03700000,0.02860000,0.04100000,0.02820000,0.03700000,657559610.00000000,657559610.00000000
2022-12-31,0.03300000,0.03470000,0.02730000,0.02850000,0.03300000,0.03470000,0.02730000,0.02850000,456276678.00000000,456276678.00000000
2022-11-30,0.03900000,0.04220000,0.02800000,0.03300000,0.03900000,0.04220000,0.02800000,0.03300000,692313174.00000000,692313174.00000000
2022-10-31,0.04080000,0.04230000,0.03570000,0.03910000,0.04080000,0.04230000,0.03570000,0.03910000,259365991.00000000,259365991.00000000
2022-09-30,0.04400000,0.04870000,0.03830000,0.04070000,0.04400000,0.04870000,0.03830000,0.04070000,580972800.00000000,580972800.00000000
2022-08-31,0.04940000,0.06260000,0.04240000,0.04400000,0.04940000,0.06260000,0.04240000,0.04400000,701754371.00000000,701754371.00000000
2022-07-31,0.03840000,0.06840000,0.03610000,0.04940000,0.03840000,0.06840000,0.03610000,0.04940000,2363866243.00000000,2363866243.00000000
2022-06-30,0.05320000,0.05620000,0.03530000,0.03850000,0.05320000,0.05620000,0.03530000,0.03850000,667667395.00000000,667667395.00000000
2022-05-31,0.08850000,0.09760000,0.03680000,0.05320000,0.08850000,0.09760000,0.03680000,0.05320000,1888785893.51999998,1888785893.51999998
2022-04-30,0.11850000,0.12620000,0.08340000,0.08840000,0.11850000,0.12620000,0.08340000,0.08840000,877224219.00000000,877224219.00000000
2022-03-31,0.10840000,0.12770000,0.09050000,0.11840000,0.10840000,0.12770000,0.09050000,0.11840000,854600546.00000000,854600546.00000000
2022-02-28,0.10220000,0.12430000,0.08480000,0.10840000,0.10220000,0.12430000,0.08480000,0.10840000,664011756.52999997,664011756.52999997
2022-01-31,0.12300000,0.14250000,0.08680000,0.10230000,0.12300000,0.14250000,0.08680000,0.10230000,745060303.67999995,745060303.67999995
2021-12-31,0.17180000,0.17490000,0.10420000,0.12290000,0.17180000,0.17490000,0.10420000,0.12290000,843596598.38000000,843596598.38000000
2021-11-30,0.19240000,0.23940000,0.15350000,0.17190000,0.19240000,0.23940000,0.15350000,0.17190000,2109813982.00000000,2109813982.00000000
2021-10-31,0.14670000,0.19510000,0.14400000,0.19230000,0.14670000,0.19510000,0.14400000,0.19230000,1560544309.00000000,1560544309.00000000
2021-09-30,0.19230000,0.24360000,0.13310000,0.14670000,0.19230000,0.24360000,0.13310000,0.14670000,1572168983.85000014,1572168983.85000014
2021-08-31,0.17610000,0.22940000,0.15730000,0.19230000,0.17610000,0.22940000,0.15730000,0.19230000,1837536206.96999955,1837536206.96999955
2021-07-31,0.13480000,0.17900000,0.10740000,0.17610000,0.13480000,0.17900000,0.10740000,0.17610000,3388707728.93000031,3388707728.93000031
2021-06-30,0.19520000,0.20700000,0.08520000,0.13480000,0.19520000,0.20700000,0.08520000,0.13480000,2081718736.88999987,2081718736.88999987
2021-05-31,0.35230000,0.43130000,0.13550000,0.19510000,0.35230000,0.43130000,0.13550000,0.19510000,4651995379.75999928,4651995379.75999928
2021-04-30,0.36840000,0.52680000,0.22470000,0.35260000,0.36840000,0.52680000,0.22470000,0.35260000,6070640394.67999840,6070640394.67999840
2021-03-31,0.60950000,0.86450000,0.31070000,0.36880000,0.60950000,0.86450000,0.31070000,0.36880000,7734416563.65000057,7734416563.65000057
2021-02-28,0.23610000,0.76800000,0.23020000,0.60950000,0.23610000,0.76800000,0.23020000,0.60950000,3254197389.12000084,3254197389.12000084
2021-01-31,0.20560000,0.29400000,0.18000000,0.23580000,0.20560000,0.29400000,0.18000000,0.23580000,2009260579.78999972,2009260579.78999972
2020-12-31,0.18930000,0.32000000,0.17000000,0.20570000,0.18930000,0.32000000,0.17000000,0.20570000,1179121985.17999959,1179121985.17999959
