timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.09440000,0.09470000,0.09150000,0.09230000,0.09440000,0.09470000,0.09150000,0.09230000,180055822.00000000,180055822.00000000
2023-04-30,0.11210000,0.11460000,0.09000000,0.09440000,0.11210000,0.11460000,0.09000000,0.09440000,1466743532.00000000,1466743532.00000000
2023-03-31,0.08720000,0.11300000,0.07440000,0.11220000,0.08720000,0.11300000,0.07440000,0.11220000,2734759495.00000000,2734759495.00000000
2023-02-28,0.09070000,0.09810000,0.08170000,0.08710000,0.09070000,0.09810000,0.08170000,0.08710000,1719882260.00000000,1719882260.00000000
2023-01-31,0.07110000,0.09620000,0.07060000,0.09060000,0.07110000,0.09620000,0.07060000,0.09060000,1763428771.00000000,1763428771.00000000
2022-12-31,0.08990000,0.09010000,0.07020000,0.07100000,0.08990000,0.09010000,0.07020000,0.07100000,1212452907.59999990,1212452907.59999990
2022-11-30,0.11120000,0.11660000,0.07900000,0.08990000,0.11120000,0.11660000,0.07900000,0.08990000,2414218314.00000000,2414218314.00000000
2022-10-31,0.11460000,0.12970000,0.10680000,0.11130000,0.11460000,0.12970000,0.10680000,0.11130000,2392119494.00000000,2392119494.00000000
2022-09-30,0.10440000,0.13300000,0.09830000,0.11460000,0.10440000,0.13300000,0.09830000,0.11460000,2707374454.00000000,2707374454.00000000
2022-08-31,0.11760000,0.13870000,0.10040000,0.10430000,0.11760000,0.13870000,0.10040000,0.10430000,1807736324.00000000,1807736324.00000000
2022-07-31,0.11230000,0.12530000,0.09900000,0.11760000,0.11230000,0.12530000,0.09900000,0.11760000,2104202692.00000000,2104202692.00000000
2022-06-30,0.15050000,0.15100000,0.10010000,0.11230000,0.15050000,0.15100000,0.10010000,0.11230000,2791663306.00000000,2791663306.00000000
2022-05-31,0.16880000,0.18770000,0.10420000,0.15070000,0.16880000,0.18770000,0.10420000,0.15070000,2734524449.80000019,2734524449.80000019
2022-04-30,0.22820000,0.24040000,0.16670000,0.16890000,0.22820000,0.24040000,0.16670000,0.16890000,2011302097.00000000,2011302097.00000000
2022-03-31,0.19750000,0.24170000,0.16650000,0.22830000,0.19750000,0.24170000,0.16650000,0.22830000,2635904075.00000000,2635904075.00000000
2022-02-28,0.19950000,0.25710000,0.16170000,0.19750000,0.19950000,0.25710000,0.16170000,0.19750000,2498628578.80000019,2498628578.80000019
2022-01-31,0.26650000,0.29760000,0.16760000,0.19960000,0.26650000,0.29760000,0.16760000,0.19960000,3160875257.10000038,3160875257.10000038
2021-12-31,0.33590000,0.36490000,0.22360000,0.26650000,0.33590000,0.36490000,0.22360000,0.26650000,4439179936.10000038,4439179936.10000038
2021-11-30,0.37250000,0.44120000,0.30000000,0.33580000,0.37250000,0.44120000,0.30000000,0.33580000,4541077712.60000038,4541077712.60000038
2021-10-31,0.27880000,0.42070000,0.27530000,0.37250000,0.27880000,0.42070000,0.27530000,0.37250000,6235181360.00000000,6235181360.00000000
2021-09-30,0.33930000,0.43200000,0.25480000,0.27870000,0.33930000,0.43200000,0.25480000,0.27870000,4592269113.00000000,4592269113.00000000
2021-08-31,0.28461000,0.41000000,0.26407000,0.33930000,0.28461000,0.41000000,0.26407000,0.33930000,4794504816.09999943,4794504816.09999943
2021-07-31,0.28393000,0.28975000,0.19853000,0.28422000,0.28393000,0.28975000,0.19853000,0.28422000,3819512699.10000038,3819512699.10000038
2021-06-30,0.40267000,0.44994000,0.19877000,0.28389000,0.40267000,0.44994000,0.19877000,0.28389000,5217032063.90000057,5217032063.90000057
2021-05-31,0.52966000,0.79850000,0.27335000,0.40243000,0.52966000,0.79850000,0.27335000,0.40243000,14913480438.59999657,14913480438.59999657
2021-04-30,0.40578000,0.69100000,0.35823000,0.52966000,0.40578000,0.69100000,0.35823000,0.52966000,13049142758.10000038,13049142758.10000038
2021-03-31,0.40541000,0.45000000,0.34102000,0.40560000,0.40541000,0.45000000,0.34102000,0.40560000,6234547850.09999943,6234547850.09999943
2021-02-28,0.30704000,0.60692000,0.29236000,0.40587000,0.30704000,0.60692000,0.29236000,0.40587000,13375143757.39999771,13375143757.39999771
2021-01-31,0.12759000,0.41194000,0.12400000,0.30704000,0.12759000,0.41194000,0.12400000,0.30704000,21346223137.40999603,21346223137.40999603
2020-12-31,0.20283000,0.20878000,0.11056000,0.12762000,0.20283000,0.20878000,0.11056000,0.12762000,11340170888.49999809,11340170888.49999809
2020-11-30,0.07770000,0.23179000,0.07258000,0.20295000,0.07770000,0.23179000,0.07258000,0.20295000,13084802707.00000572,13084802707.00000572
2020-10-31,0.07492000,0.08790000,0.06861000,0.07775000,0.07492000,0.08790000,0.06861000,0.07775000,3244323162.99999905,3244323162.99999905
2020-09-30,0.09679000,0.10096000,0.06671000,0.07484000,0.09679000,0.10096000,0.06671000,0.07484000,3647448889.50000000,3647448889.50000000
