timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.47050000,0.47240000,0.44570000,0.44920000,0.47050000,0.47240000,0.44570000,0.44920000,1823197368.00000000,1823197368.00000000
2023-04-30,0.53750000,0.54650000,0.43290000,0.47050000,0.53750000,0.54650000,0.43290000,0.47050000,10105274309.00000000,10105274309.00000000
2023-03-31,0.37620000,0.58500000,0.34730000,0.53740000,0.37620000,0.58500000,0.34730000,0.53740000,18686578311.00000000,18686578311.00000000
2023-02-28,0.40580000,0.42040000,0.36120000,0.37620000,0.40580000,0.42040000,0.36120000,0.37620000,8913966629.00000000,8913966629.00000000
2023-01-31,0.33890000,0.43300000,0.30000000,0.40570000,0.33890000,0.43300000,0.30000000,0.40570000,11667103084.00000000,11667103084.00000000
2022-12-31,0.40780000,0.40930000,0.33200000,0.33890000,0.40780000,0.40930000,0.33200000,0.33890000,7942729264.00000000,7942729264.00000000
2022-11-30,0.46400000,0.51000000,0.31600000,0.40780000,0.46400000,0.51000000,0.31600000,0.40780000,12373171589.00000000,12373171589.00000000
2022-10-31,0.47990000,0.54900000,0.42240000,0.46410000,0.47990000,0.54900000,0.42240000,0.46410000,10804925490.00000000,10804925490.00000000
2022-09-30,0.32760000,0.55900000,0.31200000,0.47990000,0.32760000,0.55900000,0.31200000,0.47990000,15755336388.00000000,15755336388.00000000
2022-08-31,0.37910000,0.39460000,0.31860000,0.32770000,0.37910000,0.39460000,0.31860000,0.32770000,6634341713.00000000,6634341713.00000000
2022-07-31,0.33200000,0.40990000,0.30200000,0.37920000,0.33200000,0.40990000,0.30200000,0.37920000,8609684001.00000000,8609684001.00000000
2022-06-30,0.42170000,0.42660000,0.28720000,0.33210000,0.42170000,0.42660000,0.28720000,0.33210000,12126791937.77999878,12126791937.77999878
2022-05-31,0.58450000,0.65720000,0.33610000,0.42170000,0.58450000,0.65720000,0.33610000,0.42170000,14481678531.18000031,14481678531.18000031
2022-04-30,0.81490000,0.85190000,0.56630000,0.58450000,0.81490000,0.85190000,0.56630000,0.58450000,7305278192.00000000,7305278192.00000000
2022-03-31,0.78090000,0.93000000,0.69420000,0.81480000,0.78090000,0.93000000,0.69420000,0.81480000,9995160875.00000000,9995160875.00000000
2022-02-28,0.61740000,0.91680000,0.58860000,0.78090000,0.61740000,0.91680000,0.58860000,0.78090000,12608448069.00000000,12608448069.00000000
2022-01-31,0.82980000,0.86670000,0.54890000,0.61740000,0.82980000,0.86670000,0.54890000,0.61740000,8499112851.11999989,8499112851.11999989
2021-12-31,0.99840000,1.01730000,0.60000000,0.82970000,0.99840000,1.01730000,0.60000000,0.82970000,11712123003.04000092,11712123003.04000092
2021-11-30,1.11280000,1.34930000,0.88250000,0.99830000,1.11280000,1.34930000,0.88250000,0.99830000,12427758072.00000000,12427758072.00000000
2021-10-31,0.95350000,1.23000000,0.94430000,1.11280000,0.95350000,1.23000000,0.94430000,1.11280000,13569693703.71999931,13569693703.71999931
2021-09-30,1.18560000,1.41510000,0.85820000,0.95330000,1.18560000,1.41510000,0.85820000,0.95330000,14520312246.24999809,14520312246.24999809
2021-08-31,0.74610000,1.35000000,0.69520000,1.18560000,0.74610000,1.35000000,0.69520000,1.18560000,19146044440.36999893,19146044440.36999893
2021-07-31,0.70620000,0.76970000,0.51570000,0.74600000,0.70620000,0.76970000,0.51570000,0.74600000,12413298052.89999962,12413298052.89999962
2021-06-30,1.04090000,1.10000000,0.50900000,0.70630000,1.04090000,1.10000000,0.50900000,0.70630000,19414283343.75999451,19414283343.75999451
2021-05-31,1.59890000,1.76580000,0.65000000,1.04090000,1.59890000,1.76580000,0.65000000,1.04090000,39720655579.16999817,39720655579.16999817
2021-04-30,0.56980000,1.96689000,0.54864000,1.59880000,0.56980000,1.96689000,0.54864000,1.59880000,49139441419.80001068,49139441419.80001068
2021-03-31,0.41570000,0.60000000,0.41207000,0.56982000,0.41570000,0.60000000,0.41207000,0.56982000,21854419908.30000687,21854419908.30000687
2021-02-28,0.49516000,0.75500000,0.34010000,0.41565000,0.49516000,0.75500000,0.34010000,0.41565000,45088596364.49999237,45088596364.49999237
2021-01-31,0.21953000,0.51780000,0.21084000,0.49507000,0.21953000,0.51780000,0.21084000,0.49507000,43038772933.00000763,43038772933.00000763
2020-12-31,0.66378000,0.68100000,0.17351000,0.21959000,0.66378000,0.68100000,0.17351000,0.21959000,41486760832.79998779,41486760832.79998779
2020-11-30,0.23960000,0.78068000,0.22772000,0.66417000,0.23960000,0.78068000,0.22772000,0.66417000,21961294136.79999161,21961294136.79999161
2020-10-31,0.24172000,0.26357000,0.22829000,0.23968000,0.24172000,0.26357000,0.22829000,0.23968000,4889380538.09999943,4889380538.09999943
2020-09-30,0.28115000,0.30400000,0.21944000,0.24171000,0.28115000,0.30400000,0.21944000,0.24171000,5247413190.89999866,5247413190.89999866
