timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.00000000,1.03100000,0.95700000,0.96900000,1.00000000,1.03100000,0.95700000,0.96900000,10923753.40000000,10923753.40000000
2023-04-30,1.11800000,1.19000000,0.95800000,0.99900000,1.11800000,1.19000000,0.95800000,0.99900000,79395456.09999998,79395456.09999998
2023-03-31,1.13700000,1.26800000,0.95200000,1.11900000,1.13700000,1.26800000,0.95200000,1.11900000,106063888.60000001,106063888.60000001
2023-02-28,1.05800000,1.49000000,1.00300000,1.13700000,1.05800000,1.49000000,1.00300000,1.13700000,135987993.50000000,135987993.50000000
2023-01-31,0.71600000,1.18700000,0.70500000,1.05800000,0.71600000,1.18700000,0.70500000,1.05800000,104518735.50000001,104518735.50000001
2022-12-31,1.01900000,1.04000000,0.69900000,0.71600000,1.01900000,1.04000000,0.69900000,0.71600000,62652355.30000000,62652355.30000000
2022-11-30,1.42600000,1.47800000,0.91200000,1.01900000,1.42600000,1.47800000,0.91200000,1.01900000,102653541.59999999,102653541.59999999
2022-10-31,1.42400000,1.49400000,1.25900000,1.42600000,1.42400000,1.49400000,1.25900000,1.42600000,55306672.49999999,55306672.49999999
2022-09-30,1.50900000,1.75700000,1.38300000,1.42300000,1.50900000,1.75700000,1.38300000,1.42300000,82452514.90000001,82452514.90000001
2022-08-31,1.73800000,2.03800000,1.41800000,1.51000000,1.73800000,2.03800000,1.41800000,1.51000000,80265575.20000002,80265575.20000002
2022-07-31,1.42700000,1.86200000,1.33000000,1.73900000,1.42700000,1.86200000,1.33000000,1.73900000,144574062.80000001,144574062.80000001
2022-06-30,2.09200000,2.36800000,1.19500000,1.42600000,2.09200000,2.36800000,1.19500000,1.42600000,208141987.02000001,208141987.02000001
2022-05-31,2.53400000,2.88000000,1.45100000,2.09100000,2.53400000,2.88000000,1.45100000,2.09100000,224079770.30999997,224079770.30999997
2022-04-30,3.72200000,4.13300000,2.42900000,2.53400000,3.72200000,4.13300000,2.42900000,2.53400000,96659618.52000001,96659618.52000001
2022-03-31,3.53500000,4.02500000,2.83900000,3.72200000,3.53500000,4.02500000,2.83900000,3.72200000,110724717.30000004,110724717.30000004
2022-02-28,3.48800000,4.60600000,2.56000000,3.53500000,3.48800000,4.60600000,2.56000000,3.53500000,188967532.09999999,188967532.09999999
2022-01-31,4.34100000,5.36500000,2.53900000,3.48800000,4.34100000,5.36500000,2.53900000,3.48800000,184749979.37999997,184749979.37999997
2021-12-31,5.48700000,6.19000000,3.22600000,4.34000000,5.48700000,6.19000000,3.22600000,4.34000000,300059649.68999994,300059649.68999994
2021-11-30,6.34900000,6.86000000,4.26300000,5.47900000,6.34900000,6.86000000,4.26300000,5.47900000,192494634.19999999,192494634.19999999
2021-10-31,6.07200000,9.17100000,5.55000000,6.35200000,6.07200000,9.17100000,5.55000000,6.35200000,360012295.58000004,360012295.58000004
2021-09-30,5.16000000,8.03100000,3.88400000,6.07300000,5.16000000,8.03100000,3.88400000,6.07300000,652605748.98999977,652605748.98999977
2021-08-31,3.03620000,6.14300000,2.88620000,5.16400000,3.03620000,6.14300000,2.88620000,5.16400000,388312512.23000002,388312512.23000002
2021-07-31,3.04640000,3.11740000,2.09890000,3.03550000,3.04640000,3.11740000,2.09890000,3.03550000,126824629.20999999,126824629.20999999
2021-06-30,3.60500000,4.13870000,2.11750000,3.04320000,3.60500000,4.13870000,2.11750000,3.04320000,188149711.66000000,188149711.66000000
2021-05-31,5.61000000,8.42000000,2.42960000,3.60600000,5.61000000,8.42000000,2.42960000,3.60600000,449507275.44000006,449507275.44000006
2021-04-30,4.82620000,7.67450000,4.00000000,5.61080000,4.82620000,7.67450000,4.00000000,5.61080000,357321874.30000007,357321874.30000007
2021-03-31,3.42560000,4.88830000,3.38890000,4.82710000,3.42560000,4.88830000,3.38890000,4.82710000,230829706.68000001,230829706.68000001
2021-02-28,2.84400000,5.64710000,2.75500000,3.42570000,2.84400000,5.64710000,2.75500000,3.42570000,435170854.01999992,435170854.01999992
2021-01-31,2.01020000,3.39900000,1.94230000,2.84440000,2.01020000,3.39900000,1.94230000,2.84440000,390997553.90000004,390997553.90000004
2020-12-31,2.49210000,2.55260000,1.57080000,2.01070000,2.49210000,2.55260000,1.57080000,2.01070000,141911399.93000001,141911399.93000001
2020-11-30,1.97500000,2.96470000,1.78120000,2.49140000,1.97500000,2.96470000,1.78120000,2.49140000,247486524.35999998,247486524.35999998
2020-10-31,2.19870000,2.45500000,1.79410000,1.97700000,2.19870000,2.45500000,1.79410000,1.97700000,109281302.07999998,109281302.07999998
2020-09-30,3.24320000,3.51950000,1.91170000,2.20040000,3.24320000,3.51950000,1.91170000,2.20040000,179748653.30999997,179748653.30999997
