timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00227000,0.00230800,0.00204000,0.00205300,0.00227000,0.00230800,0.00204000,0.00205300,1057012276.00000000,1057012276.00000000
2023-04-30,0.00274400,0.00294300,0.00219600,0.00227000,0.00274400,0.00294300,0.00219600,0.00227000,8906930239.00000000,8906930239.00000000
2023-03-31,0.00327000,0.00338700,0.00239900,0.00274400,0.00327000,0.00338700,0.00239900,0.00274400,3212974235.00000000,3212974235.00000000
2023-02-28,0.00310000,0.00398000,0.00291800,0.00327500,0.00310000,0.00398000,0.00291800,0.00327500,6075460958.00000000,6075460958.00000000
2023-01-31,0.00267000,0.00337000,0.00264000,0.00310000,0.00267000,0.00337000,0.00264000,0.00310000,4962478591.00000000,4962478591.00000000
2022-12-31,0.00254000,0.00323000,0.00242000,0.00267000,0.00254000,0.00323000,0.00242000,0.00267000,5638163160.00000000,5638163160.00000000
2022-11-30,0.00315000,0.00348000,0.00175000,0.00253000,0.00315000,0.00348000,0.00175000,0.00253000,8347705487.00000000,8347705487.00000000
2022-10-31,0.00329000,0.00360000,0.00293000,0.00317000,0.00329000,0.00360000,0.00293000,0.00317000,4122924099.00000000,4122924099.00000000
2022-09-30,0.00334000,0.00452000,0.00291000,0.00328000,0.00334000,0.00452000,0.00291000,0.00328000,8717571499.00000000,8717571499.00000000
2022-08-31,0.00371000,0.00459000,0.00281000,0.00335000,0.00371000,0.00459000,0.00281000,0.00335000,8278508312.00000000,8278508312.00000000
2022-07-31,0.00280000,0.00400000,0.00268000,0.00371000,0.00280000,0.00400000,0.00268000,0.00371000,6059231371.00000000,6059231371.00000000
2022-06-30,0.00533000,0.00538000,0.00246000,0.00280000,0.00533000,0.00538000,0.00246000,0.00280000,8865172172.00000000,8865172172.00000000
2022-05-31,0.00822000,0.00914000,0.00359000,0.00532000,0.00822000,0.00914000,0.00359000,0.00532000,5007499207.00000000,5007499207.00000000
2022-04-30,0.01339000,0.01600000,0.00821000,0.00823000,0.01339000,0.01600000,0.00821000,0.00823000,3832279070.00000000,3832279070.00000000
2022-03-31,0.01037000,0.01677000,0.00863000,0.01339000,0.01037000,0.01677000,0.00863000,0.01339000,9453530330.00000000,9453530330.00000000
2022-02-28,0.01024000,0.01344000,0.00777000,0.01037000,0.01024000,0.01344000,0.00777000,0.01037000,3893639106.00000000,3893639106.00000000
2022-01-31,0.01704000,0.01850000,0.00800000,0.01022000,0.01704000,0.01850000,0.00800000,0.01022000,4229467575.00000000,4229467575.00000000
2021-12-31,0.02368000,0.02589000,0.01555000,0.01703000,0.02368000,0.02589000,0.01555000,0.01703000,4858251817.00000000,4858251817.00000000
2021-11-30,0.02422000,0.03739000,0.02200000,0.02367000,0.02422000,0.03739000,0.02200000,0.02367000,11999570267.00000000,11999570267.00000000
2021-10-31,0.01958000,0.02823000,0.01929000,0.02421000,0.01958000,0.02823000,0.01929000,0.02421000,7387439432.00000000,7387439432.00000000
2021-09-30,0.02661000,0.03259000,0.01793000,0.01960000,0.02661000,0.03259000,0.01793000,0.01960000,10067510789.00000000,10067510789.00000000
2021-08-31,0.02170000,0.03783000,0.02155000,0.02663000,0.02170000,0.03783000,0.02155000,0.02663000,12009325377.00000000,12009325377.00000000
2021-07-31,0.02305000,0.02433000,0.01581000,0.02173000,0.02305000,0.02433000,0.01581000,0.02173000,4982688175.00000000,4982688175.00000000
