timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.02803000,0.02818000,0.02587000,0.02607000,0.02803000,0.02818000,0.02587000,0.02607000,986375590.89999986,986375590.89999986
2023-04-30,0.02915000,0.03620000,0.02725000,0.02803000,0.02915000,0.03620000,0.02725000,0.02803000,14325082431.29999924,14325082431.29999924
2023-03-31,0.03117000,0.03233000,0.02128000,0.02914000,0.03117000,0.03233000,0.02128000,0.02914000,6938488904.60000038,6938488904.60000038
2023-02-28,0.02693000,0.03696000,0.02616000,0.03118000,0.02693000,0.03696000,0.02616000,0.03118000,13264553693.00000191,13264553693.00000191
2023-01-31,0.01583000,0.03169000,0.01569000,0.02694000,0.01583000,0.03169000,0.01569000,0.02694000,16303589632.70000267,16303589632.70000267
2022-12-31,0.02288000,0.02359000,0.01527000,0.01583000,0.02288000,0.02359000,0.01527000,0.01583000,3213077525.89999914,3213077525.89999914
2022-11-30,0.03093000,0.03420000,0.01942000,0.02287000,0.03093000,0.03420000,0.01942000,0.02287000,8872543677.90000153,8872543677.90000153
2022-10-31,0.03119000,0.03700000,0.02776000,0.03093000,0.03119000,0.03700000,0.02776000,0.03093000,6722051452.80000114,6722051452.80000114
2022-09-30,0.03620000,0.03846000,0.03031000,0.03120000,0.03620000,0.03846000,0.03031000,0.03120000,6059746482.00000000,6059746482.00000000
2022-08-31,0.04266000,0.04971000,0.03488000,0.03621000,0.04266000,0.04971000,0.03488000,0.03621000,10237083978.89999771,10237083978.89999771
2022-07-31,0.03874000,0.04755000,0.03415000,0.04263000,0.03874000,0.04755000,0.03415000,0.04263000,12433524633.20000076,12433524633.20000076
2022-06-30,0.05486000,0.05626000,0.02937000,0.03874000,0.05486000,0.05626000,0.02937000,0.03874000,18506400482.09999847,18506400482.09999847
2022-05-31,0.07200000,0.09855000,0.03999000,0.05487000,0.07200000,0.09855000,0.03999000,0.05487000,38880299182.60001373,38880299182.60001373
2022-04-30,0.17958000,0.23070000,0.06892000,0.07201000,0.17958000,0.23070000,0.06892000,0.07201000,45617049820.50000000,45617049820.50000000
2022-03-31,0.04320000,0.22153000,0.03655000,0.17958000,0.04320000,0.22153000,0.03655000,0.17958000,34951702373.30001068,34951702373.30001068
2022-02-28,0.04488000,0.05901000,0.03317000,0.04320000,0.04488000,0.05901000,0.03317000,0.04320000,4809258560.00000000,4809258560.00000000
2022-01-31,0.07468000,0.07795000,0.03758000,0.04487000,0.07468000,0.07795000,0.03758000,0.04487000,5988101650.40000057,5988101650.40000057
2021-12-31,0.08753000,0.09000000,0.05264000,0.07471000,0.08753000,0.09000000,0.05264000,0.07471000,7307200597.90000153,7307200597.90000153
2021-11-30,0.11245000,0.11667000,0.07701000,0.08745000,0.11245000,0.11667000,0.07701000,0.08745000,6359294170.30000210,6359294170.30000210
2021-10-31,0.08579000,0.12500000,0.08414000,0.11233000,0.08579000,0.12500000,0.08414000,0.11233000,7643371639.30000019,7643371639.30000019
2021-09-30,0.10803000,0.13661000,0.07465000,0.08577000,0.10803000,0.13661000,0.07465000,0.08577000,7731058485.39999866,7731058485.39999866
2021-08-31,0.08372000,0.12438000,0.07670000,0.10800000,0.08372000,0.12438000,0.07670000,0.10800000,7588806728.50000000,7588806728.50000000
2021-07-31,0.08791000,0.08804000,0.05070000,0.08365000,0.08791000,0.08804000,0.05070000,0.08365000,5788469470.70000076,5788469470.70000076
2021-06-30,0.11584000,0.15482000,0.05970000,0.08791000,0.11584000,0.15482000,0.05970000,0.08791000,8684950409.59999847,8684950409.59999847
2021-05-31,0.20509000,0.25691000,0.06082000,0.11584000,0.20509000,0.25691000,0.06082000,0.11584000,11419511789.79999924,11419511789.79999924
2021-04-30,0.17646000,0.25477000,0.11750000,0.20508000,0.17646000,0.25477000,0.11750000,0.20508000,9773696801.09999847,9773696801.09999847
2021-03-31,0.10768000,0.20300000,0.10650000,0.17646000,0.10768000,0.20300000,0.10650000,0.17646000,11523161176.50000000,11523161176.50000000
2021-02-28,0.06911000,0.16111000,0.06690000,0.10752000,0.06911000,0.16111000,0.06690000,0.10752000,12380104538.20000267,12380104538.20000267
2021-01-31,0.08257000,0.08900000,0.05131000,0.06918000,0.08257000,0.08900000,0.05131000,0.06918000,14040073847.30000305,14040073847.30000305
2020-12-31,0.02934000,0.09980000,0.02647000,0.08257000,0.02934000,0.09980000,0.02647000,0.08257000,22141545779.90000534,22141545779.90000534
2020-11-30,0.01772000,0.03681000,0.01660000,0.02933000,0.01772000,0.03681000,0.01660000,0.02933000,9280877899.80000114,9280877899.80000114
2020-10-31,0.01955000,0.02175000,0.01631000,0.01773000,0.01955000,0.02175000,0.01631000,0.01773000,7709980320.79999924,7709980320.79999924
2020-09-30,0.02243000,0.02331000,0.01268000,0.01955000,0.02243000,0.02331000,0.01268000,0.01955000,9080019532.60000229,9080019532.60000229
