timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.25620000,0.25730000,0.23610000,0.23820000,0.25620000,0.25730000,0.23610000,0.23820000,19320645.00000000,19320645.00000000
2023-04-30,0.29530000,0.39090000,0.24400000,0.25600000,0.29530000,0.39090000,0.24400000,0.25600000,680354611.00000000,680354611.00000000
2023-03-31,0.25460000,0.32390000,0.18750000,0.29520000,0.25460000,0.32390000,0.18750000,0.29520000,376373234.00000000,376373234.00000000
2023-02-28,0.21660000,0.33000000,0.20750000,0.25450000,0.21660000,0.33000000,0.20750000,0.25450000,293124077.00000000,293124077.00000000
2023-01-31,0.14790000,0.26360000,0.14760000,0.21660000,0.14790000,0.26360000,0.14760000,0.21660000,236894089.00000000,236894089.00000000
2022-12-31,0.19870000,0.20330000,0.14540000,0.14790000,0.19870000,0.20330000,0.14540000,0.14790000,124281081.00000000,124281081.00000000
2022-11-30,0.25460000,0.28690000,0.16000000,0.19870000,0.25460000,0.28690000,0.16000000,0.19870000,264943378.69999999,264943378.69999999
2022-10-31,0.26730000,0.27730000,0.22690000,0.25460000,0.26730000,0.27730000,0.22690000,0.25460000,105097364.00000000,105097364.00000000
2022-09-30,0.29820000,0.33210000,0.25440000,0.26730000,0.29820000,0.33210000,0.25440000,0.26730000,116717223.00000000,116717223.00000000
2022-08-31,0.38810000,0.41270000,0.28460000,0.29830000,0.38810000,0.41270000,0.28460000,0.29830000,194269830.00000000,194269830.00000000
2022-07-31,0.32890000,0.41840000,0.25750000,0.38820000,0.32890000,0.41840000,0.25750000,0.38820000,295627295.00000000,295627295.00000000
2022-06-30,0.42100000,0.45310000,0.22290000,0.32870000,0.42100000,0.45310000,0.22290000,0.32870000,364664777.38000000,364664777.38000000
2022-05-31,0.75330000,0.82790000,0.29650000,0.42080000,0.75330000,0.82790000,0.29650000,0.42080000,521726444.25999999,521726444.25999999
2022-04-30,0.77370000,1.18380000,0.65260000,0.75380000,0.77370000,1.18380000,0.65260000,0.75380000,759233680.00000000,759233680.00000000
2022-03-31,0.57470000,0.85470000,0.45950000,0.77350000,0.57470000,0.85470000,0.45950000,0.77350000,292934675.00000000,292934675.00000000
2022-02-28,0.56690000,0.72580000,0.45000000,0.57500000,0.56690000,0.72580000,0.45000000,0.57500000,141505029.00000000,141505029.00000000
2022-01-31,0.80400000,0.99050000,0.44810000,0.56690000,0.80400000,0.99050000,0.44810000,0.56690000,173994699.94999999,173994699.94999999
2021-12-31,1.18130000,1.18880000,0.70470000,0.80420000,1.18130000,1.18880000,0.70470000,0.80420000,128078734.33000000,128078734.33000000
2021-11-30,1.18820000,1.46000000,1.03640000,1.17950000,1.18820000,1.46000000,1.03640000,1.17950000,326348469.00000000,326348469.00000000
2021-10-31,0.91580000,1.69000000,0.88350000,1.18750000,0.91580000,1.69000000,0.88350000,1.18750000,316825616.19000000,316825616.19000000
2021-09-30,1.06380000,1.31770000,0.81000000,0.91580000,1.06380000,1.31770000,0.81000000,0.91580000,257884392.00000000,257884392.00000000
2021-08-31,0.81930000,1.18870000,0.75380000,1.06360000,0.81930000,1.18870000,0.75380000,1.06360000,273994771.66000003,273994771.66000003
2021-07-31,0.74320000,0.90500000,0.52350000,0.81920000,0.74320000,0.90500000,0.52350000,0.81920000,240455274.57999998,240455274.57999998
2021-06-30,1.01990000,1.25470000,0.49790000,0.74250000,1.01990000,1.25470000,0.49790000,0.74250000,215527897.09000000,215527897.09000000
2021-05-31,1.80270000,2.22600000,0.62300000,1.02010000,1.80270000,2.22600000,0.62300000,1.02010000,444498292.92999989,444498292.92999989
2021-04-30,1.88220000,2.40000000,1.24280000,1.80270000,1.88220000,2.40000000,1.24280000,1.80270000,458722891.02999985,458722891.02999985
2021-03-31,1.20970000,2.00610000,1.20110000,1.88180000,1.20970000,2.00610000,1.20110000,1.88180000,424968196.32999992,424968196.32999992
2021-02-28,0.70640000,2.03600000,0.64260000,1.21150000,0.70640000,2.03600000,0.64260000,1.21150000,1077250148.62999988,1077250148.62999988
2021-01-31,0.35500000,0.80000000,0.35090000,0.70640000,0.35500000,0.80000000,0.35090000,0.70640000,700866398.03999984,700866398.03999984
2020-12-31,0.42940000,0.44830000,0.31000000,0.35480000,0.42940000,0.44830000,0.31000000,0.35480000,194177638.60999995,194177638.60999995
2020-11-30,0.32140000,0.52850000,0.30570000,0.42920000,0.32140000,0.52850000,0.30570000,0.42920000,232550222.08999994,232550222.08999994
2020-10-31,0.40980000,0.43490000,0.31500000,0.32190000,0.40980000,0.43490000,0.31500000,0.32190000,124935290.15000001,124935290.15000001
2020-09-30,0.61210000,0.63220000,0.33570000,0.40910000,0.61210000,0.63220000,0.33570000,0.40910000,206273368.81999999,206273368.81999999
