timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,68.70000000,69.20000000,68.20000000,69.00000000,68.70000000,69.20000000,68.20000000,69.00000000,2171.49100000,2171.49100000
2023-05-07,70.20000000,74.30000000,67.40000000,68.70000000,70.20000000,74.30000000,67.40000000,68.70000000,307386.02600000,307386.02600000
2023-04-30,70.40000000,74.70000000,65.90000000,70.20000000,70.40000000,74.70000000,65.90000000,70.20000000,354324.91100000,354324.91100000
2023-04-23,83.40000000,84.50000000,68.10000000,70.40000000,83.40000000,84.50000000,68.10000000,70.40000000,504975.05300000,504975.05300000
2023-04-16,76.30000000,84.30000000,75.10000000,83.40000000,76.30000000,84.30000000,75.10000000,83.40000000,634423.55800000,634423.55800000
2023-04-09,73.00000000,81.50000000,70.90000000,76.20000000,73.00000000,81.50000000,70.90000000,76.20000000,445258.41600000,445258.41600000
2023-04-02,72.90000000,74.90000000,68.10000000,73.00000000,72.90000000,74.90000000,68.10000000,73.00000000,548105.13800000,548105.13800000
2023-03-26,79.40000000,80.50000000,70.10000000,72.90000000,79.40000000,80.50000000,70.10000000,72.90000000,692923.45100000,692923.45100000
2023-03-19,72.80000000,81.90000000,70.80000000,79.40000000,72.80000000,81.90000000,70.80000000,79.40000000,823638.90800000,823638.90800000
2023-03-12,75.10000000,77.80000000,63.90000000,72.70000000,75.10000000,77.80000000,63.90000000,72.70000000,655434.86000000,655434.86000000
2023-03-05,82.30000000,83.60000000,73.00000000,75.00000000,82.30000000,83.60000000,73.00000000,75.00000000,528461.02100000,528461.02100000
2023-02-26,90.00000000,93.10000000,77.20000000,82.20000000,90.00000000,93.10000000,77.20000000,82.20000000,781995.83200000,781995.83200000
2023-02-19,77.40000000,95.50000000,73.60000000,90.10000000,77.40000000,95.50000000,73.60000000,90.10000000,1735631.86300000,1735631.86300000
2023-02-12,85.60000000,91.00000000,76.20000000,77.40000000,85.60000000,91.00000000,76.20000000,77.40000000,937304.15800000,937304.15800000
2023-02-05,87.70000000,94.50000000,79.20000000,85.70000000,87.70000000,94.50000000,79.20000000,85.70000000,1196296.45900000,1196296.45900000
2023-01-29,85.30000000,90.70000000,78.10000000,87.60000000,85.30000000,90.70000000,78.10000000,87.60000000,1178275.36200000,1178275.36200000
2023-01-22,79.30000000,91.30000000,76.40000000,85.40000000,79.30000000,91.30000000,76.40000000,85.40000000,1773524.09500000,1773524.09500000
2023-01-15,59.30000000,82.90000000,59.00000000,79.20000000,59.30000000,82.90000000,59.00000000,79.20000000,1627175.88900000,1627175.88900000
2023-01-08,52.20000000,59.70000000,51.30000000,59.30000000,52.20000000,59.70000000,51.30000000,59.30000000,662042.87800000,662042.87800000
2023-01-01,54.50000000,58.30000000,51.10000000,52.20000000,54.50000000,58.30000000,51.10000000,52.20000000,510412.28200000,510412.28200000
2022-12-25,55.90000000,56.60000000,53.00000000,54.40000000,55.90000000,56.60000000,53.00000000,54.40000000,417745.71300000,417745.71300000
2022-12-18,59.60000000,63.90000000,53.10000000,55.80000000,59.60000000,63.90000000,53.10000000,55.80000000,664932.79000000,664932.79000000
2022-12-11,64.40000000,67.30000000,59.20000000,59.60000000,64.40000000,67.30000000,59.20000000,59.60000000,576703.66200000,576703.66200000
2022-12-04,61.50000000,66.40000000,58.50000000,64.40000000,61.50000000,66.40000000,58.50000000,64.40000000,829263.88900000,829263.88900000
2022-11-27,56.00000000,63.40000000,50.20000000,61.50000000,56.00000000,63.40000000,50.20000000,61.50000000,1953608.35800000,1953608.35800000
