timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.37600000,0.37760000,0.37350000,0.37730000,0.37600000,0.37760000,0.37350000,0.37730000,4003587.30000000,4003587.30000000
2023-05-07,0.39570000,0.39790000,0.37350000,0.37600000,0.39570000,0.39790000,0.37350000,0.37600000,538103423.20000005,538103423.20000005
2023-04-30,0.38870000,0.41930000,0.37610000,0.39560000,0.38870000,0.41930000,0.37610000,0.39560000,740302627.79999995,740302627.79999995
2023-04-23,0.45120000,0.45150000,0.37890000,0.38860000,0.45120000,0.45150000,0.37890000,0.38860000,925730713.59999990,925730713.59999990
2023-04-16,0.38930000,0.46170000,0.38470000,0.45130000,0.38930000,0.46170000,0.38470000,0.45130000,1063487405.39999998,1063487405.39999998
2023-04-09,0.38160000,0.40500000,0.37080000,0.38940000,0.38160000,0.40500000,0.37080000,0.38940000,702805045.60000002,702805045.60000002
2023-04-02,0.35580000,0.40930000,0.33660000,0.38150000,0.35580000,0.40930000,0.33660000,0.38150000,1079629539.29999995,1079629539.29999995
2023-03-26,0.34480000,0.38700000,0.32910000,0.35570000,0.34480000,0.38700000,0.32910000,0.35570000,1228323460.89999986,1228323460.89999986
2023-03-19,0.32980000,0.36770000,0.31570000,0.34480000,0.32980000,0.36770000,0.31570000,0.34480000,1369200309.39999986,1369200309.39999986
2023-03-12,0.33700000,0.33870000,0.29760000,0.32980000,0.33700000,0.33870000,0.29760000,0.32980000,981293198.50000000,981293198.50000000
2023-03-05,0.36900000,0.37020000,0.32120000,0.33700000,0.36900000,0.37020000,0.32120000,0.33700000,570399967.40000010,570399967.40000010
2023-02-26,0.39940000,0.40980000,0.35120000,0.36910000,0.39940000,0.40980000,0.35120000,0.36910000,733251351.10000002,733251351.10000002
2023-02-19,0.36410000,0.42130000,0.34500000,0.39950000,0.36410000,0.42130000,0.34500000,0.39950000,909073432.39999998,909073432.39999998
2023-02-12,0.39230000,0.40350000,0.35340000,0.36410000,0.39230000,0.40350000,0.35340000,0.36410000,679481856.69999993,679481856.69999993
2023-02-05,0.39760000,0.41360000,0.36520000,0.39230000,0.39760000,0.41360000,0.36520000,0.39230000,919204057.89999998,919204057.89999998
2023-01-29,0.37640000,0.39910000,0.34690000,0.39750000,0.37640000,0.39910000,0.34690000,0.39750000,893043204.70000005,893043204.70000005
2023-01-22,0.35080000,0.38720000,0.32370000,0.37640000,0.35080000,0.38720000,0.32370000,0.37640000,1073804634.20000005,1073804634.20000005
2023-01-15,0.29750000,0.36970000,0.29550000,0.35070000,0.29750000,0.36970000,0.29550000,0.35070000,1554255618.79999971,1554255618.79999971
2023-01-08,0.24990000,0.29900000,0.24660000,0.29740000,0.24990000,0.29900000,0.24660000,0.29740000,817753789.40000010,817753789.40000010
2023-01-01,0.25900000,0.26650000,0.23920000,0.24990000,0.25900000,0.26650000,0.23920000,0.24990000,550451467.89999998,550451467.89999998
2022-12-25,0.26600000,0.26940000,0.24650000,0.25910000,0.26600000,0.26940000,0.24650000,0.25910000,513338630.86000001,513338630.86000001
2022-12-18,0.30730000,0.31870000,0.25500000,0.26590000,0.30730000,0.31870000,0.25500000,0.26590000,837814399.69999993,837814399.69999993
2022-12-11,0.32220000,0.32900000,0.30510000,0.30740000,0.32220000,0.32900000,0.30510000,0.30740000,371136146.89999998,371136146.89999998
2022-12-04,0.31260000,0.32650000,0.30000000,0.32210000,0.31260000,0.32650000,0.30000000,0.32210000,564423278.00000000,564423278.00000000
2022-11-27,0.31200000,0.32280000,0.29530000,0.31260000,0.31200000,0.32280000,0.29530000,0.31260000,688589873.09000003,688589873.09000003
2022-11-20,0.32990000,0.34490000,0.31000000,0.31200000,0.32990000,0.34490000,0.31000000,0.31200000,681155590.10000002,681155590.10000002
2022-11-13,0.40210000,0.41610000,0.31000000,0.32980000,0.40210000,0.41610000,0.31000000,0.32980000,1734931050.90000010,1734931050.90000010
2022-11-06,0.40570000,0.43780000,0.38000000,0.40210000,0.40570000,0.43780000,0.38000000,0.40210000,982341487.69999993,982341487.69999993
2022-10-30,0.36210000,0.44000000,0.35330000,0.40560000,0.36210000,0.44000000,0.35330000,0.40560000,1237673246.50000000,1237673246.50000000
2022-10-23,0.37030000,0.37580000,0.33000000,0.36210000,0.37030000,0.37580000,0.33000000,0.36210000,649814632.27999997,649814632.27999997
2022-10-16,0.42300000,0.42680000,0.34900000,0.37030000,0.42300000,0.42680000,0.34900000,0.37030000,895165517.30999994,895165517.30999994
2022-10-09,0.41950000,0.43770000,0.41580000,0.42300000,0.41950000,0.43770000,0.41580000,0.42300000,554126248.59999990,554126248.59999990
2022-10-02,0.44620000,0.46330000,0.41760000,0.41940000,0.44620000,0.46330000,0.41760000,0.41940000,783673518.19999993,783673518.19999993
2022-09-25,0.44770000,0.48250000,0.43130000,0.44640000,0.44770000,0.48250000,0.43130000,0.44640000,1175003251.70000005,1175003251.70000005
2022-09-18,0.50980000,0.51970000,0.44030000,0.44770000,0.50980000,0.51970000,0.44030000,0.44770000,1005059880.30000007,1005059880.30000007
2022-09-11,0.50350000,0.52420000,0.45360000,0.50980000,0.50350000,0.52420000,0.45360000,0.50980000,1131657710.00000000,1131657710.00000000
2022-09-04,0.42930000,0.51000000,0.42360000,0.50350000,0.42930000,0.51000000,0.42360000,0.50350000,1029309459.40000010,1029309459.40000010
2022-08-28,0.46270000,0.48200000,0.42570000,0.42930000,0.46270000,0.48200000,0.42570000,0.42930000,1232453727.89999986,1232453727.89999986
2022-08-21,0.56950000,0.58340000,0.43470000,0.46260000,0.56950000,0.58340000,0.43470000,0.46260000,1412171407.50000024,1412171407.50000024
2022-08-14,0.52760000,0.59480000,0.50200000,0.56950000,0.52760000,0.59480000,0.50200000,0.56950000,1164983887.70000005,1164983887.70000005
2022-08-07,0.51610000,0.53850000,0.48860000,0.52760000,0.51610000,0.53850000,0.48860000,0.52760000,870757221.70000005,870757221.70000005
2022-07-31,0.51200000,0.55600000,0.45100000,0.51610000,0.51200000,0.55600000,0.45100000,0.51610000,1777879624.30000019,1777879624.30000019
2022-07-24,0.44780000,0.54870000,0.44570000,0.51200000,0.44780000,0.54870000,0.44570000,0.51200000,2055044805.09999990,2055044805.09999990
2022-07-17,0.46250000,0.46600000,0.40230000,0.44780000,0.46250000,0.46600000,0.40230000,0.44780000,1264214983.89999986,1264214983.89999986
2022-07-10,0.45600000,0.49300000,0.44450000,0.46240000,0.45600000,0.49300000,0.44450000,0.46240000,1036801870.10000014,1036801870.10000014
2022-07-03,0.48990000,0.50880000,0.43520000,0.45610000,0.48990000,0.50880000,0.43520000,0.45610000,1081955025.00000000,1081955025.00000000
2022-06-26,0.48490000,0.52600000,0.45590000,0.48990000,0.48490000,0.52600000,0.45590000,0.48990000,1539319643.40000010,1539319643.40000010
2022-06-19,0.49040000,0.54720000,0.42060000,0.48480000,0.49040000,0.54720000,0.42060000,0.48480000,3268234452.70000029,3268234452.70000029
2022-06-12,0.56750000,0.66960000,0.48930000,0.49040000,0.56750000,0.66960000,0.48930000,0.49040000,2237445399.40000010,2237445399.40000010
2022-06-05,0.48190000,0.68930000,0.47720000,0.56740000,0.48190000,0.68930000,0.47720000,0.56740000,1994815710.30000019,1994815710.30000019
2022-05-29,0.54160000,0.55950000,0.44540000,0.48200000,0.54160000,0.55950000,0.44540000,0.48200000,1200521474.70000005,1200521474.70000005
2022-05-22,0.59820000,0.61460000,0.49170000,0.54160000,0.59820000,0.61460000,0.49170000,0.54160000,1232176123.69999981,1232176123.69999981
2022-05-15,0.74040000,0.75420000,0.40190000,0.59810000,0.74040000,0.75420000,0.40190000,0.59810000,3254890624.30999994,3254890624.30999994
2022-05-08,0.78940000,0.90580000,0.72540000,0.74030000,0.78940000,0.90580000,0.72540000,0.74030000,1392964225.18999982,1392964225.18999982
2022-05-01,0.88500000,0.90390000,0.73510000,0.78950000,0.88500000,0.90390000,0.73510000,0.78950000,1056797858.24000001,1056797858.24000001
2022-04-24,0.91400000,0.97600000,0.87400000,0.88600000,0.91400000,0.97600000,0.87400000,0.88600000,559096612.50000000,559096612.50000000
2022-04-17,1.02600000,1.03300000,0.91200000,0.91400000,1.02600000,1.03300000,0.91200000,0.91400000,563747252.00000000,563747252.00000000
2022-04-10,1.18600000,1.24500000,1.01900000,1.02700000,1.18600000,1.24500000,1.01900000,1.02700000,857858984.09999990,857858984.09999990
2022-04-03,1.18400000,1.24600000,1.10400000,1.18600000,1.18400000,1.24600000,1.10400000,1.18600000,1141589366.09999990,1141589366.09999990
2022-03-27,0.87900000,1.19000000,0.86300000,1.18400000,0.87900000,1.19000000,0.86300000,1.18400000,1609921453.29999995,1609921453.29999995
2022-03-20,0.78700000,0.91600000,0.77600000,0.87900000,0.78700000,0.91600000,0.77600000,0.87900000,757004959.60000002,757004959.60000002
