timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-02-27,0.01270000,0.01280000,0.00919000,0.00943000,0.01270000,0.01280000,0.00919000,0.00943000,217941837.00000000,217941837.00000000
2023-02-26,0.03991000,0.04050000,0.01220000,0.01267000,0.03991000,0.04050000,0.01220000,0.01267000,1743809536.00000000,1743809536.00000000
2023-02-19,0.03768000,0.04427000,0.03411000,0.03982000,0.03768000,0.04427000,0.03411000,0.03982000,271200291.00000000,271200291.00000000
2023-02-12,0.03737000,0.06000000,0.03561000,0.03769000,0.03737000,0.06000000,0.03561000,0.03769000,1020696537.00000000,1020696537.00000000
2023-02-05,0.03406000,0.03887000,0.03050000,0.03748000,0.03406000,0.03887000,0.03050000,0.03748000,317162253.00000000,317162253.00000000
2023-01-29,0.03454000,0.04047000,0.02960000,0.03411000,0.03454000,0.04047000,0.02960000,0.03411000,379952951.00000000,379952951.00000000
2023-01-22,0.03478000,0.04040000,0.03099000,0.03448000,0.03478000,0.04040000,0.03099000,0.03448000,256180353.00000000,256180353.00000000
2023-01-15,0.02938000,0.03580000,0.02892000,0.03480000,0.02938000,0.03580000,0.02892000,0.03480000,123758043.00000000,123758043.00000000
2023-01-08,0.02630000,0.03160000,0.02580000,0.02938000,0.02630000,0.03160000,0.02580000,0.02938000,108410717.00000000,108410717.00000000
2023-01-01,0.02664000,0.03500000,0.02550000,0.02632000,0.02664000,0.03500000,0.02550000,0.02632000,193036209.00000000,193036209.00000000
2022-12-25,0.03043000,0.03317000,0.02635000,0.02662000,0.03043000,0.03317000,0.02635000,0.02662000,81686863.00000000,81686863.00000000
2022-12-18,0.03460000,0.03665000,0.02860000,0.03048000,0.03460000,0.03665000,0.02860000,0.03048000,79426669.00000000,79426669.00000000
2022-12-11,0.03450000,0.04100000,0.03331000,0.03455000,0.03450000,0.04100000,0.03331000,0.03455000,176315685.00000000,176315685.00000000
2022-12-04,0.03065000,0.03817000,0.02931000,0.03449000,0.03065000,0.03817000,0.02931000,0.03449000,231756816.00000000,231756816.00000000
2022-11-27,0.02843000,0.03562000,0.02700000,0.03069000,0.02843000,0.03562000,0.02700000,0.03069000,116075336.00000000,116075336.00000000
2022-11-20,0.02659000,0.03432000,0.02500000,0.02846000,0.02659000,0.03432000,0.02500000,0.02846000,173068419.00000000,173068419.00000000
2022-11-13,0.03807000,0.03950000,0.02454000,0.02658000,0.03807000,0.03950000,0.02454000,0.02658000,91216007.00000000,91216007.00000000
2022-11-06,0.03900000,0.04120000,0.03721000,0.03807000,0.03900000,0.04120000,0.03721000,0.03807000,66895600.00000000,66895600.00000000
2022-10-30,0.03779000,0.04512000,0.03713000,0.03900000,0.03779000,0.04512000,0.03713000,0.03900000,135390340.00000000,135390340.00000000
2022-10-23,0.05414000,0.06741000,0.03719000,0.03787000,0.05414000,0.06741000,0.03719000,0.03787000,704060288.00000000,704060288.00000000
2022-10-16,0.03696000,0.08459000,0.03102000,0.05420000,0.03696000,0.08459000,0.03102000,0.05420000,1036062143.00000000,1036062143.00000000
2022-10-09,0.03786000,0.03904000,0.03625000,0.03695000,0.03786000,0.03904000,0.03625000,0.03695000,21331415.00000000,21331415.00000000
2022-10-02,0.03861000,0.04090000,0.03667000,0.03787000,0.03861000,0.04090000,0.03667000,0.03787000,40682695.00000000,40682695.00000000
2022-09-25,0.04160000,0.04233000,0.03722000,0.03880000,0.04160000,0.04233000,0.03722000,0.03880000,70358309.00000000,70358309.00000000
2022-09-18,0.04878000,0.05030000,0.04131000,0.04158000,0.04878000,0.05030000,0.04131000,0.04158000,59368613.00000000,59368613.00000000
2022-09-11,0.04664000,0.05191000,0.04237000,0.04897000,0.04664000,0.05191000,0.04237000,0.04897000,94312178.00000000,94312178.00000000
2022-09-04,0.04336000,0.04924000,0.04320000,0.04673000,0.04336000,0.04924000,0.04320000,0.04673000,64835234.00000000,64835234.00000000
2022-08-28,0.04314000,0.05200000,0.04105000,0.04345000,0.04314000,0.05200000,0.04105000,0.04345000,243595011.00000000,243595011.00000000
2022-08-21,0.04634000,0.06000000,0.04056000,0.04319000,0.04634000,0.06000000,0.04056000,0.04319000,342649431.00000000,342649431.00000000
2022-08-14,0.04223000,0.05330000,0.04034000,0.04643000,0.04223000,0.05330000,0.04034000,0.04643000,248872574.00000000,248872574.00000000
2022-08-07,0.03914000,0.05538000,0.03906000,0.04223000,0.03914000,0.05538000,0.03906000,0.04223000,342072404.00000000,342072404.00000000
2022-07-31,0.03671000,0.04310000,0.03169000,0.03913000,0.03671000,0.04310000,0.03169000,0.03913000,221041972.00000000,221041972.00000000
2022-07-24,0.03524000,0.03870000,0.03392000,0.03668000,0.03524000,0.03870000,0.03392000,0.03668000,191283336.00000000,191283336.00000000
2022-07-17,0.03060000,0.05335000,0.02855000,0.03524000,0.03060000,0.05335000,0.02855000,0.03524000,1014260298.00000000,1014260298.00000000
2022-07-10,0.02810000,0.03700000,0.02750000,0.03040000,0.02810000,0.03700000,0.02750000,0.03040000,167313429.00000000,167313429.00000000
2022-07-03,0.02830000,0.03680000,0.02580000,0.02810000,0.02830000,0.03680000,0.02580000,0.02810000,223268321.00000000,223268321.00000000
2022-06-26,0.02550000,0.03110000,0.02430000,0.02840000,0.02550000,0.03110000,0.02430000,0.02840000,167741805.00000000,167741805.00000000
2022-06-19,0.02750000,0.02810000,0.02190000,0.02550000,0.02750000,0.02810000,0.02190000,0.02550000,120780791.00000000,120780791.00000000
2022-06-12,0.03500000,0.03700000,0.02720000,0.02760000,0.03500000,0.03700000,0.02720000,0.02760000,119278088.00000000,119278088.00000000
2022-06-05,0.03560000,0.04590000,0.03220000,0.03490000,0.03560000,0.04590000,0.03220000,0.03490000,306639231.00000000,306639231.00000000
2022-05-29,0.03380000,0.04400000,0.03100000,0.03560000,0.03380000,0.04400000,0.03100000,0.03560000,279504515.00000000,279504515.00000000
2022-05-22,0.03380000,0.04180000,0.02710000,0.03370000,0.03380000,0.04180000,0.02710000,0.03370000,266873943.00000000,266873943.00000000
2022-05-15,0.06120000,0.06180000,0.02230000,0.03380000,0.06120000,0.06180000,0.02230000,0.03380000,197675373.01999998,197675373.01999998
2022-05-08,0.07100000,0.07610000,0.06090000,0.06130000,0.07100000,0.07610000,0.06090000,0.06130000,76097037.00000000,76097037.00000000
2022-05-01,0.08540000,0.08810000,0.06710000,0.07100000,0.08540000,0.08810000,0.06710000,0.07100000,58541767.00000000,58541767.00000000
2022-04-24,0.08670000,0.10990000,0.08310000,0.08540000,0.08670000,0.10990000,0.08310000,0.08540000,105203540.00000000,105203540.00000000
2022-04-17,0.09510000,0.09540000,0.08650000,0.08670000,0.09510000,0.09540000,0.08650000,0.08670000,47770713.00000000,47770713.00000000
2022-04-10,0.12150000,0.13140000,0.09430000,0.09510000,0.12150000,0.13140000,0.09430000,0.09510000,188910184.00000000,188910184.00000000
2022-04-03,0.10070000,0.16000000,0.10030000,0.12160000,0.10070000,0.16000000,0.10030000,0.12160000,513968110.00000000,513968110.00000000
2022-03-27,0.08640000,0.10160000,0.08510000,0.10070000,0.08640000,0.10160000,0.08510000,0.10070000,112694007.00000000,112694007.00000000
2022-03-20,0.07570000,0.09000000,0.07470000,0.08630000,0.07570000,0.09000000,0.07470000,0.08630000,143371659.00000000,143371659.00000000
2022-03-13,0.08020000,0.09150000,0.07530000,0.07590000,0.08020000,0.09150000,0.07530000,0.07590000,150090054.00000000,150090054.00000000
2022-03-06,0.07740000,0.09290000,0.07510000,0.08010000,0.07740000,0.09290000,0.07510000,0.08010000,130011373.00000000,130011373.00000000
2022-02-27,0.08560000,0.09190000,0.06600000,0.07730000,0.08560000,0.09190000,0.06600000,0.07730000,180334026.53999999,180334026.53999999
2022-02-20,0.10000000,0.11200000,0.08430000,0.08590000,0.10000000,0.11200000,0.08430000,0.08590000,82043004.00000000,82043004.00000000
2022-02-13,0.09810000,0.13490000,0.09150000,0.09990000,0.09810000,0.13490000,0.09150000,0.09990000,249199910.00000000,249199910.00000000
