timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00326000,0.00329000,0.00325000,0.00328000,0.00326000,0.00329000,0.00325000,0.00328000,6669458.00000000,6669458.00000000
2023-05-07,0.00345000,0.00361000,0.00322000,0.00327000,0.00345000,0.00361000,0.00322000,0.00327000,3346986607.00000000,3346986607.00000000
2023-04-30,0.00347000,0.00387000,0.00339000,0.00345000,0.00347000,0.00387000,0.00339000,0.00345000,3088080253.00000000,3088080253.00000000
2023-04-23,0.00399000,0.00410000,0.00340000,0.00346000,0.00399000,0.00410000,0.00340000,0.00346000,3417024937.00000000,3417024937.00000000
2023-04-16,0.00372000,0.00426000,0.00365000,0.00398000,0.00372000,0.00426000,0.00365000,0.00398000,3475286738.00000000,3475286738.00000000
2023-04-09,0.00366000,0.00415000,0.00359000,0.00372000,0.00366000,0.00415000,0.00359000,0.00372000,3635041859.00000000,3635041859.00000000
2023-04-02,0.00374000,0.00420000,0.00349000,0.00366000,0.00374000,0.00420000,0.00349000,0.00366000,3801081521.00000000,3801081521.00000000
2023-03-26,0.00410000,0.00430000,0.00351000,0.00374000,0.00410000,0.00430000,0.00351000,0.00374000,3194215247.00000000,3194215247.00000000
2023-03-19,0.00431000,0.00461000,0.00397000,0.00411000,0.00431000,0.00461000,0.00397000,0.00411000,4133903685.00000000,4133903685.00000000
2023-03-12,0.00506000,0.00516000,0.00385000,0.00432000,0.00506000,0.00516000,0.00385000,0.00432000,3575179516.00000000,3575179516.00000000
2023-03-05,0.00589000,0.00650000,0.00488000,0.00505000,0.00589000,0.00650000,0.00488000,0.00505000,4253487758.00000000,4253487758.00000000
2023-02-26,0.00483000,0.00891000,0.00474000,0.00589000,0.00483000,0.00891000,0.00474000,0.00589000,14387060488.00000000,14387060488.00000000
2023-02-19,0.00465000,0.00519000,0.00438000,0.00483000,0.00465000,0.00519000,0.00438000,0.00483000,1584610680.00000000,1584610680.00000000
2023-02-12,0.00480000,0.00535000,0.00447000,0.00465000,0.00480000,0.00535000,0.00447000,0.00465000,1520750746.00000000,1520750746.00000000
2023-02-05,0.00480000,0.00504000,0.00442000,0.00480000,0.00480000,0.00504000,0.00442000,0.00480000,1281800109.00000000,1281800109.00000000
2023-01-29,0.00480000,0.00510000,0.00471000,0.00480000,0.00480000,0.00510000,0.00471000,0.00480000,795745168.00000000,795745168.00000000
2023-01-22,0.00388000,0.00590000,0.00388000,0.00480000,0.00388000,0.00590000,0.00388000,0.00480000,4651167749.00000000,4651167749.00000000
2023-01-15,0.00332000,0.00420000,0.00329000,0.00388000,0.00332000,0.00420000,0.00329000,0.00388000,1504260426.00000000,1504260426.00000000
2023-01-08,0.00310000,0.00338000,0.00308000,0.00331000,0.00310000,0.00338000,0.00308000,0.00331000,700107996.00000000,700107996.00000000
2023-01-01,0.00318000,0.00335000,0.00302000,0.00310000,0.00318000,0.00335000,0.00302000,0.00310000,591096774.00000000,591096774.00000000
2022-12-25,0.00323000,0.00349000,0.00303000,0.00319000,0.00323000,0.00349000,0.00303000,0.00319000,1082987428.00000000,1082987428.00000000
2022-12-18,0.00343000,0.00385000,0.00305000,0.00324000,0.00343000,0.00385000,0.00305000,0.00324000,2483034161.00000000,2483034161.00000000
2022-12-11,0.00350000,0.00424000,0.00334000,0.00343000,0.00350000,0.00424000,0.00334000,0.00343000,1224781125.00000000,1224781125.00000000
2022-12-04,0.00346000,0.00367000,0.00334000,0.00350000,0.00346000,0.00367000,0.00334000,0.00350000,748997751.00000000,748997751.00000000
2022-11-27,0.00354000,0.00367000,0.00319000,0.00346000,0.00354000,0.00367000,0.00319000,0.00346000,980425605.00000000,980425605.00000000
2022-11-20,0.00359000,0.00386000,0.00341000,0.00354000,0.00359000,0.00386000,0.00341000,0.00354000,584486983.00000000,584486983.00000000
2022-11-13,0.00483000,0.00492000,0.00343000,0.00360000,0.00483000,0.00492000,0.00343000,0.00360000,1706073767.00000000,1706073767.00000000
2022-11-06,0.00489000,0.00530000,0.00472000,0.00484000,0.00489000,0.00530000,0.00472000,0.00484000,1416226578.00000000,1416226578.00000000
2022-10-30,0.00495000,0.00535000,0.00476000,0.00489000,0.00495000,0.00535000,0.00476000,0.00489000,1678543373.00000000,1678543373.00000000
2022-10-23,0.00498000,0.00580000,0.00480000,0.00495000,0.00498000,0.00580000,0.00480000,0.00495000,1184065619.00000000,1184065619.00000000
