timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-12-27,0.03704000,0.04499000,0.03064000,0.03151000,0.03704000,0.04499000,0.03064000,0.03151000,253214743.43000001,253214743.43000001
2022-12-25,0.03707000,0.04601000,0.02777000,0.03689000,0.03707000,0.04601000,0.02777000,0.03689000,380396584.60000002,380396584.60000002
2022-12-18,0.05113000,0.05189000,0.03524000,0.03707000,0.05113000,0.05189000,0.03524000,0.03707000,247530583.92000002,247530583.92000002
2022-12-11,0.05502000,0.05818000,0.05070000,0.05114000,0.05502000,0.05818000,0.05070000,0.05114000,295553792.40999997,295553792.40999997
2022-12-04,0.05257000,0.06453000,0.04957000,0.05505000,0.05257000,0.06453000,0.04957000,0.05505000,543688264.32000005,543688264.32000005
2022-11-27,0.05108000,0.05452000,0.04638000,0.05251000,0.05108000,0.05452000,0.04638000,0.05251000,269763750.13000000,269763750.13000000
2022-11-20,0.04953000,0.05830000,0.04687000,0.05113000,0.04953000,0.05830000,0.04687000,0.05113000,390890784.53999996,390890784.53999996
2022-11-13,0.08228000,0.08393000,0.01540000,0.04960000,0.08228000,0.08393000,0.01540000,0.04960000,409448731.25999999,409448731.25999999
2022-11-06,0.08606000,0.09300000,0.07892000,0.08238000,0.08606000,0.09300000,0.07892000,0.08238000,205471377.73000002,205471377.73000002
2022-10-30,0.08285000,0.09474000,0.08014000,0.08600000,0.08285000,0.09474000,0.08014000,0.08600000,218271473.23999998,218271473.23999998
2022-10-23,0.08768000,0.08920000,0.07651000,0.08280000,0.08768000,0.08920000,0.07651000,0.08280000,181535285.89000002,181535285.89000002
2022-10-16,0.09032000,0.10670000,0.08025000,0.08778000,0.09032000,0.10670000,0.08025000,0.08778000,638935771.91000009,638935771.91000009
2022-10-09,0.08927000,0.09500000,0.08554000,0.09024000,0.08927000,0.09500000,0.08554000,0.09024000,160973754.81999999,160973754.81999999
2022-10-02,0.08530000,0.10980000,0.08240000,0.08924000,0.08530000,0.10980000,0.08240000,0.08924000,541341186.43000007,541341186.43000007
2022-09-25,0.09364000,0.10824000,0.08362000,0.08529000,0.09364000,0.10824000,0.08362000,0.08529000,453918472.10000002,453918472.10000002
2022-09-18,0.16306000,0.17011000,0.09127000,0.09364000,0.16306000,0.17011000,0.09127000,0.09364000,1149723795.78999996,1149723795.78999996
2022-09-11,0.08859000,0.21700000,0.08600000,0.16307000,0.08859000,0.21700000,0.08600000,0.16307000,2854454296.92999983,2854454296.92999983
2022-09-04,0.07799000,0.12053000,0.07463000,0.08862000,0.07799000,0.12053000,0.07463000,0.08862000,1017727886.21999991,1017727886.21999991
2022-08-28,0.08815000,0.09799000,0.07000000,0.07800000,0.08815000,0.09799000,0.07000000,0.07800000,394275134.75999999,394275134.75999999
2022-08-21,0.11388000,0.11723000,0.07962000,0.08816000,0.11388000,0.11723000,0.07962000,0.08816000,374362384.29999995,374362384.29999995
2022-08-14,0.11532000,0.13038000,0.10470000,0.11385000,0.11532000,0.13038000,0.10470000,0.11385000,463723831.80000001,463723831.80000001
2022-08-07,0.11603000,0.13925000,0.10950000,0.11534000,0.11603000,0.13925000,0.10950000,0.11534000,488080413.79999995,488080413.79999995
2022-07-31,0.11825000,0.12662000,0.10295000,0.11609000,0.11825000,0.12662000,0.10295000,0.11609000,388934076.52999997,388934076.52999997
2022-07-24,0.11205000,0.13982000,0.11101000,0.11825000,0.11205000,0.13982000,0.11101000,0.11825000,679340811.73000002,679340811.73000002
2022-07-17,0.12469000,0.13027000,0.10734000,0.11205000,0.12469000,0.13027000,0.10734000,0.11205000,538135257.02999997,538135257.02999997
