timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,3.00300000,3.03300000,2.98600000,2.99800000,3.00300000,3.03300000,2.98600000,2.99800000,21347.50000000,21347.50000000
2023-05-07,3.24500000,3.25500000,2.79600000,3.00300000,3.24500000,3.25500000,2.79600000,3.00300000,4840963.60000000,4840963.60000000
2023-04-30,3.29100000,3.50600000,2.97400000,3.24500000,3.29100000,3.50600000,2.97400000,3.24500000,2969254.90000000,2969254.90000000
2023-04-23,3.52600000,3.89200000,3.15900000,3.29100000,3.52600000,3.89200000,3.15900000,3.29100000,4925566.50000000,4925566.50000000
2023-04-16,3.14300000,3.96700000,3.04500000,3.52600000,3.14300000,3.96700000,3.04500000,3.52600000,9810253.50000000,9810253.50000000
2023-04-09,2.56200000,3.61300000,2.44500000,3.14100000,2.56200000,3.61300000,2.44500000,3.14100000,13854035.60000000,13854035.60000000
2023-04-02,2.38900000,2.62000000,2.17000000,2.56100000,2.38900000,2.62000000,2.17000000,2.56100000,4168176.10000000,4168176.10000000
2023-03-26,2.44800000,2.48700000,2.23900000,2.38800000,2.44800000,2.48700000,2.23900000,2.38800000,3716848.60000000,3716848.60000000
2023-03-19,2.33500000,2.52800000,2.21000000,2.44700000,2.33500000,2.52800000,2.21000000,2.44700000,6334144.40000000,6334144.40000000
2023-03-12,2.35500000,2.44200000,1.91300000,2.33400000,2.35500000,2.44200000,1.91300000,2.33400000,3494863.20000000,3494863.20000000
2023-03-05,2.80800000,2.80800000,2.34100000,2.35500000,2.80800000,2.80800000,2.34100000,2.35500000,3044624.80000000,3044624.80000000
2023-02-26,3.04700000,3.15800000,2.75000000,2.80900000,3.04700000,3.15800000,2.75000000,2.80900000,4773854.00000000,4773854.00000000
2023-02-19,2.75100000,3.15400000,2.54600000,3.04600000,2.75100000,3.15400000,2.54600000,3.04600000,4171842.00000000,4171842.00000000
2023-02-12,2.90900000,3.12200000,2.59400000,2.75200000,2.90900000,3.12200000,2.59400000,2.75200000,4431424.40000000,4431424.40000000
2023-02-05,3.03500000,3.30100000,2.83800000,2.90900000,3.03500000,3.30100000,2.83800000,2.90900000,7999379.40000000,7999379.40000000
2023-01-29,3.02500000,3.16800000,2.78700000,3.03600000,3.02500000,3.16800000,2.78700000,3.03600000,4809394.60000000,4809394.60000000
2023-01-22,2.69400000,3.12500000,2.35500000,3.02400000,2.69400000,3.12500000,2.35500000,3.02400000,9608557.50000000,9608557.50000000
2023-01-15,2.19900000,2.80000000,2.17800000,2.69600000,2.19900000,2.80000000,2.17800000,2.69600000,11031139.50000000,11031139.50000000
2023-01-08,2.19900000,2.21400000,2.01600000,2.19900000,2.19900000,2.21400000,2.01600000,2.19900000,5971809.80000000,5971809.80000000
2023-01-01,2.11200000,2.28600000,2.09200000,2.20000000,2.11200000,2.28600000,2.09200000,2.20000000,4198764.90000000,4198764.90000000
2022-12-25,1.85600000,2.15700000,1.78600000,2.11200000,1.85600000,2.15700000,1.78600000,2.11200000,5182945.10000000,5182945.10000000
2022-12-18,2.36300000,2.43200000,1.78000000,1.85600000,2.36300000,2.43200000,1.78000000,1.85600000,9082894.50000000,9082894.50000000
2022-12-11,2.16000000,2.39900000,2.05400000,2.36300000,2.16000000,2.39900000,2.05400000,2.36300000,18972888.20000000,18972888.20000000
2022-12-04,1.79200000,3.71800000,1.72100000,2.16000000,1.79200000,3.71800000,1.72100000,2.16000000,26674838.30000000,26674838.30000000
2022-11-27,1.78000000,1.92600000,1.68000000,1.79300000,1.78000000,1.92600000,1.68000000,1.79300000,4888149.20000000,4888149.20000000
