timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.08510000,0.08520000,0.08410000,0.08480000,0.08510000,0.08520000,0.08410000,0.08480000,151874.00000000,151874.00000000
2023-05-07,0.08950000,0.09110000,0.08460000,0.08510000,0.08950000,0.09110000,0.08460000,0.08510000,22523099.00000000,22523099.00000000
2023-04-30,0.09150000,0.09300000,0.08630000,0.08940000,0.09150000,0.09300000,0.08630000,0.08940000,24940281.00000000,24940281.00000000
2023-04-23,0.09830000,0.10570000,0.08670000,0.09130000,0.09830000,0.10570000,0.08670000,0.09130000,43598984.00000000,43598984.00000000
2023-04-16,0.09940000,0.10200000,0.09240000,0.09810000,0.09940000,0.10200000,0.09240000,0.09810000,35293473.00000000,35293473.00000000
2023-04-09,0.08960000,0.14600000,0.08870000,0.09940000,0.08960000,0.14600000,0.08870000,0.09940000,226306377.00000000,226306377.00000000
2023-04-02,0.08970000,0.09390000,0.08260000,0.08980000,0.08970000,0.09390000,0.08260000,0.08980000,19330887.00000000,19330887.00000000
2023-03-26,0.09460000,0.09990000,0.08540000,0.08970000,0.09460000,0.09990000,0.08540000,0.08970000,24278906.00000000,24278906.00000000
2023-03-19,0.08330000,0.09630000,0.08150000,0.09440000,0.08330000,0.09630000,0.08150000,0.09440000,20050674.00000000,20050674.00000000
2023-03-12,0.09350000,0.09550000,0.07460000,0.08350000,0.09350000,0.09550000,0.07460000,0.08350000,36352668.00000000,36352668.00000000
2023-03-05,0.10780000,0.11680000,0.09030000,0.09360000,0.10780000,0.11680000,0.09030000,0.09360000,36969489.00000000,36969489.00000000
2023-02-26,0.10360000,0.11900000,0.09990000,0.10790000,0.10360000,0.11900000,0.09990000,0.10790000,44865676.00000000,44865676.00000000
2023-02-19,0.09400000,0.10840000,0.08660000,0.10360000,0.09400000,0.10840000,0.08660000,0.10360000,32226333.00000000,32226333.00000000
2023-02-12,0.09730000,0.10750000,0.09170000,0.09390000,0.09730000,0.10750000,0.09170000,0.09390000,34158894.00000000,34158894.00000000
2023-02-05,0.09510000,0.11490000,0.08130000,0.09700000,0.09510000,0.11490000,0.08130000,0.09700000,52288908.00000000,52288908.00000000
2023-01-29,0.08620000,0.11880000,0.08210000,0.09510000,0.08620000,0.11880000,0.08210000,0.09510000,101005867.00000000,101005867.00000000
2023-01-22,0.08110000,0.09990000,0.07610000,0.08610000,0.08110000,0.09990000,0.07610000,0.08610000,39210639.00000000,39210639.00000000
2023-01-15,0.06830000,0.08660000,0.06740000,0.08120000,0.06830000,0.08660000,0.06740000,0.08120000,33617071.00000000,33617071.00000000
2023-01-08,0.06870000,0.06960000,0.06460000,0.06830000,0.06870000,0.06960000,0.06460000,0.06830000,18760177.00000000,18760177.00000000
2023-01-01,0.07240000,0.08000000,0.06330000,0.06850000,0.07240000,0.08000000,0.06330000,0.06850000,52288802.00000000,52288802.00000000
2022-12-25,0.06810000,0.10330000,0.06150000,0.07230000,0.06810000,0.10330000,0.06150000,0.07230000,160892127.00000000,160892127.00000000
2022-12-18,0.07630000,0.09400000,0.06460000,0.06830000,0.07630000,0.09400000,0.06460000,0.06830000,64279842.00000000,64279842.00000000
2022-12-11,0.07750000,0.15950000,0.07210000,0.07630000,0.07750000,0.15950000,0.07210000,0.07630000,142888048.00000000,142888048.00000000
2022-12-04,0.07550000,0.08040000,0.07200000,0.07750000,0.07550000,0.08040000,0.07200000,0.07750000,9313444.00000000,9313444.00000000
2022-11-27,0.07020000,0.08030000,0.06680000,0.07550000,0.07020000,0.08030000,0.06680000,0.07550000,10179760.00000000,10179760.00000000
