timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.87000000,2.88400000,2.86500000,2.87800000,2.87000000,2.88400000,2.86500000,2.87800000,3995.51000000,3995.51000000
2023-05-07,3.01400000,3.14000000,2.87000000,2.87000000,3.01400000,3.14000000,2.87000000,2.87000000,1796994.42000000,1796994.42000000
2023-04-30,2.93700000,3.47900000,2.89500000,3.01400000,2.93700000,3.47900000,2.89500000,3.01400000,3055074.19000000,3055074.19000000
2023-04-23,3.26000000,3.44200000,2.86200000,2.93600000,3.26000000,3.44200000,2.86200000,2.93600000,3876860.44000000,3876860.44000000
2023-04-16,3.18000000,4.14000000,3.03200000,3.25300000,3.18000000,4.14000000,3.03200000,3.25300000,11640412.61000000,11640412.61000000
2023-04-09,2.82500000,5.82000000,2.75000000,3.18000000,2.82500000,5.82000000,2.75000000,3.18000000,17513139.90000000,17513139.90000000
2023-04-02,2.80800000,3.29900000,2.65000000,2.82500000,2.80800000,3.29900000,2.65000000,2.82500000,3059039.38000000,3059039.38000000
2023-03-26,2.84600000,3.48000000,2.59000000,2.80500000,2.84600000,3.48000000,2.59000000,2.80500000,4659587.57000000,4659587.57000000
2023-03-19,2.75000000,2.96000000,2.66000000,2.84200000,2.75000000,2.96000000,2.66000000,2.84200000,1131409.11000000,1131409.11000000
2023-03-12,2.88000000,3.00000000,2.53000000,2.75000000,2.88000000,3.00000000,2.53000000,2.75000000,1026428.74000000,1026428.74000000
2023-03-05,3.23000000,3.27000000,2.87000000,2.89000000,3.23000000,3.27000000,2.87000000,2.89000000,850666.85000000,850666.85000000
2023-02-26,3.39000000,3.49000000,3.16000000,3.23000000,3.39000000,3.49000000,3.16000000,3.23000000,1859879.05000000,1859879.05000000
2023-02-19,3.35000000,3.60000000,3.21000000,3.39000000,3.35000000,3.60000000,3.21000000,3.39000000,1828990.86000000,1828990.86000000
2023-02-12,3.21000000,3.99000000,3.16000000,3.37000000,3.21000000,3.99000000,3.16000000,3.37000000,4012827.86000000,4012827.86000000
