timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.62300000,1.63000000,1.61400000,1.62300000,1.62300000,1.63000000,1.61400000,1.62300000,18745.40000000,18745.40000000
2023-05-07,1.69300000,1.72900000,1.61300000,1.62300000,1.69300000,1.72900000,1.61300000,1.62300000,4151889.60000000,4151889.60000000
2023-04-30,1.66700000,1.98800000,1.59400000,1.69300000,1.66700000,1.98800000,1.59400000,1.69300000,13074730.80000000,13074730.80000000
2023-04-23,2.07000000,2.08800000,1.62200000,1.66600000,2.07000000,2.08800000,1.62200000,1.66600000,6980895.40000000,6980895.40000000
2023-04-16,1.85900000,2.16200000,1.82000000,2.06800000,1.85900000,2.16200000,1.82000000,2.06800000,17131757.60000000,17131757.60000000
2023-04-09,1.77300000,1.91900000,1.71500000,1.85900000,1.77300000,1.91900000,1.71500000,1.85900000,8260575.90000000,8260575.90000000
2023-04-02,1.76300000,1.95400000,1.60600000,1.77200000,1.76300000,1.95400000,1.60600000,1.77200000,12582576.70000000,12582576.70000000
2023-03-26,1.83500000,1.86500000,1.59700000,1.76300000,1.83500000,1.86500000,1.59700000,1.76300000,12437854.40000000,12437854.40000000
2023-03-19,1.58600000,1.95100000,1.55800000,1.83400000,1.58600000,1.95100000,1.55800000,1.83400000,15143594.90000000,15143594.90000000
2023-03-12,1.72700000,1.79000000,1.35000000,1.58500000,1.72700000,1.79000000,1.35000000,1.58500000,9443254.00000000,9443254.00000000
2023-03-05,2.01400000,2.08900000,1.68700000,1.72800000,2.01400000,2.08900000,1.68700000,1.72800000,7361511.40000000,7361511.40000000
2023-02-26,2.07800000,2.29000000,1.92100000,2.01500000,2.07800000,2.29000000,1.92100000,2.01500000,15515316.20000000,15515316.20000000
2023-02-19,1.86400000,2.18600000,1.72700000,2.07800000,1.86400000,2.18600000,1.72700000,2.07800000,15702265.50000000,15702265.50000000
2023-02-12,2.11500000,2.31200000,1.82800000,1.86500000,2.11500000,2.31200000,1.82800000,1.86500000,21093214.40000000,21093214.40000000
2023-02-05,2.07300000,2.38800000,1.88600000,2.11500000,2.07300000,2.38800000,1.88600000,2.11500000,37787957.30000000,37787957.30000000
2023-01-29,1.92800000,2.26700000,1.77300000,2.07300000,1.92800000,2.26700000,1.77300000,2.07300000,21990584.40000000,21990584.40000000
2023-01-22,1.85100000,2.10000000,1.67100000,1.92800000,1.85100000,2.10000000,1.67100000,1.92800000,13362195.20000000,13362195.20000000
2023-01-15,1.53200000,2.06300000,1.52200000,1.85300000,1.53200000,2.06300000,1.52200000,1.85300000,15443720.60000000,15443720.60000000
2023-01-08,1.40500000,1.54500000,1.36200000,1.53100000,1.40500000,1.54500000,1.36200000,1.53100000,9203783.50000000,9203783.50000000
2023-01-01,1.48800000,1.54700000,1.32300000,1.40400000,1.48800000,1.54700000,1.32300000,1.40400000,15324535.60000000,15324535.60000000
2022-12-25,1.72800000,1.80400000,1.47800000,1.48800000,1.72800000,1.80400000,1.47800000,1.48800000,8895782.40000000,8895782.40000000
2022-12-18,1.94200000,2.05600000,1.63600000,1.72800000,1.94200000,2.05600000,1.63600000,1.72800000,11569249.50000000,11569249.50000000
2022-12-11,2.13500000,2.20000000,1.90000000,1.94300000,2.13500000,2.20000000,1.90000000,1.94300000,17718035.50000000,17718035.50000000
2022-12-04,1.85100000,2.78500000,1.75000000,2.13500000,1.85100000,2.78500000,1.75000000,2.13500000,37177160.00000000,37177160.00000000
2022-11-27,1.66600000,2.02600000,1.55900000,1.85200000,1.66600000,2.02600000,1.55900000,1.85200000,29529045.70000000,29529045.70000000
2022-11-20,1.99100000,2.30000000,1.65300000,1.66600000,1.99100000,2.30000000,1.65300000,1.66600000,25804125.10000000,25804125.10000000
2022-11-13,2.67000000,3.20000000,1.32000000,1.99300000,2.67000000,3.20000000,1.32000000,1.99300000,103527597.19999999,103527597.19999999
2022-11-06,1.17900000,3.68200000,1.10300000,2.67000000,1.17900000,3.68200000,1.10300000,2.67000000,158249708.50000000,158249708.50000000
2022-10-30,1.06600000,1.24000000,1.04300000,1.18100000,1.06600000,1.24000000,1.04300000,1.18100000,10091069.20000000,10091069.20000000
2022-10-23,1.07700000,1.13200000,0.98400000,1.06500000,1.07700000,1.13200000,0.98400000,1.06500000,6281848.00000000,6281848.00000000
2022-10-16,1.21600000,1.30000000,0.97800000,1.07800000,1.21600000,1.30000000,0.97800000,1.07800000,10265550.40000000,10265550.40000000
2022-10-09,1.18300000,1.29000000,1.16100000,1.21600000,1.18300000,1.29000000,1.16100000,1.21600000,6045084.80000000,6045084.80000000
2022-10-02,1.21900000,1.28000000,1.16100000,1.18200000,1.21900000,1.28000000,1.16100000,1.18200000,10967259.50000000,10967259.50000000
2022-09-25,1.16400000,1.29800000,1.07000000,1.21900000,1.16400000,1.29800000,1.07000000,1.21900000,11372559.40000000,11372559.40000000
2022-09-18,1.36800000,1.45800000,1.11300000,1.16500000,1.36800000,1.45800000,1.11300000,1.16500000,10180001.60000000,10180001.60000000
2022-09-11,1.33600000,1.43400000,1.16400000,1.36900000,1.33600000,1.43400000,1.16400000,1.36900000,10983853.00000000,10983853.00000000
2022-09-04,1.19300000,1.35100000,1.16400000,1.33600000,1.19300000,1.35100000,1.16400000,1.33600000,8323558.40000000,8323558.40000000
2022-08-28,1.35400000,1.44100000,1.17700000,1.19100000,1.35400000,1.44100000,1.17700000,1.19100000,9339573.00000000,9339573.00000000
2022-08-21,1.73000000,1.77400000,1.25600000,1.35400000,1.73000000,1.77400000,1.25600000,1.35400000,12139331.70000000,12139331.70000000
2022-08-14,1.81000000,1.99800000,1.68200000,1.72900000,1.81000000,1.99800000,1.68200000,1.72900000,13288356.90000000,13288356.90000000
2022-08-07,1.67700000,1.91800000,1.56200000,1.80900000,1.67700000,1.91800000,1.56200000,1.80900000,12366084.50000000,12366084.50000000
2022-07-31,1.57000000,2.14400000,1.34700000,1.67900000,1.57000000,2.14400000,1.34700000,1.67900000,14945321.50000000,14945321.50000000
2022-07-24,1.38500000,1.76200000,1.38300000,1.56800000,1.38500000,1.76200000,1.38300000,1.56800000,11861215.50000000,11861215.50000000
2022-07-17,1.43100000,1.47800000,1.18100000,1.38200000,1.43100000,1.47800000,1.18100000,1.38200000,11069277.70000000,11069277.70000000
2022-07-10,1.29400000,1.52700000,1.25400000,1.43200000,1.29400000,1.52700000,1.25400000,1.43200000,10043350.10000000,10043350.10000000
2022-07-03,1.43600000,1.51700000,1.22700000,1.29400000,1.43600000,1.51700000,1.22700000,1.29400000,7838036.40000000,7838036.40000000
2022-06-26,1.38700000,1.65900000,1.32300000,1.43600000,1.38700000,1.65900000,1.32300000,1.43600000,13531360.90000000,13531360.90000000
2022-06-19,1.41800000,1.59900000,1.18100000,1.38500000,1.41800000,1.59900000,1.18100000,1.38500000,16799478.50000000,16799478.50000000
2022-06-12,1.63500000,2.74400000,1.41600000,1.41700000,1.63500000,2.74400000,1.41600000,1.41700000,49424649.80000000,49424649.80000000
2022-06-05,1.55300000,1.86700000,1.51400000,1.63400000,1.55300000,1.86700000,1.51400000,1.63400000,6727048.90000000,6727048.90000000
2022-05-29,1.85700000,1.95200000,1.41200000,1.55200000,1.85700000,1.95200000,1.41200000,1.55200000,7357146.10000000,7357146.10000000
2022-05-22,1.80800000,1.91300000,1.54100000,1.85800000,1.80800000,1.91300000,1.54100000,1.85800000,6973283.30000000,6973283.30000000
2022-05-15,2.73400000,2.82200000,1.27300000,1.81000000,2.73400000,2.82200000,1.27300000,1.81000000,15597387.29600000,15597387.29600000
2022-05-08,3.11200000,3.38800000,2.67000000,2.73400000,3.11200000,3.38800000,2.67000000,2.73400000,6719880.80000000,6719880.80000000
2022-05-01,3.60600000,3.70100000,2.79200000,3.11600000,3.60600000,3.70100000,2.79200000,3.11600000,5077326.70000000,5077326.70000000
2022-04-24,3.55200000,4.14400000,3.41900000,3.60300000,3.55200000,4.14400000,3.41900000,3.60300000,4237449.00000000,4237449.00000000
2022-04-17,3.95100000,3.98400000,3.50000000,3.55200000,3.95100000,3.98400000,3.50000000,3.55200000,3311864.80000000,3311864.80000000
2022-04-10,5.40300000,5.58700000,3.93800000,3.95100000,5.40300000,5.58700000,3.93800000,3.95100000,6029548.40000000,6029548.40000000
2022-04-03,4.56400000,5.63500000,4.26000000,5.39900000,4.56400000,5.63500000,4.26000000,5.39900000,10358393.10000000,10358393.10000000
2022-03-27,3.59100000,4.58600000,3.50700000,4.56100000,3.59100000,4.58600000,3.50700000,4.56100000,5322198.40000000,5322198.40000000
2022-03-20,3.29700000,3.94900000,3.25800000,3.58800000,3.29700000,3.94900000,3.25800000,3.58800000,5251070.00000000,5251070.00000000
2022-03-13,3.71300000,3.82000000,3.27100000,3.30000000,3.71300000,3.82000000,3.27100000,3.30000000,5284583.70000000,5284583.70000000
2022-03-06,3.44700000,4.32100000,3.35500000,3.71400000,3.44700000,4.32100000,3.35500000,3.71400000,7750797.80000000,7750797.80000000
2022-02-27,4.38500000,4.61200000,3.07600000,3.44500000,4.38500000,4.61200000,3.07600000,3.44500000,10841052.10000000,10841052.10000000
2022-02-20,4.04500000,5.39000000,3.94900000,4.38400000,4.04500000,5.39000000,3.94900000,4.38400000,20534936.40000000,20534936.40000000
2022-02-13,3.95900000,5.48500000,3.80200000,4.04600000,3.95900000,5.48500000,3.80200000,4.04600000,24372927.60000000,24372927.60000000
2022-02-06,3.43900000,4.05800000,3.21000000,3.95900000,3.43900000,4.05800000,3.21000000,3.95900000,7546325.50000000,7546325.50000000
2022-01-30,3.58000000,3.96500000,2.97300000,3.44300000,3.58000000,3.96500000,2.97300000,3.44300000,11450379.92500000,11450379.92500000
2022-01-23,5.68100000,5.70800000,3.17700000,3.58200000,5.68100000,5.70800000,3.17700000,3.58200000,7461790.08400000,7461790.08400000
2022-01-16,5.31200000,6.10800000,4.79300000,5.68000000,5.31200000,6.10800000,4.79300000,5.68000000,7620003.90000000,7620003.90000000
2022-01-09,5.27100000,7.00000000,4.75100000,5.31500000,5.27100000,7.00000000,4.75100000,5.31500000,17964047.50000000,17964047.50000000
2022-01-02,5.85300000,6.19300000,4.86400000,5.28000000,5.85300000,6.19300000,4.86400000,5.28000000,4159979.50000000,4159979.50000000
2021-12-26,5.12700000,5.91300000,4.79300000,5.84500000,5.12700000,5.91300000,4.79300000,5.84500000,4740242.40000000,4740242.40000000
2021-12-19,5.37800000,5.42900000,4.62200000,5.12800000,5.37800000,5.42900000,4.62200000,5.12800000,5813826.20000000,5813826.20000000
2021-12-12,5.66000000,6.39200000,4.96100000,5.38700000,5.66000000,6.39200000,4.96100000,5.38700000,6497527.00000000,6497527.00000000
