timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.22910000,0.23070000,0.22820000,0.22970000,0.22910000,0.23070000,0.22820000,0.22970000,242900.00000000,242900.00000000
2023-05-07,0.24550000,0.24650000,0.22810000,0.22930000,0.24550000,0.24650000,0.22810000,0.22930000,24110958.00000000,24110958.00000000
2023-04-30,0.25450000,0.26310000,0.23550000,0.24540000,0.25450000,0.26310000,0.23550000,0.24540000,34724471.00000000,34724471.00000000
2023-04-23,0.28860000,0.28990000,0.24400000,0.25460000,0.28860000,0.28990000,0.24400000,0.25460000,75570234.00000000,75570234.00000000
2023-04-16,0.27770000,0.29320000,0.26450000,0.28880000,0.27770000,0.29320000,0.26450000,0.28880000,62852182.00000000,62852182.00000000
2023-04-09,0.26450000,0.32450000,0.25670000,0.27770000,0.26450000,0.32450000,0.25670000,0.27770000,147598393.00000000,147598393.00000000
2023-04-02,0.24540000,0.30020000,0.23150000,0.26450000,0.24540000,0.30020000,0.23150000,0.26450000,179370597.00000000,179370597.00000000
2023-03-26,0.25720000,0.26130000,0.23010000,0.24550000,0.25720000,0.26130000,0.23010000,0.24550000,89020247.00000000,89020247.00000000
2023-03-19,0.22450000,0.26530000,0.21750000,0.25710000,0.22450000,0.26530000,0.21750000,0.25710000,131700068.00000000,131700068.00000000
2023-03-12,0.25610000,0.26350000,0.19970000,0.22440000,0.25610000,0.26350000,0.19970000,0.22440000,92068285.00000000,92068285.00000000
2023-03-05,0.31200000,0.31570000,0.25200000,0.25610000,0.31200000,0.31570000,0.25200000,0.25610000,70035172.00000000,70035172.00000000
2023-02-26,0.30790000,0.33600000,0.28060000,0.31190000,0.30790000,0.33600000,0.28060000,0.31190000,112886270.00000000,112886270.00000000
2023-02-19,0.28210000,0.31900000,0.26660000,0.30810000,0.28210000,0.31900000,0.26660000,0.30810000,189575572.00000000,189575572.00000000
2023-02-12,0.28650000,0.32140000,0.25700000,0.28220000,0.28650000,0.32140000,0.25700000,0.28220000,115896622.00000000,115896622.00000000
2023-02-05,0.27280000,0.31190000,0.24060000,0.28650000,0.27280000,0.31190000,0.24060000,0.28650000,129804908.00000000,129804908.00000000
2023-01-29,0.24420000,0.28280000,0.23440000,0.27260000,0.24420000,0.28280000,0.23440000,0.27260000,120454876.00000000,120454876.00000000
2023-01-22,0.23290000,0.26000000,0.21690000,0.24430000,0.23290000,0.26000000,0.21690000,0.24430000,146136367.00000000,146136367.00000000
2023-01-15,0.18760000,0.23970000,0.18640000,0.23300000,0.18760000,0.23970000,0.18640000,0.23300000,101691875.00000000,101691875.00000000
2023-01-08,0.16810000,0.18890000,0.16480000,0.18770000,0.16810000,0.18890000,0.16480000,0.18770000,53985926.00000000,53985926.00000000
2023-01-01,0.18580000,0.18770000,0.16020000,0.16820000,0.18580000,0.18770000,0.16020000,0.16820000,42364021.00000000,42364021.00000000
2022-12-25,0.18900000,0.19280000,0.17550000,0.18610000,0.18900000,0.19280000,0.17550000,0.18610000,29999875.00000000,29999875.00000000
2022-12-18,0.22380000,0.22880000,0.18580000,0.18910000,0.22380000,0.22880000,0.18580000,0.18910000,46876881.90000000,46876881.90000000
2022-12-11,0.23300000,0.24010000,0.21870000,0.22410000,0.23300000,0.24010000,0.21870000,0.22410000,44459480.00000000,44459480.00000000
