timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2018-11-20,535.34000000,553.99000000,389.00000000,448.70000000,535.34000000,553.99000000,389.00000000,448.70000000,412498.59610000,412498.59610000
2018-11-11,570.83000000,646.98000000,517.49000000,535.36000000,570.83000000,646.98000000,517.49000000,535.36000000,595237.02860000,595237.02860000
2018-11-04,442.25000000,594.98000000,410.00000000,570.83000000,442.25000000,594.98000000,410.00000000,570.83000000,231790.38632000,231790.38632000
2018-10-28,455.58000000,461.36000000,434.72000000,442.59000000,455.58000000,461.36000000,434.72000000,442.59000000,75608.49113000,75608.49113000
2018-10-21,443.92000000,521.00000000,436.32000000,455.61000000,443.92000000,521.00000000,436.32000000,455.61000000,305413.41998000,305413.41998000
2018-10-14,521.13000000,535.35000000,428.56000000,444.59000000,521.13000000,535.35000000,428.56000000,444.59000000,327736.25337000,327736.25337000
2018-10-07,531.15000000,554.00000000,502.57000000,520.90000000,531.15000000,554.00000000,502.57000000,520.90000000,307950.34385000,307950.34385000
2018-09-30,489.65000000,593.00000000,423.87000000,531.99000000,489.65000000,593.00000000,423.87000000,531.99000000,532131.90902000,532131.90902000
2018-09-23,449.89000000,512.93000000,408.00000000,490.00000000,449.89000000,512.93000000,408.00000000,490.00000000,379075.07883000,379075.07883000
2018-09-16,479.92000000,489.00000000,410.08000000,450.08000000,479.92000000,489.00000000,410.08000000,450.08000000,283548.31140000,283548.31140000
2018-09-09,651.19000000,658.27000000,461.79000000,479.37000000,651.19000000,658.27000000,461.79000000,479.37000000,285082.47020000,285082.47020000
2018-09-02,523.55000000,660.30000000,518.00000000,651.70000000,523.55000000,660.30000000,518.00000000,651.70000000,246503.15163000,246503.15163000
2018-08-26,570.33000000,576.86000000,490.93000000,523.52000000,570.33000000,576.86000000,490.93000000,523.52000000,350986.99027000,350986.99027000
2018-08-19,571.08000000,612.15000000,471.48000000,569.91000000,571.08000000,612.15000000,471.48000000,569.91000000,406347.77155000,406347.77155000
2018-08-12,708.91000000,717.98000000,536.98000000,570.35000000,708.91000000,717.98000000,536.98000000,570.35000000,380253.11576000,380253.11576000
2018-08-05,829.68000000,840.00000000,686.00000000,708.54000000,829.68000000,840.00000000,686.00000000,708.54000000,354587.77501000,354587.77501000
2018-07-29,784.81000000,879.63000000,773.50000000,829.68000000,784.81000000,879.63000000,773.50000000,829.68000000,352290.92552000,352290.92552000
2018-07-22,722.86000000,891.69000000,716.02000000,784.04000000,722.86000000,891.69000000,716.02000000,784.04000000,305250.07398000,305250.07398000
2018-07-15,749.69000000,760.54000000,662.00000000,722.85000000,749.69000000,760.54000000,662.00000000,722.85000000,159008.86454000,159008.86454000
2018-07-08,736.12000000,832.28000000,698.50000000,748.81000000,736.12000000,832.28000000,698.50000000,748.81000000,127122.72526000,127122.72526000
2018-07-01,746.50000000,785.00000000,647.57000000,738.85000000,746.50000000,785.00000000,647.57000000,738.85000000,112778.12214000,112778.12214000
2018-06-24,847.10000000,930.00000000,659.72000000,744.87000000,847.10000000,930.00000000,659.72000000,744.87000000,142284.43765000,142284.43765000
2018-06-17,936.34000000,975.00000000,798.27000000,846.23000000,936.34000000,975.00000000,798.27000000,846.23000000,209417.33536000,209417.33536000
2018-06-10,1169.68000000,1213.06000000,891.73000000,934.99000000,1169.68000000,1213.06000000,891.73000000,934.99000000,322683.35330000,322683.35330000
2018-06-03,993.93000000,1195.00000000,868.00000000,1168.32000000,993.93000000,1195.00000000,868.00000000,1168.32000000,238652.86747000,238652.86747000
