timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,116.00000000,116.70000000,115.90000000,116.60000000,116.00000000,116.70000000,115.90000000,116.60000000,1675.48700000,1675.48700000
2023-05-07,117.60000000,121.00000000,115.10000000,116.10000000,117.60000000,121.00000000,115.10000000,116.10000000,163774.17900000,163774.17900000
2023-04-30,119.80000000,123.40000000,111.50000000,117.70000000,119.80000000,123.40000000,111.50000000,117.70000000,304772.96000000,304772.96000000
2023-04-23,134.30000000,134.50000000,117.90000000,119.80000000,134.30000000,134.50000000,117.90000000,119.80000000,286755.02200000,286755.02200000
2023-04-16,125.50000000,136.10000000,124.00000000,134.40000000,125.50000000,136.10000000,124.00000000,134.40000000,308129.34100000,308129.34100000
2023-04-09,123.00000000,130.00000000,119.50000000,125.60000000,123.00000000,130.00000000,119.50000000,125.60000000,303902.71600000,303902.71600000
2023-04-02,124.70000000,127.60000000,116.60000000,123.00000000,124.70000000,127.60000000,116.60000000,123.00000000,348889.99500000,348889.99500000
2023-03-26,135.80000000,139.50000000,121.50000000,124.70000000,135.80000000,139.50000000,121.50000000,124.70000000,428696.06900000,428696.06900000
2023-03-19,120.30000000,140.00000000,119.10000000,135.70000000,120.30000000,140.00000000,119.10000000,135.70000000,440269.89100000,440269.89100000
2023-03-12,124.00000000,126.00000000,105.10000000,120.20000000,124.00000000,126.00000000,105.10000000,120.20000000,327872.72200000,327872.72200000
2023-03-05,136.30000000,138.20000000,120.00000000,124.00000000,136.30000000,138.20000000,120.00000000,124.00000000,221514.57200000,221514.57200000
2023-02-26,136.10000000,154.40000000,129.50000000,136.30000000,136.10000000,154.40000000,129.50000000,136.30000000,461781.96700000,461781.96700000
2023-02-19,122.80000000,141.10000000,119.70000000,136.00000000,122.80000000,141.10000000,119.70000000,136.00000000,398365.59500000,398365.59500000
2023-02-12,134.40000000,137.60000000,121.20000000,122.90000000,134.40000000,137.60000000,121.20000000,122.90000000,314683.88300000,314683.88300000
2023-02-05,136.50000000,143.60000000,127.40000000,134.40000000,136.50000000,143.60000000,127.40000000,134.40000000,350233.61600000,350233.61600000
2023-01-29,128.50000000,138.70000000,125.30000000,136.60000000,128.50000000,138.70000000,125.30000000,136.60000000,373829.43900000,373829.43900000
2023-01-22,124.90000000,134.20000000,115.20000000,128.60000000,124.90000000,134.20000000,115.20000000,128.60000000,486580.46400000,486580.46400000
2023-01-15,103.70000000,131.30000000,103.60000000,124.80000000,103.70000000,131.30000000,103.60000000,124.80000000,788800.59700000,788800.59700000
2023-01-08,96.80000000,104.00000000,95.50000000,103.70000000,96.80000000,104.00000000,95.50000000,103.70000000,341088.55200000,341088.55200000
2023-01-01,101.40000000,103.80000000,95.10000000,96.80000000,101.40000000,103.80000000,95.10000000,96.80000000,187793.81700000,187793.81700000
2022-12-25,102.00000000,103.00000000,97.90000000,101.40000000,102.00000000,103.00000000,97.90000000,101.40000000,159573.10300000,159573.10300000
2022-12-18,106.20000000,111.50000000,98.70000000,102.00000000,106.20000000,111.50000000,98.70000000,102.00000000,398944.43000000,398944.43000000
2022-12-11,111.10000000,117.00000000,105.90000000,106.30000000,111.10000000,117.00000000,105.90000000,106.30000000,353089.88100000,353089.88100000
2022-12-04,111.10000000,114.70000000,106.00000000,111.00000000,111.10000000,114.70000000,106.00000000,111.00000000,327027.78800000,327027.78800000
2022-11-27,104.90000000,119.90000000,100.50000000,111.20000000,104.90000000,119.90000000,100.50000000,111.20000000,638192.30300000,638192.30300000
2022-11-20,99.60000000,109.90000000,96.20000000,104.80000000,99.60000000,109.90000000,96.20000000,104.80000000,561492.72100000,561492.72100000
2022-11-13,116.70000000,119.40000000,87.00000000,99.60000000,116.70000000,119.40000000,87.00000000,99.60000000,1014814.35522000,1014814.35522000
2022-11-06,116.20000000,126.00000000,111.90000000,116.70000000,116.20000000,126.00000000,111.90000000,116.70000000,595561.18700000,595561.18700000
2022-10-30,110.90000000,120.70000000,107.40000000,116.10000000,110.90000000,120.70000000,107.40000000,116.10000000,426817.73800000,426817.73800000
2022-10-23,110.30000000,111.60000000,102.80000000,110.80000000,110.30000000,111.60000000,102.80000000,110.80000000,232061.63500000,232061.63500000
2022-10-16,117.20000000,118.10000000,101.80000000,110.30000000,117.20000000,118.10000000,101.80000000,110.30000000,411752.58700000,411752.58700000
2022-10-09,114.20000000,123.80000000,113.50000000,117.20000000,114.20000000,123.80000000,113.50000000,117.20000000,399613.37600000,399613.37600000
2022-10-02,113.50000000,125.00000000,110.10000000,114.30000000,113.50000000,125.00000000,110.10000000,114.30000000,614307.77500000,614307.77500000
2022-09-25,111.70000000,122.30000000,106.40000000,113.50000000,111.70000000,122.30000000,106.40000000,113.50000000,627303.40300000,627303.40300000
2022-09-18,130.30000000,133.80000000,110.50000000,111.80000000,130.30000000,133.80000000,110.50000000,111.80000000,748655.84500000,748655.84500000
2022-09-11,118.40000000,140.20000000,110.30000000,130.30000000,118.40000000,140.20000000,110.30000000,130.30000000,1058031.94000000,1058031.94000000
2022-09-04,112.60000000,123.50000000,110.80000000,118.30000000,112.60000000,123.50000000,110.80000000,118.30000000,578671.75900000,578671.75900000
2022-08-28,119.80000000,139.30000000,111.70000000,112.60000000,119.80000000,139.30000000,111.70000000,112.60000000,814288.99600000,814288.99600000
2022-08-21,139.50000000,144.90000000,111.30000000,119.70000000,139.50000000,144.90000000,111.30000000,119.70000000,705737.68300000,705737.68300000
2022-08-14,141.00000000,148.80000000,131.40000000,139.50000000,141.00000000,148.80000000,131.40000000,139.50000000,673485.69400000,673485.69400000
2022-08-07,139.30000000,143.90000000,128.70000000,141.00000000,139.30000000,143.90000000,128.70000000,141.00000000,661994.40600000,661994.40600000
2022-07-31,131.90000000,165.50000000,113.60000000,139.30000000,131.90000000,165.50000000,113.60000000,139.30000000,1581578.42300000,1581578.42300000
2022-07-24,110.30000000,135.00000000,110.00000000,131.90000000,110.30000000,135.00000000,110.00000000,131.90000000,1191393.96900000,1191393.96900000
2022-07-17,106.80000000,116.30000000,95.20000000,110.30000000,106.80000000,116.30000000,95.20000000,110.30000000,670363.09600000,670363.09600000
2022-07-10,105.70000000,113.70000000,101.70000000,106.80000000,105.70000000,113.70000000,101.70000000,106.80000000,581993.09100000,581993.09100000
2022-07-03,112.90000000,117.20000000,97.20000000,105.70000000,112.90000000,117.20000000,97.20000000,105.70000000,859634.17600000,859634.17600000
