timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.06710000,0.06750000,0.06680000,0.06730000,0.06710000,0.06750000,0.06680000,0.06730000,435656.00000000,435656.00000000
2023-05-07,0.07560000,0.07620000,0.06680000,0.06720000,0.07560000,0.07620000,0.06680000,0.06720000,84550343.00000000,84550343.00000000
2023-04-30,0.07550000,0.08020000,0.07140000,0.07560000,0.07550000,0.08020000,0.07140000,0.07560000,151002858.00000000,151002858.00000000
2023-04-23,0.09380000,0.09660000,0.07320000,0.07550000,0.09380000,0.09660000,0.07320000,0.07550000,136560448.00000000,136560448.00000000
2023-04-16,0.08600000,0.09440000,0.08310000,0.09380000,0.08600000,0.09440000,0.08310000,0.09380000,209238648.00000000,209238648.00000000
2023-04-09,0.08240000,0.08910000,0.07860000,0.08590000,0.08240000,0.08910000,0.07860000,0.08590000,148358025.00000000,148358025.00000000
2023-04-02,0.08160000,0.08820000,0.07330000,0.08240000,0.08160000,0.08820000,0.07330000,0.08240000,175740466.00000000,175740466.00000000
2023-03-26,0.09210000,0.09330000,0.07740000,0.08160000,0.09210000,0.09330000,0.07740000,0.08160000,200083759.00000000,200083759.00000000
2023-03-19,0.07790000,0.09500000,0.07430000,0.09190000,0.07790000,0.09500000,0.07430000,0.09190000,292755832.00000000,292755832.00000000
2023-03-12,0.09330000,0.09410000,0.06460000,0.07800000,0.09330000,0.09410000,0.06460000,0.07800000,233599861.00000000,233599861.00000000
2023-03-05,0.11120000,0.11990000,0.09000000,0.09330000,0.11120000,0.11990000,0.09000000,0.09330000,322795294.00000000,322795294.00000000
2023-02-26,0.11320000,0.13880000,0.10110000,0.11120000,0.11320000,0.13880000,0.10110000,0.11120000,460899932.00000000,460899932.00000000
2023-02-19,0.08840000,0.12700000,0.07770000,0.11310000,0.08840000,0.12700000,0.07770000,0.11310000,787946116.00000000,787946116.00000000
2023-02-12,0.08820000,0.13000000,0.08290000,0.08830000,0.08820000,0.13000000,0.08290000,0.08830000,834497902.00000000,834497902.00000000
2023-02-05,0.07300000,0.11230000,0.06750000,0.08820000,0.07300000,0.11230000,0.06750000,0.08820000,1096146864.00000000,1096146864.00000000
2023-01-29,0.06950000,0.07600000,0.06650000,0.07290000,0.06950000,0.07600000,0.06650000,0.07290000,196575524.00000000,196575524.00000000
2023-01-22,0.06370000,0.07380000,0.05760000,0.06940000,0.06370000,0.07380000,0.05760000,0.06940000,286825289.00000000,286825289.00000000
2023-01-15,0.05590000,0.06700000,0.05370000,0.06380000,0.05590000,0.06700000,0.05370000,0.06380000,148120033.00000000,148120033.00000000
2023-01-08,0.04970000,0.05600000,0.04890000,0.05590000,0.04970000,0.05600000,0.04890000,0.05590000,74050155.00000000,74050155.00000000
2023-01-01,0.05260000,0.05410000,0.04820000,0.04960000,0.05260000,0.05410000,0.04820000,0.04960000,73750651.00000000,73750651.00000000
2022-12-25,0.05360000,0.05490000,0.05020000,0.05250000,0.05360000,0.05490000,0.05020000,0.05250000,67747194.00000000,67747194.00000000
2022-12-18,0.06260000,0.06670000,0.05180000,0.05360000,0.06260000,0.06670000,0.05180000,0.05360000,155953174.00000000,155953174.00000000
2022-12-11,0.06530000,0.06730000,0.06120000,0.06260000,0.06530000,0.06730000,0.06120000,0.06260000,111927702.00000000,111927702.00000000
2022-12-04,0.06120000,0.06980000,0.05830000,0.06520000,0.06120000,0.06980000,0.05830000,0.06520000,227966651.00000000,227966651.00000000
2022-11-27,0.05650000,0.06350000,0.05300000,0.06130000,0.05650000,0.06350000,0.05300000,0.06130000,177284096.00000000,177284096.00000000
2022-11-20,0.05640000,0.06360000,0.05310000,0.05650000,0.05640000,0.06360000,0.05310000,0.05650000,200070719.00000000,200070719.00000000
2022-11-13,0.07960000,0.08230000,0.05090000,0.05650000,0.07960000,0.08230000,0.05090000,0.05650000,474885491.00000000,474885491.00000000
2022-11-06,0.07990000,0.09280000,0.07070000,0.07960000,0.07990000,0.09280000,0.07070000,0.07960000,501466296.00000000,501466296.00000000
2022-10-30,0.07680000,0.08490000,0.07340000,0.07990000,0.07680000,0.08490000,0.07340000,0.07990000,188050614.00000000,188050614.00000000
2022-10-23,0.07830000,0.08140000,0.07050000,0.07680000,0.07830000,0.08140000,0.07050000,0.07680000,96960068.00000000,96960068.00000000
2022-10-16,0.08380000,0.08460000,0.06900000,0.07820000,0.08380000,0.08460000,0.06900000,0.07820000,148595833.00000000,148595833.00000000
2022-10-09,0.09000000,0.09330000,0.08170000,0.08380000,0.09000000,0.09330000,0.08170000,0.08380000,142892574.00000000,142892574.00000000
2022-10-02,0.07940000,0.11450000,0.07820000,0.09010000,0.07940000,0.11450000,0.07820000,0.09010000,443953518.00000000,443953518.00000000
2022-09-25,0.07900000,0.08540000,0.07640000,0.07950000,0.07900000,0.08540000,0.07640000,0.07950000,210095505.00000000,210095505.00000000
2022-09-18,0.08650000,0.09150000,0.07600000,0.07900000,0.08650000,0.09150000,0.07600000,0.07900000,325432551.00000000,325432551.00000000
2022-09-11,0.09670000,0.09750000,0.08180000,0.08640000,0.09670000,0.09750000,0.08180000,0.08640000,274891046.00000000,274891046.00000000
2022-09-04,0.10370000,0.11300000,0.09040000,0.09660000,0.10370000,0.11300000,0.09040000,0.09660000,312472283.00000000,312472283.00000000
2022-08-28,0.07980000,0.19190000,0.07470000,0.10350000,0.07980000,0.19190000,0.07470000,0.10350000,2218304892.00000000,2218304892.00000000
2022-08-21,0.09780000,0.10120000,0.07210000,0.07980000,0.09780000,0.10120000,0.07210000,0.07980000,252378679.00000000,252378679.00000000
2022-08-14,0.10220000,0.11140000,0.09610000,0.09760000,0.10220000,0.11140000,0.09610000,0.09760000,154942142.00000000,154942142.00000000
2022-08-07,0.10200000,0.10950000,0.09700000,0.10220000,0.10200000,0.10950000,0.09700000,0.10220000,141937812.00000000,141937812.00000000
2022-07-31,0.10080000,0.11490000,0.08610000,0.10200000,0.10080000,0.11490000,0.08610000,0.10200000,336001703.00000000,336001703.00000000
2022-07-24,0.09140000,0.11680000,0.09140000,0.10070000,0.09140000,0.11680000,0.09140000,0.10070000,326376535.00000000,326376535.00000000
2022-07-17,0.09580000,0.09870000,0.07670000,0.09150000,0.09580000,0.09870000,0.07670000,0.09150000,218353583.00000000,218353583.00000000
2022-07-10,0.08730000,0.10430000,0.08550000,0.09570000,0.08730000,0.10430000,0.08550000,0.09570000,273879379.00000000,273879379.00000000
2022-07-03,0.09040000,0.09650000,0.08190000,0.08730000,0.09040000,0.09650000,0.08190000,0.08730000,277784574.00000000,277784574.00000000
2022-06-26,0.09060000,0.10540000,0.08110000,0.09050000,0.09060000,0.10540000,0.08110000,0.09050000,560348374.00000000,560348374.00000000
2022-06-19,0.13810000,0.14040000,0.07770000,0.09060000,0.13810000,0.14040000,0.07770000,0.09060000,701211336.00000000,701211336.00000000
2022-06-12,0.10670000,0.22000000,0.09960000,0.13810000,0.10670000,0.22000000,0.09960000,0.13810000,2072411498.00000000,2072411498.00000000
2022-06-05,0.08840000,0.11800000,0.07260000,0.10660000,0.08840000,0.11800000,0.07260000,0.10660000,494806915.00000000,494806915.00000000
2022-05-29,0.08020000,0.08950000,0.06800000,0.08850000,0.08020000,0.08950000,0.06800000,0.08850000,274632276.00000000,274632276.00000000
2022-05-22,0.07720000,0.08360000,0.06670000,0.08030000,0.07720000,0.08360000,0.06670000,0.08030000,216470183.00000000,216470183.00000000
2022-05-15,0.11430000,0.11670000,0.04650000,0.07730000,0.11430000,0.11670000,0.04650000,0.07730000,412273410.39999998,412273410.39999998
2022-05-08,0.12810000,0.14000000,0.11310000,0.11430000,0.12810000,0.14000000,0.11310000,0.11430000,90808232.00000000,90808232.00000000
2022-05-01,0.14900000,0.14920000,0.11750000,0.12810000,0.14900000,0.14920000,0.11750000,0.12810000,74531851.00000000,74531851.00000000
2022-04-24,0.15310000,0.16990000,0.14520000,0.14890000,0.15310000,0.16990000,0.14520000,0.14890000,55856393.00000000,55856393.00000000
2022-04-17,0.16370000,0.16560000,0.14670000,0.15310000,0.16370000,0.16560000,0.14670000,0.15310000,69298428.00000000,69298428.00000000
2022-04-10,0.21510000,0.23580000,0.16290000,0.16370000,0.21510000,0.23580000,0.16290000,0.16370000,145896421.00000000,145896421.00000000
2022-04-03,0.18600000,0.22740000,0.17720000,0.21500000,0.18600000,0.22740000,0.17720000,0.21500000,280435913.00000000,280435913.00000000
2022-03-27,0.14450000,0.18970000,0.14140000,0.18610000,0.14450000,0.18970000,0.14140000,0.18610000,151404504.00000000,151404504.00000000
2022-03-20,0.12790000,0.15660000,0.12620000,0.14440000,0.12790000,0.15660000,0.12620000,0.14440000,118127390.00000000,118127390.00000000
2022-03-13,0.13690000,0.17740000,0.12730000,0.12810000,0.13690000,0.17740000,0.12730000,0.12810000,168808028.00000000,168808028.00000000
