timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,321.00000000,322.10000000,320.30000000,321.80000000,321.00000000,322.10000000,320.30000000,321.80000000,14267.12500000,14267.12500000
2023-05-07,337.50000000,339.60000000,319.50000000,321.00000000,337.50000000,339.60000000,319.50000000,321.00000000,2724467.89300000,2724467.89300000
2023-04-30,330.60000000,345.00000000,318.70000000,337.50000000,330.60000000,345.00000000,318.70000000,337.50000000,3971302.28900000,3971302.28900000
2023-04-23,347.70000000,350.00000000,315.30000000,330.70000000,347.70000000,350.00000000,315.30000000,330.70000000,3530210.00000000,3530210.00000000
2023-04-16,312.80000000,350.00000000,311.50000000,347.70000000,312.80000000,350.00000000,311.50000000,347.70000000,3365890.56200000,3365890.56200000
2023-04-09,313.80000000,316.80000000,299.50000000,312.80000000,313.80000000,316.80000000,299.50000000,312.80000000,1819139.98900000,1819139.98900000
2023-04-02,328.60000000,329.80000000,305.90000000,313.70000000,328.60000000,329.80000000,305.90000000,313.70000000,2332856.85700000,2332856.85700000
2023-03-26,336.70000000,339.90000000,316.00000000,328.60000000,336.70000000,339.90000000,316.00000000,328.60000000,3487107.10600000,3487107.10600000
2023-03-19,288.10000000,346.30000000,286.10000000,336.70000000,288.10000000,346.30000000,286.10000000,336.70000000,5151418.93300000,5151418.93300000
2023-03-12,288.80000000,294.30000000,265.00000000,288.10000000,288.80000000,294.30000000,265.00000000,288.10000000,2076653.63500000,2076653.63500000
2023-03-05,308.70000000,309.40000000,285.80000000,288.70000000,308.70000000,309.40000000,285.80000000,288.70000000,1345834.73600000,1345834.73600000
2023-02-26,311.50000000,319.80000000,295.50000000,308.70000000,311.50000000,319.80000000,295.50000000,308.70000000,2227315.29500000,2227315.29500000
2023-02-19,312.60000000,327.80000000,282.80000000,311.50000000,312.60000000,327.80000000,282.80000000,311.50000000,4011973.93800000,4011973.93800000
2023-02-12,327.80000000,335.80000000,302.00000000,312.60000000,327.80000000,335.80000000,302.00000000,312.60000000,2150122.27900000,2150122.27900000
2023-02-05,317.10000000,337.80000000,302.00000000,327.80000000,317.10000000,337.80000000,302.00000000,327.80000000,2858614.07300000,2858614.07300000
2023-01-29,303.10000000,323.50000000,293.40000000,317.20000000,303.10000000,323.50000000,293.40000000,317.20000000,2652830.79100000,2652830.79100000
