timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.45350000,0.45720000,0.45310000,0.45600000,0.45350000,0.45720000,0.45310000,0.45600000,37771.00000000,37771.00000000
2023-05-07,0.46710000,0.48770000,0.45300000,0.45380000,0.46710000,0.48770000,0.45300000,0.45380000,3772203.20000000,3772203.20000000
2023-04-30,0.47900000,0.50010000,0.44910000,0.46720000,0.47900000,0.50010000,0.44910000,0.46720000,4635555.30000000,4635555.30000000
2023-04-23,0.54160000,0.54900000,0.46600000,0.47990000,0.54160000,0.54900000,0.46600000,0.47990000,7652396.30000000,7652396.30000000
2023-04-16,0.60150000,0.63260000,0.51530000,0.54160000,0.60150000,0.63260000,0.51530000,0.54160000,39797425.40000000,39797425.40000000
2023-04-09,0.55080000,0.64220000,0.53730000,0.60150000,0.55080000,0.64220000,0.53730000,0.60150000,11029788.70000000,11029788.70000000
2023-04-02,0.56120000,0.58000000,0.52860000,0.55120000,0.56120000,0.58000000,0.52860000,0.55120000,5440659.80000000,5440659.80000000
2023-03-26,0.56240000,0.62000000,0.54050000,0.56070000,0.56240000,0.62000000,0.54050000,0.56070000,16102406.10000000,16102406.10000000
2023-03-19,0.42100000,0.58800000,0.41000000,0.56230000,0.42100000,0.58800000,0.41000000,0.56230000,27927827.90000000,27927827.90000000
2023-03-12,0.43900000,0.45100000,0.37400000,0.42000000,0.43900000,0.45100000,0.37400000,0.42000000,6909940.40000000,6909940.40000000
2023-03-05,0.48000000,0.49000000,0.43200000,0.43900000,0.48000000,0.49000000,0.43200000,0.43900000,6120438.20000000,6120438.20000000
2023-02-26,0.48600000,0.56500000,0.45800000,0.48100000,0.48600000,0.56500000,0.45800000,0.48100000,16170919.80000000,16170919.80000000
2023-02-19,0.43800000,0.50700000,0.41200000,0.48500000,0.43800000,0.50700000,0.41200000,0.48500000,8587908.40000000,8587908.40000000
2023-02-12,0.44000000,0.49700000,0.42300000,0.43800000,0.44000000,0.49700000,0.42300000,0.43800000,14535395.40000000,14535395.40000000
2023-02-05,0.43900000,0.46900000,0.40500000,0.44000000,0.43900000,0.46900000,0.40500000,0.44000000,13105496.60000000,13105496.60000000
2023-01-29,0.41600000,0.44200000,0.39600000,0.44000000,0.41600000,0.44200000,0.39600000,0.44000000,10187585.10000000,10187585.10000000
2023-01-22,0.40900000,0.43000000,0.37600000,0.41500000,0.40900000,0.43000000,0.37600000,0.41500000,7112960.00000000,7112960.00000000
2023-01-15,0.35300000,0.41500000,0.35200000,0.40900000,0.35300000,0.41500000,0.35200000,0.40900000,9358711.30000000,9358711.30000000
2023-01-08,0.36500000,0.36800000,0.33600000,0.35200000,0.36500000,0.36800000,0.33600000,0.35200000,10417732.90000000,10417732.90000000
2023-01-01,0.34000000,0.49400000,0.32100000,0.36400000,0.34000000,0.49400000,0.32100000,0.36400000,31526974.50000000,31526974.50000000
2022-12-25,0.34600000,0.35500000,0.33200000,0.34000000,0.34600000,0.35500000,0.33200000,0.34000000,2987460.70000000,2987460.70000000
2022-12-18,0.37700000,0.38400000,0.33100000,0.34600000,0.37700000,0.38400000,0.33100000,0.34600000,7238866.30000000,7238866.30000000
2022-12-11,0.38300000,0.43800000,0.36400000,0.37700000,0.38300000,0.43800000,0.36400000,0.37700000,17502948.40000000,17502948.40000000
2022-12-04,0.36600000,0.41100000,0.35200000,0.38300000,0.36600000,0.41100000,0.35200000,0.38300000,10789476.20000000,10789476.20000000
2022-11-27,0.34100000,0.38600000,0.33200000,0.36700000,0.34100000,0.38600000,0.33200000,0.36700000,10549700.80000000,10549700.80000000
2022-11-20,0.35500000,0.38000000,0.34000000,0.34200000,0.35500000,0.38000000,0.34000000,0.34200000,5055306.00000000,5055306.00000000
2022-11-13,0.48100000,0.50500000,0.34900000,0.35500000,0.48100000,0.50500000,0.34900000,0.35500000,20474351.30000000,20474351.30000000
2022-11-06,0.48300000,0.52700000,0.45200000,0.48100000,0.48300000,0.52700000,0.45200000,0.48100000,11004418.30000000,11004418.30000000
2022-10-30,0.43300000,0.49700000,0.41800000,0.48200000,0.43300000,0.49700000,0.41800000,0.48200000,18461552.40000000,18461552.40000000
2022-10-23,0.42500000,0.44400000,0.40200000,0.43100000,0.42500000,0.44400000,0.40200000,0.43100000,6778812.10000000,6778812.10000000
2022-10-16,0.43200000,0.48700000,0.39700000,0.42500000,0.43200000,0.48700000,0.39700000,0.42500000,17429548.50000000,17429548.50000000
2022-10-09,0.42300000,0.45700000,0.41900000,0.43300000,0.42300000,0.45700000,0.41900000,0.43300000,5132924.20000000,5132924.20000000
2022-10-02,0.43500000,0.53500000,0.42000000,0.42400000,0.43500000,0.53500000,0.42000000,0.42400000,32356424.40000000,32356424.40000000
2022-09-25,0.44000000,0.46200000,0.41000000,0.43500000,0.44000000,0.46200000,0.41000000,0.43500000,7058687.70000000,7058687.70000000
2022-09-18,0.51100000,0.65700000,0.43900000,0.44000000,0.51100000,0.65700000,0.43900000,0.44000000,25167317.80000000,25167317.80000000
2022-09-11,0.46800000,0.63500000,0.43400000,0.51100000,0.46800000,0.63500000,0.43400000,0.51100000,25743798.00000000,25743798.00000000
2022-09-04,0.43500000,0.47800000,0.43400000,0.46800000,0.43500000,0.47800000,0.43400000,0.46800000,10817269.90000000,10817269.90000000
2022-08-28,0.49000000,0.50000000,0.43400000,0.43500000,0.49000000,0.50000000,0.43400000,0.43500000,10065190.70000000,10065190.70000000
2022-08-21,0.59500000,0.60900000,0.45800000,0.49100000,0.59500000,0.60900000,0.45800000,0.49100000,11929647.70000000,11929647.70000000
2022-08-14,0.59200000,0.67500000,0.56300000,0.59500000,0.59200000,0.67500000,0.56300000,0.59500000,28881942.20000000,28881942.20000000
2022-08-07,0.56300000,0.62000000,0.52200000,0.59200000,0.56300000,0.62000000,0.52200000,0.59200000,15383923.50000000,15383923.50000000
2022-07-31,0.53000000,0.60600000,0.46900000,0.56300000,0.53000000,0.60600000,0.46900000,0.56300000,25225901.80000000,25225901.80000000
2022-07-24,0.47900000,0.55300000,0.47700000,0.52900000,0.47900000,0.55300000,0.47700000,0.52900000,22241756.60000000,22241756.60000000
2022-07-17,0.48300000,0.57000000,0.41600000,0.47800000,0.48300000,0.57000000,0.41600000,0.47800000,16818637.80000000,16818637.80000000
2022-07-10,0.48800000,0.52600000,0.46800000,0.48400000,0.48800000,0.52600000,0.46800000,0.48400000,12445701.00000000,12445701.00000000
2022-07-03,0.52800000,0.54300000,0.45800000,0.48900000,0.52800000,0.54300000,0.45800000,0.48900000,17066366.10000000,17066366.10000000
2022-06-26,0.51800000,0.56900000,0.48100000,0.52900000,0.51800000,0.56900000,0.48100000,0.52900000,24277420.20000000,24277420.20000000
2022-06-19,1.00600000,1.03100000,0.43700000,0.51800000,1.00600000,1.03100000,0.43700000,0.51800000,32365332.69000000,32365332.69000000
2022-06-12,1.26400000,1.34900000,1.00100000,1.00500000,1.26400000,1.34900000,1.00100000,1.00500000,4314656.30000000,4314656.30000000
2022-06-05,1.26800000,1.47900000,1.18400000,1.26400000,1.26800000,1.47900000,1.18400000,1.26400000,3782632.80000000,3782632.80000000
2022-05-29,1.41300000,1.44600000,1.20100000,1.26600000,1.41300000,1.44600000,1.20100000,1.26600000,2307612.20000000,2307612.20000000
2022-05-22,1.51100000,1.63500000,1.31600000,1.41300000,1.51100000,1.63500000,1.31600000,1.41300000,3797349.90000000,3797349.90000000
2022-05-15,1.80000000,1.82300000,1.25100000,1.51100000,1.80000000,1.82300000,1.25100000,1.51100000,6500310.73000000,6500310.73000000
