timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00961000,0.00967000,0.00952000,0.00961000,0.00961000,0.00967000,0.00952000,0.00961000,2884523.90000000,2884523.90000000
2023-05-07,0.01017000,0.01090000,0.00930000,0.00961000,0.01017000,0.01090000,0.00930000,0.00961000,175811156.89999998,175811156.89999998
2023-04-30,0.00981000,0.01161000,0.00964000,0.01016000,0.00981000,0.01161000,0.00964000,0.01016000,450683469.19999999,450683469.19999999
2023-04-23,0.01181000,0.01192000,0.00953000,0.00982000,0.01181000,0.01192000,0.00953000,0.00982000,182501542.89999998,182501542.89999998
2023-04-16,0.01164000,0.01185000,0.01114000,0.01178000,0.01164000,0.01185000,0.01114000,0.01178000,186288470.30000001,186288470.30000001
2023-04-09,0.01151000,0.01307000,0.01107000,0.01164000,0.01151000,0.01307000,0.01107000,0.01164000,313902371.30000001,313902371.30000001
2023-04-02,0.01137000,0.01200000,0.01081000,0.01151000,0.01137000,0.01200000,0.01081000,0.01151000,251395966.79999998,251395966.79999998
2023-03-26,0.01168000,0.01248000,0.01100000,0.01138000,0.01168000,0.01248000,0.01100000,0.01138000,205312220.79999998,205312220.79999998
2023-03-19,0.01037000,0.01363000,0.01015000,0.01166000,0.01037000,0.01363000,0.01015000,0.01166000,888542897.40000010,888542897.40000010
2023-03-12,0.01181000,0.01224000,0.00923000,0.01039000,0.01181000,0.01224000,0.00923000,0.01039000,437860226.80000001,437860226.80000001
2023-03-05,0.01158000,0.01573000,0.01060000,0.01184000,0.01158000,0.01573000,0.01060000,0.01184000,1197172508.20000005,1197172508.20000005
2023-02-26,0.01174000,0.01465000,0.01084000,0.01157000,0.01174000,0.01465000,0.01084000,0.01157000,559794364.70000005,559794364.70000005
2023-02-19,0.01059000,0.01204000,0.01001000,0.01171000,0.01059000,0.01204000,0.01001000,0.01171000,312183948.90000004,312183948.90000004
2023-02-12,0.01110000,0.01188000,0.01038000,0.01062000,0.01110000,0.01188000,0.01038000,0.01062000,245098208.00000000,245098208.00000000
2023-02-05,0.01195000,0.01275000,0.01081000,0.01112000,0.01195000,0.01275000,0.01081000,0.01112000,605275770.39999998,605275770.39999998
2023-01-29,0.01069000,0.01663000,0.00970000,0.01196000,0.01069000,0.01663000,0.00970000,0.01196000,1751138196.20000029,1751138196.20000029
2023-01-22,0.01027000,0.01106000,0.00971000,0.01069000,0.01027000,0.01106000,0.00971000,0.01069000,186480028.40000001,186480028.40000001
2023-01-15,0.00896000,0.01049000,0.00893000,0.01031000,0.00896000,0.01049000,0.00893000,0.01031000,245045329.99999997,245045329.99999997
2023-01-08,0.00844000,0.00932000,0.00836000,0.00896000,0.00844000,0.00932000,0.00836000,0.00896000,164594310.50000000,164594310.50000000
2023-01-01,0.00889000,0.00971000,0.00826000,0.00842000,0.00889000,0.00971000,0.00826000,0.00842000,160076372.59999999,160076372.59999999
2022-12-25,0.00857000,0.01087000,0.00800000,0.00891000,0.00857000,0.01087000,0.00800000,0.00891000,903485045.50000000,903485045.50000000
2022-12-18,0.00946000,0.01111000,0.00815000,0.00855000,0.00946000,0.01111000,0.00815000,0.00855000,507490568.79999995,507490568.79999995
2022-12-11,0.01010000,0.01118000,0.00942000,0.00946000,0.01010000,0.01118000,0.00942000,0.00946000,371651086.19999999,371651086.19999999
2022-12-04,0.00820000,0.01535000,0.00776000,0.01009000,0.00820000,0.01535000,0.00776000,0.01009000,3211166268.59999990,3211166268.59999990
2022-11-27,0.00742000,0.01263000,0.00721000,0.00820000,0.00742000,0.01263000,0.00721000,0.00820000,501447822.30000007,501447822.30000007
2022-11-20,0.00778000,0.00822000,0.00725000,0.00742000,0.00778000,0.00822000,0.00725000,0.00742000,138153003.09999999,138153003.09999999
2022-11-13,0.01067000,0.01102000,0.00691000,0.00776000,0.01067000,0.01102000,0.00691000,0.00776000,191208909.09999999,191208909.09999999
2022-11-06,0.01059000,0.01152000,0.01006000,0.01068000,0.01059000,0.01152000,0.01006000,0.01068000,158406586.79999998,158406586.79999998
2022-10-30,0.01006000,0.01072000,0.00990000,0.01059000,0.01006000,0.01072000,0.00990000,0.01059000,103960029.70000000,103960029.70000000
2022-10-23,0.01030000,0.01180000,0.00963000,0.01006000,0.01030000,0.01180000,0.00963000,0.01006000,215998583.10000002,215998583.10000002
2022-10-16,0.01054000,0.01124000,0.00861000,0.01032000,0.01054000,0.01124000,0.00861000,0.01032000,309912563.59999996,309912563.59999996
2022-10-09,0.01030000,0.01189000,0.01027000,0.01056000,0.01030000,0.01189000,0.01027000,0.01056000,226691694.70000002,226691694.70000002
2022-10-02,0.01063000,0.01264000,0.01025000,0.01030000,0.01063000,0.01264000,0.01025000,0.01030000,429844017.69999993,429844017.69999993
2022-09-25,0.01031000,0.01683000,0.00962000,0.01062000,0.01031000,0.01683000,0.00962000,0.01062000,2028171115.29999971,2028171115.29999971
2022-09-18,0.01180000,0.01260000,0.01026000,0.01032000,0.01180000,0.01260000,0.01026000,0.01032000,424367065.20000005,424367065.20000005
2022-09-11,0.01005000,0.01268000,0.00923000,0.01179000,0.01005000,0.01268000,0.00923000,0.01179000,452519815.19999999,452519815.19999999
2022-09-04,0.00986000,0.01055000,0.00971000,0.01002000,0.00986000,0.01055000,0.00971000,0.01002000,74261967.89999999,74261967.89999999
