timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-01-17,0.00267700,0.00279500,0.00266000,0.00277700,0.00267700,0.00279500,0.00266000,0.00277700,3702123193.00000000,3702123193.00000000
2022-01-16,0.00246700,0.00273500,0.00229000,0.00267700,0.00246700,0.00273500,0.00229000,0.00267700,78597737805.00000000,78597737805.00000000
2022-01-09,0.00281600,0.00319000,0.00234500,0.00246900,0.00281600,0.00319000,0.00234500,0.00246900,98316564687.00000000,98316564687.00000000
2022-01-02,0.00282200,0.00310600,0.00262600,0.00281600,0.00282200,0.00310600,0.00262600,0.00281600,106628974378.00000000,106628974378.00000000
2021-12-26,0.00265100,0.00299800,0.00247100,0.00282200,0.00265100,0.00299800,0.00247100,0.00282200,68190283545.00000000,68190283545.00000000
2021-12-19,0.00328300,0.00333000,0.00252200,0.00265200,0.00328300,0.00333000,0.00252200,0.00265200,81363087473.00000000,81363087473.00000000
2021-12-12,0.00246600,0.00419800,0.00231600,0.00328200,0.00246600,0.00419800,0.00231600,0.00328200,400626190323.00000000,400626190323.00000000
2021-12-05,0.00316800,0.00324400,0.00200200,0.00246500,0.00316800,0.00324400,0.00200200,0.00246500,139197154801.00000000,139197154801.00000000
2021-11-28,0.00340100,0.00347000,0.00295500,0.00316600,0.00340100,0.00347000,0.00295500,0.00316600,100438655183.00000000,100438655183.00000000
2021-11-21,0.00379300,0.00398700,0.00318400,0.00340000,0.00379300,0.00398700,0.00318400,0.00340000,109373676913.00000000,109373676913.00000000
2021-11-14,0.00395700,0.00420000,0.00349100,0.00379100,0.00395700,0.00420000,0.00349100,0.00379100,96338153793.00000000,96338153793.00000000
2021-11-07,0.00413400,0.00425000,0.00364400,0.00395700,0.00413400,0.00425000,0.00364400,0.00395700,128100610846.00000000,128100610846.00000000
2021-10-31,0.00359800,0.00456700,0.00304200,0.00413400,0.00359800,0.00456700,0.00304200,0.00413400,212073630200.00000000,212073630200.00000000
2021-10-24,0.00360400,0.00387100,0.00351300,0.00359900,0.00360400,0.00387100,0.00351300,0.00359900,77732750249.00000000,77732750249.00000000
2021-10-17,0.00381300,0.00402000,0.00346300,0.00360400,0.00381300,0.00402000,0.00346300,0.00360400,66590411419.00000000,66590411419.00000000
2021-10-10,0.00355300,0.00442600,0.00332300,0.00381300,0.00355300,0.00442600,0.00332300,0.00381300,129055046769.00000000,129055046769.00000000
2021-10-03,0.00318300,0.00365900,0.00293000,0.00355300,0.00318300,0.00365900,0.00293000,0.00355300,42335758716.00000000,42335758716.00000000
2021-09-26,0.00383100,0.00383900,0.00302600,0.00318500,0.00383100,0.00383900,0.00302600,0.00318500,61590580433.00000000,61590580433.00000000
2021-09-19,0.00415300,0.00425000,0.00372800,0.00383100,0.00415300,0.00425000,0.00372800,0.00383100,52935623254.00000000,52935623254.00000000
2021-09-12,0.00493100,0.00504600,0.00308000,0.00415500,0.00493100,0.00504600,0.00308000,0.00415500,117301554288.00000000,117301554288.00000000
2021-09-05,0.00420500,0.00535000,0.00395300,0.00493100,0.00420500,0.00535000,0.00395300,0.00493100,148762137280.00000000,148762137280.00000000
2021-08-29,0.00434490,0.00460000,0.00382400,0.00420600,0.00434490,0.00460000,0.00382400,0.00420600,71391615353.00000000,71391615353.00000000
2021-08-22,0.00479720,0.00495000,0.00388820,0.00434500,0.00479720,0.00495000,0.00388820,0.00434500,100225707511.00000000,100225707511.00000000
2021-08-15,0.00372270,0.00502900,0.00365500,0.00479870,0.00372270,0.00502900,0.00365500,0.00479870,161669740205.00000000,161669740205.00000000
2021-08-08,0.00284880,0.00408860,0.00278000,0.00372290,0.00284880,0.00408860,0.00278000,0.00372290,123407663367.00000000,123407663367.00000000
2021-08-01,0.00229290,0.00308110,0.00228480,0.00284910,0.00229290,0.00308110,0.00228480,0.00284910,128439294037.00000000,128439294037.00000000
2021-07-25,0.00220900,0.00231930,0.00188690,0.00229210,0.00220900,0.00231930,0.00188690,0.00229210,49993081293.00000000,49993081293.00000000
2021-07-18,0.00252370,0.00255180,0.00212500,0.00220890,0.00252370,0.00255180,0.00212500,0.00220890,32151400333.00000000,32151400333.00000000
2021-07-11,0.00273460,0.00275310,0.00238020,0.00252370,0.00273460,0.00275310,0.00238020,0.00252370,33823371980.00000000,33823371980.00000000
2021-07-04,0.00249600,0.00289160,0.00243880,0.00273460,0.00249600,0.00289160,0.00243880,0.00273460,60996585688.00000000,60996585688.00000000
2021-06-27,0.00291460,0.00292610,0.00177500,0.00249590,0.00291460,0.00292610,0.00177500,0.00249590,161889530364.00000000,161889530364.00000000
2021-06-20,0.00352520,0.00358100,0.00265350,0.00291460,0.00352520,0.00358100,0.00265350,0.00291460,59684152029.00000000,59684152029.00000000
2021-06-13,0.00402700,0.00408200,0.00329300,0.00352520,0.00402700,0.00408200,0.00329300,0.00352520,83579083058.00000000,83579083058.00000000
2021-06-06,0.00364370,0.00458170,0.00349390,0.00402480,0.00364370,0.00458170,0.00349390,0.00402480,129133781029.00000000,129133781029.00000000
2021-05-30,0.00322120,0.00461500,0.00298400,0.00364350,0.00322120,0.00461500,0.00298400,0.00364350,166468218558.00000000,166468218558.00000000
2021-05-23,0.00578040,0.00578090,0.00256060,0.00322210,0.00578040,0.00578090,0.00256060,0.00322210,232552807050.00000000,232552807050.00000000
2021-05-16,0.00735990,0.00744440,0.00510000,0.00577940,0.00735990,0.00744440,0.00510000,0.00577940,211984156213.00000000,211984156213.00000000
2021-05-09,0.00698370,0.00922000,0.00621050,0.00735810,0.00698370,0.00922000,0.00621050,0.00735810,493436768168.00000000,493436768168.00000000
2021-05-02,0.00640990,0.00787000,0.00632050,0.00698490,0.00640990,0.00787000,0.00632050,0.00698490,265264222488.00000000,265264222488.00000000
2021-04-25,0.00803140,0.00831660,0.00423460,0.00640660,0.00803140,0.00831660,0.00423460,0.00640660,421444063083.00000000,421444063083.00000000
2021-04-18,0.00844610,0.01094000,0.00697090,0.00803140,0.00844610,0.01094000,0.00697090,0.00803140,567858528012.00000000,567858528012.00000000
2021-04-11,0.01026220,0.01357760,0.00747150,0.00844680,0.01026220,0.01357760,0.00747150,0.00844680,685208270146.00000000,685208270146.00000000
2021-04-04,0.00361070,0.01059020,0.00351200,0.01028590,0.00361070,0.01059020,0.00351200,0.01028590,898649113902.00000000,898649113902.00000000
2021-03-28,0.00363330,0.00413000,0.00292030,0.00361000,0.00363330,0.00413000,0.00292030,0.00361000,519752379627.00000000,519752379627.00000000
2021-03-21,0.00168180,0.00396000,0.00152700,0.00363010,0.00168180,0.00396000,0.00152700,0.00363010,706995745335.00000000,706995745335.00000000
2021-03-14,0.00125240,0.00199980,0.00121200,0.00168180,0.00125240,0.00199980,0.00121200,0.00168180,349682116412.00000000,349682116412.00000000
2021-03-07,0.00114320,0.00128000,0.00113090,0.00125230,0.00114320,0.00128000,0.00113090,0.00125230,115380572526.00000000,115380572526.00000000
2021-02-28,0.00173910,0.00198000,0.00101200,0.00114220,0.00173910,0.00198000,0.00101200,0.00114220,261160489322.00000000,261160489322.00000000
2021-02-21,0.00113890,0.00188520,0.00094450,0.00173780,0.00113890,0.00188520,0.00094450,0.00173780,326485122092.00000000,326485122092.00000000
2021-02-14,0.00049890,0.00202000,0.00049660,0.00113890,0.00049890,0.00202000,0.00049660,0.00113890,866498855420.00000000,866498855420.00000000
2021-02-07,0.00038180,0.00052440,0.00037220,0.00049880,0.00038180,0.00052440,0.00037220,0.00049880,140866656339.00000000,140866656339.00000000
2021-01-31,0.00037780,0.00045000,0.00033200,0.00038180,0.00037780,0.00045000,0.00033200,0.00038180,109835328998.00000000,109835328998.00000000
2021-01-24,0.00035910,0.00040490,0.00031810,0.00037740,0.00035910,0.00040490,0.00031810,0.00037740,80420529014.00000000,80420529014.00000000
2021-01-17,0.00042950,0.00043330,0.00031590,0.00035800,0.00042950,0.00043330,0.00031590,0.00035800,84001480667.00000000,84001480667.00000000
2021-01-10,0.00031280,0.00053470,0.00028960,0.00042890,0.00031280,0.00053470,0.00028960,0.00042890,130675743142.00000000,130675743142.00000000
2021-01-03,0.00029820,0.00036790,0.00028050,0.00031280,0.00029820,0.00036790,0.00028050,0.00031280,117553550410.00000000,117553550410.00000000
2020-12-27,0.00033640,0.00034120,0.00027000,0.00029800,0.00033640,0.00034120,0.00027000,0.00029800,100122548491.00000000,100122548491.00000000
2020-12-20,0.00031990,0.00034580,0.00031450,0.00033660,0.00031990,0.00034580,0.00031450,0.00033660,83818318663.00000000,83818318663.00000000
2020-12-13,0.00034540,0.00034580,0.00030270,0.00032000,0.00034540,0.00034580,0.00030270,0.00032000,67722892301.00000000,67722892301.00000000
2020-12-06,0.00031860,0.00041570,0.00031300,0.00034500,0.00031860,0.00041570,0.00031300,0.00034500,93906571457.00000000,93906571457.00000000
2020-11-29,0.00031170,0.00036800,0.00029140,0.00031870,0.00031170,0.00036800,0.00029140,0.00031870,99113346289.00000000,99113346289.00000000
2020-11-22,0.00029020,0.00032940,0.00028840,0.00031180,0.00029020,0.00032940,0.00028840,0.00031180,88919622262.00000000,88919622262.00000000
2020-11-15,0.00029560,0.00030090,0.00028620,0.00029030,0.00029560,0.00030090,0.00028620,0.00029030,81231282830.00000000,81231282830.00000000
2020-11-08,0.00029700,0.00031000,0.00026920,0.00029560,0.00029700,0.00031000,0.00026920,0.00029560,98315668955.00000000,98315668955.00000000
2020-11-01,0.00032750,0.00033160,0.00027960,0.00029710,0.00032750,0.00033160,0.00027960,0.00029710,71980281130.00000000,71980281130.00000000
2020-10-25,0.00034250,0.00034810,0.00032650,0.00032780,0.00034250,0.00034810,0.00032650,0.00032780,72950703474.00000000,72950703474.00000000
2020-10-18,0.00034740,0.00036490,0.00032290,0.00034260,0.00034740,0.00036490,0.00032290,0.00034260,101994443348.00000000,101994443348.00000000
2020-10-11,0.00032940,0.00036680,0.00030340,0.00034760,0.00032940,0.00036680,0.00030340,0.00034760,177748604422.00000000,177748604422.00000000
2020-10-04,0.00030370,0.00035550,0.00029390,0.00032960,0.00030370,0.00035550,0.00029390,0.00032960,182166593489.00000000,182166593489.00000000
2020-09-27,0.00032920,0.00033120,0.00028400,0.00030340,0.00032920,0.00033120,0.00028400,0.00030340,142159569073.00000000,142159569073.00000000
2020-09-20,0.00033990,0.00035550,0.00031940,0.00032920,0.00033990,0.00035550,0.00031940,0.00032920,129943989163.00000000,129943989163.00000000
2020-09-13,0.00034180,0.00036990,0.00031230,0.00033990,0.00034180,0.00036990,0.00031230,0.00033990,124337785536.00000000,124337785536.00000000
2020-09-06,0.00045810,0.00051630,0.00030020,0.00034170,0.00045810,0.00051630,0.00030020,0.00034170,171196272578.00000000,171196272578.00000000
2020-08-30,0.00041680,0.00047360,0.00039600,0.00045840,0.00041680,0.00047360,0.00039600,0.00045840,62680088058.00000000,62680088058.00000000
