timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.99940000,0.99950000,0.99940000,0.99950000,0.99940000,0.99950000,0.99940000,0.99950000,9656258.00000000,9656258.00000000
2023-05-07,0.99980000,1.00010000,0.99920000,0.99940000,0.99980000,1.00010000,0.99920000,0.99940000,1695007997.00000000,1695007997.00000000
2023-04-30,0.99970000,1.00000000,0.99940000,0.99970000,0.99970000,1.00000000,0.99940000,0.99970000,1415293165.00000000,1415293165.00000000
2023-04-23,0.99970000,1.00010000,0.99930000,0.99970000,0.99970000,1.00010000,0.99930000,0.99970000,2303507273.00000000,2303507273.00000000
2023-04-16,0.99930000,0.99990000,0.99920000,0.99970000,0.99930000,0.99990000,0.99920000,0.99970000,2777061207.00000000,2777061207.00000000
2023-04-09,0.99930000,0.99970000,0.99910000,0.99940000,0.99930000,0.99970000,0.99910000,0.99940000,2195532009.00000000,2195532009.00000000
2023-04-02,0.99890000,1.00000000,0.99850000,0.99940000,0.99890000,1.00000000,0.99850000,0.99940000,2596255649.00000000,2596255649.00000000
2023-03-26,0.99720000,0.99920000,0.99630000,0.99880000,0.99720000,0.99920000,0.99630000,0.99880000,3093628434.00000000,3093628434.00000000
2023-03-19,0.99620000,0.99940000,0.99280000,0.99720000,0.99620000,0.99940000,0.99280000,0.99720000,4767722595.00000000,4767722595.00000000
2023-03-12,1.00000000,1.00030000,0.98730000,0.99620000,1.00000000,1.00030000,0.98730000,0.99620000,5245595772.00000000,5245595772.00000000
2023-03-05,0.99990000,1.00010000,0.99950000,1.00000000,0.99990000,1.00010000,0.99950000,1.00000000,3959987498.00000000,3959987498.00000000
2023-02-26,0.99980000,1.00010000,0.99970000,0.99990000,0.99980000,1.00010000,0.99970000,0.99990000,4903568337.00000000,4903568337.00000000
2023-02-19,0.99990000,1.00000000,0.99500000,0.99980000,0.99990000,1.00000000,0.99500000,0.99980000,9709583337.00000000,9709583337.00000000
2023-02-12,0.99980000,1.00010000,0.99970000,0.99990000,0.99980000,1.00010000,0.99970000,0.99990000,5672483766.00000000,5672483766.00000000
2023-02-05,1.00000000,1.00010000,0.99970000,0.99980000,1.00000000,1.00010000,0.99970000,0.99980000,5152227753.00000000,5152227753.00000000
2023-01-29,0.99980000,1.00000000,0.99970000,0.99990000,0.99980000,1.00000000,0.99970000,0.99990000,6230696888.00000000,6230696888.00000000
2023-01-22,0.99970000,1.00010000,0.99950000,0.99970000,0.99970000,1.00010000,0.99950000,0.99970000,5513601576.00000000,5513601576.00000000
2023-01-15,1.00020000,1.00020000,0.99950000,0.99970000,1.00020000,1.00020000,0.99950000,0.99970000,6410236109.00000000,6410236109.00000000
2023-01-08,1.00040000,1.00050000,1.00000000,1.00010000,1.00040000,1.00050000,1.00000000,1.00010000,3448770308.00000000,3448770308.00000000
2023-01-01,1.00020000,1.00060000,1.00010000,1.00040000,1.00020000,1.00060000,1.00010000,1.00040000,3131204001.00000000,3131204001.00000000
2022-12-25,0.99980000,1.00020000,0.99980000,1.00010000,0.99980000,1.00020000,0.99980000,1.00010000,3121799603.00000000,3121799603.00000000
2022-12-18,1.00000000,1.00010000,0.99890000,0.99980000,1.00000000,1.00010000,0.99890000,0.99980000,6421800148.00000000,6421800148.00000000
2022-12-11,0.99980000,1.00010000,0.99980000,1.00000000,0.99980000,1.00010000,0.99980000,1.00000000,3366433628.00000000,3366433628.00000000
2022-12-04,1.00040000,1.00050000,0.99980000,0.99980000,1.00040000,1.00050000,0.99980000,0.99980000,5038226106.00000000,5038226106.00000000
2022-11-27,1.00140000,1.00170000,1.00040000,1.00040000,1.00140000,1.00170000,1.00040000,1.00040000,6211252470.00000000,6211252470.00000000
2022-11-20,1.00160000,1.00170000,1.00050000,1.00130000,1.00160000,1.00170000,1.00050000,1.00130000,5879503101.00000000,5879503101.00000000
2022-11-13,0.99990000,1.03200000,0.99930000,1.00160000,0.99990000,1.03200000,0.99930000,1.00160000,16171144500.00000000,16171144500.00000000
2022-11-06,0.99990000,1.00040000,0.99970000,0.99990000,0.99990000,1.00040000,0.99970000,0.99990000,5574604359.00000000,5574604359.00000000
2022-10-30,0.99990000,1.00000000,0.99960000,0.99980000,0.99990000,1.00000000,0.99960000,0.99980000,4801304001.00000000,4801304001.00000000
2022-10-23,1.00000000,1.00010000,0.99980000,0.99990000,1.00000000,1.00010000,0.99980000,0.99990000,3330572464.00000000,3330572464.00000000
2022-10-16,0.99990000,1.00040000,0.99980000,1.00000000,0.99990000,1.00040000,0.99980000,1.00000000,3502278600.00000000,3502278600.00000000
2022-10-09,0.99990000,1.00000000,0.99960000,0.99980000,0.99990000,1.00000000,0.99960000,0.99980000,3247173180.00000000,3247173180.00000000
2022-10-02,0.99990000,1.00020000,0.99980000,1.00000000,0.99990000,1.00020000,0.99980000,1.00000000,4077688953.00000000,4077688953.00000000
2022-09-25,1.00000000,1.00010000,0.99980000,1.00000000,1.00000000,1.00010000,0.99980000,1.00000000,3102803480.00000000,3102803480.00000000
2022-09-18,0.99980000,1.00020000,0.99970000,1.00010000,0.99980000,1.00020000,0.99970000,1.00010000,4859247752.00000000,4859247752.00000000
2022-09-11,1.00000000,1.00010000,0.99950000,0.99980000,1.00000000,1.00010000,0.99950000,0.99980000,4814759003.00000000,4814759003.00000000
2022-09-04,1.00000000,1.00010000,0.99990000,1.00000000,1.00000000,1.00010000,0.99990000,1.00000000,2595013349.00000000,2595013349.00000000
2022-08-28,1.00010000,1.00020000,0.99990000,1.00010000,1.00010000,1.00020000,0.99990000,1.00010000,2611596900.00000000,2611596900.00000000
2022-08-21,0.99970000,1.00010000,0.99970000,1.00010000,0.99970000,1.00010000,0.99970000,1.00010000,3514226183.00000000,3514226183.00000000
2022-08-14,0.99990000,0.99990000,0.99930000,0.99970000,0.99990000,0.99990000,0.99930000,0.99970000,4741620594.00000000,4741620594.00000000
2022-08-07,0.99960000,1.00000000,0.99960000,0.99980000,0.99960000,1.00000000,0.99960000,0.99980000,3547389491.00000000,3547389491.00000000
2022-07-31,0.99990000,1.00010000,0.99960000,0.99960000,0.99990000,1.00010000,0.99960000,0.99960000,4467631855.00000000,4467631855.00000000
2022-07-24,1.00030000,1.00040000,0.99980000,1.00000000,1.00030000,1.00040000,0.99980000,1.00000000,3974874858.00000000,3974874858.00000000
2022-07-17,1.00060000,1.00110000,1.00010000,1.00040000,1.00060000,1.00110000,1.00010000,1.00040000,4114317276.00000000,4114317276.00000000
2022-07-10,1.00110000,1.00120000,1.00050000,1.00060000,1.00110000,1.00120000,1.00050000,1.00060000,3045482309.00000000,3045482309.00000000
2022-07-03,1.00060000,1.00170000,1.00060000,1.00110000,1.00060000,1.00170000,1.00060000,1.00110000,5177193738.00000000,5177193738.00000000
