timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,2.03500000,2.05500000,2.00800000,2.02900000,2.03500000,2.05500000,2.00800000,2.02900000,830794.92000000,830794.92000000
2023-05-07,2.67200000,2.68100000,2.03100000,2.03600000,2.67200000,2.68100000,2.03100000,2.03600000,28454938.54000000,28454938.54000000
2023-04-30,3.34700000,3.35300000,2.54500000,2.67200000,3.34700000,3.35300000,2.54500000,2.67200000,53285010.21000000,53285010.21000000
2023-04-23,3.66800000,3.67700000,3.30100000,3.34800000,3.66800000,3.67700000,3.30100000,3.34800000,13526472.27000000,13526472.27000000
2023-04-16,3.66900000,3.79800000,3.54200000,3.66900000,3.66900000,3.79800000,3.54200000,3.66900000,12949497.13000000,12949497.13000000
2023-04-09,3.78300000,4.00000000,3.60200000,3.67000000,3.78300000,4.00000000,3.60200000,3.67000000,9141482.24000000,9141482.24000000
2023-04-02,3.74400000,3.80200000,3.53500000,3.78100000,3.74400000,3.80200000,3.53500000,3.78100000,5653567.43000000,5653567.43000000
2023-03-26,3.83500000,3.89000000,3.63500000,3.74500000,3.83500000,3.89000000,3.63500000,3.74500000,5253814.48000000,5253814.48000000
2023-03-19,3.65400000,3.98800000,3.62200000,3.83300000,3.65400000,3.98800000,3.62200000,3.83300000,10805256.66000000,10805256.66000000
2023-03-12,3.76500000,3.80300000,3.41400000,3.65200000,3.76500000,3.80300000,3.41400000,3.65200000,5676257.33000000,5676257.33000000
2023-03-05,4.05200000,4.07300000,3.71500000,3.76300000,4.05200000,4.07300000,3.71500000,3.76300000,4299790.77000000,4299790.77000000
2023-02-26,4.16300000,4.30100000,3.88600000,4.05300000,4.16300000,4.30100000,3.88600000,4.05300000,6902508.79000000,6902508.79000000
2023-02-19,4.17100000,4.37600000,3.79300000,4.16000000,4.17100000,4.37600000,3.79300000,4.16000000,11208053.11000000,11208053.11000000
2023-02-12,4.42400000,4.73800000,3.99800000,4.17100000,4.42400000,4.73800000,3.99800000,4.17100000,15440367.97000000,15440367.97000000
2023-02-05,4.11000000,4.65900000,3.91400000,4.42400000,4.11000000,4.65900000,3.91400000,4.42400000,12179095.63000000,12179095.63000000
2023-01-29,3.80800000,4.20200000,3.80500000,4.11000000,3.80800000,4.20200000,3.80500000,4.11000000,10477643.47000000,10477643.47000000
