timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,38.69000000,38.98000000,38.53000000,38.98000000,38.69000000,38.98000000,38.53000000,38.98000000,1077.27800000,1077.27800000
2023-05-07,41.55000000,41.77000000,38.15000000,38.70000000,41.55000000,41.77000000,38.15000000,38.70000000,192934.36400000,192934.36400000
2023-04-30,39.55000000,42.61000000,37.48000000,41.50000000,39.55000000,42.61000000,37.48000000,41.50000000,303277.48600000,303277.48600000
2023-04-23,46.40000000,46.87000000,38.10000000,39.58000000,46.40000000,46.87000000,38.10000000,39.58000000,433887.77200000,433887.77200000
2023-04-16,42.84000000,46.90000000,41.76000000,46.40000000,42.84000000,46.90000000,41.76000000,46.40000000,427096.32400000,427096.32400000
2023-04-09,42.29000000,44.71000000,40.73000000,42.85000000,42.29000000,44.71000000,40.73000000,42.85000000,317324.02100000,317324.02100000
2023-04-02,42.65000000,44.30000000,39.67000000,42.30000000,42.65000000,44.30000000,39.67000000,42.30000000,351164.18400000,351164.18400000
2023-03-26,46.13000000,46.45000000,41.05000000,42.62000000,46.13000000,46.45000000,41.05000000,42.62000000,359574.20700000,359574.20700000
2023-03-19,42.54000000,48.58000000,40.81000000,46.09000000,42.54000000,48.58000000,40.81000000,46.09000000,583632.74200000,583632.74200000
2023-03-12,45.61000000,46.96000000,35.61000000,42.53000000,45.61000000,46.96000000,35.61000000,42.53000000,528501.24900000,528501.24900000
2023-03-05,51.75000000,52.56000000,44.33000000,45.67000000,51.75000000,52.56000000,44.33000000,45.67000000,341525.23700000,341525.23700000
2023-02-26,56.68000000,59.84000000,48.15000000,51.75000000,56.68000000,59.84000000,48.15000000,51.75000000,583884.94500000,583884.94500000
2023-02-19,48.55000000,64.10000000,46.57000000,56.65000000,48.55000000,64.10000000,46.57000000,56.65000000,867087.71300000,867087.71300000
2023-02-12,52.01000000,58.31000000,47.67000000,48.57000000,52.01000000,58.31000000,47.67000000,48.57000000,639942.97300000,639942.97300000
2023-02-05,56.05000000,58.39000000,49.81000000,52.00000000,56.05000000,58.39000000,49.81000000,52.00000000,735255.44800000,735255.44800000
2023-01-29,51.28000000,61.87000000,47.11000000,56.06000000,51.28000000,61.87000000,47.11000000,56.06000000,773639.47900000,773639.47900000
2023-01-22,52.16000000,56.45000000,45.62000000,51.28000000,52.16000000,56.45000000,45.62000000,51.28000000,900723.79500000,900723.79500000
2023-01-15,34.95000000,58.00000000,34.45000000,52.18000000,34.95000000,58.00000000,34.45000000,52.18000000,1331579.44900000,1331579.44900000
2023-01-08,31.55000000,35.14000000,30.77000000,34.94000000,31.55000000,35.14000000,30.77000000,34.94000000,628696.75700000,628696.75700000
2023-01-01,31.82000000,33.47000000,29.86000000,31.55000000,31.82000000,33.47000000,29.86000000,31.55000000,614349.13200000,614349.13200000
2022-12-25,33.72000000,34.38000000,30.68000000,31.83000000,33.72000000,34.38000000,30.68000000,31.83000000,250531.40000000,250531.40000000
2022-12-18,37.80000000,40.49000000,32.63000000,33.71000000,37.80000000,40.49000000,32.63000000,33.71000000,470159.90800000,470159.90800000
2022-12-11,37.72000000,40.43000000,36.41000000,37.79000000,37.72000000,40.43000000,36.41000000,37.79000000,384271.62100000,384271.62100000
2022-12-04,37.16000000,38.81000000,35.71000000,37.70000000,37.16000000,38.81000000,35.71000000,37.70000000,283943.50300000,283943.50300000
2022-11-27,37.60000000,39.47000000,36.08000000,37.15000000,37.60000000,39.47000000,36.08000000,37.15000000,312396.50500000,312396.50500000
2022-11-20,38.65000000,43.53000000,35.59000000,37.63000000,38.65000000,43.53000000,35.59000000,37.63000000,425163.92800000,425163.92800000
2022-11-13,48.47000000,51.02000000,32.56000000,38.66000000,48.47000000,51.02000000,32.56000000,38.66000000,1488349.98300000,1488349.98300000
2022-11-06,50.38000000,53.31000000,45.48000000,48.47000000,50.38000000,53.31000000,45.48000000,48.47000000,645784.94800000,645784.94800000
2022-10-30,51.28000000,54.55000000,49.09000000,50.39000000,51.28000000,54.55000000,49.09000000,50.39000000,885491.40200000,885491.40200000
2022-10-23,54.94000000,56.34000000,47.40000000,51.23000000,54.94000000,56.34000000,47.40000000,51.23000000,568730.95800000,568730.95800000
2022-10-16,59.19000000,60.20000000,51.21000000,54.97000000,59.19000000,60.20000000,51.21000000,54.97000000,255292.05700000,255292.05700000
2022-10-09,58.35000000,61.25000000,57.07000000,59.25000000,58.35000000,61.25000000,57.07000000,59.25000000,413004.14600000,413004.14600000
2022-10-02,61.28000000,65.84000000,58.07000000,58.35000000,61.28000000,65.84000000,58.07000000,58.35000000,672200.95200000,672200.95200000
2022-09-25,49.55000000,70.00000000,47.87000000,61.30000000,49.55000000,70.00000000,47.87000000,61.30000000,1240577.67700000,1240577.67700000
2022-09-18,55.92000000,62.05000000,46.48000000,49.55000000,55.92000000,62.05000000,46.48000000,49.55000000,985328.31500000,985328.31500000
2022-09-11,48.59000000,57.05000000,43.90000000,55.90000000,48.59000000,57.05000000,43.90000000,55.90000000,629314.51700000,629314.51700000
2022-09-04,43.98000000,54.14000000,43.32000000,48.57000000,43.98000000,54.14000000,43.32000000,48.57000000,1412036.07400000,1412036.07400000
2022-08-28,50.98000000,54.60000000,43.75000000,43.94000000,50.98000000,54.60000000,43.75000000,43.94000000,991072.07200000,991072.07200000
2022-08-21,62.90000000,64.66000000,48.08000000,50.96000000,62.90000000,64.66000000,48.08000000,50.96000000,673494.88600000,673494.88600000
2022-08-14,62.82000000,71.50000000,57.64000000,62.81000000,62.82000000,71.50000000,57.64000000,62.81000000,804259.06000000,804259.06000000
2022-08-07,57.00000000,66.49000000,54.17000000,62.81000000,57.00000000,66.49000000,54.17000000,62.81000000,663718.96500000,663718.96500000
2022-07-31,55.02000000,62.50000000,46.58000000,57.00000000,55.02000000,62.50000000,46.58000000,57.00000000,1016017.04700000,1016017.04700000
2022-07-24,54.94000000,63.88000000,53.70000000,54.99000000,54.94000000,63.88000000,53.70000000,54.99000000,873390.45500000,873390.45500000
2022-07-17,53.51000000,59.80000000,43.75000000,54.89000000,53.51000000,59.80000000,43.75000000,54.89000000,1251248.75500000,1251248.75500000
2022-07-10,49.46000000,58.76000000,44.96000000,53.50000000,49.46000000,58.76000000,44.96000000,53.50000000,1509598.96500000,1509598.96500000
2022-07-03,50.70000000,53.90000000,42.95000000,49.45000000,50.70000000,53.90000000,42.95000000,49.45000000,1385744.85600000,1385744.85600000
2022-06-26,32.00000000,56.70000000,30.10000000,50.60000000,32.00000000,56.70000000,30.10000000,50.60000000,1891685.65100000,1891685.65100000
2022-06-19,41.20000000,41.40000000,26.20000000,32.00000000,41.20000000,41.40000000,26.20000000,32.00000000,1355961.49100000,1355961.49100000
2022-06-12,58.00000000,61.80000000,40.60000000,41.10000000,58.00000000,61.80000000,40.60000000,41.10000000,707680.19200000,707680.19200000
2022-06-05,57.00000000,70.10000000,54.90000000,58.00000000,57.00000000,70.10000000,54.90000000,58.00000000,836316.20000000,836316.20000000
2022-05-29,70.40000000,75.20000000,54.30000000,57.00000000,70.40000000,75.20000000,54.30000000,57.00000000,810404.06900000,810404.06900000
2022-05-22,74.80000000,75.50000000,61.40000000,70.50000000,74.80000000,75.50000000,61.40000000,70.50000000,454521.78100000,454521.78100000
2022-05-15,97.50000000,99.60000000,53.60000000,74.90000000,97.50000000,99.60000000,53.60000000,74.90000000,1178672.84470000,1178672.84470000
2022-05-08,105.70000000,117.20000000,94.80000000,97.50000000,105.70000000,117.20000000,94.80000000,97.50000000,352440.07100000,352440.07100000
2022-05-01,129.30000000,134.00000000,101.00000000,105.70000000,129.30000000,134.00000000,101.00000000,105.70000000,372268.77000000,372268.77000000
2022-04-24,141.70000000,149.40000000,128.60000000,129.40000000,141.70000000,149.40000000,128.60000000,129.40000000,466417.02800000,466417.02800000
2022-04-17,134.00000000,156.50000000,115.70000000,141.80000000,134.00000000,156.50000000,115.70000000,141.80000000,783074.10500000,783074.10500000
2022-04-10,171.70000000,171.70000000,131.50000000,134.00000000,171.70000000,171.70000000,131.50000000,134.00000000,504026.90700000,504026.90700000
2022-04-03,126.00000000,174.80000000,121.00000000,171.70000000,126.00000000,174.80000000,121.00000000,171.70000000,1819863.26000000,1819863.26000000
2022-03-27,115.30000000,126.20000000,111.80000000,126.00000000,115.30000000,126.20000000,111.80000000,126.00000000,585098.43800000,585098.43800000
2022-03-20,99.00000000,124.40000000,98.20000000,115.20000000,99.00000000,124.40000000,98.20000000,115.20000000,301493.20100000,301493.20100000
2022-03-13,101.10000000,112.10000000,97.60000000,99.00000000,101.10000000,112.10000000,97.60000000,99.00000000,199934.68100000,199934.68100000
2022-03-06,107.00000000,128.30000000,100.80000000,101.10000000,107.00000000,128.30000000,100.80000000,101.10000000,303639.11400000,303639.11400000
2022-02-27,114.80000000,120.00000000,93.30000000,107.10000000,114.80000000,120.00000000,93.30000000,107.10000000,355191.49500000,355191.49500000
2022-02-20,124.10000000,137.90000000,112.20000000,114.70000000,124.10000000,137.90000000,112.20000000,114.70000000,196480.87300000,196480.87300000
2022-02-13,141.00000000,153.00000000,122.40000000,124.10000000,141.00000000,153.00000000,122.40000000,124.10000000,413032.14300000,413032.14300000
2022-02-06,117.70000000,143.20000000,112.80000000,141.00000000,117.70000000,143.20000000,112.80000000,141.00000000,390922.36100000,390922.36100000
2022-01-30,128.20000000,136.70000000,109.30000000,117.80000000,128.20000000,136.70000000,109.30000000,117.80000000,382341.00600000,382341.00600000
2022-01-23,191.20000000,191.80000000,110.20000000,128.40000000,191.20000000,191.80000000,110.20000000,128.40000000,384864.81391000,384864.81391000
2022-01-16,193.90000000,202.40000000,175.20000000,191.20000000,193.90000000,202.40000000,175.20000000,191.20000000,232518.28800000,232518.28800000
2022-01-09,210.30000000,244.80000000,180.60000000,194.00000000,210.30000000,244.80000000,180.60000000,194.00000000,531876.97000000,531876.97000000
2022-01-02,234.90000000,249.00000000,192.90000000,210.40000000,234.90000000,249.00000000,192.90000000,210.40000000,387759.86100000,387759.86100000
2021-12-26,194.70000000,241.50000000,181.60000000,234.80000000,194.70000000,241.50000000,181.60000000,234.80000000,412344.37300000,412344.37300000
2021-12-19,198.50000000,216.10000000,174.70000000,194.80000000,198.50000000,216.10000000,174.70000000,194.80000000,448370.20709000,448370.20709000
2021-12-12,211.60000000,230.60000000,180.10000000,198.60000000,211.60000000,230.60000000,180.10000000,198.60000000,434027.70800000,434027.70800000
2021-12-05,287.20000000,297.00000000,185.00000000,211.40000000,287.20000000,297.00000000,185.00000000,211.40000000,282641.70327000,282641.70327000
2021-11-28,304.30000000,305.20000000,242.00000000,287.60000000,304.30000000,305.20000000,242.00000000,287.60000000,417833.97293000,417833.97293000
2021-11-21,346.30000000,355.40000000,286.00000000,304.30000000,346.30000000,355.40000000,286.00000000,304.30000000,344613.08200000,344613.08200000
2021-11-14,362.50000000,371.20000000,305.00000000,346.20000000,362.50000000,371.20000000,305.00000000,346.20000000,434922.71400000,434922.71400000
2021-11-07,346.30000000,400.00000000,325.20000000,362.60000000,346.30000000,400.00000000,325.20000000,362.60000000,716203.52600000,716203.52600000
2021-10-31,308.60000000,361.40000000,291.60000000,346.20000000,308.60000000,361.40000000,291.60000000,346.20000000,799721.67100000,799721.67100000
2021-10-24,310.70000000,335.20000000,298.70000000,308.40000000,310.70000000,335.20000000,298.70000000,308.40000000,433162.75100000,433162.75100000
2021-10-17,303.30000000,330.70000000,287.10000000,310.70000000,303.30000000,330.70000000,287.10000000,310.70000000,384801.29700000,384801.29700000
2021-10-10,326.70000000,335.90000000,286.30000000,303.50000000,326.70000000,335.90000000,286.30000000,303.50000000,652086.28800000,652086.28800000
2021-10-03,354.60000000,375.20000000,279.90000000,326.70000000,354.60000000,375.20000000,279.90000000,326.70000000,629145.67177000,629145.67177000
2021-09-26,393.20000000,394.10000000,301.70000000,355.00000000,393.20000000,394.10000000,301.70000000,355.00000000,391321.66536000,391321.66536000
2021-09-19,403.20000000,459.40000000,360.00000000,393.10000000,403.20000000,459.40000000,360.00000000,393.10000000,333833.92500000,333833.92500000
2021-09-12,511.20000000,528.60000000,350.20000000,403.70000000,511.20000000,528.60000000,350.20000000,403.70000000,459098.20766000,459098.20766000
2021-09-05,418.90000000,527.50000000,405.40000000,510.90000000,418.90000000,527.50000000,405.40000000,510.90000000,564409.31346000,564409.31346000
2021-08-29,459.71000000,484.99000000,389.70000000,418.50000000,459.71000000,484.99000000,389.70000000,418.50000000,397452.08685000,397452.08685000
2021-08-22,488.77000000,529.53000000,419.29000000,459.89000000,488.77000000,529.53000000,419.29000000,459.89000000,582047.70672000,582047.70672000
2021-08-15,466.99000000,497.89000000,440.18000000,488.95000000,466.99000000,497.89000000,440.18000000,488.95000000,390666.44071000,390666.44071000
2021-08-08,409.07000000,512.71000000,385.23000000,467.09000000,409.07000000,512.71000000,385.23000000,467.09000000,528166.76246000,528166.76246000
2021-08-01,391.12000000,438.32000000,375.70000000,409.03000000,391.12000000,438.32000000,375.70000000,409.03000000,464821.52675000,464821.52675000
2021-07-25,379.41000000,428.50000000,310.00000000,391.35000000,379.41000000,428.50000000,310.00000000,391.35000000,609376.65293000,609376.65293000
2021-07-18,436.62000000,444.52000000,358.51000000,379.37000000,436.62000000,444.52000000,358.51000000,379.37000000,508753.37328000,508753.37328000
2021-07-11,443.72000000,530.98000000,386.70000000,436.65000000,443.72000000,530.98000000,386.70000000,436.65000000,1141892.94749000,1141892.94749000
2021-07-04,257.40000000,464.72000000,248.79000000,443.98000000,257.40000000,464.72000000,248.79000000,443.98000000,1021950.16407000,1021950.16407000
2021-06-27,293.66000000,295.93000000,196.46000000,257.39000000,293.66000000,295.93000000,196.46000000,257.39000000,447238.65010000,447238.65010000
2021-06-20,324.22000000,349.00000000,259.57000000,293.66000000,324.22000000,349.00000000,259.57000000,293.66000000,220569.81953000,220569.81953000
2021-06-13,388.30000000,412.38000000,278.66000000,324.15000000,388.30000000,412.38000000,278.66000000,324.15000000,290918.74450000,290918.74450000
2021-06-06,405.51000000,459.64000000,376.80000000,388.28000000,405.51000000,459.64000000,376.80000000,388.28000000,235640.17647000,235640.17647000
2021-05-30,340.34000000,464.76000000,328.44000000,406.25000000,340.34000000,464.76000000,328.44000000,406.25000000,403692.84914000,403692.84914000
2021-05-23,684.60000000,726.37000000,267.55000000,339.79000000,684.60000000,726.37000000,267.55000000,339.79000000,722511.81336000,722511.81336000
2021-05-16,771.30000000,911.00000000,630.17000000,684.05000000,771.30000000,911.00000000,630.17000000,684.05000000,560379.93009000,560379.93009000
2021-05-09,805.03000000,850.00000000,692.98000000,770.70000000,805.03000000,850.00000000,692.98000000,770.70000000,409375.82236000,409375.82236000
2021-05-02,553.95000000,879.00000000,550.00000000,804.74000000,553.95000000,879.00000000,550.00000000,804.74000000,554514.86781000,554514.86781000
2021-04-25,487.71000000,665.69000000,423.39000000,553.46000000,487.71000000,665.69000000,423.39000000,553.46000000,899774.02279000,899774.02279000
2021-04-18,458.89000000,619.00000000,411.37000000,487.73000000,458.89000000,619.00000000,411.37000000,487.73000000,550092.85499000,550092.85499000
2021-04-11,548.44000000,556.00000000,434.66000000,458.84000000,548.44000000,556.00000000,434.66000000,458.84000000,314092.65024000,314092.65024000
2021-04-04,362.23000000,562.85000000,357.54000000,548.13000000,362.23000000,562.85000000,357.54000000,548.13000000,346985.32866000,346985.32866000
2021-03-28,403.43000000,424.24000000,330.00000000,362.24000000,403.43000000,424.24000000,330.00000000,362.24000000,232933.29130000,232933.29130000
2021-03-21,437.89000000,451.82000000,400.00000000,403.30000000,437.89000000,451.82000000,400.00000000,403.30000000,158714.70563000,158714.70563000
2021-03-14,490.77000000,505.52000000,413.15000000,438.13000000,490.77000000,505.52000000,413.15000000,438.13000000,193251.04983000,193251.04983000
2021-03-07,404.86000000,536.20000000,404.83000000,490.35000000,404.86000000,536.20000000,404.83000000,490.35000000,298275.55940000,298275.55940000
2021-02-28,453.51000000,470.70000000,322.15000000,405.12000000,453.51000000,470.70000000,322.15000000,405.12000000,515848.02383000,515848.02383000
2021-02-21,471.31000000,508.39000000,399.79000000,453.06000000,471.31000000,508.39000000,399.79000000,453.06000000,350772.35507000,350772.35507000
2021-02-14,457.41000000,573.00000000,436.01000000,471.27000000,457.41000000,573.00000000,436.01000000,471.27000000,489374.23581000,489374.23581000
2021-02-07,347.46000000,553.99000000,330.85000000,457.41000000,347.46000000,553.99000000,330.85000000,457.41000000,523633.69855000,523633.69855000
2021-01-31,250.38000000,349.00000000,205.16000000,347.19000000,250.38000000,349.00000000,205.16000000,347.19000000,456962.90720000,456962.90720000
2021-01-24,217.14000000,253.04000000,165.47000000,250.06000000,217.14000000,253.04000000,165.47000000,250.06000000,300198.73694000,300198.73694000
2021-01-17,194.55000000,229.00000000,147.51000000,216.96000000,194.55000000,229.00000000,147.51000000,216.96000000,447167.09380000,447167.09380000
2021-01-10,146.92000000,208.97000000,137.00000000,194.39000000,146.92000000,208.97000000,137.00000000,194.39000000,459618.06400000,459618.06400000
2021-01-03,131.46000000,159.00000000,129.84000000,146.90000000,131.46000000,159.00000000,129.84000000,146.90000000,350114.31557000,350114.31557000
2020-12-27,153.53000000,155.57000000,122.00000000,131.15000000,153.53000000,155.57000000,122.00000000,131.15000000,212502.67511000,212502.67511000
2020-12-20,147.12000000,178.99000000,143.54000000,153.67000000,147.12000000,178.99000000,143.54000000,153.67000000,404940.91986000,404940.91986000
2020-12-13,137.16000000,179.48000000,135.00000000,147.36000000,137.16000000,179.48000000,135.00000000,147.36000000,712145.21348000,712145.21348000
