timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.18020000,0.18120000,0.17960000,0.18040000,0.18020000,0.18120000,0.17960000,0.18040000,92018.00000000,92018.00000000
2023-05-07,0.19760000,0.19830000,0.17800000,0.18020000,0.19760000,0.19830000,0.17800000,0.18020000,15699901.00000000,15699901.00000000
2023-04-30,0.20090000,0.21880000,0.19360000,0.19750000,0.20090000,0.21880000,0.19360000,0.19750000,38524372.00000000,38524372.00000000
2023-04-23,0.24340000,0.24370000,0.19500000,0.20090000,0.24340000,0.24370000,0.19500000,0.20090000,40928752.00000000,40928752.00000000
2023-04-16,0.23020000,0.25000000,0.22210000,0.24330000,0.23020000,0.25000000,0.22210000,0.24330000,60262937.00000000,60262937.00000000
2023-04-09,0.22400000,0.23480000,0.21410000,0.23020000,0.22400000,0.23480000,0.21410000,0.23020000,30073691.00000000,30073691.00000000
2023-04-02,0.23870000,0.25990000,0.21710000,0.22390000,0.23870000,0.25990000,0.21710000,0.22390000,50981430.00000000,50981430.00000000
2023-03-26,0.25350000,0.26100000,0.22510000,0.23830000,0.25350000,0.26100000,0.22510000,0.23830000,47122172.00000000,47122172.00000000
2023-03-19,0.20700000,0.29610000,0.19620000,0.25270000,0.20700000,0.29610000,0.19620000,0.25270000,221862143.00000000,221862143.00000000
2023-03-12,0.24510000,0.24580000,0.17000000,0.20690000,0.24510000,0.24580000,0.17000000,0.20690000,57617804.00000000,57617804.00000000
2023-03-05,0.27140000,0.28930000,0.23990000,0.24530000,0.27140000,0.28930000,0.23990000,0.24530000,83599483.00000000,83599483.00000000
2023-02-26,0.29020000,0.32490000,0.25140000,0.27140000,0.29020000,0.32490000,0.25140000,0.27140000,149603795.00000000,149603795.00000000
2023-02-19,0.25040000,0.33000000,0.21970000,0.29020000,0.25040000,0.33000000,0.21970000,0.29020000,167397675.00000000,167397675.00000000
2023-02-12,0.31800000,0.37870000,0.24580000,0.25040000,0.31800000,0.37870000,0.24580000,0.25040000,303808184.00000000,303808184.00000000
2023-02-05,0.23450000,0.33940000,0.20150000,0.31750000,0.23450000,0.33940000,0.20150000,0.31750000,277216062.00000000,277216062.00000000
2023-01-29,0.23640000,0.25800000,0.21800000,0.23450000,0.23640000,0.25800000,0.21800000,0.23450000,137385427.00000000,137385427.00000000
