timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-12-09,0.10290000,0.10430000,0.09310000,0.09780000,0.10290000,0.10430000,0.09310000,0.09780000,19940553.00000000,19940553.00000000
2022-12-04,0.09780000,0.12000000,0.09410000,0.10290000,0.09780000,0.12000000,0.09410000,0.10290000,89708924.00000000,89708924.00000000
2022-11-27,0.09350000,0.10510000,0.08910000,0.09790000,0.09350000,0.10510000,0.08910000,0.09790000,85631892.00000000,85631892.00000000
2022-11-20,0.08720000,0.10450000,0.08210000,0.09350000,0.08720000,0.10450000,0.08210000,0.09350000,95525301.00000000,95525301.00000000
2022-11-13,0.12800000,0.13770000,0.07840000,0.08740000,0.12800000,0.13770000,0.07840000,0.08740000,193541248.00000000,193541248.00000000
2022-11-06,0.12310000,0.14200000,0.11600000,0.12800000,0.12310000,0.14200000,0.11600000,0.12800000,105386093.00000000,105386093.00000000
2022-10-30,0.11960000,0.13100000,0.11530000,0.12320000,0.11960000,0.13100000,0.11530000,0.12320000,43925295.00000000,43925295.00000000
2022-10-23,0.11800000,0.12270000,0.10980000,0.11950000,0.11800000,0.12270000,0.10980000,0.11950000,37779077.00000000,37779077.00000000
2022-10-16,0.13090000,0.13230000,0.10910000,0.11810000,0.13090000,0.13230000,0.10910000,0.11810000,29872468.00000000,29872468.00000000
2022-10-09,0.12300000,0.13290000,0.12140000,0.13090000,0.12300000,0.13290000,0.12140000,0.13090000,40564297.00000000,40564297.00000000
2022-10-02,0.12930000,0.13580000,0.12250000,0.12300000,0.12930000,0.13580000,0.12250000,0.12300000,51089127.00000000,51089127.00000000
2022-09-25,0.12910000,0.13580000,0.12270000,0.12920000,0.12910000,0.13580000,0.12270000,0.12920000,58243456.00000000,58243456.00000000
2022-09-18,0.15200000,0.15580000,0.12630000,0.12910000,0.15200000,0.15580000,0.12630000,0.12910000,59696515.00000000,59696515.00000000
2022-09-11,0.14340000,0.15620000,0.12840000,0.15190000,0.14340000,0.15620000,0.12840000,0.15190000,79554093.00000000,79554093.00000000
2022-09-04,0.13990000,0.15490000,0.13800000,0.14330000,0.13990000,0.15490000,0.13800000,0.14330000,47354190.00000000,47354190.00000000
2022-08-28,0.14990000,0.16390000,0.13910000,0.13980000,0.14990000,0.16390000,0.13910000,0.13980000,112383079.00000000,112383079.00000000
2022-08-21,0.17170000,0.29320000,0.14260000,0.14980000,0.17170000,0.29320000,0.14260000,0.14980000,366142118.00000000,366142118.00000000
2022-08-14,0.16190000,0.18580000,0.15110000,0.17150000,0.16190000,0.18580000,0.15110000,0.17150000,65593276.00000000,65593276.00000000
2022-08-07,0.15040000,0.17000000,0.14960000,0.16210000,0.15040000,0.17000000,0.14960000,0.16210000,82243090.00000000,82243090.00000000
2022-07-31,0.14370000,0.16340000,0.12940000,0.15040000,0.14370000,0.16340000,0.12940000,0.15040000,59365744.00000000,59365744.00000000
2022-07-24,0.13890000,0.15890000,0.13820000,0.14380000,0.13890000,0.15890000,0.13820000,0.14380000,71155142.00000000,71155142.00000000
2022-07-17,0.15020000,0.15230000,0.12470000,0.13880000,0.15020000,0.15230000,0.12470000,0.13880000,41503662.00000000,41503662.00000000
2022-07-10,0.13970000,0.15770000,0.13470000,0.15020000,0.13970000,0.15770000,0.13470000,0.15020000,56700184.00000000,56700184.00000000
2022-07-03,0.14170000,0.15580000,0.12400000,0.13950000,0.14170000,0.15580000,0.12400000,0.13950000,66124023.00000000,66124023.00000000
2022-06-26,0.13340000,0.15650000,0.12690000,0.14180000,0.13340000,0.15650000,0.12690000,0.14180000,57947942.00000000,57947942.00000000
2022-06-19,0.14460000,0.14560000,0.11300000,0.13340000,0.14460000,0.14560000,0.11300000,0.13340000,96128203.00000000,96128203.00000000
2022-06-12,0.18260000,0.20260000,0.14290000,0.14470000,0.18260000,0.20260000,0.14290000,0.14470000,61005579.00000000,61005579.00000000
2022-06-05,0.16350000,0.19660000,0.16110000,0.18260000,0.16350000,0.19660000,0.16110000,0.18260000,88301255.00000000,88301255.00000000
2022-05-29,0.19220000,0.19690000,0.15080000,0.16320000,0.19220000,0.19690000,0.15080000,0.16320000,76902448.00000000,76902448.00000000
2022-05-22,0.18670000,0.19920000,0.15820000,0.19230000,0.18670000,0.19920000,0.15820000,0.19230000,129948775.00000000,129948775.00000000
2022-05-15,0.24000000,0.24220000,0.10720000,0.18710000,0.24000000,0.24220000,0.10720000,0.18710000,273054451.10000002,273054451.10000002
2022-05-08,0.26810000,0.29850000,0.22740000,0.23990000,0.26810000,0.29850000,0.22740000,0.23990000,117625426.00000000,117625426.00000000
2022-05-01,0.30260000,0.30990000,0.24460000,0.26800000,0.30260000,0.30990000,0.24460000,0.26800000,133239576.00000000,133239576.00000000
2022-04-24,0.28310000,0.32500000,0.26940000,0.30250000,0.28310000,0.32500000,0.26940000,0.30250000,125999090.00000000,125999090.00000000
2022-04-17,0.29120000,0.30440000,0.25540000,0.28330000,0.29120000,0.30440000,0.25540000,0.28330000,86490016.00000000,86490016.00000000
2022-04-10,0.38440000,0.38460000,0.29040000,0.29120000,0.38440000,0.38460000,0.29040000,0.29120000,115837104.00000000,115837104.00000000
2022-04-03,0.34150000,0.42890000,0.32890000,0.38420000,0.34150000,0.42890000,0.32890000,0.38420000,182081824.00000000,182081824.00000000
2022-03-27,0.29890000,0.36070000,0.28770000,0.34190000,0.29890000,0.36070000,0.28770000,0.34190000,82321965.00000000,82321965.00000000
2022-03-20,0.24590000,0.30590000,0.24310000,0.29840000,0.24590000,0.30590000,0.24310000,0.29840000,72478056.00000000,72478056.00000000
2022-03-13,0.25760000,0.27470000,0.24450000,0.24620000,0.25760000,0.27470000,0.24450000,0.24620000,33679174.00000000,33679174.00000000
2022-03-06,0.26880000,0.31190000,0.25490000,0.25770000,0.26880000,0.31190000,0.25490000,0.25770000,70028144.00000000,70028144.00000000
2022-02-27,0.25260000,0.28830000,0.20690000,0.26850000,0.25260000,0.28830000,0.20690000,0.26850000,94225396.00000000,94225396.00000000
2022-02-20,0.28130000,0.31480000,0.24690000,0.25220000,0.28130000,0.31480000,0.24690000,0.25220000,46166391.00000000,46166391.00000000
2022-02-13,0.31980000,0.34120000,0.27240000,0.28090000,0.31980000,0.34120000,0.27240000,0.28090000,65461976.00000000,65461976.00000000
2022-02-06,0.25650000,0.33070000,0.24260000,0.31920000,0.25650000,0.33070000,0.24260000,0.31920000,110993398.00000000,110993398.00000000
2022-01-30,0.22510000,0.27040000,0.19020000,0.25700000,0.22510000,0.27040000,0.19020000,0.25700000,115462361.00000000,115462361.00000000
2022-01-23,0.33750000,0.33850000,0.19480000,0.22480000,0.33750000,0.33850000,0.19480000,0.22480000,63004546.30000000,63004546.30000000
2022-01-16,0.32310000,0.34780000,0.29570000,0.33720000,0.32310000,0.34780000,0.29570000,0.33720000,49136358.70000000,49136358.70000000
2022-01-09,0.39540000,0.41390000,0.30420000,0.32330000,0.39540000,0.41390000,0.30420000,0.32330000,92210222.00000000,92210222.00000000
