timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.15416000,0.15542000,0.15356000,0.15502000,0.15416000,0.15542000,0.15356000,0.15502000,463884.00000000,463884.00000000
2023-05-07,0.16776000,0.16915000,0.15345000,0.15416000,0.16776000,0.16915000,0.15345000,0.15416000,60443787.00000000,60443787.00000000
2023-04-30,0.16498000,0.17785000,0.15656000,0.16757000,0.16498000,0.17785000,0.15656000,0.16757000,152325791.00000000,152325791.00000000
2023-04-23,0.20242000,0.20397000,0.15941000,0.16509000,0.20242000,0.20397000,0.15941000,0.16509000,110453832.00000000,110453832.00000000
2023-04-16,0.17452000,0.21209000,0.17020000,0.20235000,0.17452000,0.21209000,0.17020000,0.20235000,188270653.00000000,188270653.00000000
2023-04-09,0.17015000,0.18612000,0.16030000,0.17452000,0.17015000,0.18612000,0.16030000,0.17452000,169054038.00000000,169054038.00000000
2023-04-02,0.17152000,0.17683000,0.15773000,0.17021000,0.17152000,0.17683000,0.15773000,0.17021000,97869998.00000000,97869998.00000000
2023-03-26,0.18252000,0.22500000,0.16600000,0.17163000,0.18252000,0.22500000,0.16600000,0.17163000,349984271.00000000,349984271.00000000
2023-03-19,0.16879000,0.19390000,0.16072000,0.18230000,0.16879000,0.19390000,0.16072000,0.18230000,181046029.00000000,181046029.00000000
2023-03-12,0.17385000,0.17975000,0.14268000,0.16877000,0.17385000,0.17975000,0.14268000,0.16877000,129827286.00000000,129827286.00000000
2023-03-05,0.21510000,0.21797000,0.16749000,0.17385000,0.21510000,0.21797000,0.16749000,0.17385000,84603975.00000000,84603975.00000000
2023-02-26,0.23364000,0.25347000,0.19786000,0.21523000,0.23364000,0.25347000,0.19786000,0.21523000,104309345.00000000,104309345.00000000
2023-02-19,0.22344000,0.24633000,0.20436000,0.23360000,0.22344000,0.24633000,0.20436000,0.23360000,127572587.00000000,127572587.00000000
2023-02-12,0.24812000,0.27642000,0.20969000,0.22337000,0.24812000,0.27642000,0.20969000,0.22337000,182471529.00000000,182471529.00000000
2023-02-05,0.27460000,0.29287000,0.23188000,0.24795000,0.27460000,0.29287000,0.23188000,0.24795000,267196519.00000000,267196519.00000000
2023-01-29,0.16427000,0.32900000,0.16427000,0.27459000,0.16427000,0.32900000,0.16427000,0.27459000,681826351.00000000,681826351.00000000
2023-01-22,0.15520000,0.17411000,0.14237000,0.16423000,0.15520000,0.17411000,0.14237000,0.16423000,110701593.00000000,110701593.00000000
2023-01-15,0.12874000,0.16369000,0.12850000,0.15511000,0.12874000,0.16369000,0.12850000,0.15511000,130580238.00000000,130580238.00000000
2023-01-08,0.11737000,0.14421000,0.11483000,0.12866000,0.11737000,0.14421000,0.11483000,0.12866000,163166190.00000000,163166190.00000000
2023-01-01,0.11738000,0.12103000,0.11144000,0.11733000,0.11738000,0.12103000,0.11144000,0.11733000,53537328.00000000,53537328.00000000
2022-12-25,0.12841000,0.13106000,0.11462000,0.11738000,0.12841000,0.13106000,0.11462000,0.11738000,52433187.00000000,52433187.00000000
2022-12-18,0.13030000,0.18273000,0.12292000,0.12839000,0.13030000,0.18273000,0.12292000,0.12839000,289173660.00000000,289173660.00000000
2022-12-11,0.13875000,0.14324000,0.12738000,0.13029000,0.13875000,0.14324000,0.12738000,0.13029000,83826626.00000000,83826626.00000000
2022-12-04,0.13528000,0.14600000,0.12839000,0.13875000,0.13528000,0.14600000,0.12839000,0.13875000,102182795.00000000,102182795.00000000
2022-11-27,0.12801000,0.14111000,0.12035000,0.13534000,0.12801000,0.14111000,0.12035000,0.13534000,108962713.00000000,108962713.00000000
2022-11-20,0.13293000,0.15077000,0.12427000,0.12803000,0.13293000,0.15077000,0.12427000,0.12803000,122101973.00000000,122101973.00000000
2022-11-13,0.21564000,0.22116000,0.11821000,0.13284000,0.21564000,0.22116000,0.11821000,0.13284000,229057729.00000000,229057729.00000000
2022-11-06,0.21054000,0.24500000,0.19061000,0.21567000,0.21054000,0.24500000,0.19061000,0.21567000,148784725.00000000,148784725.00000000
2022-10-30,0.18850000,0.22858000,0.18426000,0.21062000,0.18850000,0.22858000,0.18426000,0.21062000,154228750.00000000,154228750.00000000
2022-10-23,0.19516000,0.20690000,0.17802000,0.18840000,0.19516000,0.20690000,0.17802000,0.18840000,53803893.00000000,53803893.00000000
2022-10-16,0.20916000,0.21994000,0.17652000,0.19513000,0.20916000,0.21994000,0.17652000,0.19513000,67504217.00000000,67504217.00000000
2022-10-09,0.20974000,0.21660000,0.19826000,0.20914000,0.20974000,0.21660000,0.19826000,0.20914000,63929552.00000000,63929552.00000000
2022-10-02,0.19961000,0.22600000,0.19529000,0.20972000,0.19961000,0.22600000,0.19529000,0.20972000,88388212.00000000,88388212.00000000
2022-09-25,0.20323000,0.21557000,0.19355000,0.19961000,0.20323000,0.21557000,0.19355000,0.19961000,73469979.00000000,73469979.00000000
2022-09-18,0.25046000,0.25959000,0.20122000,0.20323000,0.25046000,0.25959000,0.20122000,0.20323000,95589087.00000000,95589087.00000000
2022-09-11,0.25088000,0.26196000,0.22309000,0.25042000,0.25088000,0.26196000,0.22309000,0.25042000,113998030.00000000,113998030.00000000
2022-09-04,0.23681000,0.26898000,0.23250000,0.25079000,0.23681000,0.26898000,0.23250000,0.25079000,136011164.00000000,136011164.00000000
2022-08-28,0.26427000,0.29767000,0.23447000,0.23674000,0.26427000,0.29767000,0.23447000,0.23674000,130134628.00000000,130134628.00000000
2022-08-21,0.33651000,0.34391000,0.24650000,0.26414000,0.33651000,0.34391000,0.24650000,0.26414000,123565284.00000000,123565284.00000000
2022-08-14,0.34856000,0.36235000,0.32491000,0.33624000,0.34856000,0.36235000,0.32491000,0.33624000,114360779.00000000,114360779.00000000
2022-08-07,0.33849000,0.35466000,0.31950000,0.34890000,0.33849000,0.35466000,0.31950000,0.34890000,151239291.00000000,151239291.00000000
2022-07-31,0.30500000,0.38278000,0.27136000,0.33848000,0.30500000,0.38278000,0.27136000,0.33848000,217827019.00000000,217827019.00000000
2022-07-24,0.29321000,0.33622000,0.29145000,0.30472000,0.29321000,0.33622000,0.29145000,0.30472000,147014251.00000000,147014251.00000000
2022-07-17,0.28876000,0.31137000,0.25566000,0.29317000,0.28876000,0.31137000,0.25566000,0.29317000,137984537.00000000,137984537.00000000
2022-07-10,0.29158000,0.31532000,0.28002000,0.28867000,0.29158000,0.31532000,0.28002000,0.28867000,116086483.00000000,116086483.00000000
2022-07-03,0.31584000,0.33499000,0.27218000,0.29149000,0.31584000,0.33499000,0.27218000,0.29149000,116742863.00000000,116742863.00000000
2022-06-26,0.29096000,0.36538000,0.27631000,0.31587000,0.29096000,0.36538000,0.27631000,0.31587000,207084252.00000000,207084252.00000000
2022-06-19,0.31077000,0.33772000,0.25382000,0.29110000,0.31077000,0.33772000,0.25382000,0.29110000,279862988.00000000,279862988.00000000
2022-06-12,0.42156000,0.47175000,0.30470000,0.31152000,0.42156000,0.47175000,0.30470000,0.31152000,218735263.00000000,218735263.00000000
2022-06-05,0.45456000,0.50601000,0.40338000,0.42180000,0.45456000,0.50601000,0.40338000,0.42180000,236450858.00000000,236450858.00000000
