timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,45.46000000,45.87000000,45.34000000,45.70000000,45.46000000,45.87000000,45.34000000,45.70000000,4135.75300000,4135.75300000
2023-05-07,49.58000000,49.96000000,45.05000000,45.47000000,49.58000000,49.96000000,45.05000000,45.47000000,369096.65100000,369096.65100000
2023-04-30,50.18000000,53.51000000,47.00000000,49.59000000,50.18000000,53.51000000,47.00000000,49.59000000,494544.35600000,494544.35600000
2023-04-23,60.94000000,61.08000000,48.09000000,50.16000000,60.94000000,61.08000000,48.09000000,50.16000000,734268.05500000,734268.05500000
2023-04-16,55.72000000,61.99000000,54.50000000,60.94000000,55.72000000,61.99000000,54.50000000,60.94000000,694575.95700000,694575.95700000
2023-04-09,57.12000000,59.10000000,54.39000000,55.73000000,57.12000000,59.10000000,54.39000000,55.73000000,448372.08800000,448372.08800000
2023-04-02,59.09000000,60.20000000,54.20000000,57.07000000,59.09000000,60.20000000,54.20000000,57.07000000,633047.84600000,633047.84600000
2023-03-26,57.61000000,64.72000000,53.56000000,59.13000000,57.61000000,64.72000000,53.56000000,59.13000000,1279188.12700000,1279188.12700000
2023-03-19,53.22000000,60.54000000,50.54000000,57.57000000,53.22000000,60.54000000,50.54000000,57.57000000,1207666.53500000,1207666.53500000
2023-03-12,65.32000000,65.90000000,43.53000000,53.23000000,65.32000000,65.90000000,43.53000000,53.23000000,1558158.10900000,1558158.10900000
2023-03-05,74.07000000,75.00000000,64.51000000,65.32000000,74.07000000,75.00000000,64.51000000,65.32000000,776628.76600000,776628.76600000
2023-02-26,70.52000000,74.73000000,66.86000000,74.07000000,70.52000000,74.73000000,66.86000000,74.07000000,862412.76000000,862412.76000000
2023-02-19,62.69000000,77.90000000,60.36000000,70.54000000,62.69000000,77.90000000,60.36000000,70.54000000,1401867.06400000,1401867.06400000
2023-02-12,59.55000000,66.66000000,55.26000000,62.72000000,59.55000000,66.66000000,55.26000000,62.72000000,1091707.07300000,1091707.07300000
2023-02-05,56.68000000,64.75000000,55.43000000,59.52000000,56.68000000,64.75000000,55.43000000,59.52000000,1200789.69800000,1200789.69800000
2023-01-29,51.40000000,58.30000000,48.05000000,56.67000000,51.40000000,58.30000000,48.05000000,56.67000000,959142.31600000,959142.31600000
2023-01-22,51.70000000,54.00000000,45.86000000,51.39000000,51.70000000,54.00000000,45.86000000,51.39000000,795611.76900000,795611.76900000
2023-01-15,47.81000000,54.25000000,46.60000000,51.70000000,47.81000000,54.25000000,46.60000000,51.70000000,955415.35200000,955415.35200000
2023-01-08,42.22000000,48.11000000,41.48000000,47.81000000,42.22000000,48.11000000,41.48000000,47.81000000,697592.26200000,697592.26200000
2023-01-01,44.50000000,45.76000000,41.11000000,42.21000000,44.50000000,45.76000000,41.11000000,42.21000000,581141.49600000,581141.49600000
2022-12-25,42.42000000,44.67000000,40.31000000,44.48000000,42.42000000,44.67000000,40.31000000,44.48000000,605248.56000000,605248.56000000
2022-12-18,46.64000000,50.46000000,41.30000000,42.42000000,46.64000000,50.46000000,41.30000000,42.42000000,897551.38600000,897551.38600000
2022-12-11,44.71000000,48.11000000,43.34000000,46.64000000,44.71000000,48.11000000,43.34000000,46.64000000,1036108.64600000,1036108.64600000
2022-12-04,40.62000000,46.58000000,38.75000000,44.73000000,40.62000000,46.58000000,38.75000000,44.73000000,936324.05900000,936324.05900000
2022-11-27,34.57000000,44.18000000,33.60000000,40.60000000,34.57000000,44.18000000,33.60000000,40.60000000,1147970.79100000,1147970.79100000
2022-11-20,33.40000000,36.16000000,31.51000000,34.57000000,33.40000000,36.16000000,31.51000000,34.57000000,533918.94500000,533918.94500000
2022-11-13,43.67000000,47.47000000,30.60000000,33.40000000,43.67000000,47.47000000,30.60000000,33.40000000,1245663.78300000,1245663.78300000
2022-11-06,41.93000000,46.11000000,39.90000000,43.70000000,41.93000000,46.11000000,39.90000000,43.70000000,622372.59600000,622372.59600000
2022-10-30,41.71000000,44.02000000,39.65000000,41.94000000,41.71000000,44.02000000,39.65000000,41.94000000,475263.49700000,475263.49700000
2022-10-23,41.75000000,41.95000000,38.51000000,41.71000000,41.75000000,41.95000000,38.51000000,41.71000000,244930.64600000,244930.64600000
2022-10-16,42.95000000,43.51000000,38.00000000,41.79000000,42.95000000,43.51000000,38.00000000,41.79000000,372339.85600000,372339.85600000
2022-10-09,39.86000000,43.18000000,39.30000000,42.95000000,39.86000000,43.18000000,39.30000000,42.95000000,456249.09500000,456249.09500000
2022-10-02,41.15000000,43.69000000,39.56000000,39.85000000,41.15000000,43.69000000,39.56000000,39.85000000,560388.84300000,560388.84300000
2022-09-25,40.33000000,42.92000000,39.01000000,41.15000000,40.33000000,42.92000000,39.01000000,41.15000000,808071.70100000,808071.70100000
2022-09-18,48.30000000,49.93000000,39.87000000,40.31000000,48.30000000,49.93000000,39.87000000,40.31000000,1163963.60500000,1163963.60500000
2022-09-11,47.60000000,50.18000000,42.20000000,48.30000000,47.60000000,50.18000000,42.20000000,48.30000000,634153.02300000,634153.02300000
2022-09-04,44.20000000,48.30000000,43.10000000,47.60000000,44.20000000,48.30000000,43.10000000,47.60000000,376901.06300000,376901.06300000
2022-08-28,46.70000000,50.70000000,43.70000000,44.10000000,46.70000000,50.70000000,43.70000000,44.10000000,466813.87900000,466813.87900000
2022-08-21,55.00000000,56.90000000,44.20000000,46.70000000,55.00000000,56.90000000,44.20000000,46.70000000,563471.00900000,563471.00900000
2022-08-14,53.30000000,58.60000000,50.90000000,55.00000000,53.30000000,58.60000000,50.90000000,55.00000000,640687.17200000,640687.17200000
2022-08-07,51.10000000,54.70000000,47.00000000,53.30000000,51.10000000,54.70000000,47.00000000,53.30000000,531382.92700000,531382.92700000
2022-07-31,48.90000000,54.70000000,42.40000000,51.10000000,48.90000000,54.70000000,42.40000000,51.10000000,708280.17500000,708280.17500000
2022-07-24,46.00000000,51.00000000,45.40000000,48.90000000,46.00000000,51.00000000,45.40000000,48.90000000,686302.87600000,686302.87600000
2022-07-17,45.10000000,47.10000000,39.30000000,46.00000000,45.10000000,47.10000000,39.30000000,46.00000000,578225.03800000,578225.03800000
2022-07-10,42.70000000,48.20000000,41.50000000,45.20000000,42.70000000,48.20000000,41.50000000,45.20000000,409945.77700000,409945.77700000
