timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.03025000,0.03032000,0.03019000,0.03028000,0.03025000,0.03032000,0.03019000,0.03028000,115548.60000000,115548.60000000
2023-05-07,0.03411000,0.03424000,0.03025000,0.03026000,0.03411000,0.03424000,0.03025000,0.03026000,43871681.40000001,43871681.40000001
2023-04-30,0.03582000,0.03730000,0.03407000,0.03412000,0.03582000,0.03730000,0.03407000,0.03412000,47117096.59999999,47117096.59999999
2023-04-23,0.04102000,0.04150000,0.03525000,0.03576000,0.04102000,0.04150000,0.03525000,0.03576000,53441226.50000000,53441226.50000000
2023-04-16,0.03923000,0.04135000,0.03691000,0.04100000,0.03923000,0.04135000,0.03691000,0.04100000,63958040.40000001,63958040.40000001
2023-04-09,0.03787000,0.04213000,0.03640000,0.03924000,0.03787000,0.04213000,0.03640000,0.03924000,125986852.20000000,125986852.20000000
2023-04-02,0.03787000,0.03953000,0.03512000,0.03784000,0.03787000,0.03953000,0.03512000,0.03784000,73916187.09999999,73916187.09999999
2023-03-26,0.03784000,0.04400000,0.03574000,0.03792000,0.03784000,0.04400000,0.03574000,0.03792000,157023528.59999999,157023528.59999999
2023-03-19,0.03505000,0.04060000,0.03368000,0.03787000,0.03505000,0.04060000,0.03368000,0.03787000,104566549.90000001,104566549.90000001
2023-03-12,0.03791000,0.04130000,0.03083000,0.03503000,0.03791000,0.04130000,0.03083000,0.03503000,83864214.80000000,83864214.80000000
2023-03-05,0.04216000,0.04304000,0.03700000,0.03791000,0.04216000,0.04304000,0.03700000,0.03791000,92481642.70000000,92481642.70000000
2023-02-26,0.04179000,0.04854000,0.03902000,0.04211000,0.04179000,0.04854000,0.03902000,0.04211000,297662441.00000000,297662441.00000000
2023-02-19,0.03816000,0.04416000,0.03534000,0.04178000,0.03816000,0.04416000,0.03534000,0.04178000,196117128.30000001,196117128.30000001
2023-02-12,0.04425000,0.04850000,0.03601000,0.03821000,0.04425000,0.04850000,0.03601000,0.03821000,527687259.19999999,527687259.19999999
2023-02-05,0.03459000,0.05419000,0.03254000,0.04425000,0.03459000,0.05419000,0.03254000,0.04425000,898700304.89999998,898700304.89999998
2023-01-29,0.03416000,0.03565000,0.03124000,0.03453000,0.03416000,0.03565000,0.03124000,0.03453000,179591063.69999999,179591063.69999999
2023-01-22,0.02699000,0.04597000,0.02683000,0.03417000,0.02699000,0.04597000,0.02683000,0.03417000,1254916753.09999990,1254916753.09999990
2023-01-15,0.02453000,0.02800000,0.02386000,0.02698000,0.02453000,0.02800000,0.02386000,0.02698000,135033502.59999999,135033502.59999999
2023-01-08,0.02284000,0.02491000,0.02253000,0.02453000,0.02284000,0.02491000,0.02253000,0.02453000,82976358.09999999,82976358.09999999
2023-01-01,0.02298000,0.02356000,0.02217000,0.02274000,0.02298000,0.02356000,0.02217000,0.02274000,42193223.00000000,42193223.00000000
2022-12-25,0.02306000,0.02423000,0.02187000,0.02298000,0.02306000,0.02423000,0.02187000,0.02298000,75119103.09999999,75119103.09999999
2022-12-18,0.02704000,0.02750000,0.02161000,0.02303000,0.02704000,0.02750000,0.02161000,0.02303000,67209238.80000000,67209238.80000000
2022-12-11,0.02733000,0.03163000,0.02591000,0.02706000,0.02733000,0.03163000,0.02591000,0.02706000,171330909.50000000,171330909.50000000
2022-12-04,0.02645000,0.02914000,0.02526000,0.02733000,0.02645000,0.02914000,0.02526000,0.02733000,81614535.69999999,81614535.69999999
2022-11-27,0.02513000,0.02764000,0.02375000,0.02645000,0.02513000,0.02764000,0.02375000,0.02645000,121944469.80000000,121944469.80000000
2022-11-20,0.02377000,0.02778000,0.02258000,0.02521000,0.02377000,0.02778000,0.02258000,0.02521000,137468918.00000000,137468918.00000000
2022-11-13,0.03214000,0.03529000,0.02212000,0.02386000,0.03214000,0.03529000,0.02212000,0.02386000,115876282.59999999,115876282.59999999
2022-11-06,0.03170000,0.03370000,0.03005000,0.03209000,0.03170000,0.03370000,0.03005000,0.03209000,65801126.20000000,65801126.20000000
2022-10-30,0.03013000,0.03300000,0.02950000,0.03170000,0.03013000,0.03300000,0.02950000,0.03170000,52686846.30000000,52686846.30000000
2022-10-23,0.03025000,0.03443000,0.02862000,0.03017000,0.03025000,0.03443000,0.02862000,0.03017000,163371636.89999998,163371636.89999998
2022-10-16,0.03075000,0.04445000,0.02678000,0.03030000,0.03075000,0.04445000,0.02678000,0.03030000,404145229.70000005,404145229.70000005
2022-10-09,0.03078000,0.03220000,0.03015000,0.03076000,0.03078000,0.03220000,0.03015000,0.03076000,44542515.20000000,44542515.20000000
2022-10-02,0.03110000,0.03766000,0.03017000,0.03074000,0.03110000,0.03766000,0.03017000,0.03074000,268578742.10000002,268578742.10000002
2022-09-25,0.02979000,0.03450000,0.02884000,0.03104000,0.02979000,0.03450000,0.02884000,0.03104000,191210091.70000002,191210091.70000002
2022-09-18,0.03273000,0.03666000,0.02899000,0.02977000,0.03273000,0.03666000,0.02899000,0.02977000,191158793.40000004,191158793.40000004
2022-09-11,0.03102000,0.03321000,0.02823000,0.03275000,0.03102000,0.03321000,0.02823000,0.03275000,99424133.30000000,99424133.30000000
2022-09-04,0.02914000,0.03188000,0.02901000,0.03104000,0.02914000,0.03188000,0.02901000,0.03104000,57819869.00000000,57819869.00000000
2022-08-28,0.03109000,0.03463000,0.02889000,0.02920000,0.03109000,0.03463000,0.02889000,0.02920000,169363826.29999998,169363826.29999998
2022-08-21,0.03804000,0.04098000,0.02986000,0.03110000,0.03804000,0.04098000,0.02986000,0.03110000,89044391.80000001,89044391.80000001
