timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,17.84000000,17.97000000,17.73000000,17.87000000,17.84000000,17.97000000,17.73000000,17.87000000,1286.76200000,1286.76200000
2023-05-07,18.18000000,20.59000000,16.91000000,17.85000000,18.18000000,20.59000000,16.91000000,17.85000000,424241.26400000,424241.26400000
2023-04-30,18.90000000,20.00000000,17.91000000,18.19000000,18.90000000,20.00000000,17.91000000,18.19000000,106392.72200000,106392.72200000
2023-04-23,21.81000000,22.08000000,18.36000000,18.90000000,21.81000000,22.08000000,18.36000000,18.90000000,158499.85700000,158499.85700000
2023-04-16,21.23000000,22.64000000,20.56000000,21.87000000,21.23000000,22.64000000,20.56000000,21.87000000,256349.69000000,256349.69000000
2023-04-09,20.87000000,23.38000000,19.30000000,21.27000000,20.87000000,23.38000000,19.30000000,21.27000000,417900.20200000,417900.20200000
2023-04-02,21.21000000,25.18000000,19.65000000,20.87000000,21.21000000,25.18000000,19.65000000,20.87000000,385854.86300000,385854.86300000
2023-03-26,20.90000000,25.90000000,18.50000000,21.21000000,20.90000000,25.90000000,18.50000000,21.21000000,365201.11500000,365201.11500000
2023-03-19,19.49000000,22.95000000,18.07000000,20.90000000,19.49000000,22.95000000,18.07000000,20.90000000,213408.43500000,213408.43500000
2023-03-12,21.43000000,21.94000000,17.53000000,19.46000000,21.43000000,21.94000000,17.53000000,19.46000000,107998.00300000,107998.00300000
2023-03-05,24.19000000,24.47000000,21.43000000,21.43000000,24.19000000,24.47000000,21.43000000,21.43000000,74757.66100000,74757.66100000
2023-02-26,25.71000000,28.52000000,23.10000000,24.15000000,25.71000000,28.52000000,23.10000000,24.15000000,186008.42800000,186008.42800000
2023-02-19,22.90000000,27.27000000,21.71000000,25.65000000,22.90000000,27.27000000,21.71000000,25.65000000,190516.70500000,190516.70500000
2023-02-12,23.30000000,27.30000000,22.40000000,22.90000000,23.30000000,27.30000000,22.40000000,22.90000000,218219.74800000,218219.74800000
2023-02-05,23.90000000,24.20000000,21.80000000,23.40000000,23.90000000,24.20000000,21.80000000,23.40000000,119790.96600000,119790.96600000
2023-01-29,23.00000000,24.90000000,22.80000000,23.90000000,23.00000000,24.90000000,22.80000000,23.90000000,135426.13800000,135426.13800000
2023-01-22,21.50000000,24.30000000,20.40000000,23.00000000,21.50000000,24.30000000,20.40000000,23.00000000,120628.63900000,120628.63900000
2023-01-15,19.00000000,22.50000000,18.70000000,21.60000000,19.00000000,22.50000000,18.70000000,21.60000000,150660.24800000,150660.24800000
2023-01-08,18.50000000,19.40000000,18.30000000,19.00000000,18.50000000,19.40000000,18.30000000,19.00000000,46756.06900000,46756.06900000
2023-01-01,19.30000000,19.50000000,18.20000000,18.50000000,19.30000000,19.50000000,18.20000000,18.50000000,37900.07200000,37900.07200000
2022-12-25,19.60000000,21.00000000,18.40000000,19.30000000,19.60000000,21.00000000,18.40000000,19.30000000,79852.00600000,79852.00600000
2022-12-18,21.20000000,24.00000000,18.90000000,19.60000000,21.20000000,24.00000000,18.90000000,19.60000000,140515.31800000,140515.31800000
2022-12-11,21.50000000,23.40000000,20.30000000,21.20000000,21.50000000,23.40000000,20.30000000,21.20000000,130187.72200000,130187.72200000
2022-12-04,19.90000000,24.80000000,19.10000000,21.50000000,19.90000000,24.80000000,19.10000000,21.50000000,278178.24700000,278178.24700000
2022-11-27,18.70000000,23.70000000,18.30000000,19.80000000,18.70000000,23.70000000,18.30000000,19.80000000,115876.48700000,115876.48700000
2022-11-20,19.70000000,22.30000000,18.50000000,18.90000000,19.70000000,22.30000000,18.50000000,18.90000000,101660.20300000,101660.20300000
2022-11-13,27.40000000,27.60000000,19.00000000,19.70000000,27.40000000,27.60000000,19.00000000,19.70000000,98574.47700000,98574.47700000
2022-11-06,27.60000000,28.80000000,26.50000000,27.40000000,27.60000000,28.80000000,26.50000000,27.40000000,61201.75000000,61201.75000000
