timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00088100,0.00088900,0.00087700,0.00088100,0.00088100,0.00088900,0.00087700,0.00088100,133776522.00000000,133776522.00000000
2023-05-07,0.00094600,0.00096100,0.00088000,0.00088300,0.00094600,0.00096100,0.00088000,0.00088300,8068589960.00000000,8068589960.00000000
2023-04-30,0.00099800,0.00103800,0.00092500,0.00094500,0.00099800,0.00103800,0.00092500,0.00094500,12664247438.00000000,12664247438.00000000
2023-04-23,0.00120600,0.00121700,0.00096800,0.00099800,0.00120600,0.00121700,0.00096800,0.00099800,12608876862.00000000,12608876862.00000000
2023-04-16,0.00106800,0.00121800,0.00105400,0.00120700,0.00106800,0.00121800,0.00105400,0.00120700,15641365804.00000000,15641365804.00000000
2023-04-09,0.00107700,0.00114000,0.00103500,0.00106800,0.00107700,0.00114000,0.00103500,0.00106800,9032085355.00000000,9032085355.00000000
2023-04-02,0.00105800,0.00114400,0.00096400,0.00107600,0.00105800,0.00114400,0.00096400,0.00107600,14122084984.00000000,14122084984.00000000
2023-03-26,0.00115000,0.00117100,0.00100800,0.00105800,0.00115000,0.00117100,0.00100800,0.00105800,11686054028.00000000,11686054028.00000000
2023-03-19,0.00097100,0.00121200,0.00094600,0.00115000,0.00097100,0.00121200,0.00094600,0.00115000,23721887779.00000000,23721887779.00000000
2023-03-12,0.00109600,0.00109900,0.00081100,0.00097100,0.00109600,0.00109900,0.00081100,0.00097100,20131821837.00000000,20131821837.00000000
2023-03-05,0.00120500,0.00122600,0.00103300,0.00109600,0.00120500,0.00122600,0.00103300,0.00109600,20007064520.00000000,20007064520.00000000
2023-02-26,0.00130700,0.00145500,0.00113000,0.00120500,0.00130700,0.00145500,0.00113000,0.00120500,40701025841.00000000,40701025841.00000000
2023-02-19,0.00087800,0.00153400,0.00083500,0.00130700,0.00087800,0.00153400,0.00083500,0.00130700,64088026828.00000000,64088026828.00000000
2023-02-12,0.00097400,0.00107800,0.00085700,0.00087900,0.00097400,0.00107800,0.00085700,0.00087900,19184336988.00000000,19184336988.00000000
2023-02-05,0.00097300,0.00103500,0.00088000,0.00097400,0.00097300,0.00103500,0.00088000,0.00097400,16065581239.00000000,16065581239.00000000
2023-01-29,0.00088700,0.00102700,0.00084300,0.00097200,0.00088700,0.00102700,0.00084300,0.00097200,19577548318.00000000,19577548318.00000000
