timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00865000,0.00873000,0.00864000,0.00872000,0.00865000,0.00873000,0.00864000,0.00872000,1224731.00000000,1224731.00000000
2023-05-07,0.00923000,0.00927000,0.00861000,0.00864000,0.00923000,0.00927000,0.00861000,0.00864000,335844843.89999998,335844843.89999998
2023-04-30,0.00919000,0.00979000,0.00883000,0.00923000,0.00919000,0.00979000,0.00883000,0.00923000,555346820.20000005,555346820.20000005
2023-04-23,0.01038000,0.01072000,0.00900000,0.00919000,0.01038000,0.01072000,0.00900000,0.00919000,846387946.69999993,846387946.69999993
2023-04-16,0.00960000,0.01052000,0.00932000,0.01038000,0.00960000,0.01052000,0.00932000,0.01038000,898532467.19999993,898532467.19999993
2023-04-09,0.00942000,0.00991000,0.00914000,0.00961000,0.00942000,0.00991000,0.00914000,0.00961000,669292482.09999990,669292482.09999990
2023-04-02,0.00957000,0.01008000,0.00907000,0.00942000,0.00957000,0.01008000,0.00907000,0.00942000,740006671.19999993,740006671.19999993
2023-03-26,0.00996000,0.01008000,0.00915000,0.00957000,0.00996000,0.01008000,0.00915000,0.00957000,805222649.50000000,805222649.50000000
2023-03-19,0.00962000,0.01088000,0.00869000,0.00995000,0.00962000,0.01088000,0.00869000,0.00995000,1416622491.59999990,1416622491.59999990
2023-03-12,0.01030000,0.01039000,0.00836000,0.00962000,0.01030000,0.01039000,0.00836000,0.00962000,705432308.09999990,705432308.09999990
2023-03-05,0.01166000,0.01175000,0.01000000,0.01031000,0.01166000,0.01175000,0.01000000,0.01031000,586927018.19999993,586927018.19999993
2023-02-26,0.01100000,0.01366000,0.01066000,0.01168000,0.01100000,0.01366000,0.01066000,0.01168000,1845568011.90000010,1845568011.90000010
2023-02-19,0.00977000,0.01128000,0.00930000,0.01100000,0.00977000,0.01128000,0.00930000,0.01100000,1093537729.79999995,1093537729.79999995
2023-02-12,0.01053000,0.01165000,0.00957000,0.00978000,0.01053000,0.01165000,0.00957000,0.00978000,1292681454.10000014,1292681454.10000014
2023-02-05,0.01100000,0.01148000,0.00990000,0.01052000,0.01100000,0.01148000,0.00990000,0.01052000,879741030.00000000,879741030.00000000
2023-01-29,0.01053000,0.01126000,0.01005000,0.01099000,0.01053000,0.01126000,0.01005000,0.01099000,769876613.10000002,769876613.10000002
2023-01-22,0.01018000,0.01078000,0.00891000,0.01052000,0.01018000,0.01078000,0.00891000,0.01052000,1073496828.59999990,1073496828.59999990
2023-01-15,0.00830000,0.01050000,0.00827000,0.01018000,0.00830000,0.01050000,0.00827000,0.01018000,1016908357.50000012,1016908357.50000012
2023-01-08,0.00787000,0.00833000,0.00775000,0.00829000,0.00787000,0.00833000,0.00775000,0.00829000,315428377.00000006,315428377.00000006
2023-01-01,0.00758000,0.00792000,0.00742000,0.00786000,0.00758000,0.00792000,0.00742000,0.00786000,362327845.00000000,362327845.00000000
2022-12-25,0.00814000,0.00868000,0.00755000,0.00758000,0.00814000,0.00868000,0.00755000,0.00758000,714435012.59999990,714435012.59999990
2022-12-18,0.00770000,0.01085000,0.00740000,0.00813000,0.00770000,0.01085000,0.00740000,0.00813000,3211428549.40000057,3211428549.40000057
2022-12-11,0.00774000,0.00800000,0.00720000,0.00770000,0.00774000,0.00800000,0.00720000,0.00770000,489457058.20000005,489457058.20000005
2022-12-04,0.00755000,0.00794000,0.00712000,0.00775000,0.00755000,0.00794000,0.00712000,0.00775000,429861749.40000004,429861749.40000004
2022-11-27,0.00667000,0.00796000,0.00645000,0.00757000,0.00667000,0.00796000,0.00645000,0.00757000,629869698.80000007,629869698.80000007
2022-11-20,0.00672000,0.00727000,0.00625000,0.00667000,0.00672000,0.00727000,0.00625000,0.00667000,459980469.60000002,459980469.60000002
2022-11-13,0.00930000,0.00948000,0.00600000,0.00674000,0.00930000,0.00948000,0.00600000,0.00674000,1136475532.60000014,1136475532.60000014
2022-11-06,0.00916000,0.01100000,0.00848000,0.00930000,0.00916000,0.01100000,0.00848000,0.00930000,852718402.19999993,852718402.19999993
2022-10-30,0.00857000,0.00952000,0.00833000,0.00914000,0.00857000,0.00952000,0.00833000,0.00914000,521789000.29999995,521789000.29999995
2022-10-23,0.00878000,0.00920000,0.00808000,0.00857000,0.00878000,0.00920000,0.00808000,0.00857000,534731190.39999998,534731190.39999998
2022-10-16,0.00923000,0.00930000,0.00788000,0.00878000,0.00923000,0.00930000,0.00788000,0.00878000,622450783.10000002,622450783.10000002
2022-10-09,0.00918000,0.00984000,0.00911000,0.00924000,0.00918000,0.00984000,0.00911000,0.00924000,417079543.89999998,417079543.89999998
2022-10-02,0.00924000,0.01013000,0.00896000,0.00918000,0.00924000,0.01013000,0.00896000,0.00918000,597016495.89999998,597016495.89999998
2022-09-25,0.00922000,0.00984000,0.00882000,0.00923000,0.00922000,0.00984000,0.00882000,0.00923000,559939473.80000007,559939473.80000007
2022-09-18,0.01081000,0.01122000,0.00906000,0.00921000,0.01081000,0.01122000,0.00906000,0.00921000,815695596.79999995,815695596.79999995
2022-09-11,0.01073000,0.01106000,0.00925000,0.01082000,0.01073000,0.01106000,0.00925000,0.01082000,789237622.20000005,789237622.20000005
2022-09-04,0.00979000,0.01190000,0.00977000,0.01072000,0.00979000,0.01190000,0.00977000,0.01072000,1096012488.59999990,1096012488.59999990
2022-08-28,0.01076000,0.01363000,0.00975000,0.00979000,0.01076000,0.01363000,0.00975000,0.00979000,1236433686.90000010,1236433686.90000010
2022-08-21,0.01330000,0.01370000,0.01019000,0.01076000,0.01330000,0.01370000,0.01019000,0.01076000,1148129897.39999986,1148129897.39999986
