timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-10-24,0.03050000,0.04750000,0.03010000,0.03600000,0.03050000,0.04750000,0.03010000,0.03600000,143600233.00000000,143600233.00000000
2022-10-23,0.03210000,0.05520000,0.02580000,0.03040000,0.03210000,0.05520000,0.02580000,0.03040000,669606791.00000000,669606791.00000000
2022-10-16,0.04040000,0.04070000,0.02970000,0.03220000,0.04040000,0.04070000,0.02970000,0.03220000,108046268.00000000,108046268.00000000
2022-10-09,0.04100000,0.04470000,0.04030000,0.04040000,0.04100000,0.04470000,0.04030000,0.04040000,52984633.00000000,52984633.00000000
2022-10-02,0.04120000,0.04590000,0.03960000,0.04110000,0.04120000,0.04590000,0.03960000,0.04110000,65625331.00000000,65625331.00000000
2022-09-25,0.04270000,0.04370000,0.04040000,0.04120000,0.04270000,0.04370000,0.04040000,0.04120000,35142061.00000000,35142061.00000000
2022-09-18,0.04990000,0.05100000,0.04240000,0.04280000,0.04990000,0.05100000,0.04240000,0.04280000,76996899.00000000,76996899.00000000
2022-09-11,0.04440000,0.05090000,0.04280000,0.04980000,0.04440000,0.05090000,0.04280000,0.04980000,94054078.00000000,94054078.00000000
2022-09-04,0.04200000,0.04650000,0.04180000,0.04440000,0.04200000,0.04650000,0.04180000,0.04440000,44121857.00000000,44121857.00000000
2022-08-28,0.04710000,0.05070000,0.04190000,0.04190000,0.04710000,0.05070000,0.04190000,0.04190000,104396782.00000000,104396782.00000000
2022-08-21,0.05400000,0.05690000,0.04440000,0.04710000,0.05400000,0.05690000,0.04440000,0.04710000,80923007.00000000,80923007.00000000
2022-08-14,0.05440000,0.05740000,0.05290000,0.05410000,0.05440000,0.05740000,0.05290000,0.05410000,75248029.00000000,75248029.00000000
2022-08-07,0.05400000,0.05940000,0.05120000,0.05450000,0.05400000,0.05940000,0.05120000,0.05450000,99478544.00000000,99478544.00000000
2022-07-31,0.05000000,0.06100000,0.04630000,0.05400000,0.05000000,0.06100000,0.04630000,0.05400000,190469935.00000000,190469935.00000000
2022-07-24,0.04970000,0.05430000,0.04720000,0.05010000,0.04970000,0.05430000,0.04720000,0.05010000,111135008.00000000,111135008.00000000
2022-07-17,0.04670000,0.05470000,0.04260000,0.04950000,0.04670000,0.05470000,0.04260000,0.04950000,141814545.00000000,141814545.00000000
2022-07-10,0.04540000,0.05450000,0.04460000,0.04680000,0.04540000,0.05450000,0.04460000,0.04680000,153195494.00000000,153195494.00000000
2022-07-03,0.04830000,0.05650000,0.04360000,0.04540000,0.04830000,0.05650000,0.04360000,0.04540000,341952612.00000000,341952612.00000000
2022-06-26,0.03570000,0.06050000,0.03430000,0.04820000,0.03570000,0.06050000,0.03430000,0.04820000,492482270.00000000,492482270.00000000
2022-06-19,0.04240000,0.04280000,0.03120000,0.03570000,0.04240000,0.04280000,0.03120000,0.03570000,98654671.00000000,98654671.00000000
2022-06-12,0.05320000,0.05720000,0.04200000,0.04240000,0.05320000,0.05720000,0.04200000,0.04240000,102488261.00000000,102488261.00000000
2022-06-05,0.04910000,0.06500000,0.04820000,0.05310000,0.04910000,0.06500000,0.04820000,0.05310000,187181708.00000000,187181708.00000000
2022-05-29,0.05510000,0.05760000,0.04620000,0.04880000,0.05510000,0.05760000,0.04620000,0.04880000,116201850.00000000,116201850.00000000
2022-05-22,0.05590000,0.06540000,0.05170000,0.05510000,0.05590000,0.06540000,0.05170000,0.05510000,353584758.00000000,353584758.00000000
2022-05-15,0.08240000,0.08330000,0.03360000,0.05570000,0.08240000,0.08330000,0.03360000,0.05570000,454367586.60000002,454367586.60000002
2022-05-08,0.09640000,0.11920000,0.08090000,0.08250000,0.09640000,0.11920000,0.08090000,0.08250000,442914555.00000000,442914555.00000000
2022-05-01,0.10680000,0.13750000,0.08310000,0.09640000,0.10680000,0.13750000,0.08310000,0.09640000,1113174488.00000000,1113174488.00000000
2022-04-24,0.11330000,0.12200000,0.10340000,0.10660000,0.11330000,0.12200000,0.10340000,0.10660000,292435799.00000000,292435799.00000000
2022-04-17,0.13680000,0.15440000,0.11120000,0.11310000,0.13680000,0.15440000,0.11120000,0.11310000,520621729.00000000,520621729.00000000
2022-04-10,0.15640000,0.20850000,0.10420000,0.13660000,0.15640000,0.20850000,0.10420000,0.13660000,2985963537.00000000,2985963537.00000000
2022-04-03,0.08520000,0.19960000,0.08210000,0.15640000,0.08520000,0.19960000,0.08210000,0.15640000,1629180837.00000000,1629180837.00000000
2022-03-27,0.07490000,0.09400000,0.07230000,0.08520000,0.07490000,0.09400000,0.07230000,0.08520000,208603696.00000000,208603696.00000000
2022-03-20,0.06720000,0.07760000,0.06530000,0.07490000,0.06720000,0.07760000,0.06530000,0.07490000,88239112.00000000,88239112.00000000
2022-03-13,0.06770000,0.07650000,0.06470000,0.06740000,0.06770000,0.07650000,0.06470000,0.06740000,93902895.00000000,93902895.00000000
2022-03-06,0.06710000,0.08140000,0.06580000,0.06760000,0.06710000,0.08140000,0.06580000,0.06760000,78815058.00000000,78815058.00000000
2022-02-27,0.07280000,0.07800000,0.05850000,0.06720000,0.07280000,0.07800000,0.05850000,0.06720000,66941055.00000000,66941055.00000000
2022-02-20,0.08360000,0.10260000,0.07070000,0.07260000,0.08360000,0.10260000,0.07070000,0.07260000,169598063.00000000,169598063.00000000
2022-02-13,0.08960000,0.09840000,0.08290000,0.08370000,0.08960000,0.09840000,0.08290000,0.08370000,93341806.00000000,93341806.00000000
2022-02-06,0.08010000,0.09180000,0.07670000,0.08950000,0.08010000,0.09180000,0.07670000,0.08950000,69140823.00000000,69140823.00000000
2022-01-30,0.07780000,0.08830000,0.06580000,0.07980000,0.07780000,0.08830000,0.06580000,0.07980000,103559440.00000000,103559440.00000000
2022-01-23,0.11270000,0.11270000,0.06680000,0.07780000,0.11270000,0.11270000,0.06680000,0.07780000,94507012.70000000,94507012.70000000
2022-01-16,0.11230000,0.11950000,0.10090000,0.11250000,0.11230000,0.11950000,0.10090000,0.11250000,37155405.20000000,37155405.20000000
2022-01-09,0.13680000,0.14280000,0.10770000,0.11270000,0.13680000,0.14280000,0.10770000,0.11270000,60894474.30000000,60894474.30000000
2022-01-02,0.14380000,0.15820000,0.12590000,0.13680000,0.14380000,0.15820000,0.12590000,0.13680000,96792245.00000000,96792245.00000000
2021-12-26,0.13620000,0.14590000,0.12410000,0.14380000,0.13620000,0.14590000,0.12410000,0.14380000,52961088.00000000,52961088.00000000
2021-12-19,0.14310000,0.14570000,0.12010000,0.13620000,0.14310000,0.14570000,0.12010000,0.13620000,73146848.20000000,73146848.20000000
2021-12-12,0.15220000,0.16100000,0.13630000,0.14310000,0.15220000,0.16100000,0.13630000,0.14310000,280971803.00000000,280971803.00000000
2021-12-05,0.17140000,0.22000000,0.12360000,0.15190000,0.17140000,0.22000000,0.12360000,0.15190000,274435345.39999998,274435345.39999998
2021-11-28,0.17200000,0.20650000,0.15410000,0.17150000,0.17200000,0.20650000,0.15410000,0.17150000,300818902.00000000,300818902.00000000
2021-11-21,0.18780000,0.18890000,0.14350000,0.17230000,0.18780000,0.18890000,0.14350000,0.17230000,129538950.00000000,129538950.00000000
2021-11-14,0.18090000,0.21240000,0.17440000,0.18780000,0.18090000,0.21240000,0.17440000,0.18780000,182426285.00000000,182426285.00000000
2021-11-07,0.17140000,0.20880000,0.16060000,0.18090000,0.17140000,0.20880000,0.16060000,0.18090000,277406107.00000000,277406107.00000000
2021-10-31,0.17570000,0.18300000,0.15320000,0.17170000,0.17570000,0.18300000,0.15320000,0.17170000,166009631.00000000,166009631.00000000
