timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.07652000,0.07690000,0.07614000,0.07686000,0.07652000,0.07690000,0.07614000,0.07686000,28754741.00000000,28754741.00000000
2023-05-07,0.07950000,0.08147000,0.07566000,0.07652000,0.07950000,0.08147000,0.07566000,0.07652000,4363292265.00000000,4363292265.00000000
2023-04-30,0.07876000,0.08358000,0.07480000,0.07951000,0.07876000,0.08358000,0.07480000,0.07951000,6063539758.00000000,6063539758.00000000
2023-04-23,0.09043000,0.09500000,0.07620000,0.07878000,0.09043000,0.09500000,0.07620000,0.07878000,15734104538.00000000,15734104538.00000000
2023-04-16,0.08318000,0.09183000,0.08036000,0.09043000,0.08318000,0.09183000,0.08036000,0.09043000,9716449859.00000000,9716449859.00000000
2023-04-09,0.07903000,0.10500000,0.07600000,0.08318000,0.07903000,0.10500000,0.07600000,0.08318000,27133830761.00000000,27133830761.00000000
2023-04-02,0.07436000,0.08559000,0.07124000,0.07903000,0.07436000,0.08559000,0.07124000,0.07903000,8496242742.00000000,8496242742.00000000
2023-03-26,0.07451000,0.07922000,0.07031000,0.07436000,0.07451000,0.07922000,0.07031000,0.07436000,8282651348.00000000,8282651348.00000000
2023-03-19,0.07051000,0.07890000,0.06735000,0.07450000,0.07051000,0.07890000,0.06735000,0.07450000,8398578427.00000000,8398578427.00000000
2023-03-12,0.07475000,0.07597000,0.06253000,0.07051000,0.07475000,0.07597000,0.06253000,0.07051000,6908958073.00000000,6908958073.00000000
2023-03-05,0.08217000,0.08312000,0.07255000,0.07474000,0.08217000,0.08312000,0.07255000,0.07474000,4675874437.00000000,4675874437.00000000
2023-02-26,0.08698000,0.08884000,0.07836000,0.08216000,0.08698000,0.08884000,0.07836000,0.08216000,6274613399.00000000,6274613399.00000000
2023-02-19,0.08217000,0.09199000,0.07936000,0.08697000,0.08217000,0.09199000,0.07936000,0.08697000,8618647414.00000000,8618647414.00000000
2023-02-12,0.09203000,0.09339000,0.07878000,0.08215000,0.09203000,0.09339000,0.07878000,0.08215000,6703762302.00000000,6703762302.00000000
2023-02-05,0.09009000,0.09980000,0.08450000,0.09203000,0.09009000,0.09980000,0.08450000,0.09203000,14632356933.00000000,14632356933.00000000
2023-01-29,0.08822000,0.09381000,0.08165000,0.09009000,0.08822000,0.09381000,0.08165000,0.09009000,7607459479.00000000,7607459479.00000000
2023-01-22,0.08607000,0.09343000,0.07780000,0.08824000,0.08607000,0.09343000,0.07780000,0.08824000,9519475041.00000000,9519475041.00000000
2023-01-15,0.07362000,0.09267000,0.07293000,0.08608000,0.07362000,0.09267000,0.07293000,0.08608000,12110284201.00000000,12110284201.00000000
