timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,5.63200000,5.64700000,5.59600000,5.63900000,5.63200000,5.64700000,5.59600000,5.63900000,125647.39000000,125647.39000000
2023-05-07,5.87700000,5.90900000,5.55000000,5.63200000,5.87700000,5.90900000,5.55000000,5.63200000,16410182.39000000,16410182.39000000
2023-04-30,5.90700000,6.22000000,5.60000000,5.87700000,5.90700000,6.22000000,5.60000000,5.87700000,23025724.85000000,23025724.85000000
2023-04-23,6.82400000,7.00000000,5.76800000,5.90600000,6.82400000,7.00000000,5.76800000,5.90600000,29656049.38000000,29656049.38000000
2023-04-16,6.21200000,6.88300000,6.11700000,6.82400000,6.21200000,6.88300000,6.11700000,6.82400000,29896324.22000000,29896324.22000000
2023-04-09,6.26300000,6.58600000,6.09000000,6.21100000,6.26300000,6.58600000,6.09000000,6.21100000,23050437.47000000,23050437.47000000
2023-04-02,6.04400000,6.44600000,5.74500000,6.26300000,6.04400000,6.44600000,5.74500000,6.26300000,23836677.19000000,23836677.19000000
2023-03-26,6.45400000,6.48500000,5.83000000,6.04200000,6.45400000,6.48500000,5.83000000,6.04200000,29836164.09000000,29836164.09000000
2023-03-19,5.89400000,6.69900000,5.70600000,6.45100000,5.89400000,6.69900000,5.70600000,6.45100000,54919096.96000000,54919096.96000000
2023-03-12,5.97700000,6.04300000,5.15000000,5.89500000,5.97700000,6.04300000,5.15000000,5.89500000,45468578.89000000,45468578.89000000
2023-03-05,6.69200000,6.78500000,5.73000000,5.97800000,6.69200000,6.78500000,5.73000000,5.97800000,26346402.70000000,26346402.70000000
2023-02-26,7.44000000,7.57500000,6.34200000,6.69100000,7.44000000,7.57500000,6.34200000,6.69100000,42320855.14000000,42320855.14000000
2023-02-19,6.18000000,7.90000000,5.87800000,7.43800000,6.18000000,7.90000000,5.87800000,7.43800000,68722930.88000000,68722930.88000000
2023-02-12,6.63800000,7.02000000,6.07400000,6.18100000,6.63800000,7.02000000,6.07400000,6.18100000,34512204.57000000,34512204.57000000
2023-02-05,6.61200000,7.12600000,6.02000000,6.63700000,6.61200000,7.12600000,6.02000000,6.63700000,42680691.54000000,42680691.54000000
2023-01-29,6.20700000,6.84000000,6.01000000,6.61100000,6.20700000,6.84000000,6.01000000,6.61100000,44766914.17000000,44766914.17000000
2023-01-22,5.92800000,6.46400000,5.56400000,6.20700000,5.92800000,6.46400000,5.56400000,6.20700000,47890636.35000000,47890636.35000000
2023-01-15,4.82600000,6.52300000,4.80000000,5.92900000,4.82600000,6.52300000,4.80000000,5.92900000,46090118.72000000,46090118.72000000
2023-01-08,4.37100000,4.82800000,4.31600000,4.82600000,4.37100000,4.82800000,4.31600000,4.82600000,19265312.57000000,19265312.57000000
2023-01-01,4.49200000,4.58500000,4.22400000,4.37100000,4.49200000,4.58500000,4.22400000,4.37100000,17291759.69000000,17291759.69000000
2022-12-25,4.65700000,4.70500000,4.37000000,4.49200000,4.65700000,4.70500000,4.37000000,4.49200000,19476686.78000000,19476686.78000000
2022-12-18,5.16000000,5.35800000,4.52000000,4.65700000,5.16000000,5.35800000,4.52000000,4.65700000,33877442.25000000,33877442.25000000
2022-12-11,5.60000000,5.73000000,5.13000000,5.17000000,5.60000000,5.73000000,5.13000000,5.17000000,21791116.07000000,21791116.07000000
2022-12-04,5.31000000,5.71000000,5.06000000,5.59000000,5.31000000,5.71000000,5.06000000,5.59000000,31531105.35000000,31531105.35000000
2022-11-27,5.30000000,5.53000000,5.00000000,5.30000000,5.30000000,5.53000000,5.00000000,5.30000000,28091000.64000000,28091000.64000000
2022-11-20,5.75000000,6.05000000,5.25000000,5.30000000,5.75000000,6.05000000,5.25000000,5.30000000,22732189.64000000,22732189.64000000
2022-11-13,6.81000000,7.42000000,5.32000000,5.75000000,6.81000000,7.42000000,5.32000000,5.75000000,72187240.27000000,72187240.27000000
2022-11-06,6.65000000,7.25000000,6.16000000,6.81000000,6.65000000,7.25000000,6.16000000,6.81000000,45073116.96000000,45073116.96000000
2022-10-30,5.96000000,6.78000000,5.80000000,6.66000000,5.96000000,6.78000000,5.80000000,6.66000000,41334337.57000000,41334337.57000000
2022-10-23,6.19000000,6.30000000,5.73000000,5.97000000,6.19000000,6.30000000,5.73000000,5.97000000,29093775.85000000,29093775.85000000
2022-10-16,6.48000000,6.54000000,5.68000000,6.18000000,6.48000000,6.54000000,5.68000000,6.18000000,24867614.74400000,24867614.74400000
2022-10-09,6.16000000,6.54000000,6.09000000,6.48000000,6.16000000,6.54000000,6.09000000,6.48000000,24265281.88000000,24265281.88000000
2022-10-02,6.20000000,6.80000000,6.13000000,6.15000000,6.20000000,6.80000000,6.13000000,6.15000000,42190355.26000001,42190355.26000001
2022-09-25,6.45000000,6.64000000,5.97000000,6.20000000,6.45000000,6.64000000,5.97000000,6.20000000,47352788.56200000,47352788.56200000
2022-09-18,7.71000000,8.05000000,6.32000000,6.44000000,7.71000000,8.05000000,6.32000000,6.44000000,49529394.12000000,49529394.12000000
2022-09-11,7.38000000,7.94000000,6.75000000,7.70000000,7.38000000,7.94000000,6.75000000,7.70000000,44024295.48999999,44024295.48999999
2022-09-04,6.86000000,7.57000000,6.79000000,7.37000000,6.86000000,7.57000000,6.79000000,7.37000000,31387868.70000000,31387868.70000000
2022-08-28,7.43000000,7.78000000,6.80000000,6.86000000,7.43000000,7.78000000,6.80000000,6.86000000,28990383.25000000,28990383.25000000
2022-08-21,8.95000000,9.39000000,7.03000000,7.44000000,8.95000000,9.39000000,7.03000000,7.44000000,39242994.21000000,39242994.21000000
2022-08-14,8.65000000,9.68000000,8.54000000,8.96000000,8.65000000,9.68000000,8.54000000,8.96000000,58644461.75000000,58644461.75000000
2022-08-07,8.63000000,8.99000000,7.68000000,8.65000000,8.63000000,8.99000000,7.68000000,8.65000000,51666050.73999999,51666050.73999999
2022-07-31,7.40000000,9.21000000,6.52000000,8.62000000,7.40000000,9.21000000,6.52000000,8.62000000,69582889.47000000,69582889.47000000
2022-07-24,6.91000000,8.08000000,6.90000000,7.40000000,6.91000000,8.08000000,6.90000000,7.40000000,62371735.97000000,62371735.97000000
2022-07-17,6.85000000,7.33000000,6.00000000,6.92000000,6.85000000,7.33000000,6.00000000,6.92000000,40440091.85000000,40440091.85000000
2022-07-10,6.86000000,7.46000000,6.60000000,6.86000000,6.86000000,7.46000000,6.60000000,6.86000000,39911417.07000000,39911417.07000000
2022-07-03,7.84000000,8.20000000,6.54000000,6.85000000,7.84000000,8.20000000,6.54000000,6.85000000,38382677.91000000,38382677.91000000
2022-06-26,7.53000000,8.49000000,7.17000000,7.84000000,7.53000000,8.49000000,7.17000000,7.84000000,38710805.89000000,38710805.89000000
2022-06-19,7.40000000,8.79000000,6.36000000,7.53000000,7.40000000,8.79000000,6.36000000,7.53000000,87430131.15099999,87430131.15099999
2022-06-12,9.35000000,9.94000000,7.38000000,7.41000000,9.35000000,9.94000000,7.38000000,7.41000000,41371829.38000000,41371829.38000000
2022-06-05,9.99000000,10.79000000,9.14000000,9.35000000,9.99000000,10.79000000,9.14000000,9.35000000,43678353.84000000,43678353.84000000
2022-05-29,10.16000000,10.80000000,8.56000000,9.98000000,10.16000000,10.80000000,8.56000000,9.98000000,64301241.23999999,64301241.23999999
2022-05-22,11.81000000,11.81000000,9.22000000,10.16000000,11.81000000,11.81000000,9.22000000,10.16000000,56749974.67000000,56749974.67000000
2022-05-15,13.26000000,13.49000000,7.30000000,11.81000000,13.26000000,13.49000000,7.30000000,11.81000000,148902924.04400000,148902924.04400000
2022-05-08,15.36000000,16.45000000,13.03000000,13.25000000,15.36000000,16.45000000,13.03000000,13.25000000,42255702.26900000,42255702.26900000
2022-05-01,18.17000000,18.34000000,14.18000000,15.36000000,18.17000000,18.34000000,14.18000000,15.36000000,34301047.52000000,34301047.52000000
2022-04-24,17.74000000,19.68000000,17.10000000,18.17000000,17.74000000,19.68000000,17.10000000,18.17000000,28266943.87000000,28266943.87000000
2022-04-17,19.23000000,19.29000000,17.00000000,17.74000000,19.23000000,19.29000000,17.00000000,17.74000000,27681820.77000000,27681820.77000000
2022-04-10,23.21000000,23.23000000,19.14000000,19.22000000,23.21000000,23.23000000,19.14000000,19.22000000,37461979.42000000,37461979.42000000
2022-04-03,22.47000000,23.85000000,20.60000000,23.21000000,22.47000000,23.85000000,20.60000000,23.21000000,59767627.81999999,59767627.81999999
2022-03-27,18.66000000,22.48000000,18.40000000,22.46000000,18.66000000,22.48000000,18.40000000,22.46000000,42028789.84000000,42028789.84000000
2022-03-20,17.22000000,19.79000000,17.00000000,18.65000000,17.22000000,19.79000000,17.00000000,18.65000000,35689272.98000000,35689272.98000000
2022-03-13,16.99000000,18.75000000,16.00000000,17.22000000,16.99000000,18.75000000,16.00000000,17.22000000,45194125.76000000,45194125.76000000
2022-03-06,17.50000000,19.56000000,16.18000000,16.99000000,17.50000000,19.56000000,16.18000000,16.99000000,61813176.48000000,61813176.48000000
2022-02-27,16.91000000,18.78000000,14.05000000,17.50000000,16.91000000,18.78000000,14.05000000,17.50000000,81062153.98799999,81062153.98799999
2022-02-20,18.74000000,20.34000000,16.67000000,16.91000000,18.74000000,20.34000000,16.67000000,16.91000000,40252097.48000000,40252097.48000000
2022-02-13,21.91000000,23.19000000,18.25000000,18.73000000,21.91000000,23.19000000,18.25000000,18.73000000,56582993.50000000,56582993.50000000
2022-02-06,18.15000000,22.29000000,17.12000000,21.91000000,18.15000000,22.29000000,17.12000000,21.91000000,54490854.77000000,54490854.77000000
2022-01-30,18.81000000,20.06000000,15.83000000,18.15000000,18.81000000,20.06000000,15.83000000,18.15000000,71416080.71300000,71416080.71300000
2022-01-23,27.70000000,27.76000000,16.17000000,18.81000000,27.70000000,27.76000000,16.17000000,18.81000000,80411664.08999999,80411664.08999999
2022-01-16,24.63000000,28.47000000,22.43000000,27.70000000,24.63000000,28.47000000,22.43000000,27.70000000,58462709.22000000,58462709.22000000
2022-01-09,29.69000000,30.88000000,23.12000000,24.63000000,29.69000000,30.88000000,23.12000000,24.63000000,80411905.26000001,80411905.26000001
2022-01-02,31.32000000,32.78000000,26.17000000,29.69000000,31.32000000,32.78000000,26.17000000,29.69000000,65503549.05999999,65503549.05999999
2021-12-26,24.78000000,31.74000000,23.27000000,31.32000000,24.78000000,31.74000000,23.27000000,31.32000000,56387764.91000000,56387764.91000000
2021-12-19,29.54000000,29.87000000,24.16000000,24.78000000,29.54000000,29.87000000,24.16000000,24.78000000,72486983.89999999,72486983.89999999
2021-12-12,28.31000000,31.49000000,24.84000000,29.54000000,28.31000000,31.49000000,24.84000000,29.54000000,74255079.88000000,74255079.88000000
2021-12-05,35.75000000,39.35000000,24.35000000,28.31000000,35.75000000,39.35000000,24.35000000,28.31000000,75050057.14000000,75050057.14000000
2021-11-28,41.95000000,42.16000000,32.21000000,35.76000000,41.95000000,42.16000000,32.21000000,35.76000000,63949909.64000000,63949909.64000000
2021-11-21,46.39000000,47.46000000,37.53000000,41.94000000,46.39000000,47.46000000,37.53000000,41.94000000,73674164.33000000,73674164.33000000
2021-11-14,52.22000000,53.87000000,42.50000000,46.39000000,52.22000000,53.87000000,42.50000000,46.39000000,68506677.34000000,68506677.34000000
2021-11-07,42.78000000,55.09000000,41.70000000,52.22000000,42.78000000,55.09000000,41.70000000,52.22000000,98823854.85900000,98823854.85900000
2021-10-31,42.30000000,46.00000000,38.70000000,42.77000000,42.30000000,46.00000000,38.70000000,42.77000000,66061500.82000000,66061500.82000000
2021-10-24,42.11000000,46.39000000,40.01000000,42.31000000,42.11000000,46.39000000,40.01000000,42.31000000,77309159.15899999,77309159.15899999
2021-10-17,34.42000000,44.78000000,32.07000000,42.12000000,34.42000000,44.78000000,32.07000000,42.12000000,127610286.25800002,127610286.25800002
2021-10-10,32.10000000,37.45000000,29.11000000,34.43000000,32.10000000,37.45000000,29.11000000,34.43000000,89384925.66999999,89384925.66999999
2021-10-03,28.84000000,33.39000000,26.11000000,32.11000000,28.84000000,33.39000000,26.11000000,32.11000000,69083557.70999999,69083557.70999999
2021-09-26,33.86000000,33.91000000,25.50000000,28.84000000,33.86000000,33.91000000,25.50000000,28.84000000,144608597.17000002,144608597.17000002
2021-09-19,35.81000000,38.77000000,31.50000000,33.85000000,35.81000000,38.77000000,31.50000000,33.85000000,131279762.21599999,131279762.21599999
2021-09-12,34.43000000,36.45000000,22.66000000,35.79000000,34.43000000,36.45000000,22.66000000,35.79000000,169900466.96100003,169900466.96100003
2021-09-05,25.71000000,34.78000000,24.32000000,34.42000000,25.71000000,34.78000000,24.32000000,34.42000000,126536817.51400000,126536817.51400000
2021-08-29,27.68300000,28.62700000,23.45000000,25.70000000,27.68300000,28.62700000,23.45000000,25.70000000,79490786.53700000,79490786.53700000
2021-08-22,23.15000000,29.35100000,22.50000000,27.68500000,23.15000000,29.35100000,22.50000000,27.68500000,137768587.78500000,137768587.78500000
2021-08-15,19.65100000,23.48800000,18.70600000,23.15000000,19.65100000,23.48800000,18.70600000,23.15000000,90290384.58500001,90290384.58500001
2021-08-08,18.41800000,21.68300000,16.81100000,19.65000000,18.41800000,21.68300000,16.81100000,19.65000000,113049142.71999998,113049142.71999998
2021-08-01,13.73200000,19.90000000,13.34900000,18.41800000,13.73200000,19.90000000,13.34900000,18.41800000,126270576.27599999,126270576.27599999
2021-07-25,12.64800000,14.05700000,10.37300000,13.73400000,12.64800000,14.05700000,10.37300000,13.73400000,105046666.86600000,105046666.86600000
2021-07-18,15.49500000,15.65000000,11.71000000,12.64700000,15.49500000,15.65000000,11.71000000,12.64700000,70298734.55600001,70298734.55600001
2021-07-11,15.97400000,17.66800000,14.50000000,15.49500000,15.97400000,17.66800000,14.50000000,15.49500000,76343959.07100001,76343959.07100001
2021-07-04,15.00800000,17.02900000,14.58400000,15.97500000,15.00800000,17.02900000,14.58400000,15.97500000,74544709.90100001,74544709.90100001
2021-06-27,20.61600000,20.79400000,13.00000000,15.01000000,20.61600000,20.79400000,13.00000000,15.01000000,147836423.03099999,147836423.03099999
2021-06-20,22.04100000,26.02600000,18.87100000,20.61700000,22.04100000,26.02600000,18.87100000,20.61700000,94025654.29900001,94025654.29900001
2021-06-13,24.18900000,25.28300000,19.50000000,22.04000000,24.18900000,25.28300000,19.50000000,22.04000000,110975766.06299999,110975766.06299999
2021-06-06,20.46000000,28.60000000,19.06000000,24.18400000,20.46000000,28.60000000,19.06000000,24.18400000,133875564.85900000,133875564.85900000
2021-05-30,17.91300000,26.22000000,17.09800000,20.46500000,17.91300000,26.22000000,17.09800000,20.46500000,205719003.97600001,205719003.97600001
2021-05-23,42.42600000,42.59800000,13.63800000,17.91200000,42.42600000,42.59800000,13.63800000,17.91200000,311082732.55700004,311082732.55700004
2021-05-16,40.30900000,49.78000000,32.05900000,42.43600000,40.30900000,49.78000000,32.05900000,42.43600000,152131681.54700002,152131681.54700002
2021-05-09,36.62000000,43.90000000,34.36600000,40.30000000,36.62000000,43.90000000,34.36600000,40.30000000,88015802.70699999,88015802.70699999
2021-05-02,29.83000000,37.46000000,29.75500000,36.62600000,29.83000000,37.46000000,29.75500000,36.62600000,66108451.34300000,66108451.34300000
2021-04-25,37.36230000,38.70070000,26.63550000,29.83000000,37.36230000,38.70070000,26.63550000,29.83000000,100357826.11500001,100357826.11500001
2021-04-18,41.31330000,48.36000000,32.00000000,37.36300000,41.31330000,48.36000000,32.00000000,37.36300000,87224347.50000001,87224347.50000001
2021-04-11,44.32040000,46.26160000,37.69000000,41.31960000,44.32040000,46.26160000,37.69000000,41.31960000,49756415.04000000,49756415.04000000
2021-04-04,32.23310000,46.80000000,31.74960000,44.31350000,32.23310000,46.80000000,31.74960000,44.31350000,73152796.59999999,73152796.59999999
2021-03-28,36.68020000,37.78030000,27.45860000,32.23310000,36.68020000,37.78030000,27.45860000,32.23310000,61747422.18000000,61747422.18000000
2021-03-21,36.44270000,40.10000000,32.07000000,36.68510000,36.44270000,40.10000000,32.07000000,36.68510000,57034420.17000000,57034420.17000000
2021-03-14,35.08980000,39.60000000,33.40530000,36.44270000,35.08980000,39.60000000,33.40530000,36.44270000,59336488.29000000,59336488.29000000
2021-03-07,33.79640000,38.68000000,31.31000000,35.09500000,33.79640000,38.68000000,31.31000000,35.09500000,79577877.86000000,79577877.86000000
2021-02-28,39.58670000,39.74340000,26.50000000,33.80000000,39.58670000,39.74340000,26.50000000,33.80000000,167171261.54999998,167171261.54999998
2021-02-21,26.88000000,42.28480000,23.15550000,39.58630000,26.88000000,42.28480000,23.15550000,39.58630000,124062575.51000002,124062575.51000002
