timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,39.33000000,39.55000000,39.19000000,39.30000000,39.33000000,39.55000000,39.19000000,39.30000000,4393.02000000,4393.02000000
2023-05-07,41.52000000,43.90000000,38.37000000,39.31000000,41.52000000,43.90000000,38.37000000,39.31000000,1463165.63000000,1463165.63000000
2023-04-30,38.83000000,49.80000000,37.20000000,41.52000000,38.83000000,49.80000000,37.20000000,41.52000000,3430072.34000000,3430072.34000000
2023-04-23,43.21000000,44.62000000,37.56000000,38.85000000,43.21000000,44.62000000,37.56000000,38.85000000,1172692.00000000,1172692.00000000
2023-04-16,39.92000000,44.20000000,39.55000000,43.21000000,39.92000000,44.20000000,39.55000000,43.21000000,1096784.33000000,1096784.33000000
2023-04-09,40.90000000,42.80000000,39.49000000,39.92000000,40.90000000,42.80000000,39.49000000,39.92000000,981735.79000000,981735.79000000
2023-04-02,42.77000000,44.55000000,40.25000000,40.90000000,42.77000000,44.55000000,40.25000000,40.90000000,1073655.80000000,1073655.80000000
2023-03-26,43.76000000,49.93000000,40.46000000,42.77000000,43.76000000,49.93000000,40.46000000,42.77000000,1879302.79000000,1879302.79000000
2023-03-19,40.77000000,46.09000000,39.72000000,43.71000000,40.77000000,46.09000000,39.72000000,43.71000000,1297387.10000000,1297387.10000000
2023-03-12,43.04000000,44.27000000,36.00000000,40.75000000,43.04000000,44.27000000,36.00000000,40.75000000,1456729.09000000,1456729.09000000
2023-03-05,49.89000000,51.02000000,41.18000000,43.04000000,49.89000000,51.02000000,41.18000000,43.04000000,1549734.03000000,1549734.03000000
2023-02-26,51.08000000,54.22000000,46.42000000,49.90000000,51.08000000,54.22000000,46.42000000,49.90000000,1487658.40000000,1487658.40000000
2023-02-19,43.95000000,54.42000000,40.52000000,51.09000000,43.95000000,54.42000000,40.52000000,51.09000000,2461661.98000000,2461661.98000000
2023-02-12,45.26000000,48.24000000,41.00000000,43.96000000,45.26000000,48.24000000,41.00000000,43.96000000,1106807.69000000,1106807.69000000
2023-02-05,45.19000000,47.46000000,41.09000000,45.26000000,45.19000000,47.46000000,41.09000000,45.26000000,1290594.38000000,1290594.38000000
2023-01-29,43.59000000,45.90000000,40.52000000,45.20000000,43.59000000,45.90000000,40.52000000,45.20000000,1079147.82000000,1079147.82000000
2023-01-22,40.88000000,44.51000000,37.61000000,43.61000000,40.88000000,44.51000000,37.61000000,43.61000000,1397472.07000000,1397472.07000000
2023-01-15,34.99000000,42.75000000,34.21000000,40.88000000,34.99000000,42.75000000,34.21000000,40.88000000,1662176.71000000,1662176.71000000
2023-01-08,32.94000000,35.13000000,32.31000000,34.99000000,32.94000000,35.13000000,32.31000000,34.99000000,745261.10000000,745261.10000000
2023-01-01,33.59000000,34.54000000,32.37000000,32.95000000,33.59000000,34.54000000,32.37000000,32.95000000,502885.16000000,502885.16000000
2022-12-25,38.92000000,39.27000000,32.85000000,33.60000000,38.92000000,39.27000000,32.85000000,33.60000000,912301.60850000,912301.60850000
2022-12-18,44.83000000,45.45000000,37.11000000,38.91000000,44.83000000,45.45000000,37.11000000,38.91000000,819307.77000000,819307.77000000
2022-12-11,43.23000000,46.61000000,42.92000000,44.84000000,43.23000000,46.61000000,42.92000000,44.84000000,995262.46000000,995262.46000000
2022-12-04,42.75000000,44.21000000,41.38000000,43.19000000,42.75000000,44.21000000,41.38000000,43.19000000,568984.17000000,568984.17000000
2022-11-27,41.18000000,44.49000000,39.43000000,42.75000000,41.18000000,44.49000000,39.43000000,42.75000000,848552.10000000,848552.10000000
2022-11-20,43.17000000,46.17000000,41.00000000,41.20000000,43.17000000,46.17000000,41.00000000,41.20000000,996227.43000000,996227.43000000
2022-11-13,54.78000000,55.50000000,40.53000000,43.18000000,54.78000000,55.50000000,40.53000000,43.18000000,1673299.77000000,1673299.77000000
2022-11-06,58.38000000,63.99000000,54.55000000,54.76000000,58.38000000,63.99000000,54.55000000,54.76000000,1752359.70000000,1752359.70000000
2022-10-30,56.70000000,59.00000000,54.75000000,58.37000000,56.70000000,59.00000000,54.75000000,58.37000000,1095487.90000000,1095487.90000000
2022-10-23,55.77000000,59.18000000,53.84000000,56.66000000,55.77000000,59.18000000,53.84000000,56.66000000,1090453.05000000,1090453.05000000
2022-10-16,56.77000000,57.75000000,50.10000000,55.81000000,56.77000000,57.75000000,50.10000000,55.81000000,1526597.23000000,1526597.23000000
2022-10-09,48.12000000,57.25000000,47.71000000,56.77000000,48.12000000,57.25000000,47.71000000,56.77000000,1930196.30000000,1930196.30000000
2022-10-02,46.26000000,50.01000000,45.00000000,48.10000000,46.26000000,50.01000000,45.00000000,48.10000000,1085147.15000000,1085147.15000000
2022-09-25,47.36000000,49.09000000,45.20000000,46.25000000,47.36000000,49.09000000,45.20000000,46.25000000,1112838.39000000,1112838.39000000
2022-09-18,52.83000000,53.92000000,46.83000000,47.35000000,52.83000000,53.92000000,46.83000000,47.35000000,1136565.99000000,1136565.99000000
2022-09-11,51.54000000,54.66000000,48.10000000,52.84000000,51.54000000,54.66000000,48.10000000,52.84000000,1016954.53000000,1016954.53000000
2022-09-04,49.68000000,55.90000000,49.37000000,51.55000000,49.68000000,55.90000000,49.37000000,51.55000000,790378.65000000,790378.65000000
2022-08-28,54.71000000,59.34000000,49.20000000,49.66000000,54.71000000,59.34000000,49.20000000,49.66000000,1119868.55000000,1119868.55000000
2022-08-21,62.86000000,64.49000000,51.11000000,54.71000000,62.86000000,64.49000000,51.11000000,54.71000000,1249928.23000000,1249928.23000000
2022-08-14,67.20000000,69.60000000,60.21000000,62.85000000,67.20000000,69.60000000,60.21000000,62.85000000,1592251.30000000,1592251.30000000
2022-08-07,57.03000000,68.33000000,54.19000000,67.19000000,57.03000000,68.33000000,54.19000000,67.19000000,1818673.84000000,1818673.84000000
2022-07-31,54.51000000,60.12000000,48.95000000,57.12000000,54.51000000,60.12000000,48.95000000,57.12000000,1584887.28000000,1584887.28000000
2022-07-24,57.68000000,63.48000000,52.99000000,54.54000000,57.68000000,63.48000000,52.99000000,54.54000000,1752439.68000000,1752439.68000000
2022-07-17,52.51000000,62.73000000,47.48000000,57.68000000,52.51000000,62.73000000,47.48000000,57.68000000,1960180.52000000,1960180.52000000
2022-07-10,51.07000000,57.32000000,50.17000000,52.49000000,51.07000000,57.32000000,50.17000000,52.49000000,1323384.91000000,1323384.91000000
2022-07-03,55.12000000,58.87000000,46.21000000,51.08000000,55.12000000,58.87000000,46.21000000,51.08000000,1719910.14000000,1719910.14000000
2022-06-26,52.98000000,64.80000000,51.01000000,55.13000000,52.98000000,64.80000000,51.01000000,55.13000000,2633849.67000000,2633849.67000000
2022-06-19,45.02000000,59.00000000,38.00000000,52.97000000,45.02000000,59.00000000,38.00000000,52.97000000,4747420.22000000,4747420.22000000
2022-06-12,73.23000000,74.52000000,42.54000000,45.02000000,73.23000000,74.52000000,42.54000000,45.02000000,4153151.78930000,4153151.78930000
2022-06-05,82.89000000,88.03000000,72.69000000,73.27000000,82.89000000,88.03000000,72.69000000,73.27000000,1768246.24000000,1768246.24000000
2022-05-29,92.07000000,94.65000000,65.68000000,82.86000000,92.07000000,94.65000000,65.68000000,82.86000000,2402897.31460000,2402897.31460000
2022-05-22,95.72000000,103.50000000,86.30000000,92.11000000,95.72000000,103.50000000,86.30000000,92.11000000,1279675.68000000,1279675.68000000
2022-05-15,113.28000000,119.70000000,72.02000000,95.73000000,113.28000000,119.70000000,72.02000000,95.73000000,3463201.94140000,3463201.94140000
2022-05-08,127.28000000,140.76000000,112.00000000,113.27000000,127.28000000,140.76000000,112.00000000,113.27000000,1198869.13000000,1198869.13000000
2022-05-01,151.32000000,159.30000000,121.37000000,127.24000000,151.32000000,159.30000000,121.37000000,127.24000000,1044033.26000000,1044033.26000000
2022-04-24,152.42000000,169.50000000,145.40000000,151.29000000,152.42000000,169.50000000,145.40000000,151.29000000,953468.29000000,953468.29000000
2022-04-17,161.10000000,164.14000000,148.54000000,152.45000000,161.10000000,164.14000000,148.54000000,152.45000000,769388.24000000,769388.24000000
2022-04-10,195.32000000,197.86000000,159.49000000,161.12000000,195.32000000,197.86000000,159.49000000,161.12000000,1025049.36000000,1025049.36000000
2022-04-03,198.83000000,214.80000000,178.76000000,195.33000000,198.83000000,214.80000000,178.76000000,195.33000000,1471966.76000000,1471966.76000000
2022-03-27,160.70000000,199.50000000,159.80000000,198.82000000,160.70000000,199.50000000,159.80000000,198.82000000,1675155.69000000,1675155.69000000
2022-03-20,134.74000000,169.77000000,132.63000000,160.70000000,134.74000000,169.77000000,132.63000000,160.70000000,2096111.92000000,2096111.92000000
2022-03-13,132.73000000,153.00000000,125.83000000,134.80000000,132.73000000,153.00000000,125.83000000,134.80000000,1801552.27000000,1801552.27000000
2022-03-06,135.94000000,160.00000000,128.78000000,132.71000000,135.94000000,160.00000000,128.78000000,132.71000000,1663581.34000000,1663581.34000000
2022-02-27,155.51000000,169.45000000,121.00000000,135.98000000,155.51000000,169.45000000,121.00000000,135.98000000,2281722.87000000,2281722.87000000
2022-02-20,189.79000000,199.71000000,152.58000000,155.55000000,189.79000000,199.71000000,152.58000000,155.55000000,1395506.98000000,1395506.98000000
2022-02-13,166.15000000,270.00000000,160.64000000,189.78000000,166.15000000,270.00000000,160.64000000,189.78000000,2515753.77000000,2515753.77000000
2022-02-06,141.11000000,166.46000000,134.07000000,166.13000000,141.11000000,166.46000000,134.07000000,166.13000000,1303046.68000000,1303046.68000000
2022-01-30,134.13000000,159.46000000,115.63000000,141.31000000,134.13000000,159.46000000,115.63000000,141.31000000,1937604.76000000,1937604.76000000
2022-01-23,195.42000000,196.12000000,111.57000000,134.20000000,195.42000000,196.12000000,111.57000000,134.20000000,2151428.59430000,2151428.59430000
2022-01-16,198.07000000,219.98000000,180.14000000,195.38000000,198.07000000,219.98000000,180.14000000,195.38000000,1177430.46000000,1177430.46000000
2022-01-09,239.65000000,254.44000000,181.00000000,197.98000000,239.65000000,254.44000000,181.00000000,197.98000000,1603863.14000000,1603863.14000000
