timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.29000000,0.29030000,0.28580000,0.28890000,0.29000000,0.29030000,0.28580000,0.28890000,146490.60000000,146490.60000000
2023-05-07,0.28840000,0.30620000,0.27320000,0.29040000,0.28840000,0.30620000,0.27320000,0.29040000,21392195.20000000,21392195.20000000
2023-04-30,0.29400000,0.30300000,0.27910000,0.28840000,0.29400000,0.30300000,0.27910000,0.28840000,14732133.30000000,14732133.30000000
2023-04-23,0.32000000,0.32020000,0.29010000,0.29370000,0.32000000,0.32020000,0.29010000,0.29370000,14205534.10000000,14205534.10000000
2023-04-16,0.31260000,0.33120000,0.30550000,0.32000000,0.31260000,0.33120000,0.30550000,0.32000000,20276105.70000000,20276105.70000000
2023-04-09,0.29990000,0.33730000,0.29660000,0.31260000,0.29990000,0.33730000,0.29660000,0.31260000,49420774.50000001,49420774.50000001
2023-04-02,0.30650000,0.37800000,0.28780000,0.29980000,0.30650000,0.37800000,0.28780000,0.29980000,92718592.80000001,92718592.80000001
2023-03-26,0.30920000,0.31990000,0.29750000,0.30650000,0.30920000,0.31990000,0.29750000,0.30650000,39124145.00000000,39124145.00000000
2023-03-19,0.32060000,0.37420000,0.30250000,0.30900000,0.32060000,0.37420000,0.30250000,0.30900000,39632642.50000000,39632642.50000000
2023-03-12,0.28410000,0.33160000,0.27000000,0.32060000,0.28410000,0.33160000,0.27000000,0.32060000,112640793.70000000,112640793.70000000
2023-03-05,0.28280000,0.31930000,0.26750000,0.28410000,0.28280000,0.31930000,0.26750000,0.28410000,104932015.89999999,104932015.89999999
2023-02-26,0.24060000,0.33420000,0.23660000,0.28250000,0.24060000,0.33420000,0.23660000,0.28250000,194406010.90000001,194406010.90000001
2023-02-19,0.21700000,0.24410000,0.21620000,0.24080000,0.21700000,0.24410000,0.21620000,0.24080000,74749823.00000000,74749823.00000000
2023-02-12,0.19480000,0.24670000,0.18910000,0.21680000,0.19480000,0.24670000,0.18910000,0.21680000,121029034.30000001,121029034.30000001
2023-02-05,0.18910000,0.21540000,0.17520000,0.19470000,0.18910000,0.21540000,0.17520000,0.19470000,45180265.70000000,45180265.70000000
2023-01-29,0.18100000,0.22490000,0.17450000,0.18930000,0.18100000,0.22490000,0.17450000,0.18930000,75261362.90000001,75261362.90000001
2023-01-22,0.18560000,0.18870000,0.17360000,0.18100000,0.18560000,0.18870000,0.17360000,0.18100000,38101021.60000000,38101021.60000000
2023-01-15,0.16700000,0.18710000,0.16580000,0.18550000,0.16700000,0.18710000,0.16580000,0.18550000,44585697.70000000,44585697.70000000
2023-01-08,0.15710000,0.17620000,0.15550000,0.16700000,0.15710000,0.17620000,0.15550000,0.16700000,59945491.80000000,59945491.80000000
2023-01-01,0.15170000,0.16550000,0.14170000,0.15690000,0.15170000,0.16550000,0.14170000,0.15690000,129495051.19999999,129495051.19999999
2022-12-25,0.14020000,0.15250000,0.13450000,0.15170000,0.14020000,0.15250000,0.13450000,0.15170000,24052140.90000000,24052140.90000000
2022-12-18,0.13260000,0.14530000,0.13060000,0.14020000,0.13260000,0.14530000,0.13060000,0.14020000,35959083.40000000,35959083.40000000
2022-12-11,0.12020000,0.13810000,0.12000000,0.13250000,0.12020000,0.13810000,0.12000000,0.13250000,78250960.80000000,78250960.80000000
2022-12-04,0.12170000,0.12690000,0.11720000,0.12040000,0.12170000,0.12690000,0.11720000,0.12040000,19139833.00000000,19139833.00000000
2022-11-27,0.11860000,0.12660000,0.11760000,0.12170000,0.11860000,0.12660000,0.11760000,0.12170000,40931186.90000000,40931186.90000000
2022-11-20,0.11310000,0.12590000,0.10880000,0.11870000,0.11310000,0.12590000,0.10880000,0.11870000,52450481.00000000,52450481.00000000
2022-11-13,0.13260000,0.13270000,0.10270000,0.11290000,0.13260000,0.13270000,0.10270000,0.11290000,113501469.00000000,113501469.00000000
2022-11-06,0.13180000,0.13810000,0.12770000,0.13260000,0.13180000,0.13810000,0.12770000,0.13260000,44870808.90000001,44870808.90000001
2022-10-30,0.12750000,0.13570000,0.12530000,0.13180000,0.12750000,0.13570000,0.12530000,0.13180000,40393092.90000000,40393092.90000000
2022-10-23,0.12690000,0.13130000,0.12130000,0.12730000,0.12690000,0.13130000,0.12130000,0.12730000,36616749.90000001,36616749.90000001
2022-10-16,0.13330000,0.13370000,0.11820000,0.12670000,0.13330000,0.13370000,0.11820000,0.12670000,34486765.50000000,34486765.50000000
2022-10-09,0.12840000,0.13990000,0.12810000,0.13320000,0.12840000,0.13990000,0.12810000,0.13320000,39558455.80000000,39558455.80000000
2022-10-02,0.13040000,0.13390000,0.12710000,0.12840000,0.13040000,0.13390000,0.12710000,0.12840000,47431145.90000000,47431145.90000000
2022-09-25,0.13130000,0.13500000,0.12690000,0.13040000,0.13130000,0.13500000,0.12690000,0.13040000,56004698.70000000,56004698.70000000
2022-09-18,0.15280000,0.16620000,0.13090000,0.13130000,0.15280000,0.16620000,0.13090000,0.13130000,70883750.80000000,70883750.80000000
2022-09-11,0.14200000,0.15580000,0.12990000,0.15280000,0.14200000,0.15580000,0.12990000,0.15280000,85140830.70000002,85140830.70000002
2022-09-04,0.13850000,0.14730000,0.13740000,0.14190000,0.13850000,0.14730000,0.13740000,0.14190000,25745418.70000000,25745418.70000000
2022-08-28,0.15190000,0.16130000,0.13800000,0.13850000,0.15190000,0.16130000,0.13800000,0.13850000,64984808.00000000,64984808.00000000
2022-08-21,0.18240000,0.20180000,0.14550000,0.15200000,0.18240000,0.20180000,0.14550000,0.15200000,101111525.99999999,101111525.99999999
2022-08-14,0.17660000,0.20270000,0.16650000,0.18260000,0.17660000,0.20270000,0.16650000,0.18260000,57531634.00000000,57531634.00000000
2022-08-07,0.17090000,0.18500000,0.16570000,0.17660000,0.17090000,0.18500000,0.16570000,0.17660000,59257668.90000001,59257668.90000001
2022-07-31,0.17460000,0.17800000,0.15190000,0.17080000,0.17460000,0.17800000,0.15190000,0.17080000,74196390.80000000,74196390.80000000
2022-07-24,0.17790000,0.20220000,0.17160000,0.17460000,0.17790000,0.20220000,0.17160000,0.17460000,72488407.20000000,72488407.20000000
2022-07-17,0.23450000,0.31110000,0.17350000,0.17790000,0.23450000,0.31110000,0.17350000,0.17790000,256459734.10000002,256459734.10000002
2022-07-10,0.16940000,0.27800000,0.16850000,0.23470000,0.16940000,0.27800000,0.16850000,0.23470000,211657043.30000001,211657043.30000001
2022-07-03,0.14130000,0.19910000,0.13130000,0.16970000,0.14130000,0.19910000,0.13130000,0.16970000,103381269.90000001,103381269.90000001
2022-06-26,0.13440000,0.17800000,0.12850000,0.14150000,0.13440000,0.17800000,0.12850000,0.14150000,40493961.59999999,40493961.59999999
2022-06-19,0.13670000,0.14570000,0.11700000,0.13480000,0.13670000,0.14570000,0.11700000,0.13480000,91994057.70000000,91994057.70000000
2022-06-12,0.18850000,0.22300000,0.13560000,0.13650000,0.18850000,0.22300000,0.13560000,0.13650000,67057211.70000000,67057211.70000000
2022-06-05,0.15470000,0.25320000,0.15090000,0.18850000,0.15470000,0.25320000,0.15090000,0.18850000,197789906.79999998,197789906.79999998
2022-05-29,0.16460000,0.27800000,0.14450000,0.15470000,0.16460000,0.27800000,0.14450000,0.15470000,171146521.79999998,171146521.79999998
2022-05-22,0.16900000,0.17990000,0.13760000,0.16470000,0.16900000,0.17990000,0.13760000,0.16470000,64694986.40000001,64694986.40000001
2022-05-15,0.21370000,0.21590000,0.11420000,0.16900000,0.21370000,0.21590000,0.11420000,0.16900000,56235980.20000000,56235980.20000000
2022-05-08,0.27930000,0.31280000,0.20750000,0.21360000,0.27930000,0.31280000,0.20750000,0.21360000,42628979.10000000,42628979.10000000
2022-05-01,0.33340000,0.33560000,0.26300000,0.27910000,0.33340000,0.33560000,0.26300000,0.27910000,42740987.90000000,42740987.90000000
2022-04-24,0.32410000,0.55000000,0.31040000,0.33390000,0.32410000,0.55000000,0.31040000,0.33390000,142291637.00000000,142291637.00000000
2022-04-17,0.34030000,0.36480000,0.30850000,0.32440000,0.34030000,0.36480000,0.30850000,0.32440000,20116230.50000000,20116230.50000000
2022-04-10,0.42840000,0.42950000,0.33920000,0.33980000,0.42840000,0.42950000,0.33920000,0.33980000,12671409.90000000,12671409.90000000
2022-04-03,0.38930000,0.44940000,0.37950000,0.42850000,0.38930000,0.44940000,0.37950000,0.42850000,17607715.50000000,17607715.50000000
2022-03-27,0.33010000,0.42170000,0.32450000,0.38930000,0.33010000,0.42170000,0.32450000,0.38930000,19730297.20000000,19730297.20000000
