timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.36430000,0.36670000,0.36270000,0.36550000,0.36430000,0.36670000,0.36270000,0.36550000,175248.60000000,175248.60000000
2023-05-07,0.38550000,0.38820000,0.36270000,0.36440000,0.38550000,0.38820000,0.36270000,0.36440000,25285706.10000000,25285706.10000000
2023-04-30,0.39080000,0.41240000,0.36820000,0.38560000,0.39080000,0.41240000,0.36820000,0.38560000,38510438.60000000,38510438.60000000
2023-04-23,0.45050000,0.46110000,0.37710000,0.39080000,0.45050000,0.46110000,0.37710000,0.39080000,68210599.59999999,68210599.59999999
2023-04-16,0.44360000,0.45990000,0.40530000,0.45040000,0.44360000,0.45990000,0.40530000,0.45040000,87513968.90000001,87513968.90000001
2023-04-09,0.39480000,0.50200000,0.38200000,0.44350000,0.39480000,0.50200000,0.38200000,0.44350000,237464603.90000001,237464603.90000001
2023-04-02,0.38980000,0.41790000,0.35970000,0.39460000,0.38980000,0.41790000,0.35970000,0.39460000,56781844.10000000,56781844.10000000
2023-03-26,0.42220000,0.43650000,0.37270000,0.38980000,0.42220000,0.43650000,0.37270000,0.38980000,62002088.80000000,62002088.80000000
2023-03-19,0.38380000,0.45100000,0.37440000,0.42180000,0.38380000,0.45100000,0.37440000,0.42180000,110531924.89999999,110531924.89999999
2023-03-12,0.41650000,0.44930000,0.33080000,0.38350000,0.41650000,0.44930000,0.33080000,0.38350000,77347768.50000001,77347768.50000001
2023-03-05,0.49070000,0.49220000,0.41310000,0.41650000,0.49070000,0.49220000,0.41310000,0.41650000,44672688.90000000,44672688.90000000
2023-02-26,0.48350000,0.56800000,0.45490000,0.49070000,0.48350000,0.56800000,0.45490000,0.49070000,127806287.39999999,127806287.39999999
2023-02-19,0.44670000,0.50820000,0.41150000,0.48370000,0.44670000,0.50820000,0.41150000,0.48370000,72929370.49999999,72929370.49999999
