timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.96900000,0.97400000,0.96200000,0.97200000,0.96900000,0.97400000,0.96200000,0.97200000,338874.90000000,338874.90000000
2023-05-07,1.02200000,1.03900000,0.95800000,0.96900000,1.02200000,1.03900000,0.95800000,0.96900000,52193079.30000000,52193079.30000000
2023-04-30,1.05500000,1.08800000,0.97400000,1.02200000,1.05500000,1.08800000,0.97400000,1.02200000,64645275.10000000,64645275.10000000
2023-04-23,1.23800000,1.24000000,1.02100000,1.05600000,1.23800000,1.24000000,1.02100000,1.05600000,79317514.80000001,79317514.80000001
2023-04-16,1.20900000,1.29700000,1.19100000,1.23800000,1.20900000,1.29700000,1.19100000,1.23800000,89588320.89999999,89588320.89999999
2023-04-09,1.22900000,1.25100000,1.14200000,1.20900000,1.22900000,1.25100000,1.14200000,1.20900000,79985617.30000000,79985617.30000000
2023-04-02,1.14000000,1.23900000,1.06500000,1.22900000,1.14000000,1.23900000,1.06500000,1.22900000,103157366.09999999,103157366.09999999
2023-03-26,1.15500000,1.23100000,1.06400000,1.14000000,1.15500000,1.23100000,1.06400000,1.14000000,136725549.60000002,136725549.60000002
2023-03-19,1.04900000,1.18000000,1.00300000,1.15400000,1.04900000,1.18000000,1.00300000,1.15400000,144964902.70000002,144964902.70000002
2023-03-12,1.22400000,1.24100000,0.95500000,1.04900000,1.22400000,1.24100000,0.95500000,1.04900000,124278608.00000000,124278608.00000000
2023-03-05,1.12500000,1.34100000,1.10400000,1.22500000,1.12500000,1.34100000,1.10400000,1.22500000,166782673.29999998,166782673.29999998
2023-02-26,1.22900000,1.29800000,1.07200000,1.12600000,1.22900000,1.29800000,1.07200000,1.12600000,89593851.80000000,89593851.80000000
2023-02-19,1.04100000,1.31200000,0.99800000,1.22900000,1.04100000,1.31200000,0.99800000,1.22900000,162834359.90000004,162834359.90000004
2023-02-12,1.08300000,1.15700000,1.02400000,1.04200000,1.08300000,1.15700000,1.02400000,1.04200000,81260473.70000000,81260473.70000000
2023-02-05,1.11500000,1.14400000,1.01100000,1.08200000,1.11500000,1.14400000,1.01100000,1.08200000,81635666.89999999,81635666.89999999
