timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1870.41000000,1883.97000000,1860.84000000,1879.69000000,1870.41000000,1883.97000000,1860.84000000,1879.69000000,34502.02770000,34502.02770000
2023-05-07,1870.08000000,2019.00000000,1806.12000000,1870.40000000,1870.08000000,2019.00000000,1806.12000000,1870.40000000,3206970.94730000,3206970.94730000
2023-04-30,1862.01000000,1964.72000000,1785.00000000,1870.09000000,1862.01000000,1964.72000000,1785.00000000,1870.09000000,3455930.74130000,3455930.74130000
2023-04-23,2118.66000000,2125.00000000,1825.00000000,1862.00000000,2118.66000000,2125.00000000,1825.00000000,1862.00000000,3606341.18120000,3606341.18120000
2023-04-16,1858.91000000,2141.54000000,1846.40000000,2118.67000000,1858.91000000,2141.54000000,1846.40000000,2118.67000000,3684963.84280000,3684963.84280000
2023-04-09,1794.51000000,1942.98000000,1762.77000000,1858.92000000,1794.51000000,1942.98000000,1762.77000000,1858.92000000,2964842.58960000,2964842.58960000
2023-04-02,1773.88000000,1847.28000000,1686.13000000,1794.51000000,1773.88000000,1847.28000000,1686.13000000,1794.51000000,3373183.91830000,3373183.91830000
2023-03-26,1780.67000000,1857.16000000,1710.12000000,1773.88000000,1780.67000000,1857.16000000,1710.12000000,1773.88000000,4323928.08180000,4323928.08180000
2023-03-19,1580.33000000,1841.36000000,1565.00000000,1780.68000000,1580.33000000,1841.36000000,1565.00000000,1780.68000000,6262787.84030000,6262787.84030000
2023-03-12,1564.57000000,1594.19000000,1368.39000000,1580.33000000,1564.57000000,1594.19000000,1368.39000000,1580.33000000,5261721.27040000,5261721.27040000
2023-03-05,1641.37000000,1677.86000000,1544.39000000,1564.58000000,1641.37000000,1677.86000000,1544.39000000,1564.58000000,3002562.80900000,3002562.80900000
2023-02-26,1679.74000000,1719.89000000,1557.33000000,1641.36000000,1679.74000000,1719.89000000,1557.33000000,1641.36000000,3113162.28630000,3113162.28630000
2023-02-19,1514.82000000,1742.97000000,1461.93000000,1679.75000000,1514.82000000,1742.97000000,1461.93000000,1679.75000000,3974311.79090000,3974311.79090000
2023-02-12,1629.01000000,1697.91000000,1490.00000000,1514.83000000,1629.01000000,1697.91000000,1490.00000000,1514.83000000,2973123.93470000,2973123.93470000
2023-02-05,1644.73000000,1714.68000000,1535.00000000,1629.02000000,1644.73000000,1714.68000000,1535.00000000,1629.02000000,3234339.89780000,3234339.89780000
2023-01-29,1627.43000000,1660.00000000,1518.00000000,1644.72000000,1627.43000000,1660.00000000,1518.00000000,1644.72000000,3426332.16140000,3426332.16140000
2023-01-22,1552.52000000,1679.26000000,1501.39000000,1627.44000000,1552.52000000,1679.26000000,1501.39000000,1627.44000000,3509158.25660000,3509158.25660000
2023-01-15,1290.15000000,1599.98000000,1285.44000000,1552.52000000,1290.15000000,1599.98000000,1285.44000000,1552.52000000,4219468.68840000,4219468.68840000
2023-01-08,1200.33000000,1296.00000000,1193.00000000,1290.16000000,1200.33000000,1296.00000000,1193.00000000,1290.16000000,1874373.90470000,1874373.90470000
2023-01-01,1218.52000000,1233.73000000,1181.06000000,1200.34000000,1218.52000000,1233.73000000,1181.06000000,1200.34000000,1565275.66490000,1565275.66490000
2022-12-25,1183.06000000,1237.99000000,1150.51000000,1218.51000000,1183.06000000,1237.99000000,1150.51000000,1218.51000000,1978460.29410000,1978460.29410000
2022-12-18,1263.00000000,1352.72000000,1155.32000000,1183.06000000,1263.00000000,1352.72000000,1155.32000000,1183.06000000,3300225.29700000,3300225.29700000
2022-12-11,1279.40000000,1305.11000000,1218.01000000,1263.01000000,1279.40000000,1305.11000000,1218.01000000,1263.01000000,2267254.96170000,2267254.96170000
2022-12-04,1193.88000000,1309.77000000,1151.02000000,1279.41000000,1193.88000000,1309.77000000,1151.02000000,1279.41000000,3279474.59660000,3279474.59660000
2022-11-27,1142.21000000,1235.66000000,1075.00000000,1193.88000000,1142.21000000,1235.66000000,1075.00000000,1193.88000000,3852198.07220000,3852198.07220000
2022-11-20,1221.50000000,1291.20000000,1132.65000000,1142.21000000,1221.50000000,1291.20000000,1132.65000000,1142.21000000,3872561.52740000,3872561.52740000
2022-11-13,1568.25000000,1608.04000000,1073.53000000,1221.49000000,1568.25000000,1608.04000000,1073.53000000,1221.49000000,9856350.16810000,9856350.16810000
2022-11-06,1590.45000000,1680.00000000,1502.32000000,1568.29000000,1590.45000000,1680.00000000,1502.32000000,1568.29000000,4581252.75080000,4581252.75080000
2022-10-30,1364.19000000,1663.06000000,1324.17000000,1590.44000000,1364.19000000,1663.06000000,1324.17000000,1590.44000000,6094414.83700000,6094414.83700000
2022-10-23,1305.96000000,1371.55000000,1252.65000000,1364.20000000,1305.96000000,1371.55000000,1252.65000000,1364.20000000,2951869.49310000,2951869.49310000
2022-10-16,1323.13000000,1343.12000000,1190.00000000,1305.95000000,1323.13000000,1343.12000000,1190.00000000,1305.95000000,3388589.42310000,3388589.42310000
2022-10-09,1276.72000000,1383.99000000,1263.04000000,1323.13000000,1276.72000000,1383.99000000,1263.04000000,1323.13000000,2899060.47320000,2899060.47320000
2022-10-02,1294.62000000,1400.00000000,1253.20000000,1276.72000000,1294.62000000,1400.00000000,1253.20000000,1276.72000000,4714233.48760000,4714233.48760000
2022-09-25,1334.51000000,1408.90000000,1220.00000000,1294.63000000,1334.51000000,1408.90000000,1220.00000000,1294.63000000,5736574.90990000,5736574.90990000
2022-09-18,1766.12000000,1783.00000000,1325.55000000,1334.51000000,1766.12000000,1783.00000000,1325.55000000,1334.51000000,5784488.75760000,5784488.75760000
2022-09-11,1579.29000000,1789.00000000,1490.66000000,1766.11000000,1579.29000000,1789.00000000,1490.66000000,1766.11000000,4668123.41310000,4668123.41310000
2022-09-04,1426.76000000,1650.00000000,1422.08000000,1579.28000000,1426.76000000,1650.00000000,1422.08000000,1579.28000000,5044263.25510000,5044263.25510000
2022-08-28,1618.13000000,1722.00000000,1424.00000000,1426.76000000,1618.13000000,1722.00000000,1424.00000000,1426.76000000,5680094.10280000,5680094.10280000
2022-08-21,1935.32000000,2012.47000000,1523.67000000,1618.13000000,1935.32000000,2012.47000000,1523.67000000,1618.13000000,6245075.88220000,6245075.88220000
2022-08-14,1700.20000000,2030.00000000,1656.78000000,1935.31000000,1700.20000000,2030.00000000,1656.78000000,1935.31000000,6005908.67580000,6005908.67580000
2022-08-07,1678.12000000,1749.93000000,1559.28000000,1700.19000000,1678.12000000,1749.93000000,1559.28000000,1700.19000000,5365873.87710000,5365873.87710000
2022-07-31,1597.70000000,1784.79000000,1356.17000000,1678.12000000,1597.70000000,1784.79000000,1356.17000000,1678.12000000,8346331.74535000,8346331.74535000
2022-07-24,1338.65000000,1664.34000000,1336.07000000,1597.70000000,1338.65000000,1664.34000000,1336.07000000,1597.70000000,9506416.08871000,9506416.08871000
2022-07-17,1168.37000000,1422.91000000,1006.32000000,1338.65000000,1168.37000000,1422.91000000,1006.32000000,1338.65000000,10309759.75350000,10309759.75350000
2022-07-10,1074.26000000,1276.46000000,1045.37000000,1168.36000000,1074.26000000,1276.46000000,1045.37000000,1168.36000000,7546048.78490000,7546048.78490000
2022-07-03,1197.79000000,1238.93000000,998.00000000,1074.26000000,1197.79000000,1238.93000000,998.00000000,1074.26000000,7610801.14680000,7610801.14680000
2022-06-26,1128.53000000,1280.00000000,1043.65000000,1197.79000000,1128.53000000,1280.00000000,1043.65000000,1197.79000000,8696393.61180000,8696393.61180000
2022-06-19,1434.84000000,1455.00000000,881.56000000,1128.53000000,1434.84000000,1455.00000000,881.56000000,1128.53000000,16453316.35098000,16453316.35098000
2022-06-12,1806.22000000,1920.00000000,1423.00000000,1434.84000000,1806.22000000,1920.00000000,1423.00000000,1434.84000000,7417256.10137000,7417256.10137000
2022-06-05,1813.64000000,2016.45000000,1737.00000000,1806.23000000,1813.64000000,2016.45000000,1737.00000000,1806.23000000,4894188.42940000,4894188.42940000
2022-05-29,2043.19000000,2088.50000000,1703.00000000,1813.64000000,2043.19000000,2088.50000000,1703.00000000,1813.64000000,5151103.95681000,5151103.95681000
2022-05-22,2145.29000000,2145.29000000,1903.18000000,2043.19000000,2145.29000000,2145.29000000,1903.18000000,2043.19000000,3934960.60440000,3934960.60440000
2022-05-15,2519.71000000,2530.78000000,1800.00000000,2145.29000000,2519.71000000,2530.78000000,1800.00000000,2145.29000000,9665837.76962000,9665837.76962000
2022-05-08,2824.81000000,2965.85000000,2484.00000000,2519.71000000,2824.81000000,2965.85000000,2484.00000000,2519.71000000,4016957.54060000,4016957.54060000
2022-05-01,2920.99000000,3039.54000000,2709.26000000,2824.81000000,2920.99000000,3039.54000000,2709.26000000,2824.81000000,3513007.22450000,3513007.22450000
2022-04-24,2988.07000000,3180.00000000,2883.22000000,2921.00000000,2988.07000000,3180.00000000,2883.22000000,2921.00000000,2706293.25950000,2706293.25950000
2022-04-17,3203.04000000,3213.63000000,2950.00000000,2988.06000000,3203.04000000,3213.63000000,2950.00000000,2988.06000000,2770152.08150000,2770152.08150000
2022-04-10,3521.90000000,3555.00000000,3143.15000000,3203.04000000,3521.90000000,3555.00000000,3143.15000000,3203.04000000,2989389.32820000,2989389.32820000
2022-04-03,3295.65000000,3580.34000000,3210.68000000,3521.91000000,3295.65000000,3580.34000000,3210.68000000,3521.91000000,3217954.99600000,3217954.99600000
2022-03-27,2861.39000000,3299.37000000,2829.81000000,3295.65000000,2861.39000000,3299.37000000,2829.81000000,3295.65000000,3077928.96360000,3077928.96360000
2022-03-20,2515.66000000,2987.70000000,2498.67000000,2861.38000000,2515.66000000,2987.70000000,2498.67000000,2861.38000000,3153485.91310000,3153485.91310000
2022-03-13,2551.30000000,2775.85000000,2445.00000000,2515.65000000,2551.30000000,2775.85000000,2445.00000000,2515.65000000,3334395.48680000,3334395.48680000
2022-03-06,2616.79000000,3043.91000000,2535.00000000,2551.29000000,2616.79000000,3043.91000000,2535.00000000,2551.29000000,3629909.10010000,3629909.10010000
2022-02-27,2621.99000000,2878.00000000,2300.00000000,2616.79000000,2621.99000000,2878.00000000,2300.00000000,2616.79000000,5102759.60410000,5102759.60410000
2022-02-20,2871.14000000,3196.19000000,2576.00000000,2621.99000000,2871.14000000,3196.19000000,2576.00000000,2621.99000000,2822641.19220000,2822641.19220000
2022-02-13,3055.00000000,3283.66000000,2836.70000000,2871.13000000,3055.00000000,3283.66000000,2836.70000000,2871.13000000,2959352.10910000,2959352.10910000
2022-02-06,2601.67000000,3074.56000000,2476.07000000,3054.99000000,2601.67000000,3074.56000000,2476.07000000,3054.99000000,2957715.47702000,2957715.47702000
2022-01-30,2539.00000000,2722.00000000,2159.00000000,2601.68000000,2539.00000000,2722.00000000,2159.00000000,2601.68000000,4191797.71368000,4191797.71368000
2022-01-23,3346.89000000,3357.57000000,2300.00000000,2539.01000000,3346.89000000,3357.57000000,2300.00000000,2539.01000000,3957668.21457000,3957668.21457000
2022-01-16,3151.97000000,3411.43000000,2928.83000000,3346.88000000,3151.97000000,3411.43000000,2928.83000000,3346.88000000,2298174.73270000,2298174.73270000
2022-01-09,3828.11000000,3900.73000000,3000.00000000,3151.97000000,3828.11000000,3900.73000000,3000.00000000,3151.97000000,2765390.18770000,2765390.18770000
2022-01-02,4063.57000000,4127.46000000,3585.00000000,3828.27000000,4063.57000000,4127.46000000,3585.00000000,3828.27000000,1709257.07770000,1709257.07770000
2021-12-26,3924.14000000,4150.00000000,3753.00000000,4063.56000000,3924.14000000,4150.00000000,3753.00000000,4063.56000000,2019411.75820000,2019411.75820000
2021-12-19,4130.00000000,4142.75000000,3643.73000000,3924.14000000,4130.00000000,4142.75000000,3643.73000000,3924.14000000,2948431.56500000,2948431.56500000
2021-12-12,4196.44000000,4488.00000000,3828.22000000,4130.00000000,4196.44000000,4488.00000000,3828.22000000,4130.00000000,3290695.87800000,3290695.87800000
2021-12-05,4294.77000000,4778.75000000,3503.68000000,4196.44000000,4294.77000000,4778.75000000,3503.68000000,4196.44000000,4436039.41190000,4436039.41190000
2021-11-28,4259.70000000,4551.00000000,3913.00000000,4294.78000000,4259.70000000,4551.00000000,3913.00000000,4294.78000000,3257951.43450000,3257951.43450000
2021-11-21,4626.50000000,4772.01000000,3956.44000000,4258.31000000,4626.50000000,4772.01000000,3956.44000000,4258.31000000,3286912.07900000,3286912.07900000
2021-11-14,4612.59000000,4868.00000000,4461.93000000,4626.50000000,4612.59000000,4868.00000000,4461.93000000,4626.50000000,2487265.63617000,2487265.63617000
2021-11-07,4287.48000000,4665.87000000,4146.30000000,4612.59000000,4287.48000000,4665.87000000,4146.30000000,4612.59000000,2574084.52541000,2574084.52541000
