timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,5.03100000,5.07500000,4.98000000,5.06900000,5.03100000,5.07500000,4.98000000,5.06900000,351865.30000000,351865.30000000
2023-05-07,5.41700000,5.46100000,4.99300000,5.03100000,5.41700000,5.46100000,4.99300000,5.03100000,25398897.51000000,25398897.51000000
2023-04-30,5.26900000,5.67100000,5.01800000,5.41600000,5.26900000,5.67100000,5.01800000,5.41600000,36994332.06999999,36994332.06999999
2023-04-23,6.33800000,6.36900000,5.12200000,5.26900000,6.33800000,6.36900000,5.12200000,5.26900000,43554582.65000000,43554582.65000000
2023-04-16,5.74700000,6.43600000,5.66200000,6.33900000,5.74700000,6.43600000,5.66200000,6.33900000,49490130.86000000,49490130.86000000
2023-04-09,5.54600000,6.01600000,5.33600000,5.74900000,5.54600000,6.01600000,5.33600000,5.74900000,41328867.68000000,41328867.68000000
2023-04-02,5.68100000,5.88600000,5.19900000,5.54600000,5.68100000,5.88600000,5.19900000,5.54600000,41670797.93000001,41670797.93000001
2023-03-26,6.28100000,6.45400000,5.25500000,5.68100000,6.28100000,6.45400000,5.25500000,5.68100000,68503903.29000001,68503903.29000001
2023-03-19,5.71300000,7.58300000,5.32800000,6.28100000,5.71300000,7.58300000,5.32800000,6.28100000,152959421.87000000,152959421.87000000
2023-03-12,6.13800000,6.24500000,4.65400000,5.71400000,6.13800000,6.24500000,4.65400000,5.71400000,86353275.77999999,86353275.77999999
2023-03-05,6.90500000,7.36500000,5.68400000,6.13900000,6.90500000,7.36500000,5.68400000,6.13900000,65997852.41000000,65997852.41000000
2023-02-26,8.46700000,9.18300000,6.35000000,6.90600000,8.46700000,9.18300000,6.35000000,6.90600000,141436574.50000000,141436574.50000000
2023-02-19,4.91900000,9.50000000,4.68400000,8.46600000,4.91900000,9.50000000,4.68400000,8.46600000,150667694.78999996,150667694.78999996
2023-02-12,5.30000000,5.71800000,4.61000000,4.91900000,5.30000000,5.71800000,4.61000000,4.91900000,46976744.23000000,46976744.23000000
2023-02-05,5.47800000,5.87000000,4.85000000,5.29900000,5.47800000,5.87000000,4.85000000,5.29900000,51882902.98000000,51882902.98000000
2023-01-29,5.42400000,5.77600000,4.80800000,5.47700000,5.42400000,5.77600000,4.80800000,5.47700000,54848305.05000000,54848305.05000000
2023-01-22,4.70000000,5.78800000,4.21100000,5.42700000,4.70000000,5.78800000,4.21100000,5.42700000,57605174.64000000,57605174.64000000
2023-01-15,3.44600000,4.99000000,3.43200000,4.69900000,3.44600000,4.99000000,3.43200000,4.69900000,80977070.69000000,80977070.69000000
2023-01-08,3.10900000,3.52800000,3.02700000,3.44700000,3.10900000,3.52800000,3.02700000,3.44700000,35725575.22000000,35725575.22000000
2023-01-01,2.96300000,3.32000000,2.90700000,3.10800000,2.96300000,3.32000000,2.90700000,3.10800000,28404885.51000001,28404885.51000001
2022-12-25,3.04700000,3.11800000,2.68000000,2.96400000,3.04700000,3.11800000,2.68000000,2.96400000,31649269.46000000,31649269.46000000
2022-12-18,4.28000000,4.37400000,2.41900000,3.04600000,4.28000000,4.37400000,2.41900000,3.04600000,69339270.76000001,69339270.76000001
2022-12-11,4.58000000,4.63000000,4.19000000,4.28000000,4.58000000,4.63000000,4.19000000,4.28000000,14353087.44000000,14353087.44000000
2022-12-04,4.35000000,4.71000000,4.13000000,4.58000000,4.35000000,4.71000000,4.13000000,4.58000000,23917623.05000000,23917623.05000000
2022-11-27,4.17000000,4.52000000,4.04000000,4.35000000,4.17000000,4.52000000,4.04000000,4.35000000,24989527.69000000,24989527.69000000
2022-11-20,4.28000000,4.55000000,4.08000000,4.16000000,4.28000000,4.55000000,4.08000000,4.16000000,21923520.45000000,21923520.45000000
2022-11-13,5.83000000,5.95000000,4.00000000,4.29000000,5.83000000,5.95000000,4.00000000,4.29000000,52693897.87000000,52693897.87000000
2022-11-06,5.38000000,6.56000000,5.09000000,5.83000000,5.38000000,6.56000000,5.09000000,5.83000000,46410580.49000000,46410580.49000000
2022-10-30,5.12000000,5.90000000,4.91000000,5.38000000,5.12000000,5.90000000,4.91000000,5.38000000,29939538.27999999,29939538.27999999
2022-10-23,5.16000000,5.28000000,4.80000000,5.11000000,5.16000000,5.28000000,4.80000000,5.11000000,14715249.51000000,14715249.51000000
2022-10-16,5.43000000,5.49000000,4.72000000,5.15000000,5.43000000,5.49000000,4.72000000,5.15000000,17452811.15000000,17452811.15000000
2022-10-09,5.38000000,5.66000000,5.28000000,5.43000000,5.38000000,5.66000000,5.28000000,5.43000000,11780195.92000000,11780195.92000000
2022-10-02,5.71000000,6.16000000,5.33000000,5.37000000,5.71000000,6.16000000,5.33000000,5.37000000,24786747.24000000,24786747.24000000
2022-09-25,5.26000000,5.91000000,5.10000000,5.71000000,5.26000000,5.91000000,5.10000000,5.71000000,29942718.92000000,29942718.92000000
2022-09-18,6.41000000,6.79000000,5.12000000,5.26000000,6.41000000,6.79000000,5.12000000,5.26000000,30753097.63000000,30753097.63000000
2022-09-11,6.27000000,6.99000000,5.52000000,6.41000000,6.27000000,6.99000000,5.52000000,6.41000000,35929970.92000000,35929970.92000000
2022-09-04,5.64000000,6.80000000,5.52000000,6.27000000,5.64000000,6.80000000,5.52000000,6.27000000,29271218.14000000,29271218.14000000
2022-08-28,6.41000000,6.60000000,5.56000000,5.63000000,6.41000000,6.60000000,5.56000000,5.63000000,28875730.55000000,28875730.55000000
2022-08-21,8.23000000,8.90000000,6.05000000,6.41000000,8.23000000,8.90000000,6.05000000,6.41000000,48784726.33000000,48784726.33000000
2022-08-14,8.79000000,9.40000000,7.71000000,8.23000000,8.79000000,9.40000000,7.71000000,8.23000000,53409985.73000000,53409985.73000000
2022-08-07,9.77000000,11.39000000,7.67000000,8.80000000,9.77000000,11.39000000,7.67000000,8.80000000,107611200.83000000,107611200.83000000
2022-07-31,5.64000000,10.72000000,5.10000000,9.77000000,5.64000000,10.72000000,5.10000000,9.77000000,100881729.92000000,100881729.92000000
2022-07-24,5.69000000,6.27000000,5.38000000,5.64000000,5.69000000,6.27000000,5.38000000,5.64000000,40260713.31000000,40260713.31000000
2022-07-17,5.50000000,5.98000000,5.00000000,5.68000000,5.50000000,5.98000000,5.00000000,5.68000000,25651667.77000000,25651667.77000000
2022-07-10,5.30000000,5.93000000,5.21000000,5.49000000,5.30000000,5.93000000,5.21000000,5.49000000,20989673.90000000,20989673.90000000
2022-07-03,5.82000000,6.11000000,5.08000000,5.30000000,5.82000000,6.11000000,5.08000000,5.30000000,20702358.27000000,20702358.27000000
2022-06-26,5.49000000,6.40000000,5.29000000,5.82000000,5.49000000,6.40000000,5.29000000,5.82000000,25374523.26000000,25374523.26000000
2022-06-19,5.68000000,5.94000000,4.80000000,5.49000000,5.68000000,5.94000000,4.80000000,5.49000000,29406565.09000000,29406565.09000000
2022-06-12,7.37000000,7.88000000,5.59000000,5.68000000,7.37000000,7.88000000,5.59000000,5.68000000,19722695.73000000,19722695.73000000
2022-06-05,7.62000000,8.36000000,7.21000000,7.36000000,7.62000000,8.36000000,7.21000000,7.36000000,17954334.51000000,17954334.51000000
2022-05-29,8.45000000,9.50000000,7.14000000,7.62000000,8.45000000,9.50000000,7.14000000,7.62000000,25311457.40000000,25311457.40000000
2022-05-22,9.17000000,9.17000000,7.38000000,8.45000000,9.17000000,9.17000000,7.38000000,8.45000000,19034121.10000000,19034121.10000000
2022-05-15,13.11000000,13.30000000,6.71000000,9.16000000,13.11000000,13.30000000,6.71000000,9.16000000,60332421.53000000,60332421.53000000
2022-05-08,15.12000000,15.96000000,12.80000000,13.10000000,15.12000000,15.96000000,12.80000000,13.10000000,28142269.90000000,28142269.90000000
2022-05-01,18.92000000,18.95000000,11.85000000,15.12000000,18.92000000,18.95000000,11.85000000,15.12000000,30874777.26000000,30874777.26000000
2022-04-24,19.70000000,21.17000000,18.43000000,18.91000000,19.70000000,21.17000000,18.43000000,18.91000000,21959213.68000000,21959213.68000000
2022-04-17,21.02000000,22.15000000,18.00000000,19.70000000,21.02000000,22.15000000,18.00000000,19.70000000,19895215.99000000,19895215.99000000
2022-04-10,25.43000000,26.57000000,20.81000000,21.02000000,25.43000000,26.57000000,20.81000000,21.02000000,27377849.00000000,27377849.00000000
2022-04-03,23.69000000,28.15000000,22.89000000,25.43000000,23.69000000,28.15000000,22.89000000,25.43000000,53962241.22000001,53962241.22000001
2022-03-27,17.65000000,24.10000000,17.34000000,23.70000000,17.65000000,24.10000000,17.34000000,23.70000000,22023204.32000000,22023204.32000000
2022-03-20,17.25000000,18.40000000,16.50000000,17.64000000,17.25000000,18.40000000,16.50000000,17.64000000,10583759.20000000,10583759.20000000
