timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.00549000,0.00549500,0.00547300,0.00549500,0.00549000,0.00549500,0.00547300,0.00549500,606596.00000000,606596.00000000
2023-05-07,0.00580800,0.00583400,0.00541300,0.00549200,0.00580800,0.00583400,0.00541300,0.00549200,167567109.00000000,167567109.00000000
2023-04-30,0.00587900,0.00606300,0.00576600,0.00580500,0.00587900,0.00606300,0.00576600,0.00580500,179120571.00000000,179120571.00000000
2023-04-23,0.00642600,0.00649800,0.00582500,0.00587900,0.00642600,0.00649800,0.00582500,0.00587900,250161065.00000000,250161065.00000000
2023-04-16,0.00634000,0.00689400,0.00622100,0.00642900,0.00634000,0.00689400,0.00622100,0.00642900,361026296.00000000,361026296.00000000
2023-04-09,0.00639800,0.00665600,0.00626800,0.00634000,0.00639800,0.00665600,0.00626800,0.00634000,223672288.00000000,223672288.00000000
2023-04-02,0.00660400,0.00670900,0.00635300,0.00639800,0.00660400,0.00670900,0.00635300,0.00639800,142150875.00000000,142150875.00000000
2023-03-26,0.00702000,0.00711800,0.00658800,0.00660400,0.00702000,0.00711800,0.00658800,0.00660400,157013184.00000000,157013184.00000000
2023-03-19,0.00668000,0.00715800,0.00630000,0.00701900,0.00668000,0.00715800,0.00630000,0.00701900,521193687.00000000,521193687.00000000
2023-03-12,0.00677000,0.00683000,0.00608000,0.00668000,0.00677000,0.00683000,0.00608000,0.00668000,196338124.00000000,196338124.00000000
2023-03-05,0.00708000,0.00722000,0.00663000,0.00677000,0.00708000,0.00722000,0.00663000,0.00677000,196731532.00000000,196731532.00000000
2023-02-26,0.00723000,0.00744000,0.00687000,0.00708000,0.00723000,0.00744000,0.00687000,0.00708000,398662660.00000000,398662660.00000000
2023-02-19,0.00673000,0.00742000,0.00653000,0.00724000,0.00673000,0.00742000,0.00653000,0.00724000,235791176.00000000,235791176.00000000
2023-02-12,0.00707000,0.00735000,0.00629000,0.00674000,0.00707000,0.00735000,0.00629000,0.00674000,247313438.00000000,247313438.00000000
2023-02-05,0.00724000,0.00736000,0.00686000,0.00707000,0.00724000,0.00736000,0.00686000,0.00707000,240931094.00000000,240931094.00000000
2023-01-29,0.00723000,0.00733000,0.00687000,0.00724000,0.00723000,0.00733000,0.00687000,0.00724000,280023844.00000000,280023844.00000000
2023-01-22,0.00707000,0.00908000,0.00680000,0.00722000,0.00707000,0.00908000,0.00680000,0.00722000,1822707148.00000000,1822707148.00000000
2023-01-15,0.00619000,0.00787000,0.00619000,0.00707000,0.00619000,0.00787000,0.00619000,0.00707000,229850176.00000000,229850176.00000000
2023-01-08,0.00600000,0.00622000,0.00599000,0.00619000,0.00600000,0.00622000,0.00599000,0.00619000,112922189.00000000,112922189.00000000
2023-01-01,0.00614000,0.00620000,0.00596000,0.00600000,0.00614000,0.00620000,0.00596000,0.00600000,108899943.00000000,108899943.00000000
2022-12-25,0.00610000,0.00706000,0.00596000,0.00614000,0.00610000,0.00706000,0.00596000,0.00614000,231500648.00000000,231500648.00000000
2022-12-18,0.00649000,0.00673000,0.00599000,0.00610000,0.00649000,0.00673000,0.00599000,0.00610000,249098324.00000000,249098324.00000000
2022-12-11,0.00663000,0.00945000,0.00632000,0.00650000,0.00663000,0.00945000,0.00632000,0.00650000,1151661364.00000000,1151661364.00000000
2022-12-04,0.00636000,0.00744000,0.00618000,0.00662000,0.00636000,0.00744000,0.00618000,0.00662000,256974994.00000000,256974994.00000000
2022-11-27,0.00644000,0.00770000,0.00604000,0.00636000,0.00644000,0.00770000,0.00604000,0.00636000,522729827.00000000,522729827.00000000
2022-11-20,0.00669000,0.00691000,0.00631000,0.00646000,0.00669000,0.00691000,0.00631000,0.00646000,176823402.00000000,176823402.00000000
2022-11-13,0.00753000,0.00771000,0.00626000,0.00669000,0.00753000,0.00771000,0.00626000,0.00669000,439635350.00000000,439635350.00000000
2022-11-06,0.00756000,0.00770000,0.00741000,0.00753000,0.00756000,0.00770000,0.00741000,0.00753000,142733415.00000000,142733415.00000000
2022-10-30,0.00733000,0.00767000,0.00719000,0.00756000,0.00733000,0.00767000,0.00719000,0.00756000,188622356.00000000,188622356.00000000
2022-10-23,0.00725000,0.00747000,0.00714000,0.00733000,0.00725000,0.00747000,0.00714000,0.00733000,144490286.00000000,144490286.00000000
2022-10-16,0.00731000,0.00752000,0.00706000,0.00727000,0.00731000,0.00752000,0.00706000,0.00727000,157110608.00000000,157110608.00000000
2022-10-09,0.00725000,0.00747000,0.00724000,0.00732000,0.00725000,0.00747000,0.00724000,0.00732000,78805780.00000000,78805780.00000000
2022-10-02,0.00728000,0.00749000,0.00712000,0.00725000,0.00728000,0.00749000,0.00712000,0.00725000,142636805.00000000,142636805.00000000
2022-09-25,0.00741000,0.00761000,0.00713000,0.00726000,0.00741000,0.00761000,0.00713000,0.00726000,203211401.00000000,203211401.00000000
2022-09-18,0.00800000,0.00812000,0.00739000,0.00739000,0.00800000,0.00812000,0.00739000,0.00739000,144305203.00000000,144305203.00000000
2022-09-11,0.00778000,0.00806000,0.00752000,0.00800000,0.00778000,0.00806000,0.00752000,0.00800000,164936701.00000000,164936701.00000000
2022-09-04,0.00759000,0.00800000,0.00757000,0.00779000,0.00759000,0.00800000,0.00757000,0.00779000,207447670.00000000,207447670.00000000
2022-08-28,0.00791000,0.00831000,0.00760000,0.00760000,0.00791000,0.00831000,0.00760000,0.00760000,516755291.00000000,516755291.00000000
2022-08-21,0.00837000,0.00858000,0.00771000,0.00793000,0.00837000,0.00858000,0.00771000,0.00793000,187153256.00000000,187153256.00000000
2022-08-14,0.00821000,0.00995000,0.00805000,0.00836000,0.00821000,0.00995000,0.00805000,0.00836000,838164246.00000000,838164246.00000000
2022-08-07,0.00827000,0.00850000,0.00807000,0.00821000,0.00827000,0.00850000,0.00807000,0.00821000,172682528.00000000,172682528.00000000
2022-07-31,0.00826000,0.00858000,0.00780000,0.00828000,0.00826000,0.00858000,0.00780000,0.00828000,218652462.00000000,218652462.00000000
2022-07-24,0.00773000,0.00953000,0.00748000,0.00826000,0.00773000,0.00953000,0.00748000,0.00826000,1325963025.00000000,1325963025.00000000
2022-07-17,0.00763000,0.00790000,0.00720000,0.00772000,0.00763000,0.00790000,0.00720000,0.00772000,176984647.00000000,176984647.00000000
2022-07-10,0.00747000,0.00793000,0.00738000,0.00763000,0.00747000,0.00793000,0.00738000,0.00763000,202573705.00000000,202573705.00000000
2022-07-03,0.00771000,0.00801000,0.00722000,0.00748000,0.00771000,0.00801000,0.00722000,0.00748000,137024223.00000000,137024223.00000000
2022-06-26,0.00764000,0.00791000,0.00748000,0.00770000,0.00764000,0.00791000,0.00748000,0.00770000,142758498.00000000,142758498.00000000
2022-06-19,0.00850000,0.00850000,0.00710000,0.00763000,0.00850000,0.00850000,0.00710000,0.00763000,247675957.00000000,247675957.00000000
2022-06-12,0.00899000,0.00927000,0.00847000,0.00851000,0.00899000,0.00927000,0.00847000,0.00851000,182912222.00000000,182912222.00000000
2022-06-05,0.00887000,0.00938000,0.00877000,0.00899000,0.00887000,0.00938000,0.00877000,0.00899000,167406279.00000000,167406279.00000000
2022-05-29,0.00917000,0.00979000,0.00870000,0.00888000,0.00917000,0.00979000,0.00870000,0.00888000,308323049.00000000,308323049.00000000
2022-05-22,0.00934000,0.00940000,0.00862000,0.00920000,0.00934000,0.00940000,0.00862000,0.00920000,331215161.00000000,331215161.00000000
2022-05-15,0.01010000,0.01013000,0.00807000,0.00932000,0.01010000,0.01013000,0.00807000,0.00932000,576448085.00000000,576448085.00000000
2022-05-08,0.01034000,0.01073000,0.01000000,0.01012000,0.01034000,0.01073000,0.01000000,0.01012000,333387013.00000000,333387013.00000000
2022-05-01,0.01077000,0.01094000,0.01019000,0.01035000,0.01077000,0.01094000,0.01019000,0.01035000,300241971.00000000,300241971.00000000
2022-04-24,0.01074000,0.01119000,0.01051000,0.01078000,0.01074000,0.01119000,0.01051000,0.01078000,287810011.00000000,287810011.00000000
2022-04-17,0.01114000,0.01123000,0.01071000,0.01075000,0.01114000,0.01123000,0.01071000,0.01075000,240192158.00000000,240192158.00000000
2022-04-10,0.01174000,0.01220000,0.01100000,0.01115000,0.01174000,0.01220000,0.01100000,0.01115000,769598926.00000000,769598926.00000000
2022-04-03,0.01160000,0.01209000,0.01103000,0.01175000,0.01160000,0.01209000,0.01103000,0.01175000,867525269.00000000,867525269.00000000
2022-03-27,0.01048000,0.01175000,0.01043000,0.01159000,0.01048000,0.01175000,0.01043000,0.01159000,472105541.00000000,472105541.00000000
2022-03-20,0.01078000,0.01123000,0.01047000,0.01047000,0.01078000,0.01123000,0.01047000,0.01047000,381028985.00000000,381028985.00000000
2022-03-13,0.01047000,0.01152000,0.01046000,0.01079000,0.01047000,0.01152000,0.01046000,0.01079000,389949731.00000000,389949731.00000000
2022-03-06,0.00941000,0.01330000,0.00918000,0.01047000,0.00941000,0.01330000,0.00918000,0.01047000,1322741340.00000000,1322741340.00000000
2022-02-27,0.00963000,0.01095000,0.00767000,0.00940000,0.00963000,0.01095000,0.00767000,0.00940000,884688375.00000000,884688375.00000000
2022-02-20,0.01056000,0.01188000,0.00945000,0.00963000,0.01056000,0.01188000,0.00945000,0.00963000,1040085574.00000000,1040085574.00000000
2022-02-13,0.01072000,0.01200000,0.01049000,0.01057000,0.01072000,0.01200000,0.01049000,0.01057000,709835406.00000000,709835406.00000000
2022-02-06,0.00994000,0.01120000,0.00937000,0.01072000,0.00994000,0.01120000,0.00937000,0.01072000,664106649.00000000,664106649.00000000
2022-01-30,0.01102000,0.01187000,0.00922000,0.00994000,0.01102000,0.01187000,0.00922000,0.00994000,1027941234.00000000,1027941234.00000000
2022-01-23,0.01184000,0.01363000,0.00900000,0.01104000,0.01184000,0.01363000,0.00900000,0.01104000,1640741487.00000000,1640741487.00000000
2022-01-16,0.01063000,0.01338000,0.00971000,0.01183000,0.01063000,0.01338000,0.00971000,0.01183000,1403427665.00000000,1403427665.00000000
2022-01-09,0.01283000,0.01460000,0.01017000,0.01066000,0.01283000,0.01460000,0.01017000,0.01066000,1433638679.00000000,1433638679.00000000
2022-01-02,0.01236000,0.01771000,0.01135000,0.01284000,0.01236000,0.01771000,0.01135000,0.01284000,3920428569.00000000,3920428569.00000000
2021-12-26,0.01074000,0.01287000,0.00977000,0.01234000,0.01074000,0.01287000,0.00977000,0.01234000,1277210594.00000000,1277210594.00000000
2021-12-19,0.01295000,0.01298000,0.00996000,0.01073000,0.01295000,0.01298000,0.00996000,0.01073000,1275289648.00000000,1275289648.00000000
2021-12-12,0.01485000,0.01569000,0.01196000,0.01296000,0.01485000,0.01569000,0.01196000,0.01296000,1081214917.00000000,1081214917.00000000
