timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,116.60000000,116.90000000,115.90000000,116.80000000,116.60000000,116.90000000,115.90000000,116.80000000,138.27000000,138.27000000
2023-05-07,107.60000000,122.90000000,102.90000000,116.50000000,107.60000000,122.90000000,102.90000000,116.50000000,13215.86600000,13215.86600000
2023-04-30,106.70000000,111.80000000,104.00000000,107.70000000,106.70000000,111.80000000,104.00000000,107.70000000,4849.01000000,4849.01000000
2023-04-23,122.50000000,123.00000000,105.00000000,106.80000000,122.50000000,123.00000000,105.00000000,106.80000000,8110.84800000,8110.84800000
2023-04-16,111.60000000,146.60000000,108.70000000,122.70000000,111.60000000,146.60000000,108.70000000,122.70000000,9118.99900000,9118.99900000
2023-04-09,111.30000000,119.40000000,108.30000000,111.50000000,111.30000000,119.40000000,108.30000000,111.50000000,6217.12100000,6217.12100000
2023-04-02,108.00000000,115.00000000,103.60000000,111.00000000,108.00000000,115.00000000,103.60000000,111.00000000,7030.27600000,7030.27600000
2023-03-26,112.50000000,119.00000000,104.70000000,108.50000000,112.50000000,119.00000000,104.70000000,108.50000000,8233.28600000,8233.28600000
2023-03-19,103.60000000,122.10000000,100.30000000,112.30000000,103.60000000,122.10000000,100.30000000,112.30000000,13257.21500000,13257.21500000
2023-03-12,103.00000000,105.90000000,91.70000000,103.60000000,103.00000000,105.90000000,91.70000000,103.60000000,12571.27200000,12571.27200000
2023-03-05,108.30000000,113.00000000,99.00000000,102.90000000,108.30000000,113.00000000,99.00000000,102.90000000,10353.10400000,10353.10400000
2023-02-26,109.80000000,123.00000000,101.60000000,108.30000000,109.80000000,123.00000000,101.60000000,108.30000000,15533.45600000,15533.45600000
2023-02-19,107.70000000,125.00000000,102.70000000,109.80000000,107.70000000,125.00000000,102.70000000,109.80000000,14920.49700000,14920.49700000
2023-02-12,116.80000000,124.40000000,107.00000000,107.70000000,116.80000000,124.40000000,107.00000000,107.70000000,10936.55300000,10936.55300000
2023-02-05,112.90000000,122.40000000,107.00000000,117.10000000,112.90000000,122.40000000,107.00000000,117.10000000,16892.72900000,16892.72900000
2023-01-29,107.40000000,114.70000000,99.10000000,112.90000000,107.40000000,114.70000000,99.10000000,112.90000000,14156.88700000,14156.88700000
