timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.12610000,0.12680000,0.12530000,0.12660000,0.12610000,0.12680000,0.12530000,0.12660000,2541550.00000000,2541550.00000000
2023-05-07,0.13550000,0.13800000,0.12320000,0.12620000,0.13550000,0.13800000,0.12320000,0.12620000,294765776.00000000,294765776.00000000
2023-04-30,0.13800000,0.14850000,0.13020000,0.13550000,0.13800000,0.14850000,0.13020000,0.13550000,449976971.00000000,449976971.00000000
2023-04-23,0.16640000,0.17530000,0.13380000,0.13800000,0.16640000,0.17530000,0.13380000,0.13800000,752058281.00000000,752058281.00000000
2023-04-16,0.14340000,0.17220000,0.14150000,0.16630000,0.14340000,0.17220000,0.14150000,0.16630000,726265798.00000000,726265798.00000000
2023-04-09,0.13870000,0.15740000,0.13350000,0.14350000,0.13870000,0.15740000,0.13350000,0.14350000,550436408.00000000,550436408.00000000
2023-04-02,0.14140000,0.15090000,0.12760000,0.13860000,0.14140000,0.15090000,0.12760000,0.13860000,619244937.00000000,619244937.00000000
2023-03-26,0.15390000,0.16000000,0.13510000,0.14150000,0.15390000,0.16000000,0.13510000,0.14150000,1004094311.00000000,1004094311.00000000
2023-03-19,0.13120000,0.17500000,0.12840000,0.15390000,0.13120000,0.17500000,0.12840000,0.15390000,1910842059.00000000,1910842059.00000000
2023-03-12,0.14060000,0.14570000,0.10510000,0.13120000,0.14060000,0.14570000,0.10510000,0.13120000,956489931.00000000,956489931.00000000
2023-03-05,0.16050000,0.16810000,0.13470000,0.14060000,0.16050000,0.16810000,0.13470000,0.14060000,787362918.00000000,787362918.00000000
2023-02-26,0.16890000,0.18100000,0.14130000,0.16060000,0.16890000,0.18100000,0.14130000,0.16060000,1088752747.00000000,1088752747.00000000
2023-02-19,0.15430000,0.18690000,0.13920000,0.16890000,0.15430000,0.18690000,0.13920000,0.16890000,2017135793.00000000,2017135793.00000000
2023-02-12,0.13270000,0.23220000,0.12580000,0.15430000,0.13270000,0.23220000,0.12580000,0.15430000,4146707550.00000000,4146707550.00000000
2023-02-05,0.09640000,0.13320000,0.08330000,0.13270000,0.09640000,0.13320000,0.08330000,0.13270000,1364728044.00000000,1364728044.00000000
2023-01-29,0.08300000,0.09780000,0.08300000,0.09650000,0.08300000,0.09780000,0.08300000,0.09650000,865972733.00000000,865972733.00000000
2023-01-22,0.08500000,0.08820000,0.07290000,0.08300000,0.08500000,0.08820000,0.07290000,0.08300000,791260988.00000000,791260988.00000000
2023-01-15,0.06990000,0.08930000,0.06810000,0.08510000,0.06990000,0.08930000,0.06810000,0.08510000,1109570910.00000000,1109570910.00000000
2023-01-08,0.05650000,0.07160000,0.05550000,0.06980000,0.05650000,0.07160000,0.05550000,0.06980000,533902047.00000000,533902047.00000000
2023-01-01,0.05790000,0.06110000,0.05370000,0.05660000,0.05790000,0.06110000,0.05370000,0.05660000,284678546.00000000,284678546.00000000
2022-12-25,0.05760000,0.05910000,0.05370000,0.05790000,0.05760000,0.05910000,0.05370000,0.05790000,199136488.00000000,199136488.00000000
2022-12-18,0.06940000,0.07010000,0.05480000,0.05760000,0.06940000,0.07010000,0.05480000,0.05760000,465221979.00000000,465221979.00000000
2022-12-11,0.06400000,0.07560000,0.06070000,0.06940000,0.06400000,0.07560000,0.06070000,0.06940000,842441777.00000000,842441777.00000000
2022-12-04,0.06280000,0.06640000,0.05870000,0.06400000,0.06280000,0.06640000,0.05870000,0.06400000,457736482.00000000,457736482.00000000
2022-11-27,0.05690000,0.07790000,0.05170000,0.06280000,0.05690000,0.07790000,0.05170000,0.06280000,700331038.00000000,700331038.00000000
2022-11-20,0.06150000,0.06700000,0.05650000,0.05690000,0.06150000,0.06700000,0.05650000,0.05690000,364845394.00000000,364845394.00000000
2022-11-13,0.09000000,0.09270000,0.05640000,0.06160000,0.09000000,0.09270000,0.05640000,0.06160000,1029201999.00000000,1029201999.00000000
2022-11-06,0.08360000,0.10450000,0.07900000,0.09010000,0.08360000,0.10450000,0.07900000,0.09010000,965367204.00000000,965367204.00000000
2022-10-30,0.08020000,0.08770000,0.07770000,0.08360000,0.08020000,0.08770000,0.07770000,0.08360000,509287955.00000000,509287955.00000000
2022-10-23,0.08580000,0.08790000,0.07470000,0.08020000,0.08580000,0.08790000,0.07470000,0.08020000,275249625.00000000,275249625.00000000
2022-10-16,0.09630000,0.09720000,0.07920000,0.08580000,0.09630000,0.09720000,0.07920000,0.08580000,293274425.00000000,293274425.00000000
2022-10-09,0.09430000,0.10400000,0.09320000,0.09630000,0.09430000,0.10400000,0.09320000,0.09630000,172462808.00000000,172462808.00000000
2022-10-02,0.10120000,0.10570000,0.09420000,0.09440000,0.10120000,0.10570000,0.09420000,0.09440000,241127130.00000000,241127130.00000000
2022-09-25,0.10000000,0.10870000,0.09060000,0.10130000,0.10000000,0.10870000,0.09060000,0.10130000,396133452.00000000,396133452.00000000
2022-09-18,0.11680000,0.13450000,0.09610000,0.09990000,0.11680000,0.13450000,0.09610000,0.09990000,569533793.00000000,569533793.00000000
2022-09-11,0.10450000,0.12110000,0.09570000,0.11670000,0.10450000,0.12110000,0.09570000,0.11670000,402650735.00000000,402650735.00000000
2022-09-04,0.09920000,0.10810000,0.09740000,0.10450000,0.09920000,0.10810000,0.09740000,0.10450000,265887396.00000000,265887396.00000000
2022-08-28,0.10810000,0.12030000,0.09850000,0.09910000,0.10810000,0.12030000,0.09850000,0.09910000,411722237.00000000,411722237.00000000
2022-08-21,0.13930000,0.14490000,0.09950000,0.10810000,0.13930000,0.14490000,0.09950000,0.10810000,623059833.00000000,623059833.00000000
2022-08-14,0.12820000,0.15820000,0.12810000,0.13950000,0.12820000,0.15820000,0.12810000,0.13950000,817609645.00000000,817609645.00000000
2022-08-07,0.12810000,0.13360000,0.11390000,0.12830000,0.12810000,0.13360000,0.11390000,0.12830000,584425784.00000000,584425784.00000000
2022-07-31,0.10470000,0.14610000,0.09310000,0.12810000,0.10470000,0.14610000,0.09310000,0.12810000,897050146.00000000,897050146.00000000
2022-07-24,0.09810000,0.12000000,0.09800000,0.10470000,0.09810000,0.12000000,0.09800000,0.10470000,762858338.00000000,762858338.00000000
2022-07-17,0.10010000,0.10380000,0.08480000,0.09800000,0.10010000,0.10380000,0.08480000,0.09800000,503402556.00000000,503402556.00000000
2022-07-10,0.09460000,0.11050000,0.09130000,0.10000000,0.09460000,0.11050000,0.09130000,0.10000000,406448516.00000000,406448516.00000000
2022-07-03,0.10800000,0.11430000,0.08920000,0.09460000,0.10800000,0.11430000,0.08920000,0.09460000,493118552.00000000,493118552.00000000
2022-06-26,0.10310000,0.12420000,0.09690000,0.10810000,0.10310000,0.12420000,0.09690000,0.10810000,609194215.00000000,609194215.00000000
2022-06-19,0.11190000,0.11670000,0.08900000,0.10310000,0.11190000,0.11670000,0.08900000,0.10310000,809460335.63000000,809460335.63000000
2022-06-12,0.15610000,0.16970000,0.11030000,0.11180000,0.15610000,0.16970000,0.11030000,0.11180000,503232884.00000000,503232884.00000000
2022-06-05,0.14260000,0.17510000,0.14040000,0.15600000,0.14260000,0.17510000,0.14040000,0.15600000,786176274.00000000,786176274.00000000
2022-05-29,0.16300000,0.17470000,0.13130000,0.14250000,0.16300000,0.17470000,0.13130000,0.14250000,602318239.00000000,602318239.00000000
2022-05-22,0.19980000,0.20450000,0.14590000,0.16310000,0.19980000,0.20450000,0.14590000,0.16310000,653206328.00000000,653206328.00000000
2022-05-15,0.29960000,0.30680000,0.11800000,0.19970000,0.29960000,0.30680000,0.11800000,0.19970000,1529620822.39000010,1529620822.39000010
2022-05-08,0.31560000,0.34780000,0.28030000,0.29950000,0.31560000,0.34780000,0.28030000,0.29950000,527928082.00000000,527928082.00000000
2022-05-01,0.35710000,0.41090000,0.29000000,0.31580000,0.35710000,0.41090000,0.29000000,0.31580000,789061549.75999999,789061549.75999999
2022-04-24,0.34850000,0.39570000,0.33010000,0.35710000,0.34850000,0.39570000,0.33010000,0.35710000,428314939.00000000,428314939.00000000
2022-04-17,0.38420000,0.39000000,0.34150000,0.34850000,0.38420000,0.39000000,0.34150000,0.34850000,238413218.00000000,238413218.00000000
2022-04-10,0.51740000,0.51740000,0.38250000,0.38410000,0.51740000,0.51740000,0.38250000,0.38410000,385750912.00000000,385750912.00000000
2022-04-03,0.43100000,0.55070000,0.42490000,0.51700000,0.43100000,0.55070000,0.42490000,0.51700000,901125739.00000000,901125739.00000000
2022-03-27,0.39010000,0.45190000,0.38010000,0.43100000,0.39010000,0.45190000,0.38010000,0.43100000,466523489.00000000,466523489.00000000
2022-03-20,0.33400000,0.45910000,0.32630000,0.39020000,0.33400000,0.45910000,0.32630000,0.39020000,823117106.00000000,823117106.00000000
2022-03-13,0.32920000,0.36490000,0.31430000,0.33410000,0.32920000,0.36490000,0.31430000,0.33410000,367840311.00000000,367840311.00000000
2022-03-06,0.33630000,0.39460000,0.32650000,0.32910000,0.33630000,0.39460000,0.32650000,0.32910000,268108564.00000000,268108564.00000000
2022-02-27,0.39170000,0.42360000,0.30230000,0.33630000,0.39170000,0.42360000,0.30230000,0.33630000,464300401.00000000,464300401.00000000
2022-02-20,0.40570000,0.51230000,0.37470000,0.39150000,0.40570000,0.51230000,0.37470000,0.39150000,344694023.00000000,344694023.00000000
2022-02-13,0.47280000,0.53040000,0.39680000,0.40600000,0.47280000,0.53040000,0.39680000,0.40600000,240194090.00000000,240194090.00000000
2022-02-06,0.39960000,0.47400000,0.37910000,0.47290000,0.39960000,0.47400000,0.37910000,0.47290000,202788912.00000000,202788912.00000000
2022-01-30,0.41480000,0.47410000,0.34380000,0.39950000,0.41480000,0.47410000,0.34380000,0.39950000,266735627.09999999,266735627.09999999
2022-01-23,0.58900000,0.59130000,0.36690000,0.41510000,0.58900000,0.59130000,0.36690000,0.41510000,382909515.29000002,382909515.29000002
2022-01-16,0.58380000,0.62640000,0.52080000,0.58890000,0.58380000,0.62640000,0.52080000,0.58890000,274208696.48000002,274208696.48000002
2022-01-09,0.67640000,0.73170000,0.54580000,0.58350000,0.67640000,0.73170000,0.54580000,0.58350000,416589477.00000000,416589477.00000000
2022-01-02,0.73540000,0.77700000,0.61190000,0.67650000,0.73540000,0.77700000,0.61190000,0.67650000,267663756.00000000,267663756.00000000
2021-12-26,0.64800000,0.75050000,0.58950000,0.73520000,0.64800000,0.75050000,0.58950000,0.73520000,355259536.00000000,355259536.00000000
2021-12-19,0.68450000,0.68830000,0.57830000,0.64770000,0.68450000,0.68830000,0.57830000,0.64770000,327033680.00000000,327033680.00000000
2021-12-12,0.68750000,0.77840000,0.60460000,0.68460000,0.68750000,0.77840000,0.60460000,0.68460000,364338772.00000000,364338772.00000000
2021-12-05,1.00660000,1.00860000,0.53710000,0.68730000,1.00660000,1.00860000,0.53710000,0.68730000,420394747.98000002,420394747.98000002
2021-11-28,0.92120000,1.09600000,0.84020000,1.00580000,0.92120000,1.09600000,0.84020000,1.00580000,734213002.00000000,734213002.00000000
2021-11-21,1.06700000,1.11000000,0.83500000,0.92070000,1.06700000,1.11000000,0.83500000,0.92070000,388038957.00000000,388038957.00000000
2021-11-14,1.11490000,1.33560000,0.98770000,1.06680000,1.11490000,1.33560000,0.98770000,1.06680000,562849141.01999998,562849141.01999998
2021-11-07,1.04500000,1.16600000,0.93290000,1.11450000,1.04500000,1.16600000,0.93290000,1.11450000,495669276.00000000,495669276.00000000
2021-10-31,0.94010000,1.19240000,0.87450000,1.04500000,0.94010000,1.19240000,0.87450000,1.04500000,769433918.08000004,769433918.08000004
2021-10-24,0.77710000,0.99000000,0.75060000,0.94030000,0.77710000,0.99000000,0.75060000,0.94030000,494167276.00000000,494167276.00000000
2021-10-17,0.68170000,0.88550000,0.64640000,0.77720000,0.68170000,0.88550000,0.64640000,0.77720000,402512005.00000000,402512005.00000000
2021-10-10,0.73620000,0.78960000,0.67670000,0.68190000,0.73620000,0.78960000,0.67670000,0.68190000,250235196.00000000,250235196.00000000
2021-10-03,0.67200000,0.75860000,0.61930000,0.73620000,0.67200000,0.75860000,0.61930000,0.73620000,251350491.97000000,251350491.97000000
2021-09-26,0.81340000,0.81450000,0.62250000,0.67310000,0.81340000,0.81450000,0.62250000,0.67310000,333691902.21000004,333691902.21000004
2021-09-19,0.92100000,0.95000000,0.79250000,0.81410000,0.92100000,0.95000000,0.79250000,0.81410000,277527664.00000000,277527664.00000000
2021-09-12,1.02310000,1.07700000,0.71000000,0.92160000,1.02310000,1.07700000,0.71000000,0.92160000,683234447.21000004,683234447.21000004
2021-09-05,0.91520000,1.03800000,0.82610000,1.02360000,0.91520000,1.03800000,0.82610000,1.02360000,349558109.64999998,349558109.64999998
2021-08-29,1.07380000,1.08300000,0.83850000,0.91490000,1.07380000,1.08300000,0.83850000,0.91490000,393790691.69000000,393790691.69000000
2021-08-22,0.89710000,1.09330000,0.81400000,1.07370000,0.89710000,1.09330000,0.81400000,1.07370000,687837471.97000003,687837471.97000003
2021-08-15,0.67120000,0.95600000,0.64600000,0.89700000,0.67120000,0.95600000,0.64600000,0.89700000,560985750.13999999,560985750.13999999
2021-08-08,0.65940000,0.76000000,0.62270000,0.67200000,0.65940000,0.76000000,0.62270000,0.67200000,360888480.30000001,360888480.30000001
2021-08-01,0.54250000,0.72690000,0.52420000,0.65940000,0.54250000,0.72690000,0.52420000,0.65940000,424722443.07000005,424722443.07000005
2021-07-25,0.55160000,0.59370000,0.47400000,0.54250000,0.55160000,0.59370000,0.47400000,0.54250000,210069993.98999998,210069993.98999998
2021-07-18,0.71290000,0.74180000,0.54870000,0.55160000,0.71290000,0.74180000,0.54870000,0.55160000,147345870.07999998,147345870.07999998
2021-07-11,0.72510000,0.80000000,0.62800000,0.71270000,0.72510000,0.80000000,0.62800000,0.71270000,369745756.86000001,369745756.86000001
2021-07-04,0.55840000,0.75850000,0.52000000,0.72530000,0.55840000,0.75850000,0.52000000,0.72530000,290570537.97999996,290570537.97999996
2021-06-27,0.64240000,0.64920000,0.42870000,0.55880000,0.64240000,0.64920000,0.42870000,0.55880000,268453735.44999999,268453735.44999999
2021-06-20,0.68430000,0.79420000,0.56430000,0.64220000,0.68430000,0.79420000,0.56430000,0.64220000,268464794.63000000,268464794.63000000
2021-06-13,0.78400000,0.83990000,0.56740000,0.68480000,0.78400000,0.83990000,0.56740000,0.68480000,253207734.27000001,253207734.27000001
2021-06-06,0.73930000,0.97000000,0.69070000,0.78380000,0.73930000,0.97000000,0.69070000,0.78380000,335208420.14999998,335208420.14999998
2021-05-30,0.65040000,0.88390000,0.58780000,0.73940000,0.65040000,0.88390000,0.58780000,0.73940000,318811695.80000001,318811695.80000001
2021-05-23,1.29860000,1.30020000,0.50000000,0.65070000,1.29860000,1.30020000,0.50000000,0.65070000,461634921.71000004,461634921.71000004
2021-05-16,1.53440000,1.57670000,1.20960000,1.29900000,1.53440000,1.57670000,1.20960000,1.29900000,283412291.57999998,283412291.57999998
2021-05-09,1.61030000,1.72470000,1.41450000,1.53470000,1.61030000,1.72470000,1.41450000,1.53470000,267526847.28999999,267526847.28999999
2021-05-02,1.25910000,1.73000000,1.24760000,1.61130000,1.25910000,1.73000000,1.24760000,1.61130000,216123941.88999999,216123941.88999999
2021-04-25,1.70202000,1.77838000,1.11000000,1.26000000,1.70202000,1.77838000,1.11000000,1.26000000,275856029.15000004,275856029.15000004
2021-04-18,1.89943000,2.19799000,1.45000000,1.70290000,1.89943000,2.19799000,1.45000000,1.70290000,431418138.89999998,431418138.89999998
2021-04-11,1.75870000,1.92000000,1.52500000,1.89901000,1.75870000,1.92000000,1.52500000,1.89901000,271704982.79999995,271704982.79999995
2021-04-04,1.81411000,1.97872000,1.64182000,1.75828000,1.81411000,1.97872000,1.64182000,1.75828000,363703938.10000002,363703938.10000002
