timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,1.60000000,1.61300000,1.49100000,1.54000000,1.60000000,1.61300000,1.49100000,1.54000000,415660.60000000,415660.60000000
2023-05-07,1.67500000,1.91500000,1.59100000,1.60200000,1.67500000,1.91500000,1.59100000,1.60200000,14181900.10000000,14181900.10000000
2023-04-30,1.60900000,1.75000000,1.55500000,1.67600000,1.60900000,1.75000000,1.55500000,1.67600000,7298368.30000000,7298368.30000000
2023-04-23,1.94500000,1.94800000,1.50000000,1.60900000,1.94500000,1.94800000,1.50000000,1.60900000,8498583.30000000,8498583.30000000
2023-04-16,1.81300000,1.95600000,1.74900000,1.94500000,1.81300000,1.95600000,1.74900000,1.94500000,7328223.90000000,7328223.90000000
2023-04-09,1.76000000,1.85800000,1.68000000,1.81200000,1.76000000,1.85800000,1.68000000,1.81200000,7541669.30000000,7541669.30000000
2023-04-02,2.43100000,2.72000000,1.71500000,1.76000000,2.43100000,2.72000000,1.71500000,1.76000000,31142390.90000000,31142390.90000000
2023-03-26,1.86200000,2.50400000,1.77800000,2.43400000,1.86200000,2.50400000,1.77800000,2.43400000,27758556.30000000,27758556.30000000
2023-03-19,1.66100000,1.98900000,1.57400000,1.86000000,1.66100000,1.98900000,1.57400000,1.86000000,19256493.80000000,19256493.80000000
2023-03-12,1.77500000,1.86800000,1.41800000,1.66000000,1.77500000,1.86800000,1.41800000,1.66000000,16749853.50000000,16749853.50000000
2023-03-05,2.09700000,2.58700000,1.70500000,1.77500000,2.09700000,2.58700000,1.70500000,1.77500000,29380584.80000000,29380584.80000000
2023-02-26,2.14900000,2.39500000,1.92700000,2.09800000,2.14900000,2.39500000,1.92700000,2.09800000,19155548.60000000,19155548.60000000
2023-02-19,1.75900000,2.45400000,1.61900000,2.15100000,1.75900000,2.45400000,1.61900000,2.15100000,21845364.10000000,21845364.10000000
2023-02-12,2.08100000,2.25400000,1.67400000,1.75900000,2.08100000,2.25400000,1.67400000,1.75900000,16166895.60000000,16166895.60000000
2023-02-05,1.96700000,2.18900000,1.75300000,2.07900000,1.96700000,2.18900000,1.75300000,2.07900000,19824994.40000000,19824994.40000000
2023-01-29,1.72000000,2.04100000,1.62100000,1.96400000,1.72000000,2.04100000,1.62100000,1.96400000,10694190.70000000,10694190.70000000
2023-01-22,1.66200000,1.75800000,1.41200000,1.71800000,1.66200000,1.75800000,1.41200000,1.71800000,9546407.70000000,9546407.70000000
2023-01-15,1.37700000,1.70300000,1.37200000,1.66200000,1.37700000,1.70300000,1.37200000,1.66200000,12095586.40000000,12095586.40000000
2023-01-08,1.31500000,1.38800000,1.25700000,1.37600000,1.31500000,1.38800000,1.25700000,1.37600000,4580086.60000000,4580086.60000000
2023-01-01,1.28800000,1.34400000,1.21300000,1.31400000,1.28800000,1.34400000,1.21300000,1.31400000,3885518.30000000,3885518.30000000
2022-12-25,1.36300000,1.42800000,1.27200000,1.28800000,1.36300000,1.42800000,1.27200000,1.28800000,4090246.70000000,4090246.70000000
2022-12-18,1.70900000,1.71100000,1.30600000,1.36100000,1.70900000,1.71100000,1.30600000,1.36100000,6042488.70000000,6042488.70000000
2022-12-11,1.80500000,1.85900000,1.66200000,1.71000000,1.80500000,1.85900000,1.66200000,1.71000000,4905348.40000000,4905348.40000000
2022-12-04,1.66300000,2.02700000,1.57800000,1.80700000,1.66300000,2.02700000,1.57800000,1.80700000,8789902.40000000,8789902.40000000
2022-11-27,1.53800000,1.80000000,1.46100000,1.66300000,1.53800000,1.80000000,1.46100000,1.66300000,8022375.00000000,8022375.00000000
2022-11-20,1.70600000,1.88200000,1.52800000,1.53900000,1.70600000,1.88200000,1.52800000,1.53900000,14341566.20000000,14341566.20000000
2022-11-13,2.34900000,2.54000000,1.40000000,1.70700000,2.34900000,2.54000000,1.40000000,1.70700000,39740601.40000000,39740601.40000000
2022-11-06,1.93600000,3.36000000,1.70800000,2.34700000,1.93600000,3.36000000,1.70800000,2.34700000,56054069.90000000,56054069.90000000
2022-10-30,1.62700000,2.23900000,1.54700000,1.93500000,1.62700000,2.23900000,1.54700000,1.93500000,22398328.80000000,22398328.80000000
2022-10-23,1.70900000,1.72700000,1.48300000,1.62600000,1.70900000,1.72700000,1.48300000,1.62600000,3168518.10000000,3168518.10000000
2022-10-16,1.79800000,1.81600000,1.45000000,1.70900000,1.79800000,1.81600000,1.45000000,1.70900000,4376585.70000000,4376585.70000000
