timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-11-28,0.01278000,0.01285000,0.01223000,0.01233000,0.01278000,0.01285000,0.01223000,0.01233000,5728182.90000000,5728182.90000000
2022-11-27,0.01115000,0.01550000,0.01044000,0.01276000,0.01115000,0.01550000,0.01044000,0.01276000,960420709.29999995,960420709.29999995
2022-11-20,0.01234000,0.01350000,0.01086000,0.01114000,0.01234000,0.01350000,0.01086000,0.01114000,356311902.00000000,356311902.00000000
2022-11-13,0.01868000,0.01965000,0.01073000,0.01233000,0.01868000,0.01965000,0.01073000,0.01233000,369884362.60000002,369884362.60000002
2022-11-06,0.01881000,0.01964000,0.01750000,0.01868000,0.01881000,0.01964000,0.01750000,0.01868000,190430326.20000002,190430326.20000002
2022-10-30,0.01883000,0.02017000,0.01840000,0.01881000,0.01883000,0.02017000,0.01840000,0.01881000,197736320.30000004,197736320.30000004
2022-10-23,0.01932000,0.02030000,0.01734000,0.01883000,0.01932000,0.02030000,0.01734000,0.01883000,255568015.30000001,255568015.30000001
2022-10-16,0.01946000,0.02050000,0.01584000,0.01930000,0.01946000,0.02050000,0.01584000,0.01930000,313094147.99999994,313094147.99999994
2022-10-09,0.01928000,0.02044000,0.01912000,0.01950000,0.01928000,0.02044000,0.01912000,0.01950000,149230946.80000001,149230946.80000001
2022-10-02,0.01977000,0.02276000,0.01907000,0.01931000,0.01977000,0.02276000,0.01907000,0.01931000,354836496.09999996,354836496.09999996
2022-09-25,0.02102000,0.02240000,0.01910000,0.01978000,0.02102000,0.02240000,0.01910000,0.01978000,337821034.10000002,337821034.10000002
2022-09-18,0.02121000,0.02623000,0.01910000,0.02100000,0.02121000,0.02623000,0.01910000,0.02100000,1253987708.40000010,1253987708.40000010
2022-09-11,0.01986000,0.02219000,0.01821000,0.02120000,0.01986000,0.02219000,0.01821000,0.02120000,389560971.00000000,389560971.00000000
2022-09-04,0.01868000,0.02216000,0.01811000,0.01985000,0.01868000,0.02216000,0.01811000,0.01985000,530110199.20000005,530110199.20000005
2022-08-28,0.02095000,0.02321000,0.01858000,0.01867000,0.02095000,0.02321000,0.01858000,0.01867000,433813511.89999998,433813511.89999998
2022-08-21,0.02396000,0.02470000,0.01966000,0.02093000,0.02396000,0.02470000,0.01966000,0.02093000,236903165.50000000,236903165.50000000
2022-08-14,0.02540000,0.02628000,0.02344000,0.02396000,0.02540000,0.02628000,0.02344000,0.02396000,385195539.29999995,385195539.29999995
2022-08-07,0.02473000,0.02675000,0.02416000,0.02541000,0.02473000,0.02675000,0.02416000,0.02541000,523086549.50000000,523086549.50000000
2022-07-31,0.02437000,0.02660000,0.02144000,0.02473000,0.02437000,0.02660000,0.02144000,0.02473000,715338967.79999995,715338967.79999995
2022-07-24,0.03352000,0.03712000,0.02300000,0.02438000,0.03352000,0.03712000,0.02300000,0.02438000,1880010590.59999990,1880010590.59999990
2022-07-17,0.02068000,0.03570000,0.01879000,0.03351000,0.02068000,0.03570000,0.01879000,0.03351000,2096083927.00000000,2096083927.00000000
2022-07-10,0.01857000,0.02440000,0.01770000,0.02070000,0.01857000,0.02440000,0.01770000,0.02070000,1191151609.00000000,1191151609.00000000
2022-07-03,0.01799000,0.02390000,0.01618000,0.01856000,0.01799000,0.02390000,0.01618000,0.01856000,1149252340.00000000,1149252340.00000000
2022-06-26,0.01511000,0.03150000,0.01447000,0.01797000,0.01511000,0.03150000,0.01447000,0.01797000,2443617506.89999962,2443617506.89999962
2022-06-19,0.01746000,0.01776000,0.01266000,0.01509000,0.01746000,0.01776000,0.01266000,0.01509000,553956604.89999998,553956604.89999998
2022-06-12,0.02061000,0.02395000,0.01736000,0.01746000,0.02061000,0.02395000,0.01736000,0.01746000,539870094.59999990,539870094.59999990
2022-06-05,0.01908000,0.02350000,0.01828000,0.02060000,0.01908000,0.02350000,0.01828000,0.02060000,454003330.09999996,454003330.09999996
2022-05-29,0.01917000,0.02600000,0.01694000,0.01908000,0.01917000,0.02600000,0.01694000,0.01908000,985455313.00000000,985455313.00000000
2022-05-22,0.01778000,0.02112000,0.01557000,0.01918000,0.01778000,0.02112000,0.01557000,0.01918000,640503396.80000007,640503396.80000007
2022-05-15,0.02935000,0.02955000,0.01002000,0.01776000,0.02935000,0.02955000,0.01002000,0.01776000,766350319.50000000,766350319.50000000
2022-05-08,0.03395000,0.03586000,0.02876000,0.02937000,0.03395000,0.03586000,0.02876000,0.02937000,267705710.39999998,267705710.39999998
2022-05-01,0.04027000,0.04260000,0.03172000,0.03391000,0.04027000,0.04260000,0.03172000,0.03391000,441921633.69999999,441921633.69999999
2022-04-24,0.04162000,0.04800000,0.03866000,0.04028000,0.04162000,0.04800000,0.03866000,0.04028000,585666162.00000000,585666162.00000000
2022-04-17,0.04443000,0.04760000,0.03979000,0.04162000,0.04443000,0.04760000,0.03979000,0.04162000,1027178082.00000000,1027178082.00000000
2022-04-10,0.05818000,0.06097000,0.04440000,0.04446000,0.05818000,0.06097000,0.04440000,0.04446000,1581878047.00000000,1581878047.00000000
2022-04-03,0.03766000,0.09304000,0.03651000,0.05813000,0.03766000,0.09304000,0.03651000,0.05813000,8373902293.50000000,8373902293.50000000
2022-03-27,0.03199000,0.03976000,0.03156000,0.03761000,0.03199000,0.03976000,0.03156000,0.03761000,886169373.40000021,886169373.40000021
2022-03-20,0.02862000,0.03600000,0.02780000,0.03202000,0.02862000,0.03600000,0.02780000,0.03202000,766002591.99999988,766002591.99999988
2022-03-13,0.02815000,0.03329000,0.02739000,0.02860000,0.02815000,0.03329000,0.02739000,0.02860000,730937749.10000002,730937749.10000002
