timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-04-25,1.82300000,1.97870000,1.77750000,1.79230000,1.82300000,1.97870000,1.77750000,1.79230000,3703582.00000000,3703582.00000000
2022-04-24,1.65120000,1.95680000,1.62120000,1.82100000,1.65120000,1.95680000,1.62120000,1.82100000,38700959.00000000,38700959.00000000
2022-04-17,1.76750000,2.11370000,1.53710000,1.65110000,1.76750000,2.11370000,1.53710000,1.65110000,48284423.00000000,48284423.00000000
2022-04-10,1.64290000,2.96770000,1.61010000,1.76670000,1.64290000,2.96770000,1.61010000,1.76670000,206763028.00000000,206763028.00000000
2022-04-03,1.62910000,1.79790000,1.49890000,1.64260000,1.62910000,1.79790000,1.49890000,1.64260000,23410130.00000000,23410130.00000000
2022-03-27,1.62710000,1.71000000,1.56630000,1.62970000,1.62710000,1.71000000,1.56630000,1.62970000,14456567.00000000,14456567.00000000
2022-03-20,1.66610000,1.84000000,1.52830000,1.62720000,1.66610000,1.84000000,1.52830000,1.62720000,28358571.00000000,28358571.00000000
2022-03-13,1.69270000,1.84700000,1.60920000,1.67150000,1.69270000,1.84700000,1.60920000,1.67150000,26810580.00000000,26810580.00000000
2022-03-06,1.35600000,2.03000000,1.34960000,1.69530000,1.35600000,2.03000000,1.34960000,1.69530000,50641685.00000000,50641685.00000000
2022-02-27,1.41270000,1.54670000,1.20100000,1.35650000,1.41270000,1.54670000,1.20100000,1.35650000,22919491.00000000,22919491.00000000
2022-02-20,1.57810000,1.84990000,1.37860000,1.41120000,1.57810000,1.84990000,1.37860000,1.41120000,24184173.00000000,24184173.00000000
2022-02-13,1.60360000,2.01270000,1.52570000,1.57810000,1.60360000,2.01270000,1.52570000,1.57810000,64812534.00000000,64812534.00000000
2022-02-06,1.50220000,1.67000000,1.39120000,1.60290000,1.50220000,1.67000000,1.39120000,1.60290000,34166268.00000000,34166268.00000000
2022-01-30,1.49010000,1.73870000,1.20760000,1.50400000,1.49010000,1.73870000,1.20760000,1.50400000,48563143.00000000,48563143.00000000
2022-01-23,2.21460000,2.27990000,1.13380000,1.49000000,2.21460000,2.27990000,1.13380000,1.49000000,70551028.00000000,70551028.00000000
2022-01-16,2.23230000,2.38000000,1.93080000,2.21570000,2.23230000,2.38000000,1.93080000,2.21570000,58680066.00000000,58680066.00000000
2022-01-09,1.89700000,2.72390000,1.84060000,2.23010000,1.89700000,2.72390000,1.84060000,2.23010000,222934354.00000000,222934354.00000000
2022-01-02,1.84690000,3.03810000,1.67000000,1.89700000,1.84690000,3.03810000,1.67000000,1.89700000,219702670.00000000,219702670.00000000
2021-12-26,1.87560000,2.28000000,1.78080000,1.84890000,1.87560000,2.28000000,1.78080000,1.84890000,116619073.00000000,116619073.00000000
