timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.26660000,0.27000000,0.26490000,0.26700000,0.26660000,0.27000000,0.26490000,0.26700000,623899.40000000,623899.40000000
2023-05-07,0.29110000,0.29390000,0.26490000,0.26680000,0.29110000,0.29390000,0.26490000,0.26680000,79578338.00000000,79578338.00000000
2023-04-30,0.29400000,0.32190000,0.25920000,0.29080000,0.29400000,0.32190000,0.25920000,0.29080000,193711535.99999997,193711535.99999997
2023-04-23,0.35890000,0.35940000,0.28060000,0.29410000,0.35890000,0.35940000,0.28060000,0.29410000,182480593.30000001,182480593.30000001
2023-04-16,0.32030000,0.39340000,0.28770000,0.35870000,0.32030000,0.39340000,0.28770000,0.35870000,320325444.70000005,320325444.70000005
2023-04-09,0.26490000,0.48870000,0.25930000,0.32060000,0.26490000,0.48870000,0.25930000,0.32060000,968329241.20000005,968329241.20000005
2023-04-02,0.21360000,0.33200000,0.19590000,0.26480000,0.21360000,0.33200000,0.19590000,0.26480000,335463533.70000005,335463533.70000005
2023-03-26,0.23330000,0.23340000,0.20060000,0.21380000,0.23330000,0.23340000,0.20060000,0.21380000,55406595.59999999,55406595.59999999
2023-03-19,0.19940000,0.24000000,0.19200000,0.23330000,0.19940000,0.24000000,0.19200000,0.23330000,86947849.70000000,86947849.70000000
2023-03-12,0.22320000,0.22770000,0.17550000,0.19910000,0.22320000,0.22770000,0.17550000,0.19910000,64139410.30000000,64139410.30000000
2023-03-05,0.25340000,0.26610000,0.21500000,0.22340000,0.25340000,0.26610000,0.21500000,0.22340000,59783667.60000000,59783667.60000000
2023-02-26,0.25340000,0.27990000,0.23750000,0.25320000,0.25340000,0.27990000,0.23750000,0.25320000,95489518.30000000,95489518.30000000
2023-02-19,0.21240000,0.25600000,0.19970000,0.25390000,0.21240000,0.25600000,0.19970000,0.25390000,69524225.70000000,69524225.70000000
2023-02-12,0.22540000,0.27250000,0.20190000,0.21240000,0.22540000,0.27250000,0.20190000,0.21240000,84270879.70000000,84270879.70000000
2023-02-05,0.22220000,0.24090000,0.19750000,0.22530000,0.22220000,0.24090000,0.19750000,0.22530000,90628101.00000000,90628101.00000000
2023-01-29,0.19550000,0.29980000,0.19530000,0.22240000,0.19550000,0.29980000,0.19530000,0.22240000,190937418.29999998,190937418.29999998
2023-01-22,0.19170000,0.21000000,0.17640000,0.19530000,0.19170000,0.21000000,0.17640000,0.19530000,70667007.50000000,70667007.50000000
2023-01-15,0.15640000,0.19800000,0.15550000,0.19180000,0.15640000,0.19800000,0.15550000,0.19180000,62140983.00000001,62140983.00000001
2023-01-08,0.14310000,0.15700000,0.13990000,0.15640000,0.14310000,0.15700000,0.13990000,0.15640000,20607611.80000000,20607611.80000000
2023-01-01,0.14960000,0.15620000,0.13810000,0.14300000,0.14960000,0.15620000,0.13810000,0.14300000,29959534.80000000,29959534.80000000
2022-12-25,0.15100000,0.15300000,0.13960000,0.14960000,0.15100000,0.15300000,0.13960000,0.14960000,19772877.90000000,19772877.90000000
2022-12-18,0.18110000,0.18210000,0.14450000,0.15090000,0.18110000,0.18210000,0.14450000,0.15090000,35147365.80000000,35147365.80000000
2022-12-11,0.18460000,0.18610000,0.16990000,0.18120000,0.18460000,0.18610000,0.16990000,0.18120000,40849467.40000000,40849467.40000000
2022-12-04,0.16800000,0.22490000,0.15990000,0.18450000,0.16800000,0.22490000,0.15990000,0.18450000,155674183.30000001,155674183.30000001
2022-11-27,0.15340000,0.18270000,0.14740000,0.16820000,0.15340000,0.18270000,0.14740000,0.16820000,39004348.70000000,39004348.70000000
2022-11-20,0.15260000,0.17120000,0.14070000,0.15320000,0.15260000,0.17120000,0.14070000,0.15320000,49522628.20000000,49522628.20000000
2022-11-13,0.22870000,0.23580000,0.14060000,0.15250000,0.22870000,0.23580000,0.14060000,0.15250000,100947358.56000002,100947358.56000002
2022-11-06,0.23540000,0.24750000,0.21460000,0.22870000,0.23540000,0.24750000,0.21460000,0.22870000,48673573.40000000,48673573.40000000
2022-10-30,0.22010000,0.24190000,0.21260000,0.23540000,0.22010000,0.24190000,0.21260000,0.23540000,41887203.70000000,41887203.70000000
2022-10-23,0.21760000,0.24770000,0.20270000,0.22000000,0.21760000,0.24770000,0.20270000,0.22000000,49760230.00000000,49760230.00000000
2022-10-16,0.23930000,0.24340000,0.20130000,0.21800000,0.23930000,0.24340000,0.20130000,0.21800000,30222200.12000000,30222200.12000000
2022-10-09,0.22980000,0.24250000,0.22690000,0.23930000,0.22980000,0.24250000,0.22690000,0.23930000,23270438.30000000,23270438.30000000
2022-10-02,0.23460000,0.24710000,0.22610000,0.22980000,0.23460000,0.24710000,0.22610000,0.22980000,47975882.70000000,47975882.70000000
2022-09-25,0.24250000,0.25210000,0.22720000,0.23460000,0.24250000,0.25210000,0.22720000,0.23460000,59244212.30000000,59244212.30000000
2022-09-18,0.28900000,0.29710000,0.23910000,0.24250000,0.28900000,0.29710000,0.23910000,0.24250000,50944834.00000000,50944834.00000000
2022-09-11,0.27200000,0.29390000,0.24200000,0.28910000,0.27200000,0.29390000,0.24200000,0.28910000,39295282.60000000,39295282.60000000
2022-09-04,0.26100000,0.28300000,0.25800000,0.27200000,0.26100000,0.28300000,0.25800000,0.27200000,16034591.10000000,16034591.10000000
2022-08-28,0.28600000,0.29800000,0.26000000,0.26100000,0.28600000,0.29800000,0.26000000,0.26100000,19861695.00000000,19861695.00000000
2022-08-21,0.35400000,0.38700000,0.27700000,0.28700000,0.35400000,0.38700000,0.27700000,0.28700000,33161398.10000000,33161398.10000000
