timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.01001000,0.01008000,0.00997000,0.01005000,0.01001000,0.01008000,0.00997000,0.01005000,4615813.00000000,4615813.00000000
2023-05-07,0.01048000,0.01065000,0.00997000,0.01001000,0.01048000,0.01065000,0.00997000,0.01001000,654428999.00000000,654428999.00000000
2023-04-30,0.01039000,0.01090000,0.00985000,0.01048000,0.01039000,0.01090000,0.00985000,0.01048000,1229164919.00000000,1229164919.00000000
2023-04-23,0.01201000,0.01263000,0.01012000,0.01039000,0.01201000,0.01263000,0.01012000,0.01039000,2066882838.00000000,2066882838.00000000
2023-04-16,0.01098000,0.01208000,0.01067000,0.01202000,0.01098000,0.01208000,0.01067000,0.01202000,1373782428.00000000,1373782428.00000000
2023-04-09,0.01075000,0.01347000,0.01043000,0.01098000,0.01075000,0.01347000,0.01043000,0.01098000,3779209288.00000000,3779209288.00000000
2023-04-02,0.01048000,0.01120000,0.00972000,0.01075000,0.01048000,0.01120000,0.00972000,0.01075000,1330285270.00000000,1330285270.00000000
2023-03-26,0.01130000,0.01153000,0.01004000,0.01049000,0.01130000,0.01153000,0.01004000,0.01049000,1460376382.00000000,1460376382.00000000
2023-03-19,0.00981000,0.01153000,0.00955000,0.01131000,0.00981000,0.01153000,0.00955000,0.01131000,2229211716.00000000,2229211716.00000000
2023-03-12,0.01038000,0.01061000,0.00847000,0.00980000,0.01038000,0.01061000,0.00847000,0.00980000,1554641843.00000000,1554641843.00000000
2023-03-05,0.01154000,0.01298000,0.01030000,0.01038000,0.01154000,0.01298000,0.01030000,0.01038000,3333725172.00000000,3333725172.00000000
2023-02-26,0.01130000,0.01600000,0.01091000,0.01154000,0.01130000,0.01600000,0.01091000,0.01154000,7728301545.00000000,7728301545.00000000
2023-02-19,0.01034000,0.01189000,0.00948000,0.01131000,0.01034000,0.01189000,0.00948000,0.01131000,1275815641.00000000,1275815641.00000000
2023-02-12,0.01078000,0.01181000,0.00995000,0.01033000,0.01078000,0.01181000,0.00995000,0.01033000,1609043229.00000000,1609043229.00000000
2023-02-05,0.01034000,0.01149000,0.00907000,0.01077000,0.01034000,0.01149000,0.00907000,0.01077000,1687931079.00000000,1687931079.00000000
2023-01-29,0.00975000,0.01076000,0.00933000,0.01035000,0.00975000,0.01076000,0.00933000,0.01035000,1118088677.00000000,1118088677.00000000
2023-01-22,0.00936000,0.01016000,0.00876000,0.00973000,0.00936000,0.01016000,0.00876000,0.00973000,1064050070.00000000,1064050070.00000000
2023-01-15,0.00746000,0.00958000,0.00731000,0.00936000,0.00746000,0.00958000,0.00731000,0.00936000,1461431810.00000000,1461431810.00000000
2023-01-08,0.00694000,0.00749000,0.00681000,0.00746000,0.00694000,0.00749000,0.00681000,0.00746000,612053615.00000000,612053615.00000000
