timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.19170000,0.19310000,0.19080000,0.19240000,0.19170000,0.19310000,0.19080000,0.19240000,224426.00000000,224426.00000000
2023-05-07,0.19710000,0.20070000,0.18980000,0.19180000,0.19710000,0.20070000,0.18980000,0.19180000,52077542.00000000,52077542.00000000
2023-04-30,0.19960000,0.20760000,0.18770000,0.19720000,0.19960000,0.20760000,0.18770000,0.19720000,62278778.00000000,62278778.00000000
2023-04-23,0.22890000,0.22980000,0.19490000,0.19960000,0.22890000,0.22980000,0.19490000,0.19960000,78517892.00000000,78517892.00000000
2023-04-16,0.22360000,0.22990000,0.21400000,0.22890000,0.22360000,0.22990000,0.21400000,0.22890000,85595793.00000000,85595793.00000000
2023-04-09,0.21570000,0.23900000,0.20540000,0.22360000,0.21570000,0.23900000,0.20540000,0.22360000,123778988.00000000,123778988.00000000
2023-04-02,0.20930000,0.22680000,0.19460000,0.21580000,0.20930000,0.22680000,0.19460000,0.21580000,84582184.00000000,84582184.00000000
2023-03-26,0.22290000,0.22500000,0.19970000,0.20930000,0.22290000,0.22500000,0.19970000,0.20930000,98122794.00000000,98122794.00000000
2023-03-19,0.20270000,0.23260000,0.19750000,0.22280000,0.20270000,0.23260000,0.19750000,0.22280000,96409862.00000000,96409862.00000000
2023-03-12,0.21560000,0.21560000,0.17680000,0.20280000,0.21560000,0.21560000,0.17680000,0.20280000,90923169.00000000,90923169.00000000
2023-03-05,0.25220000,0.25530000,0.21130000,0.21560000,0.25220000,0.25530000,0.21130000,0.21560000,87047273.00000000,87047273.00000000
2023-02-26,0.25190000,0.27460000,0.24400000,0.25210000,0.25190000,0.27460000,0.24400000,0.25210000,132498936.00000000,132498936.00000000
2023-02-19,0.23190000,0.25660000,0.22110000,0.25190000,0.23190000,0.25660000,0.22110000,0.25190000,86466996.00000000,86466996.00000000
2023-02-12,0.23780000,0.25480000,0.22130000,0.23200000,0.23780000,0.25480000,0.22130000,0.23200000,96432182.00000000,96432182.00000000
2023-02-05,0.24090000,0.25620000,0.21520000,0.23780000,0.24090000,0.25620000,0.21520000,0.23780000,92971018.00000000,92971018.00000000
2023-01-29,0.22430000,0.25000000,0.20980000,0.24100000,0.22430000,0.25000000,0.20980000,0.24100000,112332590.00000000,112332590.00000000
2023-01-22,0.21450000,0.23300000,0.19980000,0.22420000,0.21450000,0.23300000,0.19980000,0.22420000,109108864.00000000,109108864.00000000
2023-01-15,0.18270000,0.22020000,0.18170000,0.21450000,0.18270000,0.22020000,0.18170000,0.21450000,93409627.00000000,93409627.00000000
2023-01-08,0.17200000,0.18450000,0.16940000,0.18260000,0.17200000,0.18450000,0.16940000,0.18260000,50450019.00000000,50450019.00000000
2023-01-01,0.17290000,0.17700000,0.16490000,0.17180000,0.17290000,0.17700000,0.16490000,0.17180000,38994539.00000000,38994539.00000000
2022-12-25,0.16830000,0.17650000,0.15590000,0.17270000,0.16830000,0.17650000,0.15590000,0.17270000,61591961.00000000,61591961.00000000
2022-12-18,0.20760000,0.20780000,0.16120000,0.16810000,0.20760000,0.20780000,0.16120000,0.16810000,120512235.47000000,120512235.47000000
2022-12-11,0.21190000,0.21870000,0.20140000,0.20780000,0.21190000,0.21870000,0.20140000,0.20780000,56625173.00000000,56625173.00000000
2022-12-04,0.21300000,0.21740000,0.20340000,0.21200000,0.21300000,0.21740000,0.20340000,0.21200000,59215525.00000000,59215525.00000000
2022-11-27,0.21230000,0.22630000,0.20400000,0.21300000,0.21230000,0.22630000,0.20400000,0.21300000,79381937.00000000,79381937.00000000
2022-11-20,0.21380000,0.23380000,0.20140000,0.21250000,0.21380000,0.23380000,0.20140000,0.21250000,61353357.00000000,61353357.00000000
