timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.02331000,0.02357000,0.02318000,0.02353000,0.02331000,0.02357000,0.02318000,0.02353000,2956319.00000000,2956319.00000000
2023-05-07,0.02468000,0.02680000,0.02283000,0.02331000,0.02468000,0.02680000,0.02283000,0.02331000,744207962.00000000,744207962.00000000
2023-04-30,0.02420000,0.02600000,0.02273000,0.02467000,0.02420000,0.02600000,0.02273000,0.02467000,1043444035.00000000,1043444035.00000000
2023-04-23,0.02937000,0.02945000,0.02288000,0.02420000,0.02937000,0.02945000,0.02288000,0.02420000,1669238467.00000000,1669238467.00000000
2023-04-16,0.02787000,0.03036000,0.02724000,0.02939000,0.02787000,0.03036000,0.02724000,0.02939000,902309062.00000000,902309062.00000000
2023-04-09,0.02624000,0.03203000,0.02533000,0.02788000,0.02624000,0.03203000,0.02533000,0.02788000,1819904846.00000000,1819904846.00000000
2023-04-02,0.02483000,0.02717000,0.02366000,0.02624000,0.02483000,0.02717000,0.02366000,0.02624000,848369651.00000000,848369651.00000000
2023-03-26,0.02616000,0.02717000,0.02355000,0.02483000,0.02616000,0.02717000,0.02355000,0.02483000,1245024735.00000000,1245024735.00000000
2023-03-19,0.02399000,0.02731000,0.02325000,0.02614000,0.02399000,0.02731000,0.02325000,0.02614000,1125307902.00000000,1125307902.00000000
2023-03-12,0.02487000,0.02527000,0.02075000,0.02399000,0.02487000,0.02527000,0.02075000,0.02399000,1026449001.00000000,1026449001.00000000
2023-03-05,0.02861000,0.02901000,0.02340000,0.02488000,0.02861000,0.02901000,0.02340000,0.02488000,795406384.00000000,795406384.00000000
2023-02-26,0.03061000,0.03380000,0.02689000,0.02862000,0.03061000,0.03380000,0.02689000,0.02862000,1410512894.00000000,1410512894.00000000
2023-02-19,0.02996000,0.03222000,0.02772000,0.03062000,0.02996000,0.03222000,0.02772000,0.03062000,1202085098.00000000,1202085098.00000000
2023-02-12,0.02936000,0.03567000,0.02823000,0.02996000,0.02936000,0.03567000,0.02823000,0.02996000,1526285472.00000000,1526285472.00000000
2023-02-05,0.03032000,0.03155000,0.02708000,0.02936000,0.03032000,0.03155000,0.02708000,0.02936000,616723998.00000000,616723998.00000000
2023-01-29,0.02865000,0.03241000,0.02777000,0.03032000,0.02865000,0.03241000,0.02777000,0.03032000,1114973479.00000000,1114973479.00000000
2023-01-22,0.02931000,0.03042000,0.02515000,0.02864000,0.02931000,0.03042000,0.02515000,0.02864000,656730816.00000000,656730816.00000000
