timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.31230000,0.31540000,0.31150000,0.31230000,0.31230000,0.31540000,0.31150000,0.31230000,192638.00000000,192638.00000000
2023-05-07,0.31960000,0.39660000,0.30000000,0.31270000,0.31960000,0.39660000,0.30000000,0.31270000,83383632.00000000,83383632.00000000
2023-04-30,0.34330000,0.41650000,0.31060000,0.31950000,0.34330000,0.41650000,0.31060000,0.31950000,73346743.00000000,73346743.00000000
2023-04-23,0.28970000,0.53000000,0.27770000,0.34330000,0.28970000,0.53000000,0.27770000,0.34330000,323107363.00000000,323107363.00000000
2023-04-16,0.27220000,0.33100000,0.26460000,0.28940000,0.27220000,0.33100000,0.26460000,0.28940000,13956982.00000000,13956982.00000000
2023-04-09,0.29060000,0.30130000,0.26580000,0.27210000,0.29060000,0.30130000,0.26580000,0.27210000,12726010.00000000,12726010.00000000
2023-04-02,0.23820000,0.36180000,0.23300000,0.29060000,0.23820000,0.36180000,0.23300000,0.29060000,159766581.00000000,159766581.00000000
2023-03-26,0.25100000,0.28800000,0.22200000,0.23820000,0.25100000,0.28800000,0.22200000,0.23820000,9118429.00000000,9118429.00000000
2023-03-19,0.23190000,0.26400000,0.22370000,0.25100000,0.23190000,0.26400000,0.22370000,0.25100000,5578091.00000000,5578091.00000000
2023-03-12,0.25190000,0.25660000,0.21030000,0.23080000,0.25190000,0.25660000,0.21030000,0.23080000,5804478.00000000,5804478.00000000
2023-03-05,0.28600000,0.31050000,0.24550000,0.25170000,0.28600000,0.31050000,0.24550000,0.25170000,8431551.00000000,8431551.00000000
2023-02-26,0.29800000,0.33750000,0.27160000,0.28600000,0.29800000,0.33750000,0.27160000,0.28600000,10189764.00000000,10189764.00000000
2023-02-19,0.27350000,0.32570000,0.26040000,0.29810000,0.27350000,0.32570000,0.26040000,0.29810000,14307113.00000000,14307113.00000000
2023-02-12,0.27850000,0.29440000,0.25690000,0.27310000,0.27850000,0.29440000,0.25690000,0.27310000,6809501.00000000,6809501.00000000
2023-02-05,0.27200000,0.28560000,0.25720000,0.27840000,0.27200000,0.28560000,0.25720000,0.27840000,10436718.00000000,10436718.00000000
2023-01-29,0.26530000,0.28750000,0.25340000,0.27140000,0.26530000,0.28750000,0.25340000,0.27140000,15966857.00000000,15966857.00000000
2023-01-22,0.23170000,0.27800000,0.21760000,0.26530000,0.23170000,0.27800000,0.21760000,0.26530000,24476687.00000000,24476687.00000000
2023-01-15,0.20010000,0.24000000,0.19670000,0.23190000,0.20010000,0.24000000,0.19670000,0.23190000,9059411.00000000,9059411.00000000
2023-01-08,0.18120000,0.20470000,0.17900000,0.20000000,0.18120000,0.20470000,0.17900000,0.20000000,6820722.00000000,6820722.00000000
2023-01-01,0.18670000,0.22150000,0.17620000,0.18150000,0.18670000,0.22150000,0.17620000,0.18150000,16465550.00000000,16465550.00000000
2022-12-25,0.18970000,0.22180000,0.18140000,0.18670000,0.18970000,0.22180000,0.18140000,0.18670000,20399615.00000000,20399615.00000000
2022-12-18,0.21900000,0.21910000,0.18080000,0.18960000,0.21900000,0.21910000,0.18080000,0.18960000,6183970.00000000,6183970.00000000
2022-12-11,0.21180000,0.22800000,0.20590000,0.21900000,0.21180000,0.22800000,0.20590000,0.21900000,9419842.00000000,9419842.00000000
2022-12-04,0.19600000,0.22530000,0.19070000,0.21230000,0.19600000,0.22530000,0.19070000,0.21230000,19162357.00000000,19162357.00000000
2022-11-27,0.18310000,0.21660000,0.17410000,0.19610000,0.18310000,0.21660000,0.17410000,0.19610000,27038671.00000000,27038671.00000000
2022-11-20,0.18210000,0.19370000,0.17290000,0.18320000,0.18210000,0.19370000,0.17290000,0.18320000,9075965.00000000,9075965.00000000
2022-11-13,0.25160000,0.25390000,0.17400000,0.18210000,0.25160000,0.25390000,0.17400000,0.18210000,16995173.00000000,16995173.00000000
2022-11-06,0.25150000,0.26680000,0.24520000,0.25180000,0.25150000,0.26680000,0.24520000,0.25180000,7679289.00000000,7679289.00000000
2022-10-30,0.25150000,0.26170000,0.24430000,0.25190000,0.25150000,0.26170000,0.24430000,0.25190000,7278527.00000000,7278527.00000000
2022-10-23,0.26420000,0.29900000,0.24060000,0.25150000,0.26420000,0.29900000,0.24060000,0.25150000,25454335.00000000,25454335.00000000
2022-10-16,0.25630000,0.28370000,0.21130000,0.26410000,0.25630000,0.28370000,0.21130000,0.26410000,29559480.00000000,29559480.00000000
2022-10-09,0.25240000,0.27000000,0.25100000,0.25610000,0.25240000,0.27000000,0.25100000,0.25610000,5786656.00000000,5786656.00000000
