timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.64600000,0.65100000,0.64300000,0.64900000,0.64600000,0.65100000,0.64300000,0.64900000,51593.60000000,51593.60000000
2023-05-07,0.69200000,0.69600000,0.64300000,0.64700000,0.69200000,0.69600000,0.64300000,0.64700000,7029327.40000000,7029327.40000000
2023-04-30,0.69800000,0.72600000,0.65100000,0.69200000,0.69800000,0.72600000,0.65100000,0.69200000,10726755.40000000,10726755.40000000
2023-04-23,0.79500000,0.79800000,0.67700000,0.69900000,0.79500000,0.79800000,0.67700000,0.69900000,20282382.50000000,20282382.50000000
2023-04-16,0.78300000,0.80200000,0.74400000,0.79500000,0.78300000,0.80200000,0.74400000,0.79500000,9830089.70000000,9830089.70000000
2023-04-09,0.72300000,0.84700000,0.69200000,0.78400000,0.72300000,0.84700000,0.69200000,0.78400000,19438404.40000000,19438404.40000000
2023-04-02,0.70500000,0.76000000,0.64900000,0.72200000,0.70500000,0.76000000,0.64900000,0.72200000,15917228.30000000,15917228.30000000
2023-03-26,0.75900000,0.76400000,0.67300000,0.70400000,0.75900000,0.76400000,0.67300000,0.70400000,12016618.60000000,12016618.60000000
2023-03-19,0.65900000,0.77200000,0.63700000,0.75800000,0.65900000,0.77200000,0.63700000,0.75800000,24633913.40000000,24633913.40000000
2023-03-12,0.73000000,0.74400000,0.56600000,0.66000000,0.73000000,0.74400000,0.56600000,0.66000000,34001016.90000000,34001016.90000000
2023-03-05,0.91600000,0.91800000,0.71500000,0.73100000,0.91600000,0.91800000,0.71500000,0.73100000,30053125.50000000,30053125.50000000
2023-02-26,0.87100000,0.97000000,0.81400000,0.91600000,0.87100000,0.97000000,0.81400000,0.91600000,42809933.80000000,42809933.80000000
2023-02-19,0.79100000,0.90000000,0.72300000,0.87100000,0.79100000,0.90000000,0.72300000,0.87100000,26287692.80000000,26287692.80000000
2023-02-12,0.84500000,0.96000000,0.77400000,0.79000000,0.84500000,0.96000000,0.77400000,0.79000000,32926920.00000000,32926920.00000000
2023-02-05,0.82700000,0.93300000,0.71900000,0.84400000,0.82700000,0.93300000,0.71900000,0.84400000,50102988.09999999,50102988.09999999
2023-01-29,0.82000000,0.87800000,0.74400000,0.82700000,0.82000000,0.87800000,0.74400000,0.82700000,21788443.10000000,21788443.10000000
2023-01-22,0.73600000,0.90700000,0.66900000,0.82000000,0.73600000,0.90700000,0.66900000,0.82000000,57674646.09999999,57674646.09999999
2023-01-15,0.51600000,0.81800000,0.51100000,0.73600000,0.51600000,0.81800000,0.51100000,0.73600000,46336715.39999999,46336715.39999999
2023-01-08,0.45700000,0.51800000,0.44800000,0.51500000,0.45700000,0.51800000,0.44800000,0.51500000,10966740.80000000,10966740.80000000
2023-01-01,0.52900000,0.53800000,0.44700000,0.45700000,0.52900000,0.53800000,0.44700000,0.45700000,10259176.90000000,10259176.90000000
2022-12-25,0.53100000,0.53900000,0.49500000,0.52900000,0.53100000,0.53900000,0.49500000,0.52900000,8141472.90000000,8141472.90000000
2022-12-18,0.64000000,0.65000000,0.51900000,0.53100000,0.64000000,0.65000000,0.51900000,0.53100000,14617705.60000000,14617705.60000000
2022-12-11,0.65600000,0.68700000,0.60900000,0.64000000,0.65600000,0.68700000,0.60900000,0.64000000,25761780.60000000,25761780.60000000
2022-12-04,0.64300000,0.75000000,0.60400000,0.65700000,0.64300000,0.75000000,0.60400000,0.65700000,46289551.80000000,46289551.80000000
2022-11-27,0.57700000,0.66500000,0.53000000,0.64300000,0.57700000,0.66500000,0.53000000,0.64300000,26685064.60000000,26685064.60000000
2022-11-20,0.58000000,0.65600000,0.53500000,0.57700000,0.58000000,0.65600000,0.53500000,0.57700000,30899695.70000000,30899695.70000000
2022-11-13,0.88500000,0.89800000,0.49500000,0.58100000,0.88500000,0.89800000,0.49500000,0.58100000,46239893.49999999,46239893.49999999
2022-11-06,0.92800000,0.97800000,0.84600000,0.88500000,0.92800000,0.97800000,0.84600000,0.88500000,24317609.70000000,24317609.70000000
2022-10-30,0.86000000,0.97900000,0.83100000,0.92800000,0.86000000,0.97900000,0.83100000,0.92800000,23792366.80000000,23792366.80000000
2022-10-23,0.93300000,0.95600000,0.80300000,0.85900000,0.93300000,0.95600000,0.80300000,0.85900000,14701550.60000000,14701550.60000000
2022-10-16,1.13200000,1.14300000,0.87800000,0.93400000,1.13200000,1.14300000,0.87800000,0.93400000,27601993.03300000,27601993.03300000
2022-10-09,1.11900000,1.17200000,1.10400000,1.13200000,1.11900000,1.17200000,1.10400000,1.13200000,11728730.80000000,11728730.80000000
2022-10-02,1.16300000,1.21000000,1.08900000,1.11900000,1.16300000,1.21000000,1.08900000,1.11900000,21081000.50000000,21081000.50000000
2022-09-25,1.44100000,1.45600000,1.14900000,1.16300000,1.44100000,1.45600000,1.14900000,1.16300000,44222900.50000000,44222900.50000000
2022-09-18,2.00700000,2.06000000,1.25500000,1.44200000,2.00700000,2.06000000,1.25500000,1.44200000,65968512.50000001,65968512.50000001
2022-09-11,1.68700000,2.09200000,1.63400000,2.00700000,1.68700000,2.09200000,1.63400000,2.00700000,21565399.50000000,21565399.50000000
2022-09-04,1.66800000,1.82000000,1.62400000,1.68700000,1.66800000,1.82000000,1.62400000,1.68700000,22417359.10000000,22417359.10000000
2022-08-28,1.79100000,1.97600000,1.66000000,1.66600000,1.79100000,1.97600000,1.66000000,1.66600000,32441752.80000000,32441752.80000000
2022-08-21,1.64800000,1.85000000,1.54500000,1.79000000,1.64800000,1.85000000,1.54500000,1.79000000,40798756.20000000,40798756.20000000
2022-08-14,1.57700000,1.76100000,1.40500000,1.64800000,1.57700000,1.76100000,1.40500000,1.64800000,18530066.70000000,18530066.70000000
2022-08-07,1.54600000,1.63600000,1.44200000,1.57800000,1.54600000,1.63600000,1.44200000,1.57800000,17277629.10000000,17277629.10000000
2022-07-31,1.41700000,1.72700000,1.28600000,1.54600000,1.41700000,1.72700000,1.28600000,1.54600000,27247620.80000000,27247620.80000000
2022-07-24,1.35700000,1.63100000,1.35500000,1.41800000,1.35700000,1.63100000,1.35500000,1.41800000,22122989.30000000,22122989.30000000
2022-07-17,1.31700000,1.45700000,1.17200000,1.35500000,1.31700000,1.45700000,1.17200000,1.35500000,18044415.70000000,18044415.70000000
2022-07-10,1.23800000,1.43500000,1.21200000,1.31700000,1.23800000,1.43500000,1.21200000,1.31700000,21100557.10000000,21100557.10000000
2022-07-03,1.40000000,1.49500000,1.17500000,1.23900000,1.40000000,1.49500000,1.17500000,1.23900000,16043784.80000000,16043784.80000000
2022-06-26,1.31100000,1.54500000,1.22100000,1.40100000,1.31100000,1.54500000,1.22100000,1.40100000,30479087.90000000,30479087.90000000
2022-06-19,1.43400000,1.56000000,1.11000000,1.31200000,1.43400000,1.56000000,1.11000000,1.31200000,46095183.90000000,46095183.90000000
2022-06-12,1.91200000,2.06600000,1.43200000,1.43500000,1.91200000,2.06600000,1.43200000,1.43500000,20172775.00000000,20172775.00000000
