timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,27.55000000,27.80000000,27.48000000,27.73000000,27.55000000,27.80000000,27.48000000,27.73000000,1352.79100000,1352.79100000
2023-05-07,30.96000000,31.10000000,27.23000000,27.55000000,30.96000000,31.10000000,27.23000000,27.55000000,545803.81200000,545803.81200000
2023-04-30,30.28000000,32.36000000,28.84000000,30.94000000,30.28000000,32.36000000,28.84000000,30.94000000,346978.26900000,346978.26900000
2023-04-23,37.57000000,37.67000000,29.34000000,30.26000000,37.57000000,37.67000000,29.34000000,30.26000000,538443.88900000,538443.88900000
2023-04-16,32.52000000,38.38000000,32.23000000,37.58000000,32.52000000,38.38000000,32.23000000,37.58000000,793914.91000000,793914.91000000
2023-04-09,32.80000000,34.78000000,31.60000000,32.51000000,32.80000000,34.78000000,31.60000000,32.51000000,465174.29000000,465174.29000000
2023-04-02,33.59000000,35.84000000,31.24000000,32.77000000,33.59000000,35.84000000,31.24000000,32.77000000,421908.17500000,421908.17500000
2023-03-26,36.51000000,37.07000000,31.78000000,33.59000000,36.51000000,37.07000000,31.78000000,33.59000000,560826.27200000,560826.27200000
2023-03-19,32.38000000,37.99000000,31.06000000,36.50000000,32.38000000,37.99000000,31.06000000,36.50000000,766575.58500000,766575.58500000
2023-03-12,34.59000000,35.38000000,28.67000000,32.38000000,34.59000000,35.38000000,28.67000000,32.38000000,565316.75500000,565316.75500000
2023-03-05,39.07000000,40.29000000,32.60000000,34.60000000,39.07000000,40.29000000,32.60000000,34.60000000,542786.40500000,542786.40500000
2023-02-26,45.54000000,47.50000000,36.54000000,39.07000000,45.54000000,47.50000000,36.54000000,39.07000000,702617.81000000,702617.81000000
2023-02-19,31.90000000,49.49000000,30.13000000,45.49000000,31.90000000,49.49000000,30.13000000,45.49000000,1107761.36800000,1107761.36800000
2023-02-12,35.94000000,37.81000000,31.12000000,31.92000000,35.94000000,37.81000000,31.12000000,31.92000000,612041.04400000,612041.04400000
2023-02-05,37.17000000,38.77000000,32.96000000,35.94000000,37.17000000,38.77000000,32.96000000,35.94000000,572956.54200000,572956.54200000
2023-01-29,34.79000000,37.75000000,32.15000000,37.20000000,34.79000000,37.75000000,32.15000000,37.20000000,558924.99000000,558924.99000000
2023-01-22,31.24000000,37.12000000,30.27000000,34.81000000,31.24000000,37.12000000,30.27000000,34.81000000,982064.61100000,982064.61100000
2023-01-15,25.35000000,33.83000000,25.20000000,31.24000000,25.35000000,33.83000000,25.20000000,31.24000000,786223.24300000,786223.24300000
2023-01-08,22.46000000,25.50000000,21.61000000,25.35000000,22.46000000,25.50000000,21.61000000,25.35000000,572757.39800000,572757.39800000
2023-01-01,25.01000000,26.08000000,22.08000000,22.47000000,25.01000000,26.08000000,22.08000000,22.47000000,382159.98700000,382159.98700000
2022-12-25,25.39000000,25.85000000,24.04000000,25.01000000,25.39000000,25.85000000,24.04000000,25.01000000,268508.05500000,268508.05500000
2022-12-18,29.56000000,29.77000000,23.93000000,25.37000000,29.56000000,29.77000000,23.93000000,25.37000000,543891.39900000,543891.39900000
2022-12-11,29.43000000,32.00000000,28.91000000,29.57000000,29.43000000,32.00000000,28.91000000,29.57000000,479432.42900000,479432.42900000
2022-12-04,25.78000000,31.59000000,24.84000000,29.44000000,25.78000000,31.59000000,24.84000000,29.44000000,595892.57200000,595892.57200000
2022-11-27,23.48000000,27.30000000,22.65000000,25.78000000,23.48000000,27.30000000,22.65000000,25.78000000,531269.96600000,531269.96600000
2022-11-20,23.14000000,25.80000000,21.78000000,23.47000000,23.14000000,25.80000000,21.78000000,23.47000000,533082.15600000,533082.15600000
2022-11-13,36.08000000,37.11000000,22.82000000,23.18000000,36.08000000,37.11000000,22.82000000,23.18000000,1608691.70500000,1608691.70500000
