timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2020-10-12,0.50225000,0.51600000,0.49596000,0.51431000,0.50225000,0.51600000,0.49596000,0.51431000,963892.30000000,963892.30000000
2020-10-11,0.53382000,0.55000000,0.39832000,0.50156000,0.53382000,0.55000000,0.39832000,0.50156000,116498976.79999998,116498976.79999998
2020-10-04,0.57071000,0.59499000,0.47946000,0.53357000,0.57071000,0.59499000,0.47946000,0.53357000,133266144.20000000,133266144.20000000
2020-09-27,0.57375000,0.60359000,0.43948000,0.57005000,0.57375000,0.60359000,0.43948000,0.57005000,193018876.59999996,193018876.59999996
2020-09-20,0.69439000,0.72140000,0.54132000,0.57286000,0.69439000,0.72140000,0.54132000,0.57286000,161017798.50000000,161017798.50000000
2020-09-13,0.58873000,0.77499000,0.49460000,0.69261000,0.58873000,0.77499000,0.49460000,0.69261000,178981487.40000001,178981487.40000001
2020-09-06,0.78288000,0.80204000,0.45000000,0.58873000,0.78288000,0.80204000,0.45000000,0.58873000,321625735.60000002,321625735.60000002
2020-08-30,0.56404000,0.89985000,0.56190000,0.78303000,0.56404000,0.89985000,0.56190000,0.78303000,407276501.19999993,407276501.19999993
2020-08-23,0.52939000,0.66500000,0.50867000,0.56512000,0.52939000,0.66500000,0.50867000,0.56512000,188367358.80000001,188367358.80000001
2020-08-16,0.39087000,0.55000000,0.34994000,0.52917000,0.39087000,0.55000000,0.34994000,0.52917000,321355353.89999998,321355353.89999998
2020-08-09,0.33342000,0.43032000,0.28300000,0.38964000,0.33342000,0.43032000,0.28300000,0.38964000,200185816.19999999,200185816.19999999
2020-08-02,0.27094000,0.35677000,0.21907000,0.33338000,0.27094000,0.35677000,0.21907000,0.33338000,262531122.50000000,262531122.50000000
2020-07-26,0.35338000,0.37560000,0.25780000,0.27052000,0.35338000,0.37560000,0.25780000,0.27052000,187967025.00000000,187967025.00000000
2020-07-19,0.23002000,0.38000000,0.20604000,0.35338000,0.23002000,0.38000000,0.20604000,0.35338000,154512147.59999999,154512147.59999999
2020-07-12,0.14712000,0.25644000,0.14516000,0.23029000,0.14712000,0.25644000,0.14516000,0.23029000,138544685.00000000,138544685.00000000
2020-07-05,0.12093000,0.15541000,0.11680000,0.14664000,0.12093000,0.15541000,0.11680000,0.14664000,75013170.50000000,75013170.50000000
2020-06-28,0.15915000,0.16410000,0.11000000,0.12100000,0.15915000,0.16410000,0.11000000,0.12100000,124955217.70000000,124955217.70000000
2020-06-21,0.08487000,0.16886000,0.07161000,0.15886000,0.08487000,0.16886000,0.07161000,0.15886000,144354861.90000001,144354861.90000001
2020-06-14,0.06545000,0.10401000,0.06412000,0.08545000,0.06545000,0.10401000,0.06412000,0.08545000,90943283.19999999,90943283.19999999
2020-06-07,0.06154000,0.07100000,0.05716000,0.06560000,0.06154000,0.07100000,0.05716000,0.06560000,35965280.60000000,35965280.60000000
2020-05-31,0.05573000,0.07500000,0.04900000,0.06154000,0.05573000,0.07500000,0.04900000,0.06154000,45433013.90000000,45433013.90000000
2020-05-24,0.05931000,0.06430000,0.05526000,0.05645000,0.05931000,0.06430000,0.05526000,0.05645000,23837836.80000000,23837836.80000000
