timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,6.91100000,6.91100000,6.84100000,6.88300000,6.91100000,6.91100000,6.84100000,6.88300000,186410.74000000,186410.74000000
2023-05-07,7.02500000,7.28000000,6.79700000,6.91100000,7.02500000,7.28000000,6.79700000,6.91100000,17534677.41000000,17534677.41000000
2023-04-30,7.08200000,7.50300000,6.70300000,7.02500000,7.08200000,7.50300000,6.70300000,7.02500000,28955695.99000000,28955695.99000000
2023-04-23,8.13600000,8.79800000,6.86600000,7.08200000,8.13600000,8.79800000,6.86600000,7.08200000,48677936.42000000,48677936.42000000
2023-04-16,7.20300000,8.19000000,7.10000000,8.14000000,7.20300000,8.19000000,7.10000000,8.14000000,30266723.22000000,30266723.22000000
2023-04-09,7.25500000,7.60600000,7.02200000,7.20300000,7.25500000,7.60600000,7.02200000,7.20300000,22352356.82000000,22352356.82000000
2023-04-02,7.26000000,7.69000000,6.74700000,7.25500000,7.26000000,7.69000000,6.74700000,7.25500000,31390989.41000000,31390989.41000000
2023-03-26,7.08100000,7.72300000,6.83800000,7.26100000,7.08100000,7.72300000,6.83800000,7.26100000,43381831.48000000,43381831.48000000
2023-03-19,6.55200000,7.29900000,6.37900000,7.08100000,6.55200000,7.29900000,6.37900000,7.08100000,43278886.15000001,43278886.15000001
2023-03-12,6.94600000,6.98100000,5.89000000,6.55100000,6.94600000,6.98100000,5.89000000,6.55100000,32803199.73999999,32803199.73999999
2023-03-05,7.49400000,7.58500000,6.65500000,6.94500000,7.49400000,7.58500000,6.65500000,6.94500000,24676949.32000000,24676949.32000000
2023-02-26,8.01000000,8.40000000,7.16800000,7.49700000,8.01000000,8.40000000,7.16800000,7.49700000,47139283.85000000,47139283.85000000
2023-02-19,6.81000000,8.28900000,6.40000000,8.01400000,6.81000000,8.28900000,6.40000000,8.01400000,52097386.55000000,52097386.55000000
2023-02-12,6.98500000,7.81700000,6.68500000,6.80800000,6.98500000,7.81700000,6.68500000,6.80800000,43944317.79000000,43944317.79000000
2023-02-05,7.37300000,7.48400000,6.67000000,6.98500000,7.37300000,7.48400000,6.67000000,6.98500000,30635728.19000000,30635728.19000000
2023-01-29,6.98300000,7.51800000,6.51000000,7.37200000,6.98300000,7.51800000,6.51000000,7.37200000,41473250.31000000,41473250.31000000
2023-01-22,6.69400000,7.27100000,6.25600000,6.98400000,6.69400000,7.27100000,6.25600000,6.98400000,42391724.14000000,42391724.14000000
2023-01-15,5.96500000,7.10700000,5.93100000,6.69400000,5.96500000,7.10700000,5.93100000,6.69400000,39116761.78000000,39116761.78000000
2023-01-08,5.63000000,5.97700000,5.52300000,5.96300000,5.63000000,5.97700000,5.52300000,5.96300000,18474232.48000000,18474232.48000000
2023-01-01,5.98900000,6.06800000,5.38700000,5.62800000,5.98900000,6.06800000,5.38700000,5.62800000,18341670.07000000,18341670.07000000
2022-12-25,5.95000000,6.12000000,5.67100000,5.99000000,5.95000000,6.12000000,5.67100000,5.99000000,17602954.09000000,17602954.09000000
2022-12-18,6.69800000,7.10100000,5.77800000,5.94900000,6.69800000,7.10100000,5.77800000,5.94900000,31651652.97000000,31651652.97000000
2022-12-11,7.44200000,7.59400000,6.64600000,6.70000000,7.44200000,7.59400000,6.64600000,6.70000000,26850353.18000000,26850353.18000000
2022-12-04,6.90400000,7.81200000,6.53000000,7.44400000,6.90400000,7.81200000,6.53000000,7.44400000,50757599.44000000,50757599.44000000
2022-11-27,5.76700000,7.29900000,5.52800000,6.90200000,5.76700000,7.29900000,5.52800000,6.90200000,55155309.98999999,55155309.98999999
2022-11-20,6.07700000,6.67200000,5.69000000,5.76800000,6.07700000,6.67200000,5.69000000,5.76800000,45505848.60000000,45505848.60000000
2022-11-13,8.10100000,9.47000000,5.77500000,6.07800000,8.10100000,9.47000000,5.77500000,6.07800000,123450762.80000000,123450762.80000000
2022-11-06,7.78300000,9.00800000,7.33800000,8.10100000,7.78300000,9.00800000,7.33800000,8.10100000,52282893.52999999,52282893.52999999
2022-10-30,7.06700000,7.93200000,6.79100000,7.78200000,7.06700000,7.93200000,6.79100000,7.78200000,32836204.71000000,32836204.71000000
2022-10-23,7.16700000,7.37400000,6.44400000,7.06600000,7.16700000,7.37400000,6.44400000,7.06600000,20718202.43000000,20718202.43000000
2022-10-16,7.62800000,7.73300000,6.30600000,7.17300000,7.62800000,7.73300000,6.30600000,7.17300000,26000094.74000000,26000094.74000000
2022-10-09,7.11100000,7.94300000,7.01000000,7.63000000,7.11100000,7.94300000,7.01000000,7.63000000,29464524.29000000,29464524.29000000
2022-10-02,7.86600000,8.54000000,7.09000000,7.11000000,7.86600000,8.54000000,7.09000000,7.11000000,55288358.85000001,55288358.85000001
2022-09-25,7.52400000,8.07800000,6.51900000,7.86500000,7.52400000,8.07800000,6.51900000,7.86500000,49097544.52000000,49097544.52000000
2022-09-18,8.02900000,8.30000000,6.98200000,7.52300000,8.02900000,8.30000000,6.98200000,7.52300000,43861693.66000000,43861693.66000000
2022-09-11,7.15300000,8.17300000,6.57000000,8.02800000,7.15300000,8.17300000,6.57000000,8.02800000,38964089.22999999,38964089.22999999
2022-09-04,6.25500000,7.27800000,6.20000000,7.15600000,6.25500000,7.27800000,6.20000000,7.15600000,23818960.84000000,23818960.84000000
2022-08-28,7.08300000,7.37600000,6.22600000,6.25500000,7.08300000,7.37600000,6.22600000,6.25500000,26975279.02000000,26975279.02000000
2022-08-21,8.76800000,9.05700000,6.66000000,7.08200000,8.76800000,9.05700000,6.66000000,7.08200000,34805015.93000000,34805015.93000000
2022-08-14,8.34300000,9.50000000,8.22400000,8.76500000,8.34300000,9.50000000,8.22400000,8.76500000,49030025.34999999,49030025.34999999
2022-08-07,7.65200000,8.37500000,7.02000000,8.34300000,7.65200000,8.37500000,7.02000000,8.34300000,33427403.35000000,33427403.35000000
2022-07-31,7.09300000,8.21000000,6.07700000,7.65100000,7.09300000,8.21000000,6.07700000,7.65100000,51261062.53000000,51261062.53000000
2022-07-24,6.34700000,7.58100000,6.32900000,7.09400000,6.34700000,7.58100000,6.32900000,7.09400000,54271216.39000000,54271216.39000000
2022-07-17,6.20000000,6.71500000,5.70000000,6.34700000,6.20000000,6.71500000,5.70000000,6.34700000,44704282.35000001,44704282.35000001
2022-07-10,6.22000000,6.84000000,6.02000000,6.20000000,6.22000000,6.84000000,6.02000000,6.20000000,30943193.88000000,30943193.88000000
2022-07-03,6.70000000,7.26000000,5.88000000,6.22000000,6.70000000,7.26000000,5.88000000,6.22000000,42913762.39000000,42913762.39000000
2022-06-26,6.60000000,7.57000000,6.31000000,6.70000000,6.60000000,7.57000000,6.31000000,6.70000000,52534334.65000000,52534334.65000000
2022-06-19,6.26000000,7.51000000,5.30000000,6.60000000,6.26000000,7.51000000,5.30000000,6.60000000,125350638.85000001,125350638.85000001
2022-06-12,7.64000000,9.64000000,6.25000000,6.27000000,7.64000000,9.64000000,6.25000000,6.27000000,78549446.39000000,78549446.39000000
2022-06-05,6.72000000,7.89000000,6.65000000,7.64000000,6.72000000,7.89000000,6.65000000,7.64000000,33454187.02000000,33454187.02000000
2022-05-29,7.32000000,7.81000000,6.20000000,6.71000000,7.32000000,7.81000000,6.20000000,6.71000000,34380679.30000000,34380679.30000000
2022-05-22,7.97000000,7.98000000,6.64000000,7.33000000,7.97000000,7.98000000,6.64000000,7.33000000,37329806.84000000,37329806.84000000
2022-05-15,10.00000000,10.16000000,5.53000000,7.96000000,10.00000000,10.16000000,5.53000000,7.96000000,84897717.57399999,84897717.57399999
2022-05-08,11.30000000,12.29000000,9.84000000,10.00000000,11.30000000,12.29000000,9.84000000,10.00000000,30896660.24700000,30896660.24700000
2022-05-01,13.27000000,13.51000000,10.65000000,11.31000000,13.27000000,13.51000000,10.65000000,11.31000000,25720147.80000000,25720147.80000000
2022-04-24,13.72000000,14.50000000,13.14000000,13.26000000,13.72000000,14.50000000,13.14000000,13.26000000,18286731.39000000,18286731.39000000
2022-04-17,15.23000000,15.28000000,13.33000000,13.73000000,15.23000000,15.28000000,13.33000000,13.73000000,17738146.92000000,17738146.92000000
2022-04-10,18.07000000,18.08000000,15.01000000,15.24000000,18.07000000,18.08000000,15.01000000,15.24000000,18945051.32000000,18945051.32000000
2022-04-03,16.86000000,18.32000000,16.16000000,18.08000000,16.86000000,18.32000000,16.16000000,18.08000000,32639437.37000000,32639437.37000000
2022-03-27,14.54000000,16.91000000,14.30000000,16.87000000,14.54000000,16.91000000,14.30000000,16.87000000,28268684.44000000,28268684.44000000
2022-03-20,12.71000000,15.40000000,12.60000000,14.54000000,12.71000000,15.40000000,12.60000000,14.54000000,29387074.58000000,29387074.58000000
2022-03-13,13.31000000,14.46000000,12.42000000,12.70000000,13.31000000,14.46000000,12.42000000,12.70000000,36001895.48999999,36001895.48999999
2022-03-06,13.64000000,15.87000000,13.25000000,13.32000000,13.64000000,15.87000000,13.25000000,13.32000000,36212349.71000000,36212349.71000000
2022-02-27,14.61000000,15.31000000,11.40000000,13.64000000,14.61000000,15.31000000,11.40000000,13.64000000,51939966.14999999,51939966.14999999
2022-02-20,15.61000000,17.45000000,14.39000000,14.60000000,15.61000000,17.45000000,14.39000000,14.60000000,27221221.02000000,27221221.02000000
2022-02-13,18.06000000,19.54000000,15.52000000,15.60000000,18.06000000,19.54000000,15.52000000,15.60000000,33687319.88000000,33687319.88000000
2022-02-06,17.76000000,18.32000000,15.26000000,18.07000000,17.76000000,18.32000000,15.26000000,18.07000000,37637905.30000000,37637905.30000000
2022-01-30,16.63000000,18.10000000,13.48000000,17.77000000,16.63000000,18.10000000,13.48000000,17.77000000,58528708.06900000,58528708.06900000
2022-01-23,25.51000000,25.62000000,14.24000000,16.64000000,25.51000000,25.62000000,14.24000000,16.64000000,63763653.94300000,63763653.94300000
2022-01-16,27.54000000,28.71000000,23.91000000,25.50000000,27.54000000,28.71000000,23.91000000,25.50000000,65270932.21000000,65270932.21000000
2022-01-09,21.86000000,28.68000000,21.25000000,27.54000000,21.86000000,28.68000000,21.25000000,27.54000000,116442862.06999999,116442862.06999999
2022-01-02,22.99000000,24.49000000,19.04000000,21.87000000,22.99000000,24.49000000,19.04000000,21.87000000,42654436.28000000,42654436.28000000
2021-12-26,18.86000000,23.58000000,18.04000000,22.98000000,18.86000000,23.58000000,18.04000000,22.98000000,36714721.63000000,36714721.63000000
2021-12-19,20.41000000,20.56000000,17.26000000,18.86000000,20.41000000,20.56000000,17.26000000,18.86000000,40411783.27999999,40411783.27999999
2021-12-12,19.49000000,23.20000000,17.21000000,20.41000000,19.49000000,23.20000000,17.21000000,20.41000000,51869164.80000000,51869164.80000000
2021-12-05,24.76000000,26.90000000,15.32000000,19.48000000,24.76000000,26.90000000,15.32000000,19.48000000,53054864.54600000,53054864.54600000
2021-11-28,29.00000000,29.09000000,22.63000000,24.76000000,29.00000000,29.09000000,22.63000000,24.76000000,39276931.08000001,39276931.08000001
2021-11-21,33.75000000,34.50000000,25.82000000,28.98000000,33.75000000,34.50000000,25.82000000,28.98000000,40017542.86000000,40017542.86000000
2021-11-14,32.34000000,38.31000000,31.90000000,33.75000000,32.34000000,38.31000000,31.90000000,33.75000000,45183448.83500000,45183448.83500000
2021-11-07,30.00000000,33.71000000,29.14000000,32.34000000,30.00000000,33.71000000,29.14000000,32.34000000,32317434.48000000,32317434.48000000
2021-10-31,29.71000000,33.91000000,27.91000000,30.00000000,29.71000000,33.91000000,27.91000000,30.00000000,46754287.64000000,46754287.64000000
