timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.31320000,0.31580000,0.31140000,0.31520000,0.31320000,0.31580000,0.31140000,0.31520000,496215.00000000,496215.00000000
2023-05-07,0.33870000,0.34350000,0.31080000,0.31320000,0.33870000,0.34350000,0.31080000,0.31320000,47594828.00000000,47594828.00000000
2023-04-30,0.34170000,0.36580000,0.32930000,0.33860000,0.34170000,0.36580000,0.32930000,0.33860000,55072921.00000000,55072921.00000000
2023-04-23,0.39220000,0.42700000,0.33390000,0.34160000,0.39220000,0.42700000,0.33390000,0.34160000,178333654.00000000,178333654.00000000
2023-04-16,0.35140000,0.47650000,0.34380000,0.39240000,0.35140000,0.47650000,0.34380000,0.39240000,264857732.00000000,264857732.00000000
2023-04-09,0.35930000,0.37190000,0.34150000,0.35150000,0.35930000,0.37190000,0.34150000,0.35150000,108048128.00000000,108048128.00000000
2023-04-02,0.35720000,0.38670000,0.32790000,0.35920000,0.35720000,0.38670000,0.32790000,0.35920000,157503287.00000000,157503287.00000000
2023-03-26,0.35890000,0.38350000,0.32080000,0.35720000,0.35890000,0.38350000,0.32080000,0.35720000,198707046.00000000,198707046.00000000
2023-03-19,0.31410000,0.37470000,0.30310000,0.35860000,0.31410000,0.37470000,0.30310000,0.35860000,204247587.00000000,204247587.00000000
2023-03-12,0.32710000,0.33680000,0.25590000,0.31370000,0.32710000,0.33680000,0.25590000,0.31370000,127415025.00000000,127415025.00000000
2023-03-05,0.37020000,0.37580000,0.31400000,0.32730000,0.37020000,0.37580000,0.31400000,0.32730000,120467073.00000000,120467073.00000000
2023-02-26,0.42940000,0.45900000,0.34700000,0.37020000,0.42940000,0.45900000,0.34700000,0.37020000,199840555.00000000,199840555.00000000
2023-02-19,0.41140000,0.49490000,0.37250000,0.42900000,0.41140000,0.49490000,0.37250000,0.42900000,399577935.00000000,399577935.00000000
2023-02-12,0.37140000,0.45660000,0.31860000,0.41150000,0.37140000,0.45660000,0.31860000,0.41150000,573668711.00000000,573668711.00000000
2023-02-05,0.32150000,0.44610000,0.29860000,0.37120000,0.32150000,0.44610000,0.29860000,0.37120000,440722447.00000000,440722447.00000000
2023-01-29,0.27860000,0.35000000,0.27700000,0.32140000,0.27860000,0.35000000,0.27700000,0.32140000,252800582.00000000,252800582.00000000
2023-01-22,0.27520000,0.30820000,0.24900000,0.27870000,0.27520000,0.30820000,0.24900000,0.27870000,226618864.00000000,226618864.00000000
2023-01-15,0.21720000,0.28540000,0.21440000,0.27550000,0.21720000,0.28540000,0.21440000,0.27550000,191687989.00000000,191687989.00000000
