timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-08,0.92200000,0.92800000,0.91700000,0.92400000,0.92200000,0.92800000,0.91700000,0.92400000,20257.20000000,20257.20000000
2023-05-07,0.96300000,1.03200000,0.91500000,0.92400000,0.96300000,1.03200000,0.91500000,0.92400000,3588457.30000000,3588457.30000000
2023-04-30,1.02000000,1.03200000,0.94700000,0.96100000,1.02000000,1.03200000,0.94700000,0.96100000,2063397.80000000,2063397.80000000
2023-04-23,1.12300000,1.34900000,0.98900000,1.02000000,1.12300000,1.34900000,0.98900000,1.02000000,10856818.90000000,10856818.90000000
2023-04-16,1.13000000,1.13500000,1.00700000,1.12200000,1.13000000,1.13500000,1.00700000,1.12200000,4933031.40000000,4933031.40000000
2023-04-09,1.08900000,1.23800000,1.03800000,1.12900000,1.08900000,1.23800000,1.03800000,1.12900000,4718180.80000000,4718180.80000000
2023-04-02,1.07800000,1.20900000,0.96700000,1.08900000,1.07800000,1.20900000,0.96700000,1.08900000,3211725.40000000,3211725.40000000
2023-03-26,1.13700000,1.14500000,1.01600000,1.07700000,1.13700000,1.14500000,1.01600000,1.07700000,2284891.60000000,2284891.60000000
2023-03-19,0.96000000,1.14400000,0.93400000,1.13400000,0.96000000,1.14400000,0.93400000,1.13400000,2560600.10000000,2560600.10000000
2023-03-12,1.05500000,1.05800000,0.85300000,0.96000000,1.05500000,1.05800000,0.85300000,0.96000000,2316449.90000000,2316449.90000000
2023-03-05,1.20100000,1.20800000,1.04700000,1.05900000,1.20100000,1.20800000,1.04700000,1.05900000,1668924.50000000,1668924.50000000
2023-02-26,1.29500000,1.33500000,1.14100000,1.20300000,1.29500000,1.33500000,1.14100000,1.20300000,5051771.90000000,5051771.90000000
2023-02-19,1.04700000,1.33500000,0.96000000,1.29800000,1.04700000,1.33500000,0.96000000,1.29800000,6523160.60000000,6523160.60000000
2023-02-12,1.17100000,1.60400000,0.99800000,1.04700000,1.17100000,1.60400000,0.99800000,1.04700000,12500815.00000000,12500815.00000000
2023-02-05,0.98300000,1.39200000,0.88600000,1.17100000,0.98300000,1.39200000,0.88600000,1.17100000,13486247.40000000,13486247.40000000
2023-01-29,0.92000000,1.04500000,0.87800000,0.98200000,0.92000000,1.04500000,0.87800000,0.98200000,5065530.20000000,5065530.20000000
2023-01-22,0.87500000,0.97300000,0.83700000,0.92000000,0.87500000,0.97300000,0.83700000,0.92000000,7696301.30000000,7696301.30000000
2023-01-15,0.73800000,0.89900000,0.73300000,0.87300000,0.73800000,0.89900000,0.73300000,0.87300000,4363861.30000000,4363861.30000000
2023-01-08,0.71900000,0.76400000,0.68600000,0.73800000,0.71900000,0.76400000,0.68600000,0.73800000,2476574.60000000,2476574.60000000
2023-01-01,0.74800000,0.78400000,0.67400000,0.71900000,0.74800000,0.78400000,0.67400000,0.71900000,5312653.20000000,5312653.20000000
2022-12-25,0.72400000,1.24600000,0.67000000,0.74600000,0.72400000,1.24600000,0.67000000,0.74600000,22105146.90000000,22105146.90000000
2022-12-18,0.82500000,0.87800000,0.67700000,0.72500000,0.82500000,0.87800000,0.67700000,0.72500000,2656825.50000000,2656825.50000000
2022-12-11,0.85600000,0.89500000,0.78300000,0.82400000,0.85600000,0.89500000,0.78300000,0.82400000,6628508.30000000,6628508.30000000
2022-12-04,0.79600000,0.89300000,0.76000000,0.85700000,0.79600000,0.89300000,0.76000000,0.85700000,1781378.20000000,1781378.20000000
2022-11-27,0.75200000,0.84700000,0.71600000,0.79600000,0.75200000,0.84700000,0.71600000,0.79600000,2189515.70000000,2189515.70000000
2022-11-20,0.71600000,0.82800000,0.66500000,0.75200000,0.71600000,0.82800000,0.66500000,0.75200000,3932538.00000000,3932538.00000000
2022-11-13,0.98500000,1.00000000,0.67300000,0.71800000,0.98500000,1.00000000,0.67300000,0.71800000,6021233.10000000,6021233.10000000
2022-11-06,0.97800000,1.08800000,0.94500000,0.98500000,0.97800000,1.08800000,0.94500000,0.98500000,2989248.40000000,2989248.40000000
2022-10-30,0.94500000,1.01300000,0.93100000,0.97800000,0.94500000,1.01300000,0.93100000,0.97800000,3146316.00000000,3146316.00000000
2022-10-23,0.92900000,0.99900000,0.87700000,0.94500000,0.92900000,0.99900000,0.87700000,0.94500000,3611672.00000000,3611672.00000000
2022-10-16,1.00000000,1.07200000,0.83600000,0.92600000,1.00000000,1.07200000,0.83600000,0.92600000,3087643.20000000,3087643.20000000
2022-10-09,0.94300000,1.14200000,0.93400000,1.00100000,0.94300000,1.14200000,0.93400000,1.00100000,5382737.40000000,5382737.40000000
2022-10-02,0.95200000,1.03100000,0.93100000,0.94200000,0.95200000,1.03100000,0.93100000,0.94200000,2642181.90000000,2642181.90000000
2022-09-25,0.95800000,1.05000000,0.90100000,0.95400000,0.95800000,1.05000000,0.90100000,0.95400000,4291882.90000000,4291882.90000000
2022-09-18,1.08200000,1.12900000,0.95000000,0.95800000,1.08200000,1.12900000,0.95000000,0.95800000,3996003.60000000,3996003.60000000
2022-09-11,1.06000000,1.28800000,0.95000000,1.08300000,1.06000000,1.28800000,0.95000000,1.08300000,9181510.00000000,9181510.00000000
2022-09-04,1.03400000,1.09600000,0.99700000,1.06000000,1.03400000,1.09600000,0.99700000,1.06000000,2004493.00000000,2004493.00000000
2022-08-28,1.09400000,1.16500000,1.02000000,1.03500000,1.09400000,1.16500000,1.02000000,1.03500000,2699552.00000000,2699552.00000000
2022-08-21,1.26300000,1.37800000,1.04000000,1.09400000,1.26300000,1.37800000,1.04000000,1.09400000,3654184.30000000,3654184.30000000
2022-08-14,1.21200000,1.32900000,1.14500000,1.26300000,1.21200000,1.32900000,1.14500000,1.26300000,3970270.70000000,3970270.70000000
2022-08-07,1.17700000,1.89000000,1.11900000,1.21400000,1.17700000,1.89000000,1.11900000,1.21400000,26167496.00000000,26167496.00000000
2022-07-31,1.12800000,1.25000000,1.00500000,1.18000000,1.12800000,1.25000000,1.00500000,1.18000000,3847393.00000000,3847393.00000000
2022-07-24,1.05000000,1.19100000,1.04600000,1.13000000,1.05000000,1.19100000,1.04600000,1.13000000,2366628.90000000,2366628.90000000
2022-07-17,1.07000000,1.12700000,0.93100000,1.05200000,1.07000000,1.12700000,0.93100000,1.05200000,3862618.50000000,3862618.50000000
2022-07-10,1.02800000,1.21300000,0.99000000,1.07100000,1.02800000,1.21300000,0.99000000,1.07100000,5504873.80000000,5504873.80000000
2022-07-03,1.05800000,1.83900000,0.99800000,1.03500000,1.05800000,1.83900000,0.99800000,1.03500000,19379304.60000000,19379304.60000000
2022-06-26,1.00000000,1.12900000,0.94300000,1.06300000,1.00000000,1.12900000,0.94300000,1.06300000,2327142.50000000,2327142.50000000
2022-06-19,1.08500000,1.11100000,0.85600000,1.00000000,1.08500000,1.11100000,0.85600000,1.00000000,5229198.90000000,5229198.90000000
2022-06-12,1.38700000,1.51800000,1.05300000,1.08300000,1.38700000,1.51800000,1.05300000,1.08300000,5376605.80000000,5376605.80000000
2022-06-05,1.24300000,1.51000000,1.23800000,1.39200000,1.24300000,1.51000000,1.23800000,1.39200000,9914544.70000000,9914544.70000000
2022-05-29,1.30000000,1.45000000,1.10700000,1.24300000,1.30000000,1.45000000,1.10700000,1.24300000,8399591.90000000,8399591.90000000
2022-05-22,1.28600000,1.34400000,1.06700000,1.31100000,1.28600000,1.34400000,1.06700000,1.31100000,3502923.90000000,3502923.90000000
2022-05-15,1.60100000,1.76900000,0.83800000,1.28400000,1.60100000,1.76900000,0.83800000,1.28400000,12643789.67000000,12643789.67000000
2022-05-08,1.80100000,1.92600000,1.57000000,1.59900000,1.80100000,1.92600000,1.57000000,1.59900000,2953468.80000000,2953468.80000000
2022-05-01,2.12400000,2.29000000,1.69000000,1.80200000,2.12400000,2.29000000,1.69000000,1.80200000,6442858.60000000,6442858.60000000
2022-04-24,2.07900000,3.27100000,1.95400000,2.12500000,2.07900000,3.27100000,1.95400000,2.12500000,29536863.60000001,29536863.60000001
2022-04-17,2.14700000,2.26900000,1.97700000,2.08400000,2.14700000,2.26900000,1.97700000,2.08400000,2321986.80000000,2321986.80000000
2022-04-10,2.68300000,2.68300000,2.14200000,2.14600000,2.68300000,2.68300000,2.14200000,2.14600000,2417717.20000000,2417717.20000000
2022-04-03,2.47700000,2.77800000,2.45100000,2.68700000,2.47700000,2.77800000,2.45100000,2.68700000,4603638.50000000,4603638.50000000
2022-03-27,2.13500000,2.52800000,2.09400000,2.47600000,2.13500000,2.52800000,2.09400000,2.47600000,3176527.10000000,3176527.10000000
2022-03-20,2.02800000,2.17800000,1.96400000,2.13600000,2.02800000,2.17800000,1.96400000,2.13600000,3121529.80000000,3121529.80000000
2022-03-13,2.08400000,2.35000000,1.86200000,2.02700000,2.08400000,2.35000000,1.86200000,2.02700000,7278459.90000000,7278459.90000000
2022-03-06,1.51800000,2.41800000,1.49700000,2.08400000,1.51800000,2.41800000,1.49700000,2.08400000,15901058.30000000,15901058.30000000
2022-02-27,1.61300000,1.77800000,1.37600000,1.51600000,1.61300000,1.77800000,1.37600000,1.51600000,2252225.20000000,2252225.20000000
2022-02-20,1.72300000,1.93000000,1.59100000,1.61400000,1.72300000,1.93000000,1.59100000,1.61400000,1835542.80000000,1835542.80000000
